#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
655981,24567069,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Geomyces destructans).,other,-,-,-,-,20181203,-
655981,31078778,trnR(acg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078779,nad6,-,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20200909,-
655981,31078780,trnH(atg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078781,trnV(tac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078782,trnV(tac),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078783,cox3,-,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20200909,-
655981,31078784,trnK(ttt),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078785,trnG(tcc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078786,trnD(gtc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078787,trnS1(gct),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078788,trnW(tca),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078789,trnI(gat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078790,trnS2(tga),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078791,trnP(tgg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078792,rrnl,-,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20200909,-
655981,31078793,rps3,-,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200909,-
655981,31078794,trnT(tgt),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078795,trnE(ttc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078796,trnM(cat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078797,trnL2(taa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078798,trnA(tgc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078799,trnF(gaa),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078800,trnL1(tag),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078801,trnQ(ttg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078802,trnH(gtg),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078803,trnM(cat),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078804,nad2,-,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20200909,-
655981,31078805,trnG(tcc),-,-,-,MT,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,31078806,nad3,-,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20200909,-
655981,31078807,nad4,-,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20200909,-
655981,31078808,cox2,-,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20200909,-
655981,36283100,VC83_00001,VC83_00001,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283101,VC83_00002,VC83_00002,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283102,VC83_00003,VC83_00003,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283103,VC83_00004,VC83_00004,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283104,VC83_00005,VC83_00005,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283105,VC83_00006,VC83_00006,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283106,VC83_00007,VC83_00007,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283107,VC83_00008,VC83_00008,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283108,VC83_00009,VC83_00009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283109,VC83_00010,VC83_00010,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283110,UBP6,VC83_00011,-,-,Unknown,-,deubiquitinating enzyme,protein-coding,-,-,-,deubiquitinating enzyme,20200909,-
655981,36283111,ARC19,VC83_00012,-,-,Unknown,-,Arp complex subunit,protein-coding,-,-,-,Arp complex subunit,20200909,-
655981,36283112,VC83_00013,VC83_00013,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283113,VC83_00014,VC83_00014,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283114,LSM7,VC83_00015,-,-,Unknown,-,Sm-like protein lsm7,protein-coding,-,-,-,Sm-like protein lsm7,20200909,-
655981,36283115,VC83_00016,VC83_00016,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283116,VC83_00017,VC83_00017,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283117,VC83_00018,VC83_00018,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283118,KAP95,VC83_00019,-,-,Unknown,-,karyopherin beta,protein-coding,-,-,-,karyopherin beta,20200909,-
655981,36283119,VC83_00020,VC83_00020,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283120,ALO1,VC83_00021,-,-,Unknown,-,"D-arabinono-1,4-lactone oxidase",protein-coding,-,-,-,"D-arabinono-1,4-lactone oxidase",20200909,-
655981,36283121,VC83_00022,VC83_00022,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283122,VC83_00023,VC83_00023,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283123,VC83_00024,VC83_00024,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283124,PAN3,VC83_00025,-,-,Unknown,-,PAB-dependent poly(A)-specific ribonuclease subunit 3,protein-coding,-,-,-,PAB-dependent poly(A)-specific ribonuclease subunit 3,20200909,-
655981,36283125,VC83_00026,VC83_00026,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283126,VC83_00027,VC83_00027,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283127,VC83_00028,VC83_00028,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283128,VC83_00029,VC83_00029,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283129,VC83_00030,VC83_00030,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283130,EFR3,VC83_00031,-,-,Unknown,-,plasma membrane localization protein,protein-coding,-,-,-,plasma membrane localization protein,20200909,-
655981,36283131,KIN3_1,VC83_00032,-,-,Unknown,-,G2-specific serine/threonine protein kinase,protein-coding,-,-,-,G2-specific serine/threonine protein kinase,20200909,-
655981,36283132,VC83_00033,VC83_00033,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283133,VC83_00034,VC83_00034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283134,VC83_00035,VC83_00035,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283135,VC83_00036,VC83_00036,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283136,VC83_00037,VC83_00037,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283137,VC83_00038,VC83_00038,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283138,VC83_00039,VC83_00039,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283139,VC83_00040,VC83_00040,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283140,VC83_00041,VC83_00041,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283141,VC83_00042,VC83_00042,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283142,VC83_00043,VC83_00043,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283143,SOH1,VC83_00044,-,-,Unknown,-,suppressor of hpr1,protein-coding,-,-,-,suppressor of hpr1,20200909,-
655981,36283144,VC83_00045,VC83_00045,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283145,CYP1,VC83_00046,-,-,Unknown,-,heme binding,protein-coding,-,-,-,heme binding,20200909,-
655981,36283146,VC83_00047,VC83_00047,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283147,VC83_00048,VC83_00048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283148,GLK1_1,VC83_00049,-,-,Unknown,-,glucokinase,protein-coding,-,-,-,glucokinase,20200909,-
655981,36283149,VC83_00050,VC83_00050,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283150,VC83_00051,VC83_00051,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283151,VC83_00052,VC83_00052,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283152,RPC11,VC83_00053,-,-,Unknown,-,RNA polymerase III C11 subunit,protein-coding,-,-,-,RNA polymerase III C11 subunit,20200909,-
655981,36283153,ADE4,VC83_00054,-,-,Unknown,-,amidophosphoribosyltransferase,protein-coding,-,-,-,amidophosphoribosyltransferase,20200909,-
655981,36283154,VC83_00055,VC83_00055,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283155,MSC7,VC83_00056,-,-,Unknown,-,Meiotic Sister-Chromatid recombination aldehyde dehydrogenase,protein-coding,-,-,-,Meiotic Sister-Chromatid recombination aldehyde dehydrogenase,20200909,-
655981,36283156,VC83_00057,VC83_00057,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283157,VC83_00058,VC83_00058,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283158,VC83_00059,VC83_00059,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283159,VC83_00060,VC83_00060,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283160,VC83_00061,VC83_00061,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283161,VC83_00062,VC83_00062,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283162,VC83_00063,VC83_00063,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283163,VC83_00064,VC83_00064,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283164,VC83_00065,VC83_00065,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283165,VC83_00066,VC83_00066,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283166,VC83_00067,VC83_00067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283167,ERG9,VC83_00068,-,-,Unknown,-,terpene cyclase,protein-coding,-,-,-,terpene cyclase,20200909,-
655981,36283168,VC83_00069,VC83_00069,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283169,VC83_00070,VC83_00070,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283170,VC83_00071,VC83_00071,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283171,VC83_00072,VC83_00072,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283172,VC83_00073,VC83_00073,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283173,VC83_00074,VC83_00074,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283174,VC83_00075,VC83_00075,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283175,VC83_00076,VC83_00076,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283176,VC83_00077,VC83_00077,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283177,VC83_00078,VC83_00078,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283178,VC83_00079,VC83_00079,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283179,RIB3,VC83_00080,-,-,Unknown,-,"3,4-dihydroxy 2-butanone 4-phosphate synthase",protein-coding,-,-,-,"3,4-dihydroxy 2-butanone 4-phosphate synthase",20200909,-
655981,36283180,COQ3,VC83_00081,-,-,Unknown,-,"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial",protein-coding,-,-,-,"Hexaprenyldihydroxybenzoate methyltransferase, mitochondrial",20200909,-
655981,36283181,VC83_00082,VC83_00082,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283182,VC83_00083,VC83_00083,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283183,FBP1,VC83_00084,-,-,Unknown,-,"Fructose-1,6-bisphosphatase",protein-coding,-,-,-,"Fructose-1,6-bisphosphatase",20200909,-
655981,36283184,VC83_00085,VC83_00085,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283185,VC83_00086,VC83_00086,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283186,VC83_00087,VC83_00087,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283187,VC83_00088,VC83_00088,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283188,PAB1,VC83_00089,-,-,Unknown,-,Protein phosphatase PP2A regulatory subunit B,protein-coding,-,-,-,Protein phosphatase PP2A regulatory subunit B,20200909,-
655981,36283189,VC83_00090,VC83_00090,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283190,VC83_00091,VC83_00091,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283191,RPL37A,VC83_00092,-,-,Unknown,-,60S ribosomal protein L37-A,protein-coding,-,-,-,60S ribosomal protein L37-A,20200909,-
655981,36283192,VC83_00093,VC83_00093,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283193,VC83_00094,VC83_00094,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283194,VC83_00095,VC83_00095,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283195,VC83_00096,VC83_00096,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283196,VC83_00097,VC83_00097,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283197,VC83_00098,VC83_00098,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283198,VC83_00099,VC83_00099,-,-,Unknown,-,tRNA,tRNA,-,-,-,-,20200909,-
655981,36283199,VC83_00100,VC83_00100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283200,VC83_00101,VC83_00101,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283201,VC83_00102,VC83_00102,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283202,VC83_00103,VC83_00103,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283203,VC83_00104,VC83_00104,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283204,VC83_00105,VC83_00105,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283205,VC83_00106,VC83_00106,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283206,PLC1_1,VC83_00107,-,-,Unknown,-,Phospholipase C,protein-coding,-,-,-,Phospholipase C,20200909,-
655981,36283207,VC83_00108,VC83_00108,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283208,VC83_00109,VC83_00109,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283209,VC83_00110,VC83_00110,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283210,VC83_00111,VC83_00111,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283211,VC83_00112,VC83_00112,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283212,VC83_00113,VC83_00113,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283213,VC83_00114,VC83_00114,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283214,VC83_00115,VC83_00115,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283215,VC83_00116,VC83_00116,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283216,VC83_00117,VC83_00117,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283217,STU2,VC83_00118,-,-,Unknown,-,stu2 protein,protein-coding,-,-,-,stu2 protein,20200909,-
655981,36283218,VC83_00119,VC83_00119,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283219,VC83_00120,VC83_00120,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283220,VC83_00121,VC83_00121,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283221,VC83_00122,VC83_00122,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283222,VC83_00123,VC83_00123,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283223,VC83_00124,VC83_00124,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283224,NPR2,VC83_00125,-,-,Unknown,-,nitrogen permease regulating protein,protein-coding,-,-,-,nitrogen permease regulating protein,20200909,-
655981,36283225,VC83_00126,VC83_00126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283226,VC83_00127,VC83_00127,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283227,VC83_00128,VC83_00128,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283228,VC83_00129,VC83_00129,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283229,VC83_00130,VC83_00130,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283230,VC83_00131,VC83_00131,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283231,VC83_00132,VC83_00132,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283232,VC83_00133,VC83_00133,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283233,VC83_00134,VC83_00134,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283234,VC83_00135,VC83_00135,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283235,VC83_00136,VC83_00136,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283236,VC83_00137,VC83_00137,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283237,VC83_00138,VC83_00138,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283238,FUM1,VC83_00139,-,-,Unknown,-,fumarase fum1,protein-coding,-,-,-,fumarase fum1,20200909,-
655981,36283239,VC83_00140,VC83_00140,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283240,SMC5,VC83_00141,-,-,Unknown,-,structural maintenance of chromosomes protein,protein-coding,-,-,-,structural maintenance of chromosomes protein,20200909,-
655981,36283241,VC83_00142,VC83_00142,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283242,VC83_00143,VC83_00143,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283243,VC83_00144,VC83_00144,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283244,VC83_00145,VC83_00145,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283245,VC83_00146,VC83_00146,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283246,VC83_00147,VC83_00147,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283247,VC83_00148,VC83_00148,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283248,VC83_00149,VC83_00149,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283249,VC83_00150,VC83_00150,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283250,VC83_00151,VC83_00151,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283251,VC83_00152,VC83_00152,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283252,VC83_00153,VC83_00153,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283253,VC83_00154,VC83_00154,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283254,VC83_00155,VC83_00155,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283255,VC83_00156,VC83_00156,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283256,VC83_00157,VC83_00157,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283257,VC83_00158,VC83_00158,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283258,VC83_00159,VC83_00159,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283259,VC83_00160,VC83_00160,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283260,VC83_00161,VC83_00161,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
655981,36283261,MCM1,VC83_00162,-,-,Unknown,-,transcription factor of the MADS box,protein-coding,-,-,-,transcription factor of the MADS box,20200909,-
655981,36283262,VC83_00163,VC83_00163,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
