#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2588499,55619472,2,HWC47_gp02,SEA_ADELAIDE_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200910,-
2588499,55619503,30,HWC47_gp30,SEA_ADELAIDE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619504,53,HWC47_gp52,SEA_ADELAIDE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619505,54,HWC47_gp53,SEA_ADELAIDE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619506,55,HWC47_gp54,SEA_ADELAIDE_55,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210424,-
2588499,55619507,56,HWC47_gp55,SEA_ADELAIDE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2588499,55619508,57,HWC47_gp56,SEA_ADELAIDE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619509,58,HWC47_gt01,SEA_ADELAIDE_58,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
2588499,55619510,59,HWC47_gp57,SEA_ADELAIDE_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2588499,55619511,4,HWC47_gp04,SEA_ADELAIDE_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2588499,55619512,5,HWC47_gp05,SEA_ADELAIDE_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619513,6,HWC47_gp06,SEA_ADELAIDE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2588499,55619514,7,HWC47_gp07,SEA_ADELAIDE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619515,8,HWC47_gp08,SEA_ADELAIDE_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201217,-
2588499,55619516,9,HWC47_gp09,SEA_ADELAIDE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200910,-
2588499,55619517,10,HWC47_gp10,SEA_ADELAIDE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619518,11,HWC47_gp11,SEA_ADELAIDE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619519,23,HWC47_gp23,SEA_ADELAIDE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619520,24,HWC47_gp24,SEA_ADELAIDE_24,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
2588499,55619521,25,HWC47_gp25,SEA_ADELAIDE_25,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20201118,-
2588499,55619522,46,HWC47_gp45,SEA_ADELAIDE_46,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200912,-
2588499,55619523,47,HWC47_gp46,SEA_ADELAIDE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2588499,55619524,48,HWC47_gp47,SEA_ADELAIDE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619525,49,HWC47_gp48,SEA_ADELAIDE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619526,50,HWC47_gp49,SEA_ADELAIDE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619527,51,HWC47_gp50,SEA_ADELAIDE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619528,52,HWC47_gp51,SEA_ADELAIDE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55619529,1,HWC47_gp01,SEA_ADELAIDE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2588499,55635968,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200817,-
