#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1887649,29065579,2,BIZ70_gp002,SEA_JSWAG_2,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20200719,-
1887649,29065599,22,BIZ70_gp091,SEA_JSWAG_22,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200719,-
1887649,29065600,23,BIZ70_gp090,SEA_JSWAG_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065601,24,BIZ70_gp089,SEA_JSWAG_24,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200719,-
1887649,29065602,25,BIZ70_gp088,SEA_JSWAG_25,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200719,-
1887649,29065603,26,BIZ70_gp087,SEA_JSWAG_26,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1887649,29065604,27,BIZ70_gp086,SEA_JSWAG_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200719,-
1887649,29065605,28,BIZ70_gp085,SEA_JSWAG_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200719,-
1887649,29065606,29,BIZ70_gp084,SEA_JSWAG_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887649,29065607,30,BIZ70_gp083,SEA_JSWAG_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887649,29065608,31,BIZ70_gp082,SEA_JSWAG_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200719,-
1887649,29065609,32,BIZ70_gp081,SEA_JSWAG_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200912,-
1887649,29065610,33,BIZ70_gp080,SEA_JSWAG_33,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20200719,-
1887649,29065611,34,BIZ70_gp079,SEA_JSWAG_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201010,-
1887649,29065612,35,BIZ70_gp078,SEA_JSWAG_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065613,36,BIZ70_gp077,SEA_JSWAG_36,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20200719,-
1887649,29065614,37,BIZ70_gp076,SEA_JSWAG_37,-,-,-,dsDNA partitioning protein,protein-coding,-,-,-,dsDNA partitioning protein,20200719,-
1887649,29065615,38,BIZ70_gp075,SEA_JSWAG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065616,39,BIZ70_gp074,SEA_JSWAG_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065617,40,BIZ70_gp073,SEA_JSWAG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065618,41,BIZ70_gp072,SEA_JSWAG_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065619,42,BIZ70_gp071,SEA_JSWAG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065620,43,BIZ70_gp070,SEA_JSWAG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065621,44,BIZ70_gp069,SEA_JSWAG_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065622,45,BIZ70_gp068,SEA_JSWAG_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065623,46,BIZ70_gp067,SEA_JSWAG_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210424,-
1887649,29065624,47,BIZ70_gp066,SEA_JSWAG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065625,48,BIZ70_gp065,SEA_JSWAG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065626,49,BIZ70_gp064,SEA_JSWAG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065627,50,BIZ70_gp063,SEA_JSWAG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065628,51,BIZ70_gp062,SEA_JSWAG_51,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20200719,-
1887649,29065629,52,BIZ70_gp061,SEA_JSWAG_52,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20200719,-
1887649,29065630,53,BIZ70_gp060,SEA_JSWAG_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065631,54,BIZ70_gp059,SEA_JSWAG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065632,55,BIZ70_gp058,SEA_JSWAG_55,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201010,-
1887649,29065633,56,BIZ70_gp057,SEA_JSWAG_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065634,57,BIZ70_gp056,SEA_JSWAG_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065635,58,BIZ70_gp055,SEA_JSWAG_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065636,59,BIZ70_gp054,SEA_JSWAG_59,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20200719,-
1887649,29065637,60,BIZ70_gp053,SEA_JSWAG_60,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210424,-
1887649,29065638,61,BIZ70_gp052,SEA_JSWAG_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065639,62,BIZ70_gp051,SEA_JSWAG_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065640,63,BIZ70_gp050,SEA_JSWAG_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065641,64,BIZ70_gp049,SEA_JSWAG_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065642,65,BIZ70_gp048,SEA_JSWAG_65,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200719,-
1887649,29065643,66,BIZ70_gp047,SEA_JSWAG_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200912,-
1887649,29065644,67,BIZ70_gp046,SEA_JSWAG_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065645,68,BIZ70_gp045,SEA_JSWAG_68,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200719,-
1887649,29065646,69,BIZ70_gp044,SEA_JSWAG_69,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210424,-
1887649,29065647,70,BIZ70_gp043,SEA_JSWAG_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065648,71,BIZ70_gp042,SEA_JSWAG_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065649,72,BIZ70_gp041,SEA_JSWAG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065650,73,BIZ70_gp040,SEA_JSWAG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065651,74,BIZ70_gp039,SEA_JSWAG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065652,75,BIZ70_gp038,SEA_JSWAG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065653,76,BIZ70_gp037,SEA_JSWAG_76,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200719,-
1887649,29065654,77,BIZ70_gp036,SEA_JSWAG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065655,78,BIZ70_gp035,SEA_JSWAG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065656,79,BIZ70_gp034,SEA_JSWAG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065657,80,BIZ70_gp033,SEA_JSWAG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065658,81,BIZ70_gp032,SEA_JSWAG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065659,82,BIZ70_gp031,SEA_JSWAG_82,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
1887649,29065660,83,BIZ70_gp030,SEA_JSWAG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29065661,84,BIZ70_gp029,SEA_JSWAG_84,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200719,-
1887649,29065662,85,BIZ70_gp028,SEA_JSWAG_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065663,86,BIZ70_gp027,SEA_JSWAG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065664,87,BIZ70_gp026,SEA_JSWAG_87,-,-,-,SprT-like metallopeptidase,protein-coding,-,-,-,SprT-like metallopeptidase,20200912,-
1887649,29065665,88,BIZ70_gp025,SEA_JSWAG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065666,89,BIZ70_gp024,SEA_JSWAG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065667,90,BIZ70_gp023,SEA_JSWAG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065668,91,BIZ70_gp022,SEA_JSWAG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065669,92,BIZ70_gp021,SEA_JSWAG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065670,93,BIZ70_gp020,SEA_JSWAG_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065671,94,BIZ70_gp019,SEA_JSWAG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065672,95,BIZ70_gp018,SEA_JSWAG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065673,96,BIZ70_gp017,SEA_JSWAG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065674,97,BIZ70_gp016,SEA_JSWAG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065675,98,BIZ70_gp015,SEA_JSWAG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065676,99,BIZ70_gp014,SEA_JSWAG_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065677,100,BIZ70_gp013,SEA_JSWAG_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065678,101,BIZ70_gp012,SEA_JSWAG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065679,102,BIZ70_gp011,SEA_JSWAG_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065680,103,BIZ70_gp010,SEA_JSWAG_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065681,104,BIZ70_gp009,SEA_JSWAG_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1887649,29065682,1,BIZ70_gp001,SEA_JSWAG_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1887649,29140084,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
