#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2126724,54990335,HOT02_gp002,HOT02_gp002,phiSABS2_2,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
2126724,54990407,HOT02_gp074,HOT02_gp074,phiSABS2_74,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200910,-
2126724,54990408,HOT02_gp075,HOT02_gp075,phiSABS2_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990409,HOT02_gp076,HOT02_gp076,phiSABS2_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990410,HOT02_gp077,HOT02_gp077,phiSABS2_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990411,HOT02_gp078,HOT02_gp078,phiSABS2_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990412,HOT02_gp079,HOT02_gp079,phiSABS2_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990413,HOT02_gp080,HOT02_gp080,phiSABS2_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990414,HOT02_gp081,HOT02_gp081,phiSABS2_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990415,HOT02_gp082,HOT02_gp082,phiSABS2_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990416,HOT02_gp083,HOT02_gp083,phiSABS2_83,-,-,-,holin,protein-coding,-,-,-,holin,20210403,-
2126724,54990417,HOT02_gp084,HOT02_gp084,phiSABS2_84,-,-,-,lysin,protein-coding,-,-,-,lysin,20210403,-
2126724,54990418,HOT02_gp085,HOT02_gp085,phiSABS2_85,-,-,-,lysin,protein-coding,-,-,-,lysin,20210403,-
2126724,54990419,HOT02_gp086,HOT02_gp086,phiSABS2_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990420,HOT02_gp087,HOT02_gp087,phiSABS2_87,-,-,-,immunodominant staphylococcal antigen A precursor,protein-coding,-,-,-,immunodominant staphylococcal antigen A precursor,20210403,-
2126724,54990421,HOT02_gp088,HOT02_gp088,phiSABS2_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990422,HOT02_gp089,HOT02_gp089,phiSABS2_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990423,HOT02_gp090,HOT02_gp090,phiSABS2_90,-,-,-,midasin,protein-coding,-,-,-,midasin,20210403,-
2126724,54990424,HOT02_gp091,HOT02_gp091,phiSABS2_91,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200910,-
2126724,54990425,HOT02_gp092,HOT02_gp092,phiSABS2_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990426,HOT02_gp093,HOT02_gp093,phiSABS2_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990427,HOT02_gp094,HOT02_gp094,phiSABS2_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990428,HOT02_gp095,HOT02_gp095,phiSABS2_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990429,HOT02_gp096,HOT02_gp096,phiSABS2_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990430,HOT02_gp097,HOT02_gp097,phiSABS2_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990431,HOT02_gp098,HOT02_gp098,phiSABS2_98,-,-,-,major tail sheath,protein-coding,-,-,-,major tail sheath,20200910,-
2126724,54990432,HOT02_gp099,HOT02_gp099,phiSABS2_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990433,HOT02_gp100,HOT02_gp100,phiSABS2_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990434,HOT02_gp101,HOT02_gp101,phiSABS2_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990435,HOT02_gp102,HOT02_gp102,phiSABS2_102,-,-,-,tail length tape-measure protein,protein-coding,-,-,-,tail length tape-measure protein,20210403,-
2126724,54990436,HOT02_gp103,HOT02_gp103,phiSABS2_103,-,-,-,secretory antigen SsaA-like protein,protein-coding,-,-,-,secretory antigen SsaA-like protein,20210403,-
2126724,54990437,HOT02_gp104,HOT02_gp104,phiSABS2_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990438,HOT02_gp105,HOT02_gp105,phiSABS2_105,-,-,-,glycerophosphoryl diester phosphodiesterase,protein-coding,-,-,-,glycerophosphoryl diester phosphodiesterase,20210403,-
2126724,54990439,HOT02_gp106,HOT02_gp106,phiSABS2_106,-,-,-,extracellular serine protease,protein-coding,-,-,-,extracellular serine protease,20210403,-
2126724,54990440,HOT02_gp107,HOT02_gp107,phiSABS2_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990441,HOT02_gp108,HOT02_gp108,phiSABS2_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990442,HOT02_gp109,HOT02_gp109,phiSABS2_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990443,HOT02_gp110,HOT02_gp110,phiSABS2_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990444,HOT02_gp111,HOT02_gp111,phiSABS2_111,-,-,-,baseplate J-like protein,protein-coding,-,-,-,baseplate J-like protein,20210403,-
2126724,54990445,HOT02_gp112,HOT02_gp112,phiSABS2_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990446,HOT02_gp113,HOT02_gp113,phiSABS2_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990447,HOT02_gp114,HOT02_gp114,phiSABS2_114,-,-,-,virulence-associated protein,protein-coding,-,-,-,virulence-associated protein,20210403,-
2126724,54990448,HOT02_gp115,HOT02_gp115,phiSABS2_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990449,HOT02_gp116,HOT02_gp116,phiSABS2_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990450,HOT02_gp117,HOT02_gp117,phiSABS2_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990451,HOT02_gp118,HOT02_gp118,phiSABS2_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990452,HOT02_gp119,HOT02_gp119,phiSABS2_119,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2126724,54990453,HOT02_gp120,HOT02_gp120,phiSABS2_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990454,HOT02_gp121,HOT02_gp121,phiSABS2_121,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210403,-
2126724,54990455,HOT02_gp122,HOT02_gp122,phiSABS2_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990456,HOT02_gp123,HOT02_gp123,phiSABS2_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990457,HOT02_gp124,HOT02_gp124,phiSABS2_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990458,HOT02_gp125,HOT02_gp125,phiSABS2_125,-,-,-,recombination exonuclease,protein-coding,-,-,-,recombination exonuclease,20210403,-
2126724,54990459,HOT02_gp126,HOT02_gp126,phiSABS2_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990460,HOT02_gp127,HOT02_gp127,phiSABS2_127,-,-,-,recombination-related exonuclease,protein-coding,-,-,-,recombination-related exonuclease,20210403,-
2126724,54990461,HOT02_gp128,HOT02_gp128,phiSABS2_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990462,HOT02_gp129,HOT02_gp129,phiSABS2_129,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20210403,-
2126724,54990463,HOT02_gp130,HOT02_gp130,phiSABS2_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990464,HOT02_gp131,HOT02_gp131,phiSABS2_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990465,HOT02_gp132,HOT02_gp132,phiSABS2_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990466,HOT02_gp133,HOT02_gp133,phiSABS2_133,-,-,-,ribonucleotide reduction protein,protein-coding,-,-,-,ribonucleotide reduction protein,20210403,-
2126724,54990467,HOT02_gp134,HOT02_gp134,phiSABS2_134,-,-,-,"ribonucleotide reductase of class Ib (aerobic), alpha subunit",protein-coding,-,-,-,"ribonucleotide reductase of class Ib (aerobic), alpha subunit",20210403,-
2126724,54990468,HOT02_gp135,HOT02_gp135,phiSABS2_135,-,-,-,ribonucleotide reductase of class Ib (aerobic),protein-coding,-,-,-,ribonucleotide reductase of class Ib (aerobic),20210403,-
2126724,54990469,HOT02_gp136,HOT02_gp136,phiSABS2_136,-,-,-,oxidoreductase,protein-coding,-,-,-,oxidoreductase,20210403,-
2126724,54990470,HOT02_gp137,HOT02_gp137,phiSABS2_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990471,HOT02_gp138,HOT02_gp138,phiSABS2_138,-,-,-,integration host factor,protein-coding,-,-,-,integration host factor,20210403,-
2126724,54990472,HOT02_gp139,HOT02_gp139,phiSABS2_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990473,HOT02_gp140,HOT02_gp140,phiSABS2_140,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2126724,54990474,HOT02_gp141,HOT02_gp141,phiSABS2_141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990475,HOT02_gp142,HOT02_gp142,phiSABS2_142,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210403,-
2126724,54990476,HOT02_gp143,HOT02_gp143,phiSABS2_143,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990477,HOT02_gp144,HOT02_gp144,phiSABS2_144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990478,HOT02_gp145,HOT02_gp145,phiSABS2_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990479,HOT02_gp146,HOT02_gp146,phiSABS2_146,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990480,HOT02_gp147,HOT02_gp147,phiSABS2_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990481,HOT02_gp148,HOT02_gp148,phiSABS2_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990482,HOT02_gp149,HOT02_gp149,phiSABS2_149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990483,HOT02_gp150,HOT02_gp150,phiSABS2_150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990484,HOT02_gp151,HOT02_gp151,phiSABS2_151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990485,HOT02_gp152,HOT02_gp152,phiSABS2_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990486,HOT02_gp153,HOT02_gp153,phiSABS2_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990487,HOT02_gp154,HOT02_gp154,phiSABS2_154,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210403,-
2126724,54990488,HOT02_gp155,HOT02_gp155,phiSABS2_155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990489,HOT02_gp156,HOT02_gp156,phiSABS2_156,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20210403,-
2126724,54990490,HOT02_gp157,HOT02_gp157,phiSABS2_157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990491,HOT02_gp158,HOT02_gp158,phiSABS2_158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990492,HOT02_gp159,HOT02_gp159,phiSABS2_159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990493,HOT02_gp160,HOT02_gp160,phiSABS2_160,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2126724,54990494,HOT02_gp161,HOT02_gp161,phiSABS2_161,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210403,-
2126724,54990495,HOT02_gp162,HOT02_gp162,phiSABS2_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990496,HOT02_gp163,HOT02_gp163,phiSABS2_163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990497,HOT02_gp164,HOT02_gp164,phiSABS2_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990498,HOT02_gp165,HOT02_gp165,phiSABS2_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990499,HOT02_gp166,HOT02_gp166,phiSABS2_166,-,-,-,Src homology 3 domain superfamily protein,protein-coding,-,-,-,Src homology 3 domain superfamily protein,20210403,-
2126724,54990500,HOT02_gp167,HOT02_gp167,phiSABS2_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990501,HOT02_gp168,HOT02_gp168,phiSABS2_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990502,HOT02_gp169,HOT02_gp169,phiSABS2_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990503,HOT02_gp170,HOT02_gp170,phiSABS2_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990504,HOT02_gp171,HOT02_gp171,phiSABS2_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990505,HOT02_gp172,HOT02_gp172,phiSABS2_172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990506,HOT02_gp173,HOT02_gp173,phiSABS2_173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990507,HOT02_gp174,HOT02_gp174,phiSABS2_174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990508,HOT02_gp175,HOT02_gp175,phiSABS2_175,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990509,HOT02_gp176,HOT02_gp176,phiSABS2_176,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990510,HOT02_gp177,HOT02_gp177,phiSABS2_177,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990511,HOT02_gp178,HOT02_gp178,phiSABS2_178,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990512,HOT02_gp179,HOT02_gp179,phiSABS2_179,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2126724,54990513,HOT02_gp180,HOT02_gp180,phiSABS2_180,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2126724,54990514,HOT02_gp181,HOT02_gp181,phiSABS2_181,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
