#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1458842,18506405,GBK2_2,GBK2_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1458842,18506442,GBK2_39,GBK2_39,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20201221,-
1458842,18506443,GBK2_40,GBK2_40,-,-,-,-,SSB protein,protein-coding,-,-,-,SSB protein,20201221,-
1458842,18506444,GBK2_41,GBK2_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506445,GBK2_42,GBK2_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506446,GBK2_43,GBK2_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506447,GBK2_44,GBK2_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506448,GBK2_45,GBK2_45,-,-,-,-,primase,protein-coding,-,-,-,primase,20201221,-
1458842,18506449,GBK2_46,GBK2_46,-,-,-,-,helicase loader,protein-coding,-,-,-,helicase loader,20201221,-
1458842,18506450,GBK2_47,GBK2_47,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
1458842,18506451,GBK2_48,GBK2_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506452,GBK2_49,GBK2_49,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1458842,18506453,GBK2_50,GBK2_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506454,GBK2_51,GBK2_51,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20201221,-
1458842,18506455,GBK2_52,GBK2_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506456,GBK2_53,GBK2_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506457,GBK2_54,GBK2_54,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20201221,-
1458842,18506458,GBK2_55,GBK2_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506459,GBK2_56,GBK2_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506460,GBK2_57,GBK2_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506461,GBK2_58,GBK2_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506462,GBK2_59,GBK2_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506463,GBK2_60,GBK2_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506464,GBK2_61,GBK2_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506465,GBK2_62,GBK2_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1458842,18506466,GBK2_1,GBK2_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1458842,18558825,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Geobacillus kaustophilus phage GBK2).,other,-,-,-,-,20200513,-
