#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2594798,55636404,GKQ38_RS00005,GKQ38_RS00005,GKQ38_00005,-,-,-,S-layer protein,protein-coding,-,-,-,S-layer protein,20210522,-
2594798,55636427,GKQ38_RS00120,GKQ38_RS00120,GKQ38_00120,-,-,-,GNAT family N-acetyltransferase,protein-coding,-,-,-,GNAT family N-acetyltransferase,20210522,-
2594798,55636428,GKQ38_RS00125,GKQ38_RS00125,GKQ38_00125,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636429,GKQ38_RS00130,GKQ38_RS00130,GKQ38_00130,-,-,-,30S ribosomal protein S10,protein-coding,-,-,-,30S ribosomal protein S10,20210522,-
2594798,55636430,GKQ38_RS00135,GKQ38_RS00135,GKQ38_00135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636431,GKQ38_RS00140,GKQ38_RS00140,GKQ38_00140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636432,tuf,GKQ38_RS00145,GKQ38_00145,-,-,-,translation elongation factor EF-1 subunit alpha,protein-coding,-,-,-,translation elongation factor EF-1 subunit alpha,20210522,-
2594798,55636433,GKQ38_RS00150,GKQ38_RS00150,GKQ38_00150,-,-,-,elongation factor EF-2,protein-coding,-,-,-,elongation factor EF-2,20210522,-
2594798,55636434,GKQ38_RS00155,GKQ38_RS00155,GKQ38_00155,-,-,-,HAD hydrolase-like protein,protein-coding,-,-,-,HAD hydrolase-like protein,20210522,-
2594798,55636435,GKQ38_RS00160,GKQ38_RS00160,GKQ38_00160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636436,GKQ38_RS00165,GKQ38_RS00165,GKQ38_00165,-,-,-,30S ribosomal protein S7,protein-coding,-,-,-,30S ribosomal protein S7,20210522,-
2594798,55636437,GKQ38_RS00170,GKQ38_RS00170,GKQ38_00170,-,-,-,30S ribosomal protein S12,protein-coding,-,-,-,30S ribosomal protein S12,20210522,-
2594798,55636438,GKQ38_RS00175,GKQ38_RS00175,GKQ38_00175,-,-,-,AarF/ABC1/UbiB kinase family protein,protein-coding,-,-,-,AarF/ABC1/UbiB kinase family protein,20210522,-
2594798,55636439,GKQ38_RS00180,GKQ38_RS00180,GKQ38_00180,-,-,-,GtrA family protein,protein-coding,-,-,-,GtrA family protein,20210522,-
2594798,55636440,GKQ38_RS00185,GKQ38_RS00185,GKQ38_00185,-,-,-,NusA-like transcription termination signal-binding factor,protein-coding,-,-,-,NusA-like transcription termination signal-binding factor,20210522,-
2594798,55636441,GKQ38_RS00190,GKQ38_RS00190,GKQ38_00190,-,-,-,DNA-directed RNA polymerase subunit A'',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A'',20210522,-
2594798,55636442,GKQ38_RS00195,GKQ38_RS00195,GKQ38_00195,-,-,-,DNA-directed RNA polymerase subunit A',protein-coding,-,-,-,DNA-directed RNA polymerase subunit A',20210522,-
2594798,55636443,rpoB,GKQ38_RS00200,GKQ38_00200,-,-,-,DNA-directed RNA polymerase subunit B,protein-coding,-,-,-,DNA-directed RNA polymerase subunit B,20210522,-
2594798,55636444,GKQ38_RS00205,GKQ38_RS00205,GKQ38_00205,-,-,-,DNA-directed RNA polymerase subunit B'',protein-coding,-,-,-,DNA-directed RNA polymerase subunit B'',20210522,-
2594798,55636445,GKQ38_RS00210,GKQ38_RS00210,GKQ38_00210,-,-,-,DNA-directed RNA polymerase subunit H,protein-coding,-,-,-,DNA-directed RNA polymerase subunit H,20210522,-
2594798,55636446,radC,GKQ38_RS00215,GKQ38_00215,-,-,-,DNA repair protein RadC,protein-coding,-,-,-,DNA repair protein RadC,20210522,-
2594798,55636447,nucS,GKQ38_RS00220,GKQ38_00220,-,-,-,endonuclease NucS,protein-coding,-,-,-,endonuclease NucS,20210522,-
2594798,55636448,GKQ38_RS00225,GKQ38_RS00225,GKQ38_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636449,GKQ38_RS00230,GKQ38_RS00230,GKQ38_00230,-,-,-,diphthine--ammonia ligase,protein-coding,-,-,-,diphthine--ammonia ligase,20210522,-
2594798,55636450,GKQ38_RS00235,GKQ38_RS00235,GKQ38_00235,-,-,-,DUF456 family protein,protein-coding,-,-,-,DUF456 family protein,20210522,-
2594798,55636451,GKQ38_RS00240,GKQ38_RS00240,GKQ38_00240,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636452,msrA,GKQ38_RS00245,GKQ38_00245,-,-,-,peptide-methionine (S)-S-oxide reductase MsrA,protein-coding,-,-,-,peptide-methionine (S)-S-oxide reductase MsrA,20210522,-
2594798,55636453,GKQ38_RS00250,GKQ38_RS00250,GKQ38_00250,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636454,GKQ38_RS00255,GKQ38_RS00255,GKQ38_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636455,GKQ38_RS00260,GKQ38_RS00260,GKQ38_00260,-,-,-,endonuclease V,protein-coding,-,-,-,endonuclease V,20210522,-
2594798,55636456,GKQ38_RS00265,GKQ38_RS00265,GKQ38_00265,-,-,-,RDD family protein,protein-coding,-,-,-,RDD family protein,20210522,-
2594798,55636457,GKQ38_RS00270,GKQ38_RS00270,GKQ38_00270,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636458,GKQ38_RS00275,GKQ38_RS00275,GKQ38_00275,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636459,GKQ38_RS00280,GKQ38_RS00280,GKQ38_00280,-,-,-,DHH family phosphoesterase,protein-coding,-,-,-,DHH family phosphoesterase,20210522,-
2594798,55636460,GKQ38_RS00285,GKQ38_RS00285,GKQ38_00285,-,-,-,30S ribosomal protein S15,protein-coding,-,-,-,30S ribosomal protein S15,20210522,-
2594798,55636461,GKQ38_RS00290,GKQ38_RS00290,GKQ38_00290,-,-,-,thermonuclease family protein,protein-coding,-,-,-,thermonuclease family protein,20210522,-
2594798,55636462,GKQ38_RS00295,GKQ38_RS00295,GKQ38_00295,-,-,-,Kae1-associated serine/threonine protein kinase,protein-coding,-,-,-,Kae1-associated serine/threonine protein kinase,20210522,-
2594798,55636463,GKQ38_RS00300,GKQ38_RS00300,GKQ38_00300,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20210522,-
2594798,55636464,GKQ38_RS00305,GKQ38_RS00305,GKQ38_00305,-,-,-,cation:proton antiporter,protein-coding,-,-,-,cation:proton antiporter,20210522,-
2594798,55636465,GKQ38_RS00310,GKQ38_RS00310,GKQ38_00310,-,-,-,threonylcarbamoyl-AMP synthase,protein-coding,-,-,-,threonylcarbamoyl-AMP synthase,20210522,-
2594798,55636466,tsaD,GKQ38_RS00315,GKQ38_00315,-,-,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,protein-coding,-,-,-,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,20210522,-
2594798,55636467,GKQ38_RS00320,GKQ38_RS00320,GKQ38_00320,-,-,-,30S ribosomal protein S27ae,protein-coding,-,-,-,30S ribosomal protein S27ae,20210522,-
2594798,55636468,GKQ38_RS00325,GKQ38_RS00325,GKQ38_00325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636469,GKQ38_RS00330,GKQ38_RS00330,GKQ38_00330,-,-,-,"DNA-directed RNA polymerase, subunit E''",protein-coding,-,-,-,"DNA-directed RNA polymerase, subunit E''",20210522,-
2594798,55636470,GKQ38_RS00335,GKQ38_RS00335,GKQ38_00335,-,-,-,DNA-directed RNA polymerase,protein-coding,-,-,-,DNA-directed RNA polymerase,20200624,-
2594798,55636471,GKQ38_RS00340,GKQ38_RS00340,GKQ38_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636472,GKQ38_RS00345,GKQ38_RS00345,GKQ38_00345,-,-,-,ATP-grasp domain-containing protein,protein-coding,-,-,-,ATP-grasp domain-containing protein,20210522,-
2594798,55636473,GKQ38_RS00350,GKQ38_RS00350,GKQ38_00350,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636474,GKQ38_RS00355,GKQ38_RS00355,GKQ38_00355,-,-,-,RimK family alpha-L-glutamate ligase,protein-coding,-,-,-,RimK family alpha-L-glutamate ligase,20210522,-
2594798,55636475,GKQ38_RS00360,GKQ38_RS00360,GKQ38_00360,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636476,GKQ38_RS00365,GKQ38_RS00365,GKQ38_00365,-,-,-,mechanosensitive ion channel,protein-coding,-,-,-,mechanosensitive ion channel,20210522,-
2594798,55636477,GKQ38_RS00370,GKQ38_RS00370,GKQ38_00370,-,-,-,translation initiation factor IF-2 subunit gamma,protein-coding,-,-,-,translation initiation factor IF-2 subunit gamma,20210522,-
2594798,55636478,GKQ38_RS00375,GKQ38_RS00375,GKQ38_00375,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636479,GKQ38_RS00380,GKQ38_RS00380,GKQ38_00380,-,-,-,30S ribosomal protein S6e,protein-coding,-,-,-,30S ribosomal protein S6e,20210522,-
2594798,55636480,GKQ38_RS00385,GKQ38_RS00385,GKQ38_00385,-,-,-,TrkH family potassium uptake protein,protein-coding,-,-,-,TrkH family potassium uptake protein,20210522,-
2594798,55636481,GKQ38_RS00390,GKQ38_RS00390,GKQ38_00390,-,-,-,NAD-binding protein,protein-coding,-,-,-,NAD-binding protein,20210522,-
2594798,55636482,GKQ38_RS00395,GKQ38_RS00395,GKQ38_00395,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636483,GKQ38_RS00400,GKQ38_RS00400,GKQ38_00400,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636484,GKQ38_RS00405,GKQ38_RS00405,GKQ38_00405,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636485,GKQ38_RS00410,GKQ38_RS00410,GKQ38_00410,-,-,-,isochorismatase family protein,protein-coding,-,-,-,isochorismatase family protein,20210522,-
2594798,55636486,GKQ38_RS00415,GKQ38_RS00415,GKQ38_00415,-,-,-,nicotinate phosphoribosyltransferase,protein-coding,-,-,-,nicotinate phosphoribosyltransferase,20210522,-
2594798,55636487,GKQ38_RS00420,GKQ38_RS00420,GKQ38_00420,-,-,-,deoxyribodipyrimidine photo-lyase,protein-coding,-,-,-,deoxyribodipyrimidine photo-lyase,20210522,-
2594798,55636488,GKQ38_RS00425,GKQ38_RS00425,GKQ38_00425,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210522,-
2594798,55636489,GKQ38_RS00430,GKQ38_RS00430,GKQ38_00430,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636490,GKQ38_RS00435,GKQ38_RS00435,GKQ38_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636491,GKQ38_RS00440,GKQ38_RS00440,GKQ38_00440,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210522,-
2594798,55636492,GKQ38_RS00445,GKQ38_RS00445,GKQ38_00445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636493,GKQ38_RS00450,GKQ38_RS00450,GKQ38_00450,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636494,GKQ38_RS00455,GKQ38_RS00455,GKQ38_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636495,GKQ38_RS00460,GKQ38_RS00460,GKQ38_00460,-,-,-,MFS transporter,protein-coding,-,-,-,MFS transporter,20210522,-
2594798,55636496,GKQ38_RS00465,GKQ38_RS00465,GKQ38_00465,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210522,-
2594798,55636497,GKQ38_RS00470,GKQ38_RS00470,GKQ38_00470,-,-,-,DUF58 domain-containing protein,protein-coding,-,-,-,DUF58 domain-containing protein,20210522,-
2594798,55636498,GKQ38_RS00475,GKQ38_RS00475,GKQ38_00475,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20210522,-
2594798,55636499,GKQ38_RS00480,GKQ38_RS00480,GKQ38_00480,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636500,GKQ38_RS00485,GKQ38_RS00485,GKQ38_00485,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636501,GKQ38_RS00490,GKQ38_RS00490,GKQ38_00490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636502,GKQ38_RS00495,GKQ38_RS00495,GKQ38_00495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636503,GKQ38_RS00500,GKQ38_RS00500,GKQ38_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636504,GKQ38_RS00505,GKQ38_RS00505,GKQ38_00505,-,-,-,nucleotidyltransferase domain-containing protein,protein-coding,-,-,-,nucleotidyltransferase domain-containing protein,20210522,-
2594798,55636505,GKQ38_RS00510,GKQ38_RS00510,GKQ38_00510,-,-,-,V-type ATP synthase subunit D,protein-coding,-,-,-,V-type ATP synthase subunit D,20210522,-
2594798,55636506,GKQ38_RS00515,GKQ38_RS00515,GKQ38_00515,-,-,-,V-type ATP synthase subunit B,protein-coding,-,-,-,V-type ATP synthase subunit B,20210522,-
2594798,55636507,GKQ38_RS00520,GKQ38_RS00520,GKQ38_00520,-,-,-,V-type ATP synthase subunit A,protein-coding,-,-,-,V-type ATP synthase subunit A,20210522,-
2594798,55636508,GKQ38_RS00525,GKQ38_RS00525,GKQ38_00525,-,-,-,V-type ATP synthase subunit F,protein-coding,-,-,-,V-type ATP synthase subunit F,20210522,-
2594798,55636509,GKQ38_RS00530,GKQ38_RS00530,GKQ38_00530,-,-,-,V-type ATPase subunit,protein-coding,-,-,-,V-type ATPase subunit,20210522,-
2594798,55636510,GKQ38_RS00535,GKQ38_RS00535,GKQ38_00535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636511,GKQ38_RS00540,GKQ38_RS00540,GKQ38_00540,-,-,-,V-type ATP synthase subunit K,protein-coding,-,-,-,V-type ATP synthase subunit K,20210522,-
2594798,55636512,GKQ38_RS00545,GKQ38_RS00545,GKQ38_00545,-,-,-,V-type ATP synthase subunit I,protein-coding,-,-,-,V-type ATP synthase subunit I,20210522,-
2594798,55636513,ahaH,GKQ38_RS00550,GKQ38_00550,-,-,-,ATP synthase archaeal subunit H,protein-coding,-,-,-,ATP synthase archaeal subunit H,20200624,-
2594798,55636514,GKQ38_RS00555,GKQ38_RS00555,GKQ38_00555,-,-,-,tRNA (guanine(10)-N(2))-dimethyltransferase,protein-coding,-,-,-,tRNA (guanine(10)-N(2))-dimethyltransferase,20210522,-
2594798,55636515,GKQ38_RS00560,GKQ38_RS00560,GKQ38_00560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636516,GKQ38_RS00565,GKQ38_RS00565,GKQ38_00565,-,-,-,transcription initiation factor IIB,protein-coding,-,-,-,transcription initiation factor IIB,20210522,-
2594798,55636517,GKQ38_RS00570,GKQ38_RS00570,GKQ38_00570,-,-,-,AI-2E family transporter,protein-coding,-,-,-,AI-2E family transporter,20210522,-
2594798,55636518,GKQ38_RS00575,GKQ38_RS00575,GKQ38_00575,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636519,GKQ38_RS00580,GKQ38_RS00580,GKQ38_00580,-,-,-,NFYB/HAP3 family transcription factor subunit,protein-coding,-,-,-,NFYB/HAP3 family transcription factor subunit,20210522,-
2594798,55636520,eif5A,GKQ38_RS00585,GKQ38_00585,-,-,-,translation initiation factor IF-5A,protein-coding,-,-,-,translation initiation factor IF-5A,20210522,-
2594798,55636521,cca,GKQ38_RS00590,GKQ38_00590,-,-,-,CCA tRNA nucleotidyltransferase,protein-coding,-,-,-,CCA tRNA nucleotidyltransferase,20210522,-
2594798,55636522,GKQ38_RS00595,GKQ38_RS00595,GKQ38_00595,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200624,-
2594798,55636523,GKQ38_RS00600,GKQ38_RS00600,GKQ38_00600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636524,GKQ38_RS00605,GKQ38_RS00605,GKQ38_00605,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636525,GKQ38_RS00610,GKQ38_RS00610,GKQ38_00610,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,protein-coding,-,-,-,tRNA uridine(34) 5-carboxymethylaminomethyl modification radical SAM/GNAT enzyme Elp3,20210522,-
2594798,55636526,sppA,GKQ38_RS00615,GKQ38_00615,-,-,-,signal peptide peptidase SppA,protein-coding,-,-,-,signal peptide peptidase SppA,20210522,-
2594798,55636527,GKQ38_RS00620,GKQ38_RS00620,GKQ38_00620,-,-,-,TrmB family transcriptional regulator,protein-coding,-,-,-,TrmB family transcriptional regulator,20210522,-
2594798,55636528,GKQ38_RS00625,GKQ38_RS00625,GKQ38_00625,-,-,-,nitroreductase family protein,protein-coding,-,-,-,nitroreductase family protein,20200624,-
2594798,55636529,GKQ38_RS00630,GKQ38_RS00630,GKQ38_00630,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20210522,-
2594798,55636530,GKQ38_RS00635,GKQ38_RS00635,GKQ38_00635,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636531,GKQ38_RS00640,GKQ38_RS00640,GKQ38_00640,-,-,-,50S ribosomal protein L15e,protein-coding,-,-,-,50S ribosomal protein L15e,20210522,-
2594798,55636532,GKQ38_RS00645,GKQ38_RS00645,GKQ38_00645,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636533,GKQ38_RS00650,GKQ38_RS00650,GKQ38_00650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636534,GKQ38_RS00655,GKQ38_RS00655,GKQ38_00655,-,-,-,TATA-box-binding protein,protein-coding,-,-,-,TATA-box-binding protein,20210522,-
2594798,55636535,GKQ38_RS00660,GKQ38_RS00660,GKQ38_00660,-,-,-,NUDIX domain-containing protein,protein-coding,-,-,-,NUDIX domain-containing protein,20210522,-
2594798,55636536,GKQ38_RS00665,GKQ38_RS00665,GKQ38_00665,-,-,-,4a-hydroxytetrahydrobiopterin dehydratase,protein-coding,-,-,-,4a-hydroxytetrahydrobiopterin dehydratase,20210522,-
2594798,55636537,GKQ38_RS00670,GKQ38_RS00670,GKQ38_00670,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210522,-
2594798,55636538,GKQ38_RS00675,GKQ38_RS00675,GKQ38_00675,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636539,GKQ38_RS00680,GKQ38_RS00680,GKQ38_00680,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636540,GKQ38_RS00685,GKQ38_RS00685,GKQ38_00685,-,-,-,translation initiation factor IF-2 subunit beta,protein-coding,-,-,-,translation initiation factor IF-2 subunit beta,20210522,-
2594798,55636541,GKQ38_RS00690,GKQ38_RS00690,GKQ38_00690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636542,GKQ38_RS00695,GKQ38_RS00695,GKQ38_00695,-,-,-,endonuclease III,protein-coding,-,-,-,endonuclease III,20210522,-
2594798,55636543,GKQ38_RS00700,GKQ38_RS00700,GKQ38_00700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636544,GKQ38_RS00705,GKQ38_RS00705,GKQ38_00705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636545,GKQ38_RS00710,GKQ38_RS00710,GKQ38_00710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210522,-
2594798,55636546,GKQ38_RS00715,GKQ38_RS00715,GKQ38_00715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636547,GKQ38_RS00720,GKQ38_RS00720,GKQ38_00720,-,-,-,50S ribosome-binding GTPase,protein-coding,-,-,-,50S ribosome-binding GTPase,20210522,-
2594798,55636548,GKQ38_RS00725,GKQ38_RS00725,GKQ38_00725,-,-,-,30S ribosomal protein S8e,protein-coding,-,-,-,30S ribosomal protein S8e,20210522,-
2594798,55636549,GKQ38_RS00730,GKQ38_RS00730,GKQ38_00730,-,-,-,small nuclear ribonucleoprotein,protein-coding,-,-,-,small nuclear ribonucleoprotein,20210522,-
2594798,55636550,GKQ38_RS00735,GKQ38_RS00735,GKQ38_00735,-,-,-,50S ribosomal protein L37e,protein-coding,-,-,-,50S ribosomal protein L37e,20210522,-
2594798,55636551,GKQ38_RS00740,GKQ38_RS00740,GKQ38_00740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636552,GKQ38_RS00745,GKQ38_RS00745,GKQ38_00745,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636553,GKQ38_RS00750,GKQ38_RS00750,GKQ38_00750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636554,GKQ38_RS00755,GKQ38_RS00755,GKQ38_00755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636555,GKQ38_RS00760,GKQ38_RS00760,GKQ38_00760,-,-,-,-,tRNA,-,-,-,-,20200624,-
2594798,55636556,GKQ38_RS00765,GKQ38_RS00765,GKQ38_00765,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20210522,-
2594798,55636557,GKQ38_RS00770,GKQ38_RS00770,GKQ38_00770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636558,GKQ38_RS00775,GKQ38_RS00775,GKQ38_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636559,GKQ38_RS00780,GKQ38_RS00780,GKQ38_00780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636560,GKQ38_RS00785,GKQ38_RS00785,GKQ38_00785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636561,GKQ38_RS00790,GKQ38_RS00790,GKQ38_00790,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636562,GKQ38_RS00795,GKQ38_RS00795,GKQ38_00795,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
2594798,55636563,GKQ38_RS00800,GKQ38_RS00800,GKQ38_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200624,-
