#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2593333,55813318,2,HYP95_gp02,SEA_VIBAKI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200829,-
2593333,55813343,27,HYP95_gp27,SEA_VIBAKI_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2593333,55813344,28,HYP95_gp28,SEA_VIBAKI_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200704,-
2593333,55813345,29,HYP95_gp29,SEA_VIBAKI_29,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20200704,-
2593333,55813346,30,HYP95_gp30,SEA_VIBAKI_30,-,-,-,baseplate J protein,protein-coding,-,-,-,baseplate J protein,20210424,-
2593333,55813347,31,HYP95_gp31,SEA_VIBAKI_31,-,-,-,hydrolase,protein-coding,-,-,-,hydrolase,20200704,-
2593333,55813348,32,HYP95_gp32,SEA_VIBAKI_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813349,33,HYP95_gp33,SEA_VIBAKI_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813350,34,HYP95_gp34,SEA_VIBAKI_34,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210424,-
2593333,55813351,35,HYP95_gp35,SEA_VIBAKI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813352,36,HYP95_gp36,SEA_VIBAKI_36,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2593333,55813353,37,HYP95_gp37,SEA_VIBAKI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813354,38,HYP95_gp38,SEA_VIBAKI_38,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200829,-
2593333,55813355,39,HYP95_gp39,SEA_VIBAKI_39,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210424,-
2593333,55813356,40,HYP95_gp40,SEA_VIBAKI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813357,42,HYP95_gp42,SEA_VIBAKI_42,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2593333,55813358,43,HYP95_gp43,SEA_VIBAKI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813359,44,HYP95_gp44,SEA_VIBAKI_44,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2593333,55813360,45,HYP95_gp45,SEA_VIBAKI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813361,46,HYP95_gp46,SEA_VIBAKI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813362,47,HYP95_gp47,SEA_VIBAKI_47,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200704,-
2593333,55813363,48,HYP95_gp48,SEA_VIBAKI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813364,49,HYP95_gp49,SEA_VIBAKI_49,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2593333,55813365,50,HYP95_gp50,SEA_VIBAKI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813366,51,HYP95_gp51,SEA_VIBAKI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813367,52,HYP95_gp52,SEA_VIBAKI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813368,53,HYP95_gp53,SEA_VIBAKI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813369,54,HYP95_gp54,SEA_VIBAKI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813370,55,HYP95_gp55,SEA_VIBAKI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813371,56,HYP95_gp56,SEA_VIBAKI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813372,57,HYP95_gp57,SEA_VIBAKI_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813373,58,HYP95_gp58,SEA_VIBAKI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813374,59,HYP95_gp59,SEA_VIBAKI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813375,60,HYP95_gp60,SEA_VIBAKI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813376,61,HYP95_gp61,SEA_VIBAKI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813377,62,HYP95_gp62,SEA_VIBAKI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813378,63,HYP95_gp63,SEA_VIBAKI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813379,64,HYP95_gp64,SEA_VIBAKI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813380,65,HYP95_gp65,SEA_VIBAKI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813381,66,HYP95_gp66,SEA_VIBAKI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813382,67,HYP95_gp67,SEA_VIBAKI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813383,68,HYP95_gp68,SEA_VIBAKI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813384,69,HYP95_gp69,SEA_VIBAKI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813385,70,HYP95_gp70,SEA_VIBAKI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813386,71,HYP95_gp71,SEA_VIBAKI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813387,72,HYP95_gp72,SEA_VIBAKI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813388,73,HYP95_gp73,SEA_VIBAKI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813389,74,HYP95_gp74,SEA_VIBAKI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813390,75,HYP95_gp75,SEA_VIBAKI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813391,76,HYP95_gp76,SEA_VIBAKI_76,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2593333,55813392,77,HYP95_gp77,SEA_VIBAKI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813393,78,HYP95_gp78,SEA_VIBAKI_78,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2593333,55813394,41,HYP95_gp41,SEA_VIBAKI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2593333,55813395,1,HYP95_gp01,SEA_VIBAKI_1,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200704,-
2593333,55863588,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200706,-
