#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1897497,40072185,FDH05_gp02,FDH05_gp02,SEA_TORTELLINI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1897497,40072196,FDH05_gp13,FDH05_gp13,SEA_TORTELLINI_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
1897497,40072197,FDH05_gp14,FDH05_gp14,SEA_TORTELLINI_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1897497,40072198,FDH05_gp16,FDH05_gp16,SEA_TORTELLINI_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1897497,40072199,FDH05_gp15,FDH05_gp15,SEA_TORTELLINI_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1897497,40072200,FDH05_gp17,FDH05_gp17,SEA_TORTELLINI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897497,40072201,FDH05_gp18,FDH05_gp18,SEA_TORTELLINI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897497,40072202,FDH05_gp19,FDH05_gp19,SEA_TORTELLINI_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897497,40072203,FDH05_gp20,FDH05_gp20,SEA_TORTELLINI_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897497,40072204,FDH05_gp21,FDH05_gp21,SEA_TORTELLINI_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897497,40072205,FDH05_gp22,FDH05_gp22,SEA_TORTELLINI_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1897497,40072206,FDH05_gp23,FDH05_gp23,SEA_TORTELLINI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072207,FDH05_gp24,FDH05_gp24,SEA_TORTELLINI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072208,FDH05_gp25,FDH05_gp25,SEA_TORTELLINI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072209,FDH05_gp26,FDH05_gp26,SEA_TORTELLINI_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1897497,40072210,FDH05_gp27,FDH05_gp27,SEA_TORTELLINI_27,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1897497,40072211,FDH05_gp28,FDH05_gp28,SEA_TORTELLINI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072212,FDH05_gp29,FDH05_gp29,SEA_TORTELLINI_29,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1897497,40072213,FDH05_gp30,FDH05_gp30,SEA_TORTELLINI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072214,FDH05_gp31,FDH05_gp31,SEA_TORTELLINI_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072215,FDH05_gp32,FDH05_gp32,SEA_TORTELLINI_32,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1897497,40072216,FDH05_gp33,FDH05_gp33,SEA_TORTELLINI_33,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210417,-
1897497,40072217,FDH05_gp34,FDH05_gp34,SEA_TORTELLINI_34,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1897497,40072218,FDH05_gp35,FDH05_gp35,SEA_TORTELLINI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072219,FDH05_gp36,FDH05_gp36,SEA_TORTELLINI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072220,FDH05_gp37,FDH05_gp37,SEA_TORTELLINI_37,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1897497,40072221,FDH05_gp38,FDH05_gp38,SEA_TORTELLINI_38,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201221,-
1897497,40072222,FDH05_gp39,FDH05_gp39,SEA_TORTELLINI_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072223,FDH05_gp40,FDH05_gp40,SEA_TORTELLINI_40,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1897497,40072224,FDH05_gp41,FDH05_gp41,SEA_TORTELLINI_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1897497,40072225,FDH05_gp42,FDH05_gp42,SEA_TORTELLINI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072226,FDH05_gp43,FDH05_gp43,SEA_TORTELLINI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072227,FDH05_gp44,FDH05_gp44,SEA_TORTELLINI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072228,FDH05_gp45,FDH05_gp45,SEA_TORTELLINI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072229,FDH05_gp46,FDH05_gp46,SEA_TORTELLINI_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072230,FDH05_gp47,FDH05_gp47,SEA_TORTELLINI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072231,FDH05_gp48,FDH05_gp48,SEA_TORTELLINI_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072232,FDH05_gp49,FDH05_gp49,SEA_TORTELLINI_49,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20201221,-
1897497,40072233,FDH05_gp50,FDH05_gp50,SEA_TORTELLINI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1897497,40072234,FDH05_gp51,FDH05_gp51,SEA_TORTELLINI_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072235,FDH05_gp52,FDH05_gp52,SEA_TORTELLINI_52,-,-,-,recombination directionality factor,protein-coding,-,-,-,recombination directionality factor,20201221,-
1897497,40072236,FDH05_gp53,FDH05_gp53,SEA_TORTELLINI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072237,FDH05_gp54,FDH05_gp54,SEA_TORTELLINI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072238,FDH05_gp55,FDH05_gp55,SEA_TORTELLINI_55,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1897497,40072239,FDH05_gp56,FDH05_gp56,SEA_TORTELLINI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072240,FDH05_gp57,FDH05_gp57,SEA_TORTELLINI_57,-,-,-,DNA polymerase III sliding clamp beta,protein-coding,-,-,-,DNA polymerase III sliding clamp beta,20201221,-
1897497,40072241,FDH05_gp58,FDH05_gp58,SEA_TORTELLINI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072242,FDH05_gp59,FDH05_gp59,SEA_TORTELLINI_59,-,-,-,resolvase,protein-coding,-,-,-,resolvase,20201221,-
1897497,40072243,FDH05_gp60,FDH05_gp60,SEA_TORTELLINI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072244,FDH05_gp61,FDH05_gp61,SEA_TORTELLINI_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1897497,40072245,FDH05_gp62,FDH05_gp62,SEA_TORTELLINI_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072246,FDH05_gp63,FDH05_gp63,SEA_TORTELLINI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072247,FDH05_gp64,FDH05_gp64,SEA_TORTELLINI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072248,FDH05_gp65,FDH05_gp65,SEA_TORTELLINI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072249,FDH05_gp66,FDH05_gp66,SEA_TORTELLINI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072250,FDH05_gp67,FDH05_gp67,SEA_TORTELLINI_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1897497,40072251,FDH05_gp68,FDH05_gp68,SEA_TORTELLINI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072252,FDH05_gp69,FDH05_gp69,SEA_TORTELLINI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072253,FDH05_gp70,FDH05_gp70,SEA_TORTELLINI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072254,FDH05_gp71,FDH05_gp71,SEA_TORTELLINI_71,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201221,-
1897497,40072255,FDH05_gp72,FDH05_gp72,SEA_TORTELLINI_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072256,FDH05_gp73,FDH05_gp73,SEA_TORTELLINI_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072257,FDH05_gp74,FDH05_gp74,SEA_TORTELLINI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1897497,40072258,FDH05_gp75,FDH05_gp75,SEA_TORTELLINI_75,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1897497,40072259,FDH05_gp76,FDH05_gp76,SEA_TORTELLINI_76,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20201221,-
1897497,40072260,FDH05_gp01,FDH05_gp01,SEA_TORTELLINI_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1897497,40120335,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
