#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647470,28799946,BH788_gp02,BH788_gp02,GMA1_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20200629,-
1647470,28799989,BH788_gp45,BH788_gp45,GMA1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799990,BH788_gp46,BH788_gp46,GMA1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799991,BH788_gp47,BH788_gp47,GMA1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1647470,28799992,BH788_gp48,BH788_gp48,GMA1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799993,BH788_gp49,BH788_gp49,GMA1_49,-,-,-,putative WhiB family transcription factor,protein-coding,-,-,-,putative WhiB family transcription factor,20200629,-
1647470,28799994,BH788_gp50,BH788_gp50,GMA1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799995,BH788_gp51,BH788_gp51,GMA1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799996,BH788_gp52,BH788_gp52,GMA1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799997,BH788_gp53,BH788_gp53,GMA1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799998,BH788_gp54,BH788_gp54,GMA1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28799999,BH788_gp55,BH788_gp55,GMA1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800000,BH788_gp56,BH788_gp56,GMA1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800001,BH788_gp57,BH788_gp57,GMA1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800002,BH788_gp58,BH788_gp58,GMA1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800003,BH788_gp59,BH788_gp59,GMA1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800004,BH788_gp60,BH788_gp60,GMA1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800005,BH788_gp61,BH788_gp61,GMA1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800006,BH788_gp62,BH788_gp62,GMA1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800007,BH788_gp63,BH788_gp63,GMA1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800008,BH788_gp64,BH788_gp64,GMA1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800009,BH788_gp65,BH788_gp65,GMA1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800010,BH788_gp66,BH788_gp66,GMA1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800011,BH788_gp67,BH788_gp67,GMA1_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800012,BH788_gp68,BH788_gp68,GMA1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647470,28800013,BH788_gp01,BH788_gp01,GMA1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
