#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
134537,58747553,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Burkholderia fungorum.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20200824,-
134537,61177932,A8H39_RS00200,A8H39_RS00200,A8H39_00200,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177933,A8H39_RS00205,A8H39_RS00205,A8H39_00205,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177934,A8H39_RS00210,A8H39_RS00210,A8H39_00210,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177935,A8H39_RS00215,A8H39_RS00215,A8H39_00215,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177936,A8H39_RS00220,A8H39_RS00220,A8H39_00220,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177937,A8H39_RS00225,A8H39_RS00225,A8H39_00225,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177938,A8H39_RS00235,A8H39_RS00235,A8H39_00235,-,-,-,flagellar transcriptional regulator FlhD,protein-coding,-,-,-,flagellar transcriptional regulator FlhD,20201228,-
134537,61177939,rnc,A8H39_RS00240,A8H39_00240,-,-,-,ribonuclease III,protein-coding,-,-,-,ribonuclease III,20201228,-
134537,61177940,A8H39_RS00245,A8H39_RS00245,A8H39_00245,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177941,A8H39_RS00250,A8H39_RS00250,A8H39_00250,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177942,A8H39_RS00255,A8H39_RS00255,A8H39_00255,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177943,A8H39_RS00260,A8H39_RS00260,A8H39_00260,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177944,A8H39_RS00265,A8H39_RS00265,A8H39_00265,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177945,A8H39_RS00270,A8H39_RS00270,A8H39_00270,-,-,-,sigma-70 family RNA polymerase sigma factor,protein-coding,-,-,-,sigma-70 family RNA polymerase sigma factor,20201228,-
134537,61177946,A8H39_RS00275,A8H39_RS00275,A8H39_00275,-,-,-,HU family DNA-binding protein,protein-coding,-,-,-,HU family DNA-binding protein,20201228,-
134537,61177947,A8H39_RS00280,A8H39_RS00280,A8H39_00280,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177948,A8H39_RS00285,A8H39_RS00285,A8H39_00285,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177949,A8H39_RS00290,A8H39_RS00290,A8H39_00290,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177950,A8H39_RS00295,A8H39_RS00295,A8H39_00295,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177951,A8H39_RS00300,A8H39_RS00300,A8H39_00300,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177952,A8H39_RS00305,A8H39_RS00305,A8H39_00305,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177953,A8H39_RS00310,A8H39_RS00310,A8H39_00310,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177954,A8H39_RS00315,A8H39_RS00315,A8H39_00315,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177955,A8H39_RS00320,A8H39_RS00320,A8H39_00320,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177956,A8H39_RS00325,A8H39_RS00325,A8H39_00325,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177957,A8H39_RS00330,A8H39_RS00330,A8H39_00330,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177958,A8H39_RS00335,A8H39_RS00335,A8H39_00335,-,-,-,thioredoxin domain-containing protein,protein-coding,-,-,-,thioredoxin domain-containing protein,20210116,-
134537,61177959,A8H39_RS00340,A8H39_RS00340,A8H39_00340,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177960,A8H39_RS00345,A8H39_RS00345,A8H39_00345,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201228,-
134537,61177961,A8H39_RS00355,A8H39_RS00355,A8H39_00355,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177962,A8H39_RS00360,A8H39_RS00360,A8H39_00360,-,-,-,DUF932 domain-containing protein,protein-coding,-,-,-,DUF932 domain-containing protein,20201228,-
134537,61177963,A8H39_RS00365,A8H39_RS00365,A8H39_00365,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177964,A8H39_RS00370,A8H39_RS00370,A8H39_00370,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177965,A8H39_RS00380,A8H39_RS00380,A8H39_00380,-,-,-,class I SAM-dependent methyltransferase,protein-coding,-,-,-,class I SAM-dependent methyltransferase,20201228,-
134537,61177966,A8H39_RS00385,A8H39_RS00385,A8H39_00385,-,-,-,diguanylate cyclase,protein-coding,-,-,-,diguanylate cyclase,20210129,-
134537,61177967,A8H39_RS00390,A8H39_RS00390,A8H39_00390,-,-,-,EAL domain-containing protein,protein-coding,-,-,-,EAL domain-containing protein,20201228,-
134537,61177968,A8H39_RS00395,A8H39_RS00395,A8H39_00395,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201228,-
134537,61177969,A8H39_RS00400,A8H39_RS00400,A8H39_00400,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177970,A8H39_RS00405,A8H39_RS00405,A8H39_00405,-,-,-,polymer-forming cytoskeletal protein,protein-coding,-,-,-,polymer-forming cytoskeletal protein,20201228,-
134537,61177971,A8H39_RS00410,A8H39_RS00410,A8H39_00410,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177972,A8H39_RS00415,A8H39_RS00415,A8H39_00415,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61177973,A8H39_RS00420,A8H39_RS00420,A8H39_00420,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177974,A8H39_RS00425,A8H39_RS00425,A8H39_00425,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177975,A8H39_RS00430,A8H39_RS00430,A8H39_00430,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20201228,-
134537,61177976,A8H39_RS00435,A8H39_RS00435,A8H39_00435,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61177977,A8H39_RS00440,A8H39_RS00440,A8H39_00440,-,-,-,ProQ/FinO family protein,protein-coding,-,-,-,ProQ/FinO family protein,20201228,-
134537,61177978,A8H39_RS00445,A8H39_RS00445,A8H39_00445,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177979,A8H39_RS00450,A8H39_RS00450,A8H39_00450,-,-,-,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,protein-coding,-,-,-,adenosylcobalamin-dependent ribonucleoside-diphosphate reductase,20201228,-
134537,61177980,A8H39_RS00455,A8H39_RS00455,A8H39_00455,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177981,A8H39_RS00460,A8H39_RS00460,A8H39_00460,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177982,A8H39_RS00465,A8H39_RS00465,A8H39_00465,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177983,A8H39_RS00470,A8H39_RS00470,A8H39_00470,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177984,A8H39_RS00475,A8H39_RS00475,A8H39_00475,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177985,A8H39_RS00490,A8H39_RS00490,A8H39_00490,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177986,A8H39_RS00495,A8H39_RS00495,A8H39_00495,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177987,A8H39_RS00500,A8H39_RS00500,A8H39_00500,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177988,A8H39_RS00505,A8H39_RS00505,A8H39_00505,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177989,A8H39_RS00510,A8H39_RS00510,A8H39_00510,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177990,A8H39_RS00515,A8H39_RS00515,A8H39_00515,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177991,A8H39_RS00520,A8H39_RS00520,A8H39_00520,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177992,A8H39_RS00525,A8H39_RS00525,A8H39_00525,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177993,A8H39_RS00530,A8H39_RS00530,A8H39_00530,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61177994,A8H39_RS00535,A8H39_RS00535,A8H39_00535,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61177995,ssb,A8H39_RS00540,A8H39_00540,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201228,-
134537,61177996,A8H39_RS00545,A8H39_RS00545,A8H39_00545,-,-,-,toprim domain-containing protein,protein-coding,-,-,-,toprim domain-containing protein,20201228,-
134537,61177997,A8H39_RS00555,A8H39_RS00555,A8H39_00555,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20210313,-
134537,61177998,A8H39_RS00560,A8H39_RS00560,A8H39_00560,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61177999,A8H39_RS00565,A8H39_RS00565,A8H39_00565,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178000,A8H39_RS00570,A8H39_RS00570,A8H39_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178001,A8H39_RS00575,A8H39_RS00575,A8H39_00575,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20210129,-
134537,61178002,A8H39_RS00580,A8H39_RS00580,A8H39_00580,-,-,-,tyrosine-type recombinase/integrase,protein-coding,-,-,-,tyrosine-type recombinase/integrase,20201226,-
134537,61178003,A8H39_RS00585,A8H39_RS00585,A8H39_00585,-,-,-,aspartate aminotransferase family protein,protein-coding,-,-,-,aspartate aminotransferase family protein,20201228,-
134537,61178004,A8H39_RS00590,A8H39_RS00590,A8H39_00590,-,-,-,MOSC domain-containing protein,protein-coding,-,-,-,MOSC domain-containing protein,20201228,-
134537,61178005,A8H39_RS00595,A8H39_RS00595,A8H39_00595,-,-,-,cupin domain-containing protein,protein-coding,-,-,-,cupin domain-containing protein,20201228,-
134537,61178006,A8H39_RS00600,A8H39_RS00600,A8H39_00600,-,-,-,methionine--tRNA ligase,protein-coding,-,-,-,methionine--tRNA ligase,20201228,-
134537,61178007,A8H39_RS00605,A8H39_RS00605,A8H39_00605,-,-,-,FAD-binding oxidoreductase,protein-coding,-,-,-,FAD-binding oxidoreductase,20201228,-
134537,61178008,A8H39_RS00610,A8H39_RS00610,A8H39_00610,-,-,-,ABC transporter substrate-binding protein,protein-coding,-,-,-,ABC transporter substrate-binding protein,20201228,-
134537,61178009,A8H39_RS00615,A8H39_RS00615,A8H39_00615,-,-,-,SidA/IucD/PvdA family monooxygenase,protein-coding,-,-,-,SidA/IucD/PvdA family monooxygenase,20201228,-
134537,61178010,sbnA,A8H39_RS00620,A8H39_00620,-,-,-,"2,3-diaminopropionate biosynthesis protein SbnA",protein-coding,-,-,-,"2,3-diaminopropionate biosynthesis protein SbnA",20201228,-
134537,61178011,A8H39_RS00625,A8H39_RS00625,A8H39_00625,-,-,-,FAD/NAD(P)-binding protein,protein-coding,-,-,-,FAD/NAD(P)-binding protein,20201228,-
134537,61178012,A8H39_RS00630,A8H39_RS00630,A8H39_00630,-,-,-,iron-containing redox enzyme family protein,protein-coding,-,-,-,iron-containing redox enzyme family protein,20201228,-
134537,61178013,A8H39_RS00635,A8H39_RS00635,A8H39_00635,-,-,-,carbamoyltransferase,protein-coding,-,-,-,carbamoyltransferase,20201228,-
134537,61178014,A8H39_RS00640,A8H39_RS00640,A8H39_00640,-,-,-,lipase,protein-coding,-,-,-,lipase,20201226,-
134537,61178015,A8H39_RS00645,A8H39_RS00645,A8H39_00645,-,-,-,glutathione S-transferase family protein,protein-coding,-,-,-,glutathione S-transferase family protein,20201228,-
134537,61178016,A8H39_RS00655,A8H39_RS00655,A8H39_00655,-,-,-,succinylglutamate desuccinylase/aspartoacylase family protein,protein-coding,-,-,-,succinylglutamate desuccinylase/aspartoacylase family protein,20210313,-
134537,61178017,A8H39_RS00660,A8H39_RS00660,A8H39_00660,-,-,-,acyltransferase,protein-coding,-,-,-,acyltransferase,20201228,-
134537,61178018,bla,A8H39_RS00665,A8H39_00665,-,-,-,class A beta-lactamase,protein-coding,-,-,-,class A beta-lactamase,20201228,-
134537,61178019,A8H39_RS00670,A8H39_RS00670,A8H39_00670,-,-,-,M48 family metalloprotease,protein-coding,-,-,-,M48 family metalloprotease,20201228,-
134537,61178020,A8H39_RS00675,A8H39_RS00675,A8H39_00675,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20201228,-
134537,61178021,A8H39_RS00680,A8H39_RS00680,A8H39_00680,-,-,-,DNA-3-methyladenine glycosylase 2 family protein,protein-coding,-,-,-,DNA-3-methyladenine glycosylase 2 family protein,20201228,-
134537,61178022,A8H39_RS00685,A8H39_RS00685,A8H39_00685,-,-,-,DMT family transporter,protein-coding,-,-,-,DMT family transporter,20201228,-
134537,61178023,A8H39_RS00690,A8H39_RS00690,A8H39_00690,-,-,-,methylated-DNA--[protein]-cysteine S-methyltransferase,protein-coding,-,-,-,methylated-DNA--[protein]-cysteine S-methyltransferase,20201226,-
134537,61178024,A8H39_RS00695,A8H39_RS00695,A8H39_00695,-,-,-,LysR family transcriptional regulator,protein-coding,-,-,-,LysR family transcriptional regulator,20201228,-
134537,61178025,A8H39_RS00700,A8H39_RS00700,A8H39_00700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178026,A8H39_RS00705,A8H39_RS00705,A8H39_00705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178027,A8H39_RS00710,A8H39_RS00710,A8H39_00710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178028,A8H39_RS00715,A8H39_RS00715,A8H39_00715,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178029,A8H39_RS00720,A8H39_RS00720,A8H39_00720,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178030,A8H39_RS00725,A8H39_RS00725,A8H39_00725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178031,A8H39_RS00735,A8H39_RS00735,A8H39_00735,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178032,A8H39_RS00740,A8H39_RS00740,A8H39_00740,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178033,A8H39_RS00745,A8H39_RS00745,A8H39_00745,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178034,A8H39_RS00750,A8H39_RS00750,A8H39_00750,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178035,A8H39_RS00755,A8H39_RS00755,A8H39_00755,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178036,A8H39_RS00760,A8H39_RS00760,A8H39_00760,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178037,A8H39_RS00765,A8H39_RS00765,A8H39_00765,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178038,A8H39_RS00775,A8H39_RS00775,A8H39_00775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178039,A8H39_RS00780,A8H39_RS00780,A8H39_00780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178040,A8H39_RS00785,A8H39_RS00785,A8H39_00785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178041,A8H39_RS00790,A8H39_RS00790,A8H39_00790,-,-,-,toxic anion resistance protein,protein-coding,-,-,-,toxic anion resistance protein,20201228,-
134537,61178042,A8H39_RS00795,A8H39_RS00795,A8H39_00795,-,-,-,toxic anion resistance protein,protein-coding,-,-,-,toxic anion resistance protein,20201226,-
134537,61178043,A8H39_RS00800,A8H39_RS00800,A8H39_00800,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178044,A8H39_RS00805,A8H39_RS00805,A8H39_00805,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178045,A8H39_RS00810,A8H39_RS00810,A8H39_00810,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178046,A8H39_RS00815,A8H39_RS00815,A8H39_00815,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,protein-coding,-,-,-,1-acyl-sn-glycerol-3-phosphate acyltransferase,20201228,-
134537,61178047,dsbG,A8H39_RS00820,A8H39_00820,-,-,-,thiol:disulfide interchange protein DsbG,protein-coding,-,-,-,thiol:disulfide interchange protein DsbG,20201228,-
134537,61178048,A8H39_RS00825,A8H39_RS00825,A8H39_00825,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178049,A8H39_RS00830,A8H39_RS00830,A8H39_00830,-,-,-,ParB/RepB/Spo0J family partition protein,protein-coding,-,-,-,ParB/RepB/Spo0J family partition protein,20201228,-
134537,61178050,A8H39_RS00835,A8H39_RS00835,A8H39_00835,-,-,-,ParA family protein,protein-coding,-,-,-,ParA family protein,20201228,-
134537,61178051,A8H39_RS00840,A8H39_RS00840,A8H39_00840,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178052,A8H39_RS00845,A8H39_RS00845,A8H39_00845,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20201226,-
134537,61178053,A8H39_RS00850,A8H39_RS00850,A8H39_00850,-,-,-,TraI domain-containing protein,protein-coding,-,-,-,TraI domain-containing protein,20201228,-
134537,61178054,traD,A8H39_RS00855,A8H39_00855,-,-,-,conjugative transfer system coupling protein TraD,protein-coding,-,-,-,conjugative transfer system coupling protein TraD,20210116,-
134537,61178055,A8H39_RS00860,A8H39_RS00860,A8H39_00860,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178056,A8H39_RS00865,A8H39_RS00865,A8H39_00865,-,-,-,DUF4400 domain-containing protein,protein-coding,-,-,-,DUF4400 domain-containing protein,20201228,-
134537,61178057,A8H39_RS00870,A8H39_RS00870,A8H39_00870,-,-,-,CpaF family protein,protein-coding,-,-,-,CpaF family protein,20210424,-
134537,61178058,A8H39_RS00875,A8H39_RS00875,A8H39_00875,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178059,A8H39_RS00880,A8H39_RS00880,A8H39_00880,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178060,A8H39_RS00885,A8H39_RS00885,A8H39_00885,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178061,A8H39_RS00890,A8H39_RS00890,A8H39_00890,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201228,-
134537,61178062,A8H39_RS00895,A8H39_RS00895,A8H39_00895,-,-,-,type IV secretion system protein,protein-coding,-,-,-,type IV secretion system protein,20201228,-
134537,61178063,A8H39_RS00900,A8H39_RS00900,A8H39_00900,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201226,-
134537,61178064,A8H39_RS00905,A8H39_RS00905,A8H39_00905,-,-,-,type IV secretion system protein,protein-coding,-,-,-,type IV secretion system protein,20210313,-
