#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2023953,60334133,I5H91_gp002,I5H91_gp002,SEA_SPOONBILL_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2023953,60334147,I5H91_gp016,I5H91_gp016,SEA_SPOONBILL_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2023953,60334148,I5H91_gp017,I5H91_gp017,SEA_SPOONBILL_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2023953,60334149,I5H91_gp018,I5H91_gp018,SEA_SPOONBILL_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2023953,60334150,I5H91_gp019,I5H91_gp019,SEA_SPOONBILL_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2023953,60334151,I5H91_gp020,I5H91_gp020,SEA_SPOONBILL_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2023953,60334152,I5H91_gp021,I5H91_gp021,SEA_SPOONBILL_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2023953,60334153,I5H91_gp022,I5H91_gp022,SEA_SPOONBILL_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334154,I5H91_gp023,I5H91_gp023,SEA_SPOONBILL_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2023953,60334155,I5H91_gp024,I5H91_gp024,SEA_SPOONBILL_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2023953,60334156,I5H91_gp025,I5H91_gp025,SEA_SPOONBILL_25,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2023953,60334157,I5H91_gp026,I5H91_gp026,SEA_SPOONBILL_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334158,I5H91_gp027,I5H91_gp027,SEA_SPOONBILL_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334159,I5H91_gp028,I5H91_gp028,SEA_SPOONBILL_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334160,I5H91_gp029,I5H91_gp029,SEA_SPOONBILL_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334161,I5H91_gp030,I5H91_gp030,SEA_SPOONBILL_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2023953,60334162,I5H91_gp031,I5H91_gp031,SEA_SPOONBILL_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2023953,60334163,I5H91_gp032,I5H91_gp032,SEA_SPOONBILL_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2023953,60334164,I5H91_gp033,I5H91_gp033,SEA_SPOONBILL_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2023953,60334165,I5H91_gp034,I5H91_gp034,SEA_SPOONBILL_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334166,I5H91_gp035,I5H91_gp035,SEA_SPOONBILL_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2023953,60334167,I5H91_gp036,I5H91_gp036,SEA_SPOONBILL_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334168,I5H91_gp037,I5H91_gp037,SEA_SPOONBILL_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334169,I5H91_gp038,I5H91_gp038,SEA_SPOONBILL_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334170,I5H91_gp039,I5H91_gp039,SEA_SPOONBILL_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334171,I5H91_gp040,I5H91_gp040,SEA_SPOONBILL_40,-,-,-,excise,protein-coding,-,-,-,excise,20210123,-
2023953,60334172,I5H91_gp041,I5H91_gp041,SEA_SPOONBILL_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334173,I5H91_gp042,I5H91_gp042,SEA_SPOONBILL_42,-,-,-,integrase,protein-coding,-,-,-,integrase,20210129,-
2023953,60334174,I5H91_gp043,I5H91_gp043,SEA_SPOONBILL_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334175,I5H91_gp044,I5H91_gp044,SEA_SPOONBILL_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334176,I5H91_gp045,I5H91_gp045,SEA_SPOONBILL_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334177,I5H91_gp046,I5H91_gp046,SEA_SPOONBILL_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2023953,60334178,I5H91_gp047,I5H91_gp047,SEA_SPOONBILL_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334179,I5H91_gp048,I5H91_gp048,SEA_SPOONBILL_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2023953,60334180,I5H91_gp049,I5H91_gp049,SEA_SPOONBILL_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2023953,60334181,I5H91_gp050,I5H91_gp050,SEA_SPOONBILL_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334182,I5H91_gp051,I5H91_gp051,SEA_SPOONBILL_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334183,I5H91_gp052,I5H91_gp052,SEA_SPOONBILL_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334184,I5H91_gp053,I5H91_gp053,SEA_SPOONBILL_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2023953,60334185,I5H91_gp054,I5H91_gp054,SEA_SPOONBILL_54,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210403,-
2023953,60334186,I5H91_gp055,I5H91_gp055,SEA_SPOONBILL_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2023953,60334187,I5H91_gp056,I5H91_gp056,SEA_SPOONBILL_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2023953,60334188,I5H91_gp057,I5H91_gp057,SEA_SPOONBILL_57,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2023953,60334189,I5H91_gp058,I5H91_gp058,SEA_SPOONBILL_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334190,I5H91_gp059,I5H91_gp059,SEA_SPOONBILL_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334191,I5H91_gp060,I5H91_gp060,SEA_SPOONBILL_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334192,I5H91_gp061,I5H91_gp061,SEA_SPOONBILL_61,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210212,-
2023953,60334193,I5H91_gp062,I5H91_gp062,SEA_SPOONBILL_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334194,I5H91_gp063,I5H91_gp063,SEA_SPOONBILL_63,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2023953,60334195,I5H91_gs001,I5H91_gs001,SEA_SPOONBILL_64,-,-,-,miscRNA,miscRNA,-,-,-,-,20201129,-
2023953,60334196,I5H91_gp103,I5H91_gp103,SEA_SPOONBILL_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201129,-
2023953,60334197,I5H91_gp102,I5H91_gp102,SEA_SPOONBILL_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334198,I5H91_gp101,I5H91_gp101,SEA_SPOONBILL_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2023953,60334199,I5H91_gp100,I5H91_gp100,SEA_SPOONBILL_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334200,I5H91_gp099,I5H91_gp099,SEA_SPOONBILL_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334201,I5H91_gp098,I5H91_gp098,SEA_SPOONBILL_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334202,I5H91_gp097,I5H91_gp097,SEA_SPOONBILL_71,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210313,-
2023953,60334203,I5H91_gp096,I5H91_gp096,SEA_SPOONBILL_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334204,I5H91_gp095,I5H91_gp095,SEA_SPOONBILL_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334205,I5H91_gp094,I5H91_gp094,SEA_SPOONBILL_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334206,I5H91_gp093,I5H91_gp093,SEA_SPOONBILL_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334207,I5H91_gp092,I5H91_gp092,SEA_SPOONBILL_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334208,I5H91_gp091,I5H91_gp091,SEA_SPOONBILL_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334209,I5H91_gp090,I5H91_gp090,SEA_SPOONBILL_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334210,I5H91_gp089,I5H91_gp089,SEA_SPOONBILL_79,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2023953,60334211,I5H91_gp088,I5H91_gp088,SEA_SPOONBILL_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334212,I5H91_gp087,I5H91_gp087,SEA_SPOONBILL_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334213,I5H91_gp086,I5H91_gp086,SEA_SPOONBILL_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334214,I5H91_gp085,I5H91_gp085,SEA_SPOONBILL_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334215,I5H91_gp084,I5H91_gp084,SEA_SPOONBILL_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334216,I5H91_gp083,I5H91_gp083,SEA_SPOONBILL_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334217,I5H91_gp082,I5H91_gp082,SEA_SPOONBILL_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334218,I5H91_gp081,I5H91_gp081,SEA_SPOONBILL_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334219,I5H91_gp080,I5H91_gp080,SEA_SPOONBILL_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334220,I5H91_gp079,I5H91_gp079,SEA_SPOONBILL_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334221,I5H91_gp078,I5H91_gp078,SEA_SPOONBILL_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334222,I5H91_gp077,I5H91_gp077,SEA_SPOONBILL_91,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210123,-
2023953,60334223,I5H91_gp076,I5H91_gp076,SEA_SPOONBILL_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334224,I5H91_gp075,I5H91_gp075,SEA_SPOONBILL_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334225,I5H91_gp074,I5H91_gp074,SEA_SPOONBILL_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334226,I5H91_gp073,I5H91_gp073,SEA_SPOONBILL_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334227,I5H91_gp072,I5H91_gp072,SEA_SPOONBILL_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334228,I5H91_gp071,I5H91_gp071,SEA_SPOONBILL_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334229,I5H91_gp070,I5H91_gp070,SEA_SPOONBILL_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334230,I5H91_gp069,I5H91_gp069,SEA_SPOONBILL_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334231,I5H91_gp068,I5H91_gp068,SEA_SPOONBILL_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334232,I5H91_gp067,I5H91_gp067,SEA_SPOONBILL_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2023953,60334233,I5H91_gp066,I5H91_gp066,SEA_SPOONBILL_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2023953,60334234,I5H91_gp065,I5H91_gp065,SEA_SPOONBILL_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2023953,60334235,I5H91_gp064,I5H91_gp064,SEA_SPOONBILL_104,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2023953,60334236,I5H91_gp001,I5H91_gp001,SEA_SPOONBILL_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2023953,60338611,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
