#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1698358,26613943,SEA_BRUSACORAM_2,SEA_BRUSACORAM_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1698358,26613961,SEA_BRUSACORAM_20,SEA_BRUSACORAM_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698358,26613962,SEA_BRUSACORAM_21,SEA_BRUSACORAM_21,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698358,26613963,SEA_BRUSACORAM_22,SEA_BRUSACORAM_22,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1698358,26613964,SEA_BRUSACORAM_23,SEA_BRUSACORAM_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613965,SEA_BRUSACORAM_24,SEA_BRUSACORAM_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613966,SEA_BRUSACORAM_25,SEA_BRUSACORAM_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613967,SEA_BRUSACORAM_26,SEA_BRUSACORAM_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1698358,26613968,SEA_BRUSACORAM_27,SEA_BRUSACORAM_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1698358,26613969,SEA_BRUSACORAM_28,SEA_BRUSACORAM_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698358,26613970,SEA_BRUSACORAM_29,SEA_BRUSACORAM_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613971,SEA_BRUSACORAM_30,SEA_BRUSACORAM_30,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1698358,26613972,SEA_BRUSACORAM_31,SEA_BRUSACORAM_31,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
1698358,26613973,SEA_BRUSACORAM_32,SEA_BRUSACORAM_32,-,-,-,-,excise,protein-coding,-,-,-,excise,20210116,-
1698358,26613974,SEA_BRUSACORAM_33,SEA_BRUSACORAM_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613975,SEA_BRUSACORAM_34,SEA_BRUSACORAM_34,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
1698358,26613976,SEA_BRUSACORAM_35,SEA_BRUSACORAM_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613977,SEA_BRUSACORAM_36,SEA_BRUSACORAM_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613978,SEA_BRUSACORAM_37,SEA_BRUSACORAM_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613979,SEA_BRUSACORAM_38,SEA_BRUSACORAM_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1698358,26613980,SEA_BRUSACORAM_39,SEA_BRUSACORAM_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613981,SEA_BRUSACORAM_40,SEA_BRUSACORAM_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613982,SEA_BRUSACORAM_41,SEA_BRUSACORAM_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613983,SEA_BRUSACORAM_42,SEA_BRUSACORAM_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613984,SEA_BRUSACORAM_43,SEA_BRUSACORAM_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613985,SEA_BRUSACORAM_44,SEA_BRUSACORAM_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613986,SEA_BRUSACORAM_45,SEA_BRUSACORAM_45,-,-,-,-,RecE-like protein,protein-coding,-,-,-,RecE-like protein,20210123,-
1698358,26613987,SEA_BRUSACORAM_46,SEA_BRUSACORAM_46,-,-,-,-,RecT-like protein,protein-coding,-,-,-,RecT-like protein,20210123,-
1698358,26613988,SEA_BRUSACORAM_47,SEA_BRUSACORAM_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613989,SEA_BRUSACORAM_48,SEA_BRUSACORAM_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613990,SEA_BRUSACORAM_49,SEA_BRUSACORAM_49,-,-,-,-,FtsK-like protein,protein-coding,-,-,-,FtsK-like protein,20210116,-
1698358,26613991,SEA_BRUSACORAM_50,SEA_BRUSACORAM_50,-,-,-,-,RusA-like DNA endonuclease,protein-coding,-,-,-,RusA-like DNA endonuclease,20210424,-
1698358,26613992,SEA_BRUSACORAM_51,SEA_BRUSACORAM_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613993,SEA_BRUSACORAM_52,SEA_BRUSACORAM_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613994,SEA_BRUSACORAM_53,SEA_BRUSACORAM_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613995,SEA_BRUSACORAM_54,SEA_BRUSACORAM_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613996,SEA_BRUSACORAM_55,SEA_BRUSACORAM_55,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1698358,26613997,SEA_BRUSACORAM_56,SEA_BRUSACORAM_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26613998,SEA_BRUSACORAM_57,SEA_BRUSACORAM_57,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1698358,26613999,SEA_BRUSACORAM_58,SEA_BRUSACORAM_58,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201221,-
1698358,26614000,SEA_BRUSACORAM_59,SEA_BRUSACORAM_59,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210424,-
1698358,26614001,SEA_BRUSACORAM_60,SEA_BRUSACORAM_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614002,SEA_BRUSACORAM_61,SEA_BRUSACORAM_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
1698358,26614003,SEA_BRUSACORAM_62,SEA_BRUSACORAM_62,-,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1698358,26614004,SEA_BRUSACORAM_63,SEA_BRUSACORAM_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614005,SEA_BRUSACORAM_64,SEA_BRUSACORAM_64,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1698358,26614006,SEA_BRUSACORAM_65,SEA_BRUSACORAM_65,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614007,SEA_BRUSACORAM_66,SEA_BRUSACORAM_66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614008,SEA_BRUSACORAM_67,SEA_BRUSACORAM_67,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1698358,26614009,SEA_BRUSACORAM_68,SEA_BRUSACORAM_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614010,SEA_BRUSACORAM_69,SEA_BRUSACORAM_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614011,SEA_BRUSACORAM_70,SEA_BRUSACORAM_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614012,SEA_BRUSACORAM_71,SEA_BRUSACORAM_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614013,SEA_BRUSACORAM_72,SEA_BRUSACORAM_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614014,SEA_BRUSACORAM_73,SEA_BRUSACORAM_73,-,-,-,-,ribbon-helix-helix DNA binding protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding protein,20210424,-
1698358,26614015,SEA_BRUSACORAM_74,SEA_BRUSACORAM_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614016,SEA_BRUSACORAM_75,SEA_BRUSACORAM_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614017,SEA_BRUSACORAM_76,SEA_BRUSACORAM_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614018,SEA_BRUSACORAM_77,SEA_BRUSACORAM_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1698358,26614019,SEA_BRUSACORAM_78,SEA_BRUSACORAM_78,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1698358,26614020,SEA_BRUSACORAM_1,SEA_BRUSACORAM_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1698358,26680921,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Brusacoram).,other,-,-,-,-,20200513,-
