#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
12402,2667811,cI,EJ-1p04,-,-,-,-,cI repressor,protein-coding,-,-,-,cI repressor,20201220,-
12402,2672839,EJ-1p64,EJ-1p64,-,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200629,-
12402,2672840,EJ-1p65,EJ-1p65,-,-,-,-,structural phage protein,protein-coding,-,-,-,structural phage protein,20200629,-
12402,2672841,EJ-1p66,EJ-1p66,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672842,EJ-1p33,EJ-1p33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672843,EJ-1p34,EJ-1p34,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
12402,2672844,EJ-1p28,EJ-1p28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672845,EJ-1p29,EJ-1p29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672846,EJ-1p30,EJ-1p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672847,EJ-1p02,EJ-1p02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672848,EJ-1p03,EJ-1p03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672849,EJ-1p14,EJ-1p14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672850,EJ-1p15,EJ-1p15,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201220,-
12402,2672851,EJ-1p67,EJ-1p67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672852,EJ-1p68,EJ-1p68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672853,EJ-1p69,EJ-1p69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672854,EJ-1p38,EJ-1p38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672855,EJ-1p39,EJ-1p39,-,-,-,-,"terminase, large subunit",protein-coding,-,-,-,"terminase, large subunit",20201220,-
12402,2672856,EJ-1p45,EJ-1p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672857,EJ-1p46,EJ-1p46,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200629,-
12402,2672858,EJ-1p47,EJ-1p47,-,-,-,-,major head protein,protein-coding,-,-,-,major head protein,20201220,-
12402,2672859,EJ-1p20,EJ-1p20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672860,EJ-1p21,EJ-1p21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672861,EJ-1p35,EJ-1p35,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20200629,-
12402,2672862,EJ-1p36,EJ-1p36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672863,EJ-1p37,EJ-1p37,-,-,-,-,transferase,protein-coding,-,-,-,transferase,20201220,-
12402,2672864,EJ-1p40,EJ-1p40,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
12402,2672865,EJ-1p41,EJ-1p41,-,-,-,-,minor head protein,protein-coding,-,-,-,minor head protein,20200629,-
12402,2672866,EJ-1p42,EJ-1p42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672867,EJ-1p09,EJ-1p09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672868,EJ-1p13,EJ-1p13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672869,EJ-1p51,EJ-1p51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672870,EJ-1p52,EJ-1p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672871,EJ-1p53,EJ-1p53,-,-,-,-,sheath tail protein,protein-coding,-,-,-,sheath tail protein,20200629,-
12402,2672872,EJ-1p60,EJ-1p60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672873,EJ-1p61,EJ-1p61,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20200629,-
12402,2672874,EJ-1p62,EJ-1p62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672875,EJ-1p48,EJ-1p48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672876,EJ-1p49,EJ-1p49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672877,EJ-1p50,EJ-1p50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672878,EJ-1p26,EJ-1p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672879,EJ-1p27,EJ-1p27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672880,EJ-1p22,EJ-1p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
12402,2672881,EJ-1p23,EJ-1p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672882,EJ-1p70,EJ-1p70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672883,EJ-1p71,EJ-1p71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672884,EJ-1p05,EJ-1p05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672885,EJ-1p06,EJ-1p06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672886,EJ-1p17,EJ-1p17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672887,EJ-1p18,EJ-1p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672888,EJ-1p19,EJ-1p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672889,EJ-1p31,EJ-1p31,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20200629,-
12402,2672890,EJ-1p32,EJ-1p32,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20201220,-
12402,2672891,EJ-1p24,EJ-1p24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2672892,EJ-1p25,EJ-1p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
12402,2828999,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage EJ-1; phage EJ-1).,other,-,-,-,-,20200513,-
