#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1391455,26660905,nblA,AV945_gp59,-,-,-,-,phycobilisome degredation protein,protein-coding,-,-,-,phycobilisome degredation protein,20201221,-
1391455,26709231,AV945_gp40,AV945_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709232,AV945_gp41,AV945_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709233,AV945_gp42,AV945_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709234,AV945_gp43,AV945_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709235,AV945_gp28,AV945_gp28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709236,AV945_gp29,AV945_gp29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709237,AV945_gp30,AV945_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709238,AV945_gp31,AV945_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709239,AV945_gp32,AV945_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709240,AV945_gp33,AV945_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709241,AV945_gp34,AV945_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709242,AV945_gp35,AV945_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709243,AV945_gp61,AV945_gp61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709244,AV945_gp62,AV945_gp62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709245,AV945_gp52,AV945_gp52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709246,AV945_gp53,AV945_gp53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709247,AV945_gp54,AV945_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709248,AV945_gp55,AV945_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709249,AV945_gp56,AV945_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709250,AV945_gp57,AV945_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709251,AV945_gp58,AV945_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709252,AV945_gp01,AV945_gp01,-,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20201221,-
1391455,26709253,AV945_gp60,AV945_gp60,-,-,-,-,virulence associated E protein,protein-coding,-,-,-,virulence associated E protein,20201221,-
1391455,26709254,AV945_gp44,AV945_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709255,AV945_gp45,AV945_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709256,AV945_gp46,AV945_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709257,AV945_gp47,AV945_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709258,AV945_gp48,AV945_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709259,AV945_gp49,AV945_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709260,AV945_gp50,AV945_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709261,AV945_gp51,AV945_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709262,AV945_gp03,AV945_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709263,AV945_gp04,AV945_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709264,AV945_gp05,AV945_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709265,AV945_gp06,AV945_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709266,AV945_gp07,AV945_gp07,-,-,-,-,DNA Methyltransferase,protein-coding,-,-,-,DNA Methyltransferase,20201221,-
1391455,26709267,AV945_gp08,AV945_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709268,AV945_gp09,AV945_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709269,AV945_gp10,AV945_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709270,AV945_gp23,AV945_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709271,AV945_gp19,AV945_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709272,AV945_gp20,AV945_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709273,AV945_gp21,AV945_gp21,-,-,-,-,DNA repair protein,protein-coding,-,-,-,DNA repair protein,20201221,-
1391455,26709274,AV945_gp24,AV945_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709275,AV945_gp25,AV945_gp25,-,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20201221,-
1391455,26709276,AV945_gp26,AV945_gp26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709277,AV945_gp27,AV945_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1391455,26709278,AV945_gp02,AV945_gp02,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
