#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296646,15302118,2,K768_gp02,PBI_BUTTERS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1296646,15302134,18,K768_gp18,PBI_BUTTERS_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1296646,15302135,19,K768_gp19,PBI_BUTTERS_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1296646,15302136,20,K768_gp20,PBI_BUTTERS_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1296646,15302137,21,K768_gp21,PBI_BUTTERS_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1296646,15302138,22,K768_gp22,PBI_BUTTERS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302139,23,K768_gp23,PBI_BUTTERS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302140,24,K768_gp24,PBI_BUTTERS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302141,25,K768_gp25,PBI_BUTTERS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302142,26,K768_gp26,PBI_BUTTERS_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1296646,15302143,27,K768_gp27,PBI_BUTTERS_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1296646,15302144,28,K768_gp28,PBI_BUTTERS_28,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1296646,15302145,29,K768_gp29,PBI_BUTTERS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302146,30,K768_gp30,PBI_BUTTERS_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302147,31,K768_gp31,PBI_BUTTERS_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302148,32,K768_gp32,PBI_BUTTERS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302149,33,K768_gp33,PBI_BUTTERS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302150,34,K768_gp34,PBI_BUTTERS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302151,35,K768_gp35,PBI_BUTTERS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302152,36,K768_gp36,PBI_BUTTERS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302153,37,K768_gp37,PBI_BUTTERS_37,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1296646,15302154,38,K768_gp38,PBI_BUTTERS_38,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1296646,15302155,39,K768_gp39,PBI_BUTTERS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302156,40,K768_gp40,PBI_BUTTERS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302157,41,K768_gp41,PBI_BUTTERS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302158,42,K768_gp42,PBI_BUTTERS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302159,43,K768_gp43,PBI_BUTTERS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302160,44,K768_gp44,PBI_BUTTERS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302161,45,K768_gp45,PBI_BUTTERS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302162,46,K768_gp46,PBI_BUTTERS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302163,47,K768_gp47,PBI_BUTTERS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302164,48,K768_gp48,PBI_BUTTERS_48,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1296646,15302165,49,K768_gp49,PBI_BUTTERS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302166,50,K768_gp50,PBI_BUTTERS_50,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200927,-
1296646,15302167,51,K768_gp51,PBI_BUTTERS_51,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20200927,-
1296646,15302168,52,K768_gp52,PBI_BUTTERS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302169,53,K768_gp53,PBI_BUTTERS_53,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20200927,-
1296646,15302170,54,K768_gp54,PBI_BUTTERS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302171,55,K768_gp55,PBI_BUTTERS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302172,56,K768_gp56,PBI_BUTTERS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302173,57,K768_gp57,PBI_BUTTERS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302174,58,K768_gp58,PBI_BUTTERS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302175,59,K768_gp59,PBI_BUTTERS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302176,60,K768_gp60,PBI_BUTTERS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302177,61,K768_gp61,PBI_BUTTERS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302178,62,K768_gp62,PBI_BUTTERS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302179,63,K768_gp63,PBI_BUTTERS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302180,64,K768_gp64,PBI_BUTTERS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302181,65,K768_gp65,PBI_BUTTERS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15302182,66,K768_gp66,PBI_BUTTERS_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1296646,15302183,1,K768_gp01,PBI_BUTTERS_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1296646,15334062,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Butters).,other,-,-,-,-,20200513,-
