#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2100421,65109091,KNT69_gp02,KNT69_gp02,UFOVP1367_2,-,-,-,ClpP Protease subunit of ATP-dependent Clp proteases,protein-coding,-,-,-,ClpP Protease subunit of ATP-dependent Clp proteases,20210607,-
2100421,65110001,KNT73_gp09,KNT73_gp09,2F1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110002,KNT73_gp10,KNT73_gp10,2F1_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110003,KNT73_gp11,KNT73_gp11,2F1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110004,KNT73_gp12,KNT73_gp12,2F1_12,-,-,-,putative O family protein,protein-coding,-,-,-,putative O family protein,20210607,-
2100421,65110005,KNT73_gp13,KNT73_gp13,2F1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110006,KNT73_gp14,KNT73_gp14,2F1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110007,KNT73_gp15,KNT73_gp15,2F1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110008,KNT73_gp16,KNT73_gp16,2F1_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110009,KNT73_gp17,KNT73_gp17,2F1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110010,KNT73_gp18,KNT73_gp18,2F1_18,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210607,-
2100421,65110011,KNT73_gp19,KNT73_gp19,2F1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110012,KNT73_gp20,KNT73_gp20,2F1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110013,KNT73_gp21,KNT73_gp21,2F1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110014,KNT73_gp22,KNT73_gp22,2F1_22,-,-,-,putative major tail tube protein,protein-coding,-,-,-,putative major tail tube protein,20210607,-
2100421,65110015,KNT73_gp23,KNT73_gp23,2F1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110016,KNT73_gp24,KNT73_gp24,2F1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110017,KNT73_gp25,KNT73_gp25,2F1_25,-,-,-,putative major tail sheath,protein-coding,-,-,-,putative major tail sheath,20210607,-
2100421,65110018,KNT73_gp26,KNT73_gp26,2F1_26,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210607,-
2100421,65110019,KNT73_gp27,KNT73_gp27,2F1_27,-,-,-,putative baseplate assembly protein,protein-coding,-,-,-,putative baseplate assembly protein,20210607,-
2100421,65110020,KNT73_gp28,KNT73_gp28,2F1_28,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20210607,-
2100421,65110021,KNT73_gp29,KNT73_gp29,2F1_29,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210607,-
2100421,65110022,KNT73_gp30,KNT73_gp30,2F1_30,-,-,-,putative baseplate,protein-coding,-,-,-,putative baseplate,20210607,-
2100421,65110023,KNT73_gp31,KNT73_gp31,2F1_31,-,-,-,putative DNA adenine methylase,protein-coding,-,-,-,putative DNA adenine methylase,20210607,-
2100421,65110024,KNT73_gp32,KNT73_gp32,2F1_32,-,-,-,virion morphogenesis protein,protein-coding,-,-,-,virion morphogenesis protein,20210607,-
2100421,65110025,KNT73_gp33,KNT73_gp33,2F1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110026,KNT73_gp34,KNT73_gp34,2F1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110027,KNT73_gp35,KNT73_gp35,2F1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110028,KNT73_gp36,KNT73_gp36,2F1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110029,KNT73_gp37,KNT73_gp37,2F1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110030,KNT73_gp38,KNT73_gp38,2F1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110031,KNT73_gp39,KNT73_gp39,2F1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110032,KNT73_gp40,KNT73_gp40,2F1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2100421,65110033,KNT73_gp41,KNT73_gp41,2F1_41,-,-,-,putative terminase ATPase subunit,protein-coding,-,-,-,putative terminase ATPase subunit,20210607,-
2100421,65110034,KNT73_gp42,KNT73_gp42,2F1_42,-,-,-,putative portal vertex protein,protein-coding,-,-,-,putative portal vertex protein,20210607,-
2100421,65110035,KNT73_gp01,KNT73_gp01,2F1_1,-,-,-,putative tyrosine recombinase,protein-coding,-,-,-,putative tyrosine recombinase,20210607,-
2100421,65242722,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
