#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
73422,14492582,H316_gp05,H316_gp05,-,-,-,-,putative antirepressor,protein-coding,-,-,-,putative antirepressor,20201220,-
73422,14492602,H316_gp22,H316_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492603,H316_gp23,H316_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492604,H316_gp24,H316_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492605,H316_gp25,H316_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492606,H316_gp26,H316_gp26,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201220,-
73422,14492607,H316_gp27,H316_gp27,-,-,-,-,putative small terminase subunit,protein-coding,-,-,-,putative small terminase subunit,20201220,-
73422,14492608,H316_gp28,H316_gp28,-,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201220,-
73422,14492609,H316_gp29,H316_gp29,-,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20201220,-
73422,14492610,H316_gp30,H316_gp30,-,-,-,-,putative minor head protein,protein-coding,-,-,-,putative minor head protein,20201220,-
73422,14492611,H316_gp31,H316_gp31,-,-,-,-,putative scaffold protein,protein-coding,-,-,-,putative scaffold protein,20201220,-
73422,14492612,H316_gp32,H316_gp32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492613,H316_gp33,H316_gp33,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20201220,-
73422,14492614,H316_gp34,H316_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492615,H316_gp35,H316_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492616,H316_gp36,H316_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492617,H316_gp37,H316_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492618,H316_gp38,H316_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492619,H316_gp39,H316_gp39,-,-,-,-,putative major tail protein,protein-coding,-,-,-,putative major tail protein,20201220,-
73422,14492620,H316_gp40,H316_gp40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492621,H316_gp41,H316_gp41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492622,H316_gp42,H316_gp42,-,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201220,-
73422,14492623,H316_gp43,H316_gp43,-,-,-,-,putative minor tail protein,protein-coding,-,-,-,putative minor tail protein,20201220,-
73422,14492624,H316_gp44,H316_gp44,-,-,-,-,putative minor tail protein; contains lysozyme and Chap domain,protein-coding,-,-,-,putative minor tail protein|contains lysozyme and Chap domain,20201220,-
73422,14492625,H316_gp45,H316_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492626,H316_gp46,H316_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492627,H316_gp47,H316_gp47,-,-,-,-,putative host specificity protein,protein-coding,-,-,-,putative host specificity protein,20201220,-
73422,14492628,H316_gp48,H316_gp48,-,-,-,-,putative minor structural protein,protein-coding,-,-,-,putative minor structural protein,20201220,-
73422,14492629,H316_gp49,H316_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492630,H316_gp50,H316_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492631,H316_gp51,H316_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492632,H316_gp52,H316_gp52,-,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20201220,-
73422,14492633,H316_gp53,H316_gp53,-,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201220,-
73422,14492634,H316_gp54,H316_gp54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492635,H316_gp55,H316_gp55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492636,H316_gp56,H316_gp56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492637,H316_gp57,H316_gp57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492638,H316_gp58,H316_gp58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492639,H316_gp59,H316_gp59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
73422,14492640,int,H316_gp02,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
73422,14528895,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Streptococcus thermophilus bacteriophage TP-J34).,other,-,-,-,-,20200826,-
