#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315613,60325975,3,I5H13_gp003,SEA_ARCUSANGELUS_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2315613,60325997,25,I5H13_gp025,SEA_ARCUSANGELUS_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60325998,26,I5H13_gp026,SEA_ARCUSANGELUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60325999,27,I5H13_gp027,SEA_ARCUSANGELUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326000,28,I5H13_gp028,SEA_ARCUSANGELUS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326001,29,I5H13_gp029,SEA_ARCUSANGELUS_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326002,30,I5H13_gp030,SEA_ARCUSANGELUS_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2315613,60326003,31,I5H13_gp031,SEA_ARCUSANGELUS_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2315613,60326004,32,I5H13_gp032,SEA_ARCUSANGELUS_32,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2315613,60326005,33,I5H13_gp033,SEA_ARCUSANGELUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60326006,34,I5H13_gp034,SEA_ARCUSANGELUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326007,35,I5H13_gp035,SEA_ARCUSANGELUS_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210424,-
2315613,60326008,36,I5H13_gp036,SEA_ARCUSANGELUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326009,37,I5H13_gp037,SEA_ARCUSANGELUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326010,38,I5H13_gp038,SEA_ARCUSANGELUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326011,39,I5H13_gp039,SEA_ARCUSANGELUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326012,40,I5H13_gp040,SEA_ARCUSANGELUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326013,41,I5H13_gp041,SEA_ARCUSANGELUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326014,42,I5H13_gp042,SEA_ARCUSANGELUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326015,43,I5H13_gp043,SEA_ARCUSANGELUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326016,44,I5H13_gp044,SEA_ARCUSANGELUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2315613,60326017,45,I5H13_gp045,SEA_ARCUSANGELUS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326018,46,I5H13_gp046,SEA_ARCUSANGELUS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326019,47,I5H13_gp047,SEA_ARCUSANGELUS_47,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2315613,60326020,48,I5H13_gp048,SEA_ARCUSANGELUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326021,49,I5H13_gp049,SEA_ARCUSANGELUS_49,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2315613,60326022,50,I5H13_gp050,SEA_ARCUSANGELUS_50,-,-,-,cro protein,protein-coding,-,-,-,cro protein,20210403,-
2315613,60326023,51,I5H13_gp051,SEA_ARCUSANGELUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326024,52,I5H13_gp052,SEA_ARCUSANGELUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326025,53,I5H13_gp053,SEA_ARCUSANGELUS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2315613,60326026,54,I5H13_gp054,SEA_ARCUSANGELUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326027,55,I5H13_gp055,SEA_ARCUSANGELUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326028,56,I5H13_gp056,SEA_ARCUSANGELUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326029,57,I5H13_gp057,SEA_ARCUSANGELUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326030,58,I5H13_gp058,SEA_ARCUSANGELUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326031,59,I5H13_gp059,SEA_ARCUSANGELUS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
2315613,60326032,60,I5H13_gp060,SEA_ARCUSANGELUS_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2315613,60326033,61,I5H13_gp061,SEA_ARCUSANGELUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60326034,62,I5H13_gp062,SEA_ARCUSANGELUS_62,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210417,-
2315613,60326035,63,I5H13_gp063,SEA_ARCUSANGELUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326036,64,I5H13_gp064,SEA_ARCUSANGELUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326037,65,I5H13_gp065,SEA_ARCUSANGELUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2315613,60326038,66,I5H13_gp066,SEA_ARCUSANGELUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60326039,67,I5H13_gp067,SEA_ARCUSANGELUS_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2315613,60326040,68,I5H13_gp068,SEA_ARCUSANGELUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326041,69,I5H13_gp069,SEA_ARCUSANGELUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326042,70,I5H13_gp070,SEA_ARCUSANGELUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60326043,72,I5H13_gp071,SEA_ARCUSANGELUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326044,73,I5H13_gp072,SEA_ARCUSANGELUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326045,74,I5H13_gp073,SEA_ARCUSANGELUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60326046,75,I5H13_gp074,SEA_ARCUSANGELUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326047,76,I5H13_gp075,SEA_ARCUSANGELUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2315613,60326048,77,I5H13_gp076,SEA_ARCUSANGELUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326049,78,I5H13_gp077,SEA_ARCUSANGELUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326050,79,I5H13_gp078,SEA_ARCUSANGELUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326051,80,I5H13_gp079,SEA_ARCUSANGELUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326052,81,I5H13_gp080,SEA_ARCUSANGELUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326053,82,I5H13_gp081,SEA_ARCUSANGELUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326054,83,I5H13_gp082,SEA_ARCUSANGELUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326055,84,I5H13_gp083,SEA_ARCUSANGELUS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326056,85,I5H13_gp084,SEA_ARCUSANGELUS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326057,86,I5H13_gp085,SEA_ARCUSANGELUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326058,87,I5H13_gp086,SEA_ARCUSANGELUS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326059,88,I5H13_gp087,SEA_ARCUSANGELUS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326060,89,I5H13_gp088,SEA_ARCUSANGELUS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326061,90,I5H13_gp089,SEA_ARCUSANGELUS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326062,91,I5H13_gp090,SEA_ARCUSANGELUS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326063,92,I5H13_gp091,SEA_ARCUSANGELUS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326064,93,I5H13_gp092,SEA_ARCUSANGELUS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326065,94,I5H13_gp093,SEA_ARCUSANGELUS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326066,95,I5H13_gp094,SEA_ARCUSANGELUS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2315613,60326067,96,I5H13_gp095,SEA_ARCUSANGELUS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326068,97,I5H13_gp096,SEA_ARCUSANGELUS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326069,98,I5H13_gp097,SEA_ARCUSANGELUS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326070,99,I5H13_gp098,SEA_ARCUSANGELUS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326071,100,I5H13_gp099,SEA_ARCUSANGELUS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326072,101,I5H13_gp100,SEA_ARCUSANGELUS_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2315613,60326073,102,I5H13_gp101,SEA_ARCUSANGELUS_102,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2315613,60326074,103,I5H13_gp102,SEA_ARCUSANGELUS_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2315613,60326075,104,I5H13_gp103,SEA_ARCUSANGELUS_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2315613,60326076,2,I5H13_gp002,SEA_ARCUSANGELUS_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2315613,60326077,1,I5H13_gp001,SEA_ARCUSANGELUS_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2315613,60338723,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
