#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2576882,65056533,KMC02_gp002,KMC02_gp002,EcNP1_gp003,-,-,-,putative immunity to superinfection membrane protein,protein-coding,-,-,-,putative immunity to superinfection membrane protein,20210608,-
2576882,65056550,KMC02_gp019,KMC02_gp019,EcNP1_gp020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2576882,65056551,KMC02_gp020,KMC02_gp020,EcNP1_gp021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056552,KMC02_gp021,KMC02_gp021,EcNP1_gp022,-,-,-,sigma factor,protein-coding,-,-,-,sigma factor,20210609,-
2576882,65056553,KMC02_gp022,KMC02_gp022,EcNP1_gp023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056554,KMC02_gp023,KMC02_gp023,EcNP1_gp024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056555,KMC02_gp024,KMC02_gp024,EcNP1_gp025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056556,KMC02_gp025,KMC02_gp025,EcNP1_gp026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056557,KMC02_gp026,KMC02_gp026,EcNP1_gp027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056558,KMC02_gp027,KMC02_gp027,EcNP1_gp028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2576882,65056559,KMC02_gp028,KMC02_gp028,EcNP1_gp029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056560,KMC02_gp029,KMC02_gp029,EcNP1_gp030,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210608,-
2576882,65056561,KMC02_gp030,KMC02_gp030,EcNP1_gp031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056562,KMC02_gp031,KMC02_gp031,EcNP1_gp032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056563,KMC02_gp032,KMC02_gp032,EcNP1_gp033,-,-,-,anaerobic ribonucleoside-triphosphate reductase activating protein,protein-coding,-,-,-,anaerobic ribonucleoside-triphosphate reductase activating protein,20210608,-
2576882,65056564,KMC02_gp033,KMC02_gp033,EcNP1_gp034,-,-,-,anaerobic NTP reductase,protein-coding,-,-,-,anaerobic NTP reductase,20210608,-
2576882,65056565,KMC02_gp034,KMC02_gp034,EcNP1_gp035,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20210612,-
2576882,65056566,KMC02_gp035,KMC02_gp035,EcNP1_gp036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056567,KMC02_gp036,KMC02_gp036,EcNP1_gp037,-,-,-,peptidase inhibitor domain-containing protein,protein-coding,-,-,-,peptidase inhibitor domain-containing protein,20210608,-
2576882,65056568,KMC02_gp037,KMC02_gp037,EcNP1_gp038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056569,KMC02_gp038,KMC02_gp038,EcNP1_gp039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056570,KMC02_gp039,KMC02_gp039,EcNP1_gp040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056571,KMC02_gp040,KMC02_gp040,EcNP1_gp041,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20210608,-
2576882,65056572,KMC02_gp041,KMC02_gp041,EcNP1_gp042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056573,KMC02_gp042,KMC02_gp042,EcNP1_gp043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056574,KMC02_gp043,KMC02_gp043,EcNP1_gp044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056575,KMC02_gp044,KMC02_gp044,EcNP1_gp045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056576,KMC02_gp045,KMC02_gp045,EcNP1_gp046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056577,KMC02_gp046,KMC02_gp046,EcNP1_gp047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056578,KMC02_gp047,KMC02_gp047,EcNP1_gp048,-,-,-,Mur ligase domain-containing protein,protein-coding,-,-,-,Mur ligase domain-containing protein,20210608,-
2576882,65056579,KMC02_gp048,KMC02_gp048,EcNP1_gp049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056580,KMC02_gp049,KMC02_gp049,EcNP1_gp050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056581,KMC02_gp050,KMC02_gp050,EcNP1_gp051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056582,KMC02_gp051,KMC02_gp051,EcNP1_gp052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056583,KMC02_gp052,KMC02_gp052,EcNP1_gp053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056584,KMC02_gp053,KMC02_gp053,EcNP1_gp054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056585,KMC02_gp054,KMC02_gp054,EcNP1_gp055,-,-,-,signal-peptide domain-containing protein,protein-coding,-,-,-,signal-peptide domain-containing protein,20210608,-
2576882,65056586,KMC02_gp055,KMC02_gp055,EcNP1_gp056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056587,KMC02_gp056,KMC02_gp056,EcNP1_gp057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056588,KMC02_gp057,KMC02_gp057,EcNP1_gp058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056589,KMC02_gp058,KMC02_gp058,EcNP1_gp059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056590,KMC02_gp059,KMC02_gp059,EcNP1_gp060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056591,KMC02_gp060,KMC02_gp060,EcNP1_gp061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056592,KMC02_gp061,KMC02_gp061,EcNP1_gp062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056593,KMC02_gp062,KMC02_gp062,EcNP1_gp063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056594,KMC02_gp063,KMC02_gp063,EcNP1_gp064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056595,KMC02_gp064,KMC02_gp064,EcNP1_gp065,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210608,-
2576882,65056596,KMC02_gp065,KMC02_gp065,EcNP1_gp066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056597,KMC02_gp066,KMC02_gp066,EcNP1_gp067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056598,KMC02_gp067,KMC02_gp067,EcNP1_gp068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056599,KMC02_gp068,KMC02_gp068,EcNP1_gp069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056600,KMC02_gp069,KMC02_gp069,EcNP1_gp070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2576882,65056601,KMC02_gp070,KMC02_gp070,EcNP1_gp071,-,-,-,putative valyl-tRNA synthetase modifier,protein-coding,-,-,-,putative valyl-tRNA synthetase modifier,20210608,-
2576882,65056602,KMC02_gp071,KMC02_gp071,EcNP1_gp072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056603,KMC02_gp072,KMC02_gp072,EcNP1_gp073,-,-,-,site-specific RNase,protein-coding,-,-,-,site-specific RNase,20210608,-
2576882,65056604,KMC02_gp073,KMC02_gp073,EcNP1_gp074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056605,KMC02_gp074,KMC02_gp074,EcNP1_gp075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056606,KMC02_gp075,KMC02_gp075,EcNP1_gp076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056607,KMC02_gp076,KMC02_gp076,EcNP1_gp077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056608,KMC02_gp077,KMC02_gp077,EcNP1_gp078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056609,KMC02_gp078,KMC02_gp078,EcNP1_gp079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056610,KMC02_gp079,KMC02_gp079,EcNP1_gp080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056611,KMC02_gp080,KMC02_gp080,EcNP1_gp081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056612,KMC02_gp081,KMC02_gp081,EcNP1_gp082,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20210608,-
2576882,65056613,KMC02_gp082,KMC02_gp082,EcNP1_gp083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056614,KMC02_gp083,KMC02_gp083,EcNP1_gp084,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210608,-
2576882,65056615,KMC02_gp084,KMC02_gp084,EcNP1_gp085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056616,KMC02_gp085,KMC02_gp085,EcNP1_gp086,-,-,-,transmembrane region domain-containing protein,protein-coding,-,-,-,transmembrane region domain-containing protein,20210608,-
2576882,65056617,KMC02_gp086,KMC02_gp086,EcNP1_gp087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056618,KMC02_gp087,KMC02_gp087,EcNP1_gp088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056619,KMC02_gp088,KMC02_gp088,EcNP1_gp089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056620,KMC02_gp089,KMC02_gp089,EcNP1_gp090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056621,KMC02_gp090,KMC02_gp090,EcNP1_gp091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056622,KMC02_gp091,KMC02_gp091,EcNP1_gp092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056623,KMC02_gp092,KMC02_gp092,EcNP1_gp093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056624,KMC02_gp093,KMC02_gp093,EcNP1_gp094,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056625,KMC02_gp094,KMC02_gp094,EcNP1_gp095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056626,KMC02_gp095,KMC02_gp095,EcNP1_gp096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056627,KMC02_gp096,KMC02_gp096,EcNP1_gp097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056628,KMC02_gp097,KMC02_gp097,EcNP1_gp098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056629,KMC02_gp098,KMC02_gp098,EcNP1_gp099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056630,KMC02_gp099,KMC02_gp099,EcNP1_gp100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2576882,65056631,KMC02_gp100,KMC02_gp100,EcNP1_gp101,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20210608,-
2576882,65056632,KMC02_gp101,KMC02_gp101,EcNP1_gp102,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20210608,-
2576882,65056633,KMC02_gp102,KMC02_gp102,EcNP1_gp103,-,-,-,glycoprotein 3,protein-coding,-,-,-,glycoprotein 3,20210612,-
2576882,65056634,KMC02_gp103,KMC02_gp103,EcNP1_gp104,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20210612,-
2576882,65056635,KMC02_gp104,KMC02_gp104,EcNP1_gp105,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20210608,-
2576882,65056636,KMC02_gp105,KMC02_gp105,EcNP1_gp106,-,-,-,P baseplate wedge subunit,protein-coding,-,-,-,P baseplate wedge subunit,20210612,-
2576882,65056637,KMC02_gp106,KMC02_gp106,EcNP1_gp107,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210608,-
2576882,65056638,KMC02_gp107,KMC02_gp107,EcNP1_gp108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056639,KMC02_gp108,KMC02_gp108,EcNP1_gp109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056640,KMC02_gp109,KMC02_gp109,EcNP1_gp110,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2576882,65056641,KMC02_gp110,KMC02_gp110,EcNP1_gp111,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20210608,-
2576882,65056642,KMC02_gp111,KMC02_gp111,EcNP1_gp112,-,-,-,baseplate wedge,protein-coding,-,-,-,baseplate wedge,20210608,-
2576882,65056643,KMC02_gp112,KMC02_gp112,EcNP1_gp113,-,-,-,baseplate wedge completion tail fiber socket,protein-coding,-,-,-,baseplate wedge completion tail fiber socket,20210608,-
2576882,65056644,KMC02_gp113,KMC02_gp113,EcNP1_gp114,-,-,-,putative baseplate wedge completion tail pin,protein-coding,-,-,-,putative baseplate wedge completion tail pin,20210608,-
2576882,65056645,KMC02_gp114,KMC02_gp114,EcNP1_gp115,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20210608,-
2576882,65056646,KMC02_gp115,KMC02_gp115,EcNP1_gp116,-,-,-,short tail fiber protein,protein-coding,-,-,-,short tail fiber protein,20210608,-
2576882,65056647,KMC02_gp116,KMC02_gp116,EcNP1_gp117,-,-,-,fibritin,protein-coding,-,-,-,fibritin,20210608,-
2576882,65056648,KMC02_gp117,KMC02_gp117,EcNP1_gp118,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20210608,-
2576882,65056649,KMC02_gp118,KMC02_gp118,EcNP1_gp119,-,-,-,neck hetero-dimeric protein,protein-coding,-,-,-,neck hetero-dimeric protein,20210608,-
2576882,65056650,KMC02_gp119,KMC02_gp119,EcNP1_gp120,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20210608,-
2576882,65056651,KMC02_gp120,KMC02_gp120,EcNP1_gp121,-,-,-,small terminase protein,protein-coding,-,-,-,small terminase protein,20210608,-
2576882,65056652,KMC02_gp121,KMC02_gp121,EcNP1_gp122,-,-,-,putative terminase subunit nuclease and ATPase,protein-coding,-,-,-,putative terminase subunit nuclease and ATPase,20210608,-
2576882,65056653,KMC02_gp122,KMC02_gp122,EcNP1_gp123,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20210608,-
2576882,65056654,KMC02_gp123,KMC02_gp123,EcNP1_gp124,-,-,-,tail tube monomer,protein-coding,-,-,-,tail tube monomer,20210609,-
2576882,65056655,KMC02_gp124,KMC02_gp124,EcNP1_gp125,-,-,-,portal vertex of the head,protein-coding,-,-,-,portal vertex of the head,20210609,-
2576882,65056656,KMC02_gp125,KMC02_gp125,EcNP1_gp126,-,-,-,putative prohead core,protein-coding,-,-,-,putative prohead core,20210608,-
2576882,65056657,KMC02_gp126,KMC02_gp126,EcNP1_gp127,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20210608,-
2576882,65056658,KMC02_gp127,KMC02_gp127,EcNP1_gp128,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20210612,-
2576882,65056659,KMC02_gp128,KMC02_gp128,EcNP1_gp129,-,-,-,putative prohead core scaffold protein,protein-coding,-,-,-,putative prohead core scaffold protein,20210608,-
2576882,65056660,KMC02_gp129,KMC02_gp129,EcNP1_gp130,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210608,-
2576882,65056661,KMC02_gp130,KMC02_gp130,EcNP1_gp131,-,-,-,capsid vertex protein,protein-coding,-,-,-,capsid vertex protein,20210608,-
2576882,65056662,KMC02_gp131,KMC02_gp131,EcNP1_gp132,-,-,-,putative RNA ligase,protein-coding,-,-,-,putative RNA ligase,20210608,-
2576882,65056663,KMC02_gp132,KMC02_gp132,EcNP1_gp133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056664,KMC02_gp133,KMC02_gp133,EcNP1_gp134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056665,KMC02_gp134,KMC02_gp134,EcNP1_gp135,-,-,-,large head outer capsid protein,protein-coding,-,-,-,large head outer capsid protein,20210608,-
2576882,65056666,KMC02_gp135,KMC02_gp135,EcNP1_gp136,-,-,-,minor capsid protein inhibitor of protease,protein-coding,-,-,-,minor capsid protein inhibitor of protease,20210608,-
2576882,65056667,KMC02_gp136,KMC02_gp136,EcNP1_gp137,-,-,-,helicase,protein-coding,-,-,-,helicase,20210608,-
2576882,65056668,KMC02_gp137,KMC02_gp137,EcNP1_gp138,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,protein-coding,-,-,-,RNA-DNA and DNA-DNA helicase ATPase,20210609,-
2576882,65056669,KMC02_gp138,KMC02_gp138,EcNP1_gp139,-,-,-,DUF2685 domain-containing protein,protein-coding,-,-,-,DUF2685 domain-containing protein,20210608,-
2576882,65056670,KMC02_gp139,KMC02_gp139,EcNP1_gp140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056671,KMC02_gp140,KMC02_gp140,EcNP1_gp141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056672,KMC02_gp141,KMC02_gp141,EcNP1_gp142,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20210608,-
2576882,65056673,KMC02_gp142,KMC02_gp142,EcNP1_gp143,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210608,-
2576882,65056674,KMC02_gp143,KMC02_gp143,EcNP1_gp144,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20210608,-
2576882,65056675,KMC02_gp144,KMC02_gp144,EcNP1_gp145,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210609,-
2576882,65056676,KMC02_gp145,KMC02_gp145,EcNP1_gp146,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20210608,-
2576882,65056677,KMC02_gp146,KMC02_gp146,EcNP1_gp147,-,-,-,baseplate hub,protein-coding,-,-,-,baseplate hub,20210608,-
2576882,65056678,KMC02_gp147,KMC02_gp147,EcNP1_gp148,-,-,-,baseplate subunit,protein-coding,-,-,-,baseplate subunit,20210608,-
2576882,65056679,KMC02_gp148,KMC02_gp148,EcNP1_gp149,-,-,-,baseplate tail tube initiator,protein-coding,-,-,-,baseplate tail tube initiator,20210608,-
2576882,65056680,KMC02_gp149,KMC02_gp149,EcNP1_gp150,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2576882,65056681,KMC02_gp150,KMC02_gp150,EcNP1_gp151,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056682,KMC02_gp151,KMC02_gp151,EcNP1_gp152,-,-,-,ADP-ribosyltransferase,protein-coding,-,-,-,ADP-ribosyltransferase,20210608,-
2576882,65056683,KMC02_gp152,KMC02_gp152,EcNP1_gp153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056684,KMC02_gp153,KMC02_gp153,EcNP1_gp154,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20210608,-
2576882,65056685,KMC02_gp154,KMC02_gp154,EcNP1_gp155,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056686,KMC02_gp155,KMC02_gp155,EcNP1_gp156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056687,KMC02_gp156,KMC02_gp156,EcNP1_gp157,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056688,KMC02_gp157,KMC02_gp157,EcNP1_gp158,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056689,KMC02_gp158,KMC02_gp158,EcNP1_gp159,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056690,KMC02_gp159,KMC02_gp159,EcNP1_gp160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056691,KMC02_gp160,KMC02_gp160,EcNP1_gp161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2576882,65056692,KMC02_gp161,KMC02_gp161,EcNP1_gp162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056693,KMC02_gp162,KMC02_gp162,EcNP1_gp163,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056694,KMC02_gp163,KMC02_gp163,EcNP1_gp164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056695,KMC02_gp164,KMC02_gp164,EcNP1_gp165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210612,-
2576882,65056696,KMC02_gp165,KMC02_gp165,EcNP1_gp166,-,-,-,DUF2693 domain-containing protein,protein-coding,-,-,-,DUF2693 domain-containing protein,20210608,-
2576882,65056697,KMC02_gp166,KMC02_gp166,EcNP1_gp167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056698,KMC02_gp167,KMC02_gp167,EcNP1_gp168,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210608,-
2576882,65056699,KMC02_gp168,KMC02_gp168,EcNP1_gp169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056700,KMC02_gp169,KMC02_gp169,EcNP1_gp170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056701,KMC02_gp170,KMC02_gp170,EcNP1_gp171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056702,KMC02_gp171,KMC02_gp171,EcNP1_gp172,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056703,KMC02_gp172,KMC02_gp172,EcNP1_gp173,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2576882,65056704,KMC02_gp173,KMC02_gp173,EcNP1_gp174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
