#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2517951,60336206,2,I5J42_gp02,SEA_GREASELIGHTNIN_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2517951,60336218,14,I5J42_gp14,SEA_GREASELIGHTNIN_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2517951,60336219,16,I5J42_gp15,SEA_GREASELIGHTNIN_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2517951,60336220,17,I5J42_gp17,SEA_GREASELIGHTNIN_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2517951,60336221,15,I5J42_gp16,SEA_GREASELIGHTNIN_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2517951,60336222,18,I5J42_gp18,SEA_GREASELIGHTNIN_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2517951,60336223,19,I5J42_gp19,SEA_GREASELIGHTNIN_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2517951,60336224,20,I5J42_gp20,SEA_GREASELIGHTNIN_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2517951,60336225,21,I5J42_gp21,SEA_GREASELIGHTNIN_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2517951,60336226,22,I5J42_gp22,SEA_GREASELIGHTNIN_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2517951,60336227,23,I5J42_gp23,SEA_GREASELIGHTNIN_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336228,24,I5J42_gp24,SEA_GREASELIGHTNIN_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336229,25,I5J42_gp25,SEA_GREASELIGHTNIN_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336230,26,I5J42_gp26,SEA_GREASELIGHTNIN_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2517951,60336231,27,I5J42_gp27,SEA_GREASELIGHTNIN_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2517951,60336232,28,I5J42_gp28,SEA_GREASELIGHTNIN_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2517951,60336233,29,I5J42_gp29,SEA_GREASELIGHTNIN_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336234,30,I5J42_gp30,SEA_GREASELIGHTNIN_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210403,-
2517951,60336235,31,I5J42_gp31,SEA_GREASELIGHTNIN_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2517951,60336236,32,I5J42_gp32,SEA_GREASELIGHTNIN_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2517951,60336237,33,I5J42_gp33,SEA_GREASELIGHTNIN_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336238,34,I5J42_gp34,SEA_GREASELIGHTNIN_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2517951,60336239,35,I5J42_gp35,SEA_GREASELIGHTNIN_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336240,36,I5J42_gp36,SEA_GREASELIGHTNIN_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336241,37,I5J42_gp37,SEA_GREASELIGHTNIN_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336242,38,I5J42_gp38,SEA_GREASELIGHTNIN_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336243,39,I5J42_gp39,SEA_GREASELIGHTNIN_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336244,40,I5J42_gp40,SEA_GREASELIGHTNIN_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336245,41,I5J42_gp41,SEA_GREASELIGHTNIN_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336246,42,I5J42_gp42,SEA_GREASELIGHTNIN_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336247,43,I5J42_gp43,SEA_GREASELIGHTNIN_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336248,44,I5J42_gp44,SEA_GREASELIGHTNIN_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336249,45,I5J42_gp45,SEA_GREASELIGHTNIN_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336250,46,I5J42_gp46,SEA_GREASELIGHTNIN_46,-,-,-,RecB-like exonuclease/helicase,protein-coding,-,-,-,RecB-like exonuclease/helicase,20210424,-
2517951,60336251,47,I5J42_gp47,SEA_GREASELIGHTNIN_47,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210123,-
2517951,60336252,48,I5J42_gp48,SEA_GREASELIGHTNIN_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336253,49,I5J42_gp49,SEA_GREASELIGHTNIN_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336254,50,I5J42_gp50,SEA_GREASELIGHTNIN_50,-,-,-,FtsK-like DNA translocase,protein-coding,-,-,-,FtsK-like DNA translocase,20210116,-
2517951,60336255,51,I5J42_gp51,SEA_GREASELIGHTNIN_51,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210403,-
2517951,60336256,52,I5J42_gp52,SEA_GREASELIGHTNIN_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336257,53,I5J42_gp53,SEA_GREASELIGHTNIN_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336258,54,I5J42_gp54,SEA_GREASELIGHTNIN_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336259,55,I5J42_gp55,SEA_GREASELIGHTNIN_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336260,56,I5J42_gp56,SEA_GREASELIGHTNIN_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336261,57,I5J42_gp57,SEA_GREASELIGHTNIN_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336262,58,I5J42_gp58,SEA_GREASELIGHTNIN_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2517951,60336263,59,I5J42_gp59,SEA_GREASELIGHTNIN_59,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2517951,60336264,60,I5J42_gp60,SEA_GREASELIGHTNIN_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336265,61,I5J42_gp61,SEA_GREASELIGHTNIN_61,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210212,-
2517951,60336266,62,I5J42_gp62,SEA_GREASELIGHTNIN_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336267,63,I5J42_gp63,SEA_GREASELIGHTNIN_63,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2517951,60336268,64,I5J42_gp64,SEA_GREASELIGHTNIN_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336269,65,I5J42_gp65,SEA_GREASELIGHTNIN_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336270,66,I5J42_gp66,SEA_GREASELIGHTNIN_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336271,67,I5J42_gp67,SEA_GREASELIGHTNIN_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336272,68,I5J42_gp68,SEA_GREASELIGHTNIN_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336273,69,I5J42_gp69,SEA_GREASELIGHTNIN_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336274,70,I5J42_gp70,SEA_GREASELIGHTNIN_70,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201130,-
2517951,60336275,71,I5J42_gp71,SEA_GREASELIGHTNIN_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336276,72,I5J42_gp72,SEA_GREASELIGHTNIN_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336277,73,I5J42_gp73,SEA_GREASELIGHTNIN_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336278,74,I5J42_gp74,SEA_GREASELIGHTNIN_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336279,76,I5J42_gp76,SEA_GREASELIGHTNIN_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336280,77,I5J42_gp77,SEA_GREASELIGHTNIN_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336281,78,I5J42_gp78,SEA_GREASELIGHTNIN_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336282,79,I5J42_gp79,SEA_GREASELIGHTNIN_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2517951,60336283,80,I5J42_gp80,SEA_GREASELIGHTNIN_80,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201130,-
2517951,60336284,75,I5J42_gp75,SEA_GREASELIGHTNIN_75,-,-,-,ribbon-helix-helix DNA binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA binding domain protein,20210424,-
2517951,60336285,1,I5J42_gp01,SEA_GREASELIGHTNIN_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201130,-
2517951,60350513,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201202,-
