#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1815955,29059148,BI048_gp07,BI048_gp07,PlgT1_7,-,-,-,CHAP domain-containing protein,protein-coding,-,-,-,CHAP domain-containing protein,20201221,-
1815955,29059177,BI048_gp31,BI048_gp31,PlgT1_31,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200629,-
1815955,29059178,BI048_gp32,BI048_gp32,PlgT1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059179,BI048_gp33,BI048_gp33,PlgT1_33,-,-,-,DUF722 domain-containing protein,protein-coding,-,-,-,DUF722 domain-containing protein,20210424,-
1815955,29059180,BI048_gp34,BI048_gp34,PlgT1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059181,BI048_gp35,BI048_gp35,PlgT1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059182,BI048_gp36,BI048_gp36,PlgT1_36,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200629,-
1815955,29059183,BI048_gp37,BI048_gp37,PlgT1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059184,BI048_gp38,BI048_gp38,PlgT1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059185,BI048_gp39,BI048_gp39,PlgT1_39,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201221,-
1815955,29059186,BI048_gp40,BI048_gp40,PlgT1_40,-,-,-,winged helix-turn-helix domain-containing protein,protein-coding,-,-,-,winged helix-turn-helix domain-containing protein,20201221,-
1815955,29059187,BI048_gp41,BI048_gp41,PlgT1_41,-,-,-,DUF1642 domain-containing protein,protein-coding,-,-,-,DUF1642 domain-containing protein,20201221,-
1815955,29059188,BI048_gp42,BI048_gp42,PlgT1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059189,BI048_gp43,BI048_gp43,PlgT1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059190,BI048_gp44,BI048_gp44,PlgT1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059191,BI048_gp45,BI048_gp45,PlgT1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059192,BI048_gp46,BI048_gp46,PlgT1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059193,BI048_gp47,BI048_gp47,PlgT1_47,-,-,-,DUF1031 family protein,protein-coding,-,-,-,DUF1031 family protein,20210417,-
1815955,29059194,BI048_gp48,BI048_gp48,PlgT1_48,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1815955,29059195,BI048_gp49,BI048_gp49,PlgT1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059196,BI048_gp50,BI048_gp50,PlgT1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059197,BI048_gp51,BI048_gp51,PlgT1_51,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1815955,29059198,BI048_gp52,BI048_gp52,PlgT1_52,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20200629,-
1815955,29059199,BI048_gp53,BI048_gp53,PlgT1_53,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1815955,29059200,BI048_gp54,BI048_gp54,PlgT1_54,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1815955,29059201,BI048_gp55,BI048_gp55,PlgT1_55,-,-,-,siphovirus Gp157 family protein,protein-coding,-,-,-,siphovirus Gp157 family protein,20201221,-
1815955,29059202,BI048_gp56,BI048_gp56,PlgT1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059203,BI048_gp57,BI048_gp57,PlgT1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059204,BI048_gp58,BI048_gp58,PlgT1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059205,BI048_gp59,BI048_gp59,PlgT1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059206,BI048_gp60,BI048_gp60,PlgT1_60,-,-,-,antirepressor Ant,protein-coding,-,-,-,antirepressor Ant,20201221,-
1815955,29059207,BI048_gp61,BI048_gp61,PlgT1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059208,BI048_gp62,BI048_gp62,PlgT1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059209,BI048_gp63,BI048_gp63,PlgT1_63,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20201221,-
1815955,29059210,BI048_gp64,BI048_gp64,PlgT1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29059211,BI048_gp65,BI048_gp65,PlgT1_65,-,-,-,immunity region,protein-coding,-,-,-,immunity region,20200629,-
1815955,29059212,BI048_gp66,BI048_gp66,PlgT1_66,-,-,-,site-specific integrase,protein-coding,-,-,-,site-specific integrase,20201221,-
1815955,29059213,BI048_gp01,BI048_gp01,PlgT1_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1815955,29139906,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus garvieae phage PLgT-1).,other,-,-,-,-,20200513,-
