#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027893,60328075,I5H33_gp002,I5H33_gp002,SEA_EMMA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2027893,60328121,I5H33_gp055,I5H33_gp055,SEA_EMMA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328122,I5H33_gp056,I5H33_gp056,SEA_EMMA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328123,I5H33_gp057,I5H33_gp057,SEA_EMMA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328124,I5H33_gp058,I5H33_gp058,SEA_EMMA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2027893,60328125,I5H33_gp059,I5H33_gp059,SEA_EMMA_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210212,-
2027893,60328126,I5H33_gp060,I5H33_gp060,SEA_EMMA_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2027893,60328127,I5H33_gp061,I5H33_gp061,SEA_EMMA_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2027893,60328128,I5H33_gp062,I5H33_gp062,SEA_EMMA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328129,I5H33_gp063,I5H33_gp063,SEA_EMMA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328130,I5H33_gp064,I5H33_gp064,SEA_EMMA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328131,I5H33_gp065,I5H33_gp065,SEA_EMMA_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027893,60328132,I5H33_gp066,I5H33_gp066,SEA_EMMA_66,-,-,-,AAA ATPase,protein-coding,-,-,-,AAA ATPase,20210424,-
2027893,60328133,I5H33_gp067,I5H33_gp067,SEA_EMMA_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027893,60328134,I5H33_gp068,I5H33_gp068,SEA_EMMA_68,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2027893,60328135,I5H33_gp069,I5H33_gp069,SEA_EMMA_69,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2027893,60328136,I5H33_gp070,I5H33_gp070,SEA_EMMA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328137,I5H33_gp071,I5H33_gp071,SEA_EMMA_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328138,I5H33_gp072,I5H33_gp072,SEA_EMMA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328139,I5H33_gp073,I5H33_gp073,SEA_EMMA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328140,I5H33_gp075,I5H33_gp075,SEA_EMMA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328141,I5H33_gp076,I5H33_gp076,SEA_EMMA_76,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
2027893,60328142,I5H33_gp077,I5H33_gp077,SEA_EMMA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328143,I5H33_gp078,I5H33_gp078,SEA_EMMA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328144,I5H33_gp079,I5H33_gp079,SEA_EMMA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328145,I5H33_gp081,I5H33_gp081,SEA_EMMA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328146,I5H33_gp082,I5H33_gp082,SEA_EMMA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328147,I5H33_gp083,I5H33_gp083,SEA_EMMA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328148,I5H33_gp084,I5H33_gp084,SEA_EMMA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2027893,60328149,I5H33_gp085,I5H33_gp085,SEA_EMMA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328150,I5H33_gp087,I5H33_gp087,SEA_EMMA_87,-,-,-,MPME protein,protein-coding,-,-,-,MPME protein,20201129,-
2027893,60328151,I5H33_gp088,I5H33_gp088,SEA_EMMA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328152,I5H33_gp089,I5H33_gp089,SEA_EMMA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328153,I5H33_gp090,I5H33_gp090,SEA_EMMA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328154,I5H33_gp091,I5H33_gp091,SEA_EMMA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328155,I5H33_gp092,I5H33_gp092,SEA_EMMA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328156,I5H33_gp093,I5H33_gp093,SEA_EMMA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210116,-
2027893,60328157,I5H33_gp094,I5H33_gp094,SEA_EMMA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328158,I5H33_gp096,I5H33_gp096,SEA_EMMA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328159,I5H33_gp097,I5H33_gp097,SEA_EMMA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328160,I5H33_gp098,I5H33_gp098,SEA_EMMA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328161,I5H33_gp099,I5H33_gp099,SEA_EMMA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2027893,60328162,I5H33_gp100,I5H33_gp100,SEA_EMMA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328163,I5H33_gp101,I5H33_gp101,SEA_EMMA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328164,I5H33_gp102,I5H33_gp102,SEA_EMMA_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328165,I5H33_gp103,I5H33_gp103,SEA_EMMA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328166,I5H33_gp104,I5H33_gp104,SEA_EMMA_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328167,I5H33_gp105,I5H33_gp105,SEA_EMMA_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328168,I5H33_gp106,I5H33_gp106,SEA_EMMA_106,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2027893,60328169,I5H33_gp107,I5H33_gp107,SEA_EMMA_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328170,I5H33_gp108,I5H33_gp108,SEA_EMMA_108,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2027893,60328171,I5H33_gp109,I5H33_gp109,SEA_EMMA_109,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2027893,60328172,I5H33_gp018,I5H33_gp018,SEA_EMMA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2027893,60328173,I5H33_gp053,I5H33_gp053,SEA_EMMA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328174,I5H33_gp003,I5H33_gp003,SEA_EMMA_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2027893,60328175,I5H33_gp005,I5H33_gp005,SEA_EMMA_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2027893,60328176,I5H33_gp013,I5H33_gp013,SEA_EMMA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2027893,60328177,I5H33_gp074,I5H33_gp074,SEA_EMMA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328178,I5H33_gp080,I5H33_gp080,SEA_EMMA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328179,I5H33_gp050,I5H33_gp050,SEA_EMMA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328180,I5H33_gp086,I5H33_gp086,SEA_EMMA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328181,I5H33_gp095,I5H33_gp095,SEA_EMMA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328182,I5H33_gp039,I5H33_gp039,SEA_EMMA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027893,60328183,I5H33_gp001,I5H33_gp001,SEA_EMMA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2027893,60338617,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
