#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1777064,28800102,BH775_gp02,BH775_gp02,PAEP54_00020,-,-,-,DNA cytosine methyltransferase,protein-coding,-,-,-,DNA cytosine methyltransferase,20200629,-
1777064,28800157,BH775_gp57,BH775_gp57,PAEP54_00570,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800158,BH775_gp58,BH775_gp58,PAEP54_00580,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800159,BH775_gp59,BH775_gp59,PAEP54_00590,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800160,BH775_gp60,BH775_gp60,PAEP54_00600,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800161,BH775_gp61,BH775_gp61,PAEP54_00610,-,-,-,carbon storage regulator CsrA,protein-coding,-,-,-,carbon storage regulator CsrA,20201221,-
1777064,28800162,BH775_gp62,BH775_gp62,PAEP54_00620,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800163,BH775_gp63,BH775_gp63,PAEP54_00630,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800164,BH775_gp64,BH775_gp64,PAEP54_00640,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800165,BH775_gp65,BH775_gp65,PAEP54_00650,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800166,BH775_gp66,BH775_gp66,PAEP54_00660,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800167,BH775_gp67,BH775_gp67,PAEP54_00670,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1777064,28800168,BH775_gp68,BH775_gp68,PAEP54_00680,-,-,-,PD-(D/E)XK nuclease family protein,protein-coding,-,-,-,PD-(D/E)XK nuclease family protein,20201221,-
1777064,28800169,BH775_gp69,BH775_gp69,PAEP54_00690,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800170,BH775_gp70,BH775_gp70,PAEP54_00700,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800171,BH775_gp71,BH775_gp71,PAEP54_00710,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1777064,28800172,BH775_gp72,BH775_gp72,PAEP54_00720,-,-,-,DNA translocase FtsK,protein-coding,-,-,-,DNA translocase FtsK,20201221,-
1777064,28800173,BH775_gp73,BH775_gp73,PAEP54_00730,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1777064,28800174,BH775_gp01,BH775_gp01,PAEP54_00010,-,-,-,DNA methylase N-4,protein-coding,-,-,-,DNA methylase N-4,20201221,-
1777064,29122342,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Pseudomonas phage YMC11/07/P54).,other,-,-,-,-,20200513,-
