#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686233,60321362,2,I5G63_gp002,PBI_IMVUBU_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210313,-
2686233,60321416,56,I5G63_gp056,PBI_IMVUBU_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686233,60321417,57,I5G63_gp057,PBI_IMVUBU_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321418,58,I5G63_gp058,PBI_IMVUBU_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321419,59,I5G63_gp059,PBI_IMVUBU_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321420,60,I5G63_gp060,PBI_IMVUBU_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321421,61,I5G63_gp061,PBI_IMVUBU_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686233,60321422,62,I5G63_gp062,PBI_IMVUBU_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321423,63,I5G63_gp063,PBI_IMVUBU_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321424,64,I5G63_gp064,PBI_IMVUBU_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321425,65,I5G63_gp065,PBI_IMVUBU_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321426,66,I5G63_gp066,PBI_IMVUBU_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321427,67,I5G63_gp067,PBI_IMVUBU_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321428,68,I5G63_gp068,PBI_IMVUBU_68,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201129,-
2686233,60321429,69,I5G63_gp069,PBI_IMVUBU_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321430,70,I5G63_gp070,PBI_IMVUBU_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321431,71,I5G63_gp071,PBI_IMVUBU_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321432,72,I5G63_gp072,PBI_IMVUBU_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321433,73,I5G63_gp073,PBI_IMVUBU_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321434,74,I5G63_gp074,PBI_IMVUBU_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321435,75,I5G63_gp075,PBI_IMVUBU_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321436,76,I5G63_gp076,PBI_IMVUBU_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321437,77,I5G63_gp077,PBI_IMVUBU_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321438,78,I5G63_gp078,PBI_IMVUBU_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321439,79,I5G63_gp079,PBI_IMVUBU_79,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210313,-
2686233,60321440,80,I5G63_gp080,PBI_IMVUBU_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321441,82,I5G63_gp082,PBI_IMVUBU_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321442,83,I5G63_gp083,PBI_IMVUBU_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321443,84,I5G63_gp084,PBI_IMVUBU_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321444,85,I5G63_gp085,PBI_IMVUBU_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321445,86,I5G63_gp086,PBI_IMVUBU_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321446,87,I5G63_gp087,PBI_IMVUBU_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321447,88,I5G63_gp088,PBI_IMVUBU_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321448,89,I5G63_gp089,PBI_IMVUBU_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321449,90,I5G63_gp090,PBI_IMVUBU_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321450,91,I5G63_gp091,PBI_IMVUBU_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321451,92,I5G63_gp092,PBI_IMVUBU_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321452,93,I5G63_gp093,PBI_IMVUBU_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321453,94,I5G63_gp094,PBI_IMVUBU_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321454,95,I5G63_gp095,PBI_IMVUBU_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321455,96,I5G63_gp096,PBI_IMVUBU_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321456,97,I5G63_gp097,PBI_IMVUBU_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321457,98,I5G63_gp098,PBI_IMVUBU_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321458,99,I5G63_gp099,PBI_IMVUBU_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321459,100,I5G63_gp100,PBI_IMVUBU_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321460,101,I5G63_gp101,PBI_IMVUBU_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321461,102,I5G63_gp102,PBI_IMVUBU_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321462,81,I5G63_gp081,PBI_IMVUBU_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2686233,60321463,1,I5G63_gp001,PBI_IMVUBU_1,-,-,-,HicA-like toxin,protein-coding,-,-,-,HicA-like toxin,20210313,-
2686233,60338821,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
