#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1846168,54976079,HOR15_gp02,HOR15_gp02,LVP1_g002,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210327,-
1846168,54976102,HOR15_gp64,HOR15_gp64,LVP1_g025,-,-,-,recombinase/integrase,protein-coding,-,-,-,recombinase/integrase,20210327,-
1846168,54976103,HOR15_gp63,HOR15_gp63,LVP1_g026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976104,HOR15_gp62,HOR15_gp62,LVP1_g027,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210327,-
1846168,54976105,HOR15_gp61,HOR15_gp61,LVP1_g028,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
1846168,54976106,HOR15_gp60,HOR15_gp60,LVP1_g029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976107,HOR15_gp59,HOR15_gp59,LVP1_g030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976108,HOR15_gp58,HOR15_gp58,LVP1_g031,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
1846168,54976109,HOR15_gp57,HOR15_gp57,LVP1_g032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976110,HOR15_gp56,HOR15_gp56,LVP1_g033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976111,HOR15_gp55,HOR15_gp55,LVP1_g034,-,-,-,extracellular transglycosylase,protein-coding,-,-,-,extracellular transglycosylase,20210327,-
1846168,54976112,HOR15_gp54,HOR15_gp54,LVP1_g035,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
1846168,54976113,HOR15_gp53,HOR15_gp53,LVP1_g036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976114,HOR15_gp52,HOR15_gp52,LVP1_g037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976115,HOR15_gp51,HOR15_gp51,LVP1_g038,-,-,-,PemK family transcriptional regulator,protein-coding,-,-,-,PemK family transcriptional regulator,20210327,-
1846168,54976116,HOR15_gp50,HOR15_gp50,LVP1_g039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976117,HOR15_gp49,HOR15_gp49,LVP1_g040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976118,HOR15_gp48,HOR15_gp48,LVP1_g041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976119,HOR15_gp47,HOR15_gp47,LVP1_g042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976120,HOR15_gp46,HOR15_gp46,LVP1_g043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976121,HOR15_gp45,HOR15_gp45,LVP1_g044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976122,HOR15_gp44,HOR15_gp44,LVP1_g045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976123,HOR15_gp43,HOR15_gp43,LVP1_g046,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
1846168,54976124,HOR15_gp42,HOR15_gp42,LVP1_g047,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210327,-
1846168,54976125,HOR15_gp41,HOR15_gp41,LVP1_g048,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200910,-
1846168,54976126,HOR15_gp40,HOR15_gp40,LVP1_g049,-,-,-,ATP/GTP-binding protein,protein-coding,-,-,-,ATP/GTP-binding protein,20210327,-
1846168,54976127,HOR15_gp39,HOR15_gp39,LVP1_g050,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976128,HOR15_gp38,HOR15_gp38,LVP1_g051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976129,HOR15_gp37,HOR15_gp37,LVP1_g052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976130,HOR15_gp36,HOR15_gp36,LVP1_g053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976131,HOR15_gp35,HOR15_gp35,LVP1_g054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976132,HOR15_gp34,HOR15_gp34,LVP1_g055,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210327,-
1846168,54976133,HOR15_gp33,HOR15_gp33,LVP1_g056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976134,HOR15_gp32,HOR15_gp32,LVP1_g057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976135,HOR15_gp31,HOR15_gp31,LVP1_g058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976136,HOR15_gp30,HOR15_gp30,LVP1_g059,-,-,-,deoxynucleoside kinase,protein-coding,-,-,-,deoxynucleoside kinase,20210327,-
1846168,54976137,HOR15_gp29,HOR15_gp29,LVP1_g060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976138,HOR15_gp28,HOR15_gp28,LVP1_g061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976139,HOR15_gp27,HOR15_gp27,LVP1_g062,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210327,-
1846168,54976140,HOR15_gp26,HOR15_gp26,LVP1_g063,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210327,-
1846168,54976141,HOR15_gp25,HOR15_gp25,LVP1_g064,-,-,-,single-stranded-DNA-specific exonuclease,protein-coding,-,-,-,single-stranded-DNA-specific exonuclease,20210327,-
1846168,54976142,HOR15_gp24,HOR15_gp24,LVP1_g065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976143,HOR15_gp23,HOR15_gp23,LVP1_g066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976144,HOR15_gp22,HOR15_gp22,LVP1_g067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976145,HOR15_gp21,HOR15_gp21,LVP1_g068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976146,HOR15_gp20,HOR15_gp20,LVP1_g069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976147,HOR15_gp19,HOR15_gp19,LVP1_g070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976148,HOR15_gp18,HOR15_gp18,LVP1_g071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976149,HOR15_gp17,HOR15_gp17,LVP1_g072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976150,HOR15_gp16,HOR15_gp16,LVP1_g073,-,-,-,putative DNA binding protein,protein-coding,-,-,-,putative DNA binding protein,20210327,-
1846168,54976151,HOR15_gp15,HOR15_gp15,LVP1_g074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976152,HOR15_gp14,HOR15_gp14,LVP1_g075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976153,HOR15_gp13,HOR15_gp13,LVP1_g076,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976154,HOR15_gp12,HOR15_gp12,LVP1_g077,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976155,HOR15_gp11,HOR15_gp11,LVP1_g078,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976156,HOR15_gp10,HOR15_gp10,LVP1_g079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976157,HOR15_gp09,HOR15_gp09,LVP1_g080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
1846168,54976158,HOR15_gp08,HOR15_gp08,LVP1_g081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976159,HOR15_gp07,HOR15_gp07,LVP1_g082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976160,HOR15_gp06,HOR15_gp06,LVP1_g083,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976161,HOR15_gp05,HOR15_gp05,LVP1_g084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976162,HOR15_gp04,HOR15_gp04,LVP1_g085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976163,HOR15_gp03,HOR15_gp03,LVP1_g086,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20210327,-
1846168,54976164,HOR15_gp86,HOR15_gp86,LVP1_g003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1846168,54976165,HOR15_gp85,HOR15_gp85,LVP1_g004,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210327,-
1846168,54976166,HOR15_gp01,HOR15_gp01,LVP1_g001,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210327,-
1846168,55153134,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus virulent phage P1).,other,-,-,-,-,20200518,-
