#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5741,3974679,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Giardia duodenalis; Giardia lamblia; Lamblia intestinalis).,other,-,-,-,-,20201024,-
5741,5696845,GL50803_00115787,GL50803_00115787,GL50803_115787,-,3,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20210424,-
5741,5696848,GL50803_0012160,GL50803_0012160,GL50803_12160,-,3,-,putative Yip interacting protein,protein-coding,-,-,-,putative Yip interacting protein,20201210,-
5741,5696850,GL50803_0012162,GL50803_0012162,GL50803_12162,-,3,-,Phenylalanyl-tRNA synthetase alpha chain,protein-coding,-,-,-,Phenylalanyl-tRNA synthetase alpha chain,20201210,-
5741,5696851,GL50803_00111938,GL50803_00111938,GL50803_15965,-,3,-,"Kinase, NEK",pseudo,-,-,-,-,20201210,-
5741,5696852,GL50803_0012163,GL50803_0012163,GL50803_12163,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696853,GL50803_0012164,GL50803_0012164,GL50803_12164,-,3,-,putative Small nuclear ribonucleoprotein Sm D3,protein-coding,-,-,-,putative Small nuclear ribonucleoprotein Sm D3,20201210,-
5741,5696854,GL50803_00135002,GL50803_00135002,GL50803_135002,-,3,-,Histone H4,protein-coding,-,-,-,Histone H4,20201210,-
5741,5696855,GL50803_0061934,GL50803_0061934,GL50803_111938,-,Unknown,-,"Kinase, NEK",pseudo,-,-,-,-,20201210,-
5741,5696857,GL50803_00137613,GL50803_00137613,GL50803_137613,-,3,-,VSP with INR,protein-coding,-,-,-,VSP with INR,20201210,-
5741,5696859,GL50803_0029774,GL50803_0029774,GL50803_29774,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696860,GL50803_0015591,GL50803_0015591,GL50803_15591,-,3,-,Coiled-coil protein,protein-coding,-,-,-,Coiled-coil protein,20210424,-
5741,5696861,GL50803_0012157,GL50803_0012157,GL50803_12157,-,3,-,RabJ-like protein,protein-coding,-,-,-,RabJ-like protein,20201210,-
5741,5696863,GL50803_00100887,GL50803_00100887,GL50803_100887,-,3,-,putative Methyltransferase,protein-coding,-,-,-,putative Methyltransferase,20201210,-
5741,5696864,GL50803_0016985,GL50803_0016985,GL50803_16985,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5741,5696865,GL50803_0013653,GL50803_0013653,GL50803_13653,-,5,-,ERCC4 domain-containing protein,protein-coding,-,-,-,ERCC4 domain-containing protein,20210424,-
5741,5696866,GL50803_0013652,GL50803_0013652,GL50803_13652,-,5,-,Calmodulin,protein-coding,-,-,-,Calmodulin,20201210,-
5741,5696870,GL50803_00137706,GL50803_00137706,GL50803_137706,-,5,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20201210,-
5741,5696871,GL50803_009665,GL50803_009665,GL50803_9665,-,5,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20201210,-
5741,5696872,GL50803_0023630,GL50803_0023630,GL50803_23630,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696873,GL50803_009668,GL50803_009668,GL50803_9668,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696875,GL50803_0015011,GL50803_0015011,GL50803_15011,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696876,GL50803_009662,GL50803_009662,GL50803_9662,-,5,-,"Ferredoxin Fd1, Fd2",protein-coding,-,-,-,"Ferredoxin Fd1, Fd2",20201210,-
5741,5696877,GL50803_00101994,GL50803_00101994,GL50803_101994,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696878,GL50803_0023634,GL50803_0023634,GL50803_23634,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696879,GL50803_009658,GL50803_009658,GL50803_9658,-,5,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20201210,-
5741,5696880,GL50803_009659,GL50803_009659,GL50803_9659,-,5,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696881,GL50803_004558,GL50803_004558,GL50803_4558,-,5,-,putative Deoxyguanosine kinase/deoxyadenosine kinase subunit,protein-coding,-,-,-,putative Deoxyguanosine kinase/deoxyadenosine kinase subunit,20201210,-
5741,5696883,GL50803_002352,GL50803_002352,GL50803_2352,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696885,GL50803_0017043,GL50803_0017043,GL50803_17043,-,1,-,Glyceraldehyde 3-phosphate dehydrogenase,protein-coding,-,-,-,Glyceraldehyde 3-phosphate dehydrogenase,20201210,-
5741,5696887,GL50803_002201,GL50803_002201,GL50803_2201,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696889,GL50803_0014347,GL50803_0014347,GL50803_14347,-,1,-,FHA domain-containing protein,protein-coding,-,-,-,FHA domain-containing protein,20201210,-
5741,5696890,GL50803_0014345,GL50803_0014345,GL50803_14345,-,1,-,Chromosome segregation protein,protein-coding,-,-,-,Chromosome segregation protein,20201210,-
5741,5696891,GL50803_002351,GL50803_002351,GL50803_2351,-,1,-,Ankyrin repeat protein 2,protein-coding,-,-,-,Ankyrin repeat protein 2,20201210,-
5741,5696892,GL50803_0012981,GL50803_0012981,GL50803_12981,-,1,-,Ribosomal protein S5,protein-coding,-,-,-,Ribosomal protein S5,20201210,-
5741,5696893,GL50803_0033866,GL50803_0033866,GL50803_33866,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696896,GL50803_0017046,GL50803_0017046,GL50803_17046,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5696898,GL50803_0033870,GL50803_0033870,GL50803_33870,-,1,-,Ferrihemoglobin reductase,protein-coding,-,-,-,Ferrihemoglobin reductase,20201210,-
5741,5696900,GL50803_00115469,GL50803_00115469,GL50803_115469,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696902,GL50803_0012828,GL50803_0012828,GL50803_12828,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696904,GL50803_001875,GL50803_001875,GL50803_1875,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696905,GL50803_0017044,GL50803_0017044,GL50803_17044,-,1,-,Tat binding protein 1(TBP-1)-interacting protein,protein-coding,-,-,-,Tat binding protein 1(TBP-1)-interacting protein,20201210,-
5741,5696909,GL50803_0016313,GL50803_0016313,GL50803_16313,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696910,GL50803_008044,GL50803_008044,GL50803_8044,-,5,-,Seven transmembrane protein 1,protein-coding,-,-,-,Seven transmembrane protein 1,20201210,-
5741,5696912,GL50803_0016310,GL50803_0016310,GL50803_16310,-,5,-,Ribosomal protein L27a,protein-coding,-,-,-,Ribosomal protein L27a,20201210,-
5741,5696913,GL50803_0016311,GL50803_0016311,GL50803_16311,-,5,-,Centromere/microtubule binding protein CBF5,protein-coding,-,-,-,Centromere/microtubule binding protein CBF5,20201210,-
5741,5696914,GL50803_002452,GL50803_002452,GL50803_2452,-,5,-,Ornithine cyclodeaminase,protein-coding,-,-,-,Ornithine cyclodeaminase,20201210,-
5741,5696916,GL50803_00114498,GL50803_00114498,GL50803_114498,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696917,GL50803_008037,GL50803_008037,GL50803_8037,-,5,-,"Kinase, CMGC CDK",protein-coding,-,-,-,"Kinase, CMGC CDK",20201210,-
5741,5696919,GL50803_0095162,GL50803_0095162,GL50803_95162,-,5,-,Tenascin-like protein,protein-coding,-,-,-,Tenascin-like protein,20201210,-
5741,5696920,GL50803_008038,GL50803_008038,GL50803_8038,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696922,GL50803_0016312,GL50803_0016312,GL50803_16312,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696923,GL50803_0014614,GL50803_0014614,GL50803_14614,-,5,-,Eukaryotic translation initiation factor 5A,protein-coding,-,-,-,Eukaryotic translation initiation factor 5A,20201210,-
5741,5696924,GL50803_0014615,GL50803_0014615,GL50803_14615,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696925,GL50803_008035,GL50803_008035,GL50803_8035,-,5,-,Ribosome biogenesis protein ERB1,protein-coding,-,-,-,Ribosome biogenesis protein ERB1,20201210,-
5741,5696926,GL50803_0012945,GL50803_0012945,GL50803_12945,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696927,GL50803_0022165,GL50803_0022165,GL50803_22165,-,5,-,"Kinase, STE STE7",protein-coding,-,-,-,"Kinase, STE STE7",20201210,-
5741,5696929,GL50803_0011984,GL50803_0011984,GL50803_11984,-,1,-,Ribosome biogenesis regulatory protein (RRS1),protein-coding,-,-,-,Ribosome biogenesis regulatory protein (RRS1),20201210,-
5741,5696930,GL50803_0015547,GL50803_0015547,GL50803_15547,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696931,GL50803_0015548,GL50803_0015548,GL50803_15548,-,1,-,Kinase,protein-coding,-,-,-,Kinase,20210424,-
5741,5696932,GL50803_0015549,GL50803_0015549,GL50803_15549,-,1,-,putative Dynein binding protein,protein-coding,-,-,-,putative Dynein binding protein,20201210,-
5741,5696933,GL50803_0016761,GL50803_0016761,GL50803_16761,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
5741,5696934,GL50803_0013561,GL50803_0013561,GL50803_13561,-,1,-,Translation elongation factor 1-beta,protein-coding,-,-,-,Translation elongation factor 1-beta,20201210,-
5741,5696935,GL50803_0016760,GL50803_0016760,GL50803_16760,-,1,-,Phenylalanyl-tRNA synthetase beta chain,protein-coding,-,-,-,Phenylalanyl-tRNA synthetase beta chain,20201210,-
5741,5696936,GL50803_0089315,GL50803_0089315,GL50803_89315,-,1,-,VSP,protein-coding,-,-,-,VSP,20210424,-
5741,5696937,GL50803_004202,GL50803_004202,GL50803_4202,-,1,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20201210,-
5741,5696939,GL50803_0011990,GL50803_0011990,GL50803_11990,-,1,-,Myb-like DNA-binding domain-containing protein,protein-coding,-,-,-,Myb-like DNA-binding domain-containing protein,20201210,-
5741,5696940,GL50803_0089285,GL50803_0089285,GL50803_89285,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696941,GL50803_0011992,GL50803_0011992,GL50803_11992,-,1,-,TCP-1 chaperonin subunit epsilon,protein-coding,-,-,-,TCP-1 chaperonin subunit epsilon,20201210,-
5741,5696942,GL50803_004204,GL50803_004204,GL50803_4204,-,1,-,ADP-sugar diphosphatase,protein-coding,-,-,-,ADP-sugar diphosphatase,20201210,-
5741,5696943,GL50803_0011982,GL50803_0011982,GL50803_11982,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696944,GL50803_0015546,GL50803_0015546,GL50803_15546,-,1,-,Translation initiation factor eIF3 subunit,protein-coding,-,-,-,Translation initiation factor eIF3 subunit,20201210,-
5741,5696947,GL50803_0015545,GL50803_0015545,GL50803_15545,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696950,GL50803_0015551,GL50803_0015551,GL50803_15551,-,1,-,Ribosomal protein S18,protein-coding,-,-,-,Ribosomal protein S18,20201210,-
5741,5696951,GL50803_00114546,GL50803_00114546,GL50803_114546,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696952,GL50803_00113213,GL50803_00113213,GL50803_113213,-,5,-,High cysteine membrane protein EGF-like,protein-coding,-,-,-,High cysteine membrane protein EGF-like,20201210,-
5741,5696954,GL50803_0014456,GL50803_0014456,GL50803_14456,-,5,-,Low molecular weight protein-tyrosine-phosphatase,protein-coding,-,-,-,Low molecular weight protein-tyrosine-phosphatase,20201210,-
5741,5696958,GL50803_002732,GL50803_002732,GL50803_2732,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696959,GL50803_00113219,GL50803_00113219,GL50803_113219,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696960,GL50803_0015958,GL50803_0015958,GL50803_15958,-,5,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20201210,-
5741,5696961,GL50803_00103373,GL50803_00103373,GL50803_103373,-,5,-,Alpha-7.1 giardin,protein-coding,-,-,-,Alpha-7.1 giardin,20201210,-
5741,5696962,GL50803_0014586,GL50803_0014586,GL50803_14586,-,5,-,VSP with INR,protein-coding,-,-,-,VSP with INR,20210424,-
5741,5696963,GL50803_007427,GL50803_007427,GL50803_117476,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696965,GL50803_0014457,GL50803_0014457,GL50803_14457,-,5,-,Ribosomal protein L29e,protein-coding,-,-,-,Ribosomal protein L29e,20201210,-
5741,5696966,GL50803_007439,GL50803_007439,GL50803_7439,-,5,-,Ser/Thr phosphatase 2A regulatory subunit A,protein-coding,-,-,-,Ser/Thr phosphatase 2A regulatory subunit A,20201210,-
5741,5696967,GL50803_0024505,GL50803_0024505,GL50803_24505,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696969,GL50803_0013109,GL50803_0013109,GL50803_13109,-,5,-,Ras-related protein,protein-coding,-,-,-,Ras-related protein,20201210,-
5741,5696970,GL50803_0015847,GL50803_0015847,GL50803_15847,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696971,GL50803_0014458,GL50803_0014458,GL50803_14458,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696973,GL50803_007444,GL50803_007444,GL50803_7444,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696977,GL50803_0040244,GL50803_0040244,GL50803_40244,-,3,-,Emp24/gp25L/p24 family/GOLD protein,protein-coding,-,-,-,Emp24/gp25L/p24 family/GOLD protein,20210417,-
5741,5696978,GL50803_002053,GL50803_002053,GL50803_2053,-,3,-,Serine/threonine protein phosphatase,protein-coding,-,-,-,Serine/threonine protein phosphatase,20201210,-
5741,5696979,GL50803_00137754,GL50803_00137754,GL50803_137754,-,3,-,Ubiquitin-protein ligase E3A,protein-coding,-,-,-,Ubiquitin-protein ligase E3A,20201210,-
5741,5696981,GL50803_007538,GL50803_007538,GL50803_7538,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696986,GL50803_0086440,GL50803_0086440,GL50803_86440,-,3,-,Peptidyl-tRNA hydrolase,protein-coding,-,-,-,Peptidyl-tRNA hydrolase,20201210,-
5741,5696987,GL50803_0022138,GL50803_0022138,GL50803_22138,-,3,-,Recombination factor protein RarA,protein-coding,-,-,-,Recombination factor protein RarA,20210424,-
5741,5696988,GL50803_004328,GL50803_004328,GL50803_4328,-,3,-,TFIIH basal transcription factor complex helicase subunit,protein-coding,-,-,-,TFIIH basal transcription factor complex helicase subunit,20201210,-
5741,5696990,GL50803_0028234,GL50803_0028234,GL50803_28234,-,3,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20201210,-
5741,5696991,GL50803_00137753,GL50803_00137753,GL50803_137753,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696993,GL50803_007532,GL50803_007532,GL50803_7532,-,3,-,Vacuolar ATP synthase catalytic subunit A,protein-coding,-,-,-,Vacuolar ATP synthase catalytic subunit A,20201210,-
5741,5696996,GL50803_004329,GL50803_004329,GL50803_4329,-,3,-,Ankyrin repeat protein 2,protein-coding,-,-,-,Ankyrin repeat protein 2,20201210,-
5741,5696997,GL50803_0013601,GL50803_0013601,GL50803_13601,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696998,GL50803_004331,GL50803_004331,GL50803_4331,-,3,-,26S proteasome non-ATPase regulatory subunit 6,protein-coding,-,-,-,26S proteasome non-ATPase regulatory subunit 6,20201210,-
5741,5696999,GL50803_0086431,GL50803_0086431,GL50803_86431,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5697000,GL50803_0086444,GL50803_0086444,GL50803_86444,-,3,-,"Kinase, AGC PKA",protein-coding,-,-,-,"Kinase, AGC PKA",20201210,-
5741,5697002,GL50803_001721,GL50803_001721,GL50803_1721,-,3,-,TATA-binding protein-like factor,protein-coding,-,-,-,TATA-binding protein-like factor,20201210,-
5741,5697003,GL50803_0022136,GL50803_0022136,GL50803_22136,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5697004,GL50803_00t0061,GL50803_00t0061,GL50803_t0061,-,3,-,tRNA,tRNA,-,-,-,-,20201210,-
5741,5697005,GL50803_007533,GL50803_007533,GL50803_7533,-,3,-,Angio-associated migratory cell protein,protein-coding,-,-,-,Angio-associated migratory cell protein,20201210,-
5741,5697006,GL50803_007534,GL50803_007534,GL50803_7534,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5697007,GL50803_0014475,GL50803_0014475,GL50803_14475,-,3,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5697008,GL50803_007537,GL50803_007537,GL50803_7537,-,3,-,"Kinase, CK1 CK1",protein-coding,-,-,-,"Kinase, CK1 CK1",20201210,-
5741,5697013,GL50803_0095786,GL50803_0095786,GL50803_95786,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5697014,GL50803_0095787,GL50803_0095787,GL50803_95787,-,1,-,Dpy-30 motif-containing protein,protein-coding,-,-,-,Dpy-30 motif-containing protein,20201210,-
5741,5697015,GL50803_0095789,GL50803_0095789,GL50803_95789,-,1,-,"Deoxyribonuclease, TatD family",protein-coding,-,-,-,"Deoxyribonuclease, TatD family",20201210,-
5741,5697017,GL50803_0013584,GL50803_0013584,GL50803_13584,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5697018,GL50803_0041212,GL50803_0041212,GL50803_41212,-,1,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20210424,-
5741,5697021,GL50803_0061564,GL50803_0061564,GL50803_32999,-,1,-,Ankyrin repeat protein 3,protein-coding,-,-,-,Ankyrin repeat protein 3,20210424,-
5741,5697022,GL50803_0013329,GL50803_0013329,GL50803_13329,-,3,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5697024,GL50803_0013330,GL50803_0013330,GL50803_13330,-,3,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5697026,GL50803_003367,GL50803_003367,GL50803_3367,-,3,-,histone H3,protein-coding,-,-,-,histone H3,20201210,-
