#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1108865,14014078,F416_gp002,F416_gp002,-,-,-,-,RIIB,protein-coding,-,-,-,RIIB,20210424,-
1108865,14014108,F416_gp032,F416_gp032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014109,F416_gp033,F416_gp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014110,F416_gp034,F416_gp034,-,-,-,-,loader of T4-like helicase,protein-coding,-,-,-,loader of T4-like helicase,20201220,-
1108865,14014111,F416_gp035,F416_gp035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014112,F416_gp036,F416_gp036,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20201220,-
1108865,14014113,F416_gp037,F416_gp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014114,F416_gp038,F416_gp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014115,F416_gp039,F416_gp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014116,F416_gp040,F416_gp040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014117,F416_gp041,F416_gp041,-,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20210313,-
1108865,14014118,F416_gp042,F416_gp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014119,F416_gp043,F416_gp043,-,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20201220,-
1108865,14014120,F416_gp044,F416_gp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014121,F416_gp045,F416_gp045,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20210313,-
1108865,14014122,F416_gp046,F416_gp046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014123,F416_gp047,F416_gp047,-,-,-,-,thymidylate synthase,protein-coding,-,-,-,thymidylate synthase,20210424,-
1108865,14014124,F416_gp048,F416_gp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014125,F416_gp049,F416_gp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014126,F416_gp050,F416_gp050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014127,F416_gp051,F416_gp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014128,F416_gp052,F416_gp052,-,-,-,-,DNA end protector,protein-coding,-,-,-,DNA end protector,20201220,-
1108865,14014129,F416_gp053,F416_gp053,-,-,-,-,baseplate tail tube,protein-coding,-,-,-,baseplate tail tube,20201220,-
1108865,14014130,F416_gp054,F416_gp054,-,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210313,-
1108865,14014131,F416_gp055,F416_gp055,-,-,-,-,late promoter transcription factor,protein-coding,-,-,-,late promoter transcription factor,20210424,-
1108865,14014132,F416_gp056,F416_gp056,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210424,-
1108865,14014133,F416_gp057,F416_gp057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014134,F416_gp058,F416_gp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014135,F416_gp059,F416_gp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014136,F416_gp060,F416_gp060,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20201220,-
1108865,14014137,F416_gp061,F416_gp061,-,-,-,-,tail-associated lysozyme,protein-coding,-,-,-,tail-associated lysozyme,20210424,-
1108865,14014138,F416_gp062,F416_gp062,-,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20210313,-
1108865,14014139,F416_gp063,F416_gp063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014140,F416_gp064,F416_gp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014141,F416_gp065,F416_gp065,-,-,-,-,Nrdb,protein-coding,-,-,-,Nrdb,20210313,-
1108865,14014142,F416_gp066,F416_gp066,-,-,-,-,Nrda,protein-coding,-,-,-,Nrda,20201220,-
1108865,14014143,F416_gp067,F416_gp067,-,-,-,-,phoH-like phosphate starvation-inducible protein,protein-coding,-,-,-,phoH-like phosphate starvation-inducible protein,20210129,-
1108865,14014144,F416_gp068,F416_gp068,-,-,-,-,phage-encoded peptidoglycan binding protein,protein-coding,-,-,-,phage-encoded peptidoglycan binding protein,20210313,-
1108865,14014145,F416_gp069,F416_gp069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014146,F416_gp070,F416_gp070,-,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20201220,-
1108865,14014147,F416_gp071,F416_gp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014148,F416_gp072,F416_gp072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014149,F416_gp073,F416_gp073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014150,F416_gp074,F416_gp074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014151,F416_gp075,F416_gp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014152,F416_gp076,F416_gp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014153,F416_gp077,F416_gp077,-,-,-,-,NrdA.1,protein-coding,-,-,-,NrdA.1,20210424,-
1108865,14014154,F416_gp078,F416_gp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014155,F416_gp079,F416_gp079,-,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20210424,-
1108865,14014156,F416_gp080,F416_gp080,-,-,-,-,recombination protein subunit,protein-coding,-,-,-,recombination protein subunit,20201220,-
1108865,14014157,F416_gp081,F416_gp081,-,-,-,-,sigma factor for late transcription,protein-coding,-,-,-,sigma factor for late transcription,20201220,-
1108865,14014158,F416_gp082,F416_gp082,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20201220,-
1108865,14014159,F416_gp083,F416_gp083,-,-,-,-,RNAse H,protein-coding,-,-,-,RNAse H,20201220,-
1108865,14014160,F416_gp084,F416_gp084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014161,F416_gp085,F416_gp085,-,-,-,-,ATP-dependent helicase,protein-coding,-,-,-,ATP-dependent helicase,20201220,-
1108865,14014162,F416_gp086,F416_gp086,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201220,-
1108865,14014163,F416_gp087,F416_gp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1108865,14014164,F416_gp088,F416_gp088,-,-,-,-,superinfection exclusion protein,protein-coding,-,-,-,superinfection exclusion protein,20210313,-
1108865,14014165,F416_gp089,F416_gp089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014166,F416_gp090,F416_gp090,-,-,-,-,ImpD,protein-coding,-,-,-,ImpD,20201220,-
1108865,14014167,F416_gp091,F416_gp091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014168,F416_gp092,F416_gp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014169,F416_gp093,F416_gp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014170,F416_gp094,F416_gp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014171,F416_gp095,F416_gp095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014172,F416_gp096,F416_gp096,-,-,-,-,acyl carrier protein,protein-coding,-,-,-,acyl carrier protein,20201220,-
1108865,14014173,F416_gp097,F416_gp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014174,F416_gp098,F416_gp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014175,F416_gp099,F416_gp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1108865,14014176,F416_gp100,F416_gp100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014177,F416_gp101,F416_gp101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014178,F416_gp102,F416_gp102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014179,F416_gp103,F416_gp103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014180,F416_gp104,F416_gp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014181,F416_gp105,F416_gp105,-,-,-,-,putative rega translational repressor,protein-coding,-,-,-,putative rega translational repressor,20201220,-
1108865,14014182,F416_gp106,F416_gp106,-,-,-,-,clamp loader for DNA polymerase,protein-coding,-,-,-,clamp loader for DNA polymerase,20210424,-
1108865,14014183,F416_gp107,F416_gp107,-,-,-,-,gp44 sliding clamp holder,protein-coding,-,-,-,gp44 sliding clamp holder,20201220,-
1108865,14014184,F416_gp108,F416_gp108,-,-,-,-,gp45 sliding clamp holder,protein-coding,-,-,-,gp45 sliding clamp holder,20201220,-
1108865,14014185,F416_gp109,F416_gp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014186,F416_gp110,F416_gp110,-,-,-,-,putative type III restriction enzyme,protein-coding,-,-,-,putative type III restriction enzyme,20201220,-
1108865,14014187,F416_gp111,F416_gp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014188,F416_gp112,F416_gp112,-,-,-,-,putative uvsy repair/recombination protein,protein-coding,-,-,-,putative uvsy repair/recombination protein,20210313,-
1108865,14014189,F416_gp113,F416_gp113,-,-,-,-,tail completion protein,protein-coding,-,-,-,tail completion protein,20201220,-
1108865,14014190,F416_gp114,F416_gp114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014191,F416_gp115,F416_gp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014192,F416_gp116,F416_gp116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1108865,14014193,F416_gp117,F416_gp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014194,F416_gp118,F416_gp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014195,F416_gp119,F416_gp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014196,F416_gp120,F416_gp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014197,F416_gp121,F416_gp121,-,-,-,-,major cpasid protein,protein-coding,-,-,-,major cpasid protein,20210313,-
1108865,14014198,F416_gp122,F416_gp122,-,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201220,-
1108865,14014199,F416_gp123,F416_gp123,-,-,-,-,prohead protease,protein-coding,-,-,-,prohead protease,20210424,-
1108865,14014200,F416_gp124,F416_gp124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014201,F416_gp125,F416_gp125,-,-,-,-,portal vertex protein of the head,protein-coding,-,-,-,portal vertex protein of the head,20201220,-
1108865,14014202,F416_gp126,F416_gp126,-,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20201220,-
1108865,14014203,F416_gp127,F416_gp127,-,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210313,-
1108865,14014204,F416_gp128,F416_gp128,-,-,-,-,tail sheath protein,protein-coding,-,-,-,tail sheath protein,20201220,-
1108865,14014205,F416_gp129,F416_gp129,-,-,-,-,large terminase subunit,protein-coding,-,-,-,large terminase subunit,20210313,-
1108865,14014206,F416_gp130,F416_gp130,-,-,-,-,small terminase subunit,protein-coding,-,-,-,small terminase subunit,20201220,-
1108865,14014207,F416_gp131,F416_gp131,-,-,-,-,proximal tail sheath stabilization,protein-coding,-,-,-,proximal tail sheath stabilization,20210313,-
1108865,14014208,F416_gp132,F416_gp132,-,-,-,-,neck protein 1,protein-coding,-,-,-,neck protein 1,20201220,-
1108865,14014209,F416_gp133,F416_gp133,-,-,-,-,neck protein 2,protein-coding,-,-,-,neck protein 2,20201220,-
1108865,14014210,F416_gp134,F416_gp134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014211,F416_gp135,F416_gp135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014212,F416_gp136,F416_gp136,-,-,-,-,tail spike protein 1,protein-coding,-,-,-,tail spike protein 1,20201220,-
1108865,14014213,F416_gp137,F416_gp137,-,-,-,-,tail spike protein 2,protein-coding,-,-,-,tail spike protein 2,20210424,-
1108865,14014214,F416_gp138,F416_gp138,-,-,-,-,tail spike protein 3,protein-coding,-,-,-,tail spike protein 3,20210424,-
1108865,14014215,F416_gp139,F416_gp139,-,-,-,-,haemolysin-type calcium binding protein,protein-coding,-,-,-,haemolysin-type calcium binding protein,20210424,-
1108865,14014216,F416_gp140,F416_gp140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014217,F416_gp141,F416_gp141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014218,F416_gp142,F416_gp142,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20201220,-
1108865,14014219,F416_gp143,F416_gp143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014220,F416_gp144,F416_gp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014221,F416_gp145,F416_gp145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014222,F416_gp146,F416_gp146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1108865,14014223,F416_gp147,F416_gp147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1108865,14014224,F416_gp148,F416_gp148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014225,F416_gp149,F416_gp149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014226,F416_gp150,F416_gp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014227,F416_gp151,F416_gp151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014228,F416_gp152,F416_gp152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014229,F416_gp153,F416_gp153,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210313,-
1108865,14014230,F416_gp154,F416_gp154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014231,F416_gp155,F416_gp155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014232,F416_gp156,F416_gp156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014233,F416_gp157,F416_gp157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014234,F416_gp158,F416_gp158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014235,F416_gp159,F416_gp159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1108865,14014236,F416_gp160,F416_gp160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014237,F416_gp161,F416_gp161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014238,F416_gp162,F416_gp162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014239,F416_gp163,F416_gp163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014240,F416_gp164,F416_gp164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014241,F416_gp165,F416_gp165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014242,F416_gp166,F416_gp166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1108865,14014243,F416_gp001,F416_gp001,-,-,-,-,RIIA,protein-coding,-,-,-,RIIA,20201220,-
1108865,14023552,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Salmonella phage PhiSH19; Salmonella typhimurium phage PhiSH19).,other,-,-,-,-,20200513,-
