#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1527692,55803624,HYO80_gp02,HYO80_gp02,Phi145_02,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
1527692,55803658,HYO80_gp36,HYO80_gp36,Phi145_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803659,HYO80_gp37,HYO80_gp37,Phi145_37,-,-,-,methylase,protein-coding,-,-,-,methylase,20200704,-
1527692,55803660,HYO80_gp38,HYO80_gp38,Phi145_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803661,HYO80_gp39,HYO80_gp39,Phi145_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803662,HYO80_gp40,HYO80_gp40,Phi145_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803663,HYO80_gp41,HYO80_gp41,Phi145_41,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210424,-
1527692,55803664,HYO80_gp42,HYO80_gp42,Phi145_42,-,-,-,SAK protein,protein-coding,-,-,-,SAK protein,20210424,-
1527692,55803665,HYO80_gp43,HYO80_gp43,Phi145_43,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200704,-
1527692,55803666,HYO80_gp44,HYO80_gp44,Phi145_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803667,HYO80_gp45,HYO80_gp45,Phi145_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803668,HYO80_gp46,HYO80_gp46,Phi145_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803669,HYO80_gp47,HYO80_gp47,Phi145_47,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20210424,-
1527692,55803670,HYO80_gp48,HYO80_gp48,Phi145_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803671,HYO80_gp49,HYO80_gp49,Phi145_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803672,HYO80_gp50,HYO80_gp50,Phi145_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1527692,55803673,HYO80_gp51,HYO80_gp51,Phi145_51,-,-,-,middle expressed protein 1,protein-coding,-,-,-,middle expressed protein 1,20200704,-
1527692,55803674,HYO80_gp52,HYO80_gp52,Phi145_52,-,-,-,middle expressed protein 2,protein-coding,-,-,-,middle expressed protein 2,20200704,-
1527692,55803675,HYO80_gp53,HYO80_gp53,Phi145_53,-,-,-,holiday junction endonuclease,protein-coding,-,-,-,holiday junction endonuclease,20210424,-
1527692,55803676,HYO80_gp54,HYO80_gp54,Phi145_54,-,-,-,middle expressed protein 4,protein-coding,-,-,-,middle expressed protein 4,20200704,-
1527692,55803677,HYO80_gp55,HYO80_gp55,Phi145_55,-,-,-,middle expressed protein 5,protein-coding,-,-,-,middle expressed protein 5,20200704,-
1527692,55803678,HYO80_gp01,HYO80_gp01,Phi145_01,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20210424,-
1527692,55863355,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus 936 phage Phi145).,other,-,-,-,-,20200706,-
