#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2182398,60331012,2,I5H61_gp002,SEA_MATTES_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2182398,60331070,60,I5H61_gp060,SEA_MATTES_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2182398,60331071,61,I5H61_gp061,SEA_MATTES_61,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
2182398,60331072,62,I5H61_gp062,SEA_MATTES_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2182398,60331073,63,I5H61_gp063,SEA_MATTES_63,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2182398,60331074,64,I5H61_gp064,SEA_MATTES_64,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2182398,60331075,65,I5H61_gp065,SEA_MATTES_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331076,66,I5H61_gp066,SEA_MATTES_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331077,67,I5H61_gp067,SEA_MATTES_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331078,68,I5H61_gp068,SEA_MATTES_68,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210424,-
2182398,60331079,69,I5H61_gp069,SEA_MATTES_69,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2182398,60331080,70,I5H61_gp070,SEA_MATTES_70,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2182398,60331081,71,I5H61_gp071,SEA_MATTES_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331082,72,I5H61_gp072,SEA_MATTES_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331083,73,I5H61_gp073,SEA_MATTES_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331084,74,I5H61_gp074,SEA_MATTES_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331085,75,I5H61_gp075,SEA_MATTES_75,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210313,-
2182398,60331086,76,I5H61_gp076,SEA_MATTES_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331087,77,I5H61_gp077,SEA_MATTES_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331088,78,I5H61_gp078,SEA_MATTES_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331089,79,I5H61_gp079,SEA_MATTES_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331090,80,I5H61_gp080,SEA_MATTES_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331091,81,I5H61_gp081,SEA_MATTES_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331092,82,I5H61_gp082,SEA_MATTES_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331093,83,I5H61_gp083,SEA_MATTES_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331094,84,I5H61_gp084,SEA_MATTES_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331095,85,I5H61_gp085,SEA_MATTES_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331096,86,I5H61_gp086,SEA_MATTES_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331097,87,I5H61_gp087,SEA_MATTES_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331098,89,I5H61_gp089,SEA_MATTES_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331099,91,I5H61_gp091,SEA_MATTES_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331100,92,I5H61_gp092,SEA_MATTES_92,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210406,-
2182398,60331101,93,I5H61_gp093,SEA_MATTES_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331102,94,I5H61_gp094,SEA_MATTES_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331103,95,I5H61_gp095,SEA_MATTES_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331104,96,I5H61_gp096,SEA_MATTES_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331105,97,I5H61_gp097,SEA_MATTES_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331106,98,I5H61_gp098,SEA_MATTES_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331107,99,I5H61_gp099,SEA_MATTES_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331108,100,I5H61_gp100,SEA_MATTES_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331109,101,I5H61_gp101,SEA_MATTES_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331110,102,I5H61_gp102,SEA_MATTES_102,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210424,-
2182398,60331111,103,I5H61_gp103,SEA_MATTES_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331112,104,I5H61_gp104,SEA_MATTES_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2182398,60331113,105,I5H61_gp105,SEA_MATTES_105,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2182398,60331114,90,I5H61_gp090,SEA_MATTES_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331115,88,I5H61_gp088,SEA_MATTES_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2182398,60331116,1,I5H61_gp001,SEA_MATTES_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2182398,60338669,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
