#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
262177,911963,OpmnVgp091,OpmnVgp091,-,-,-,-,late expression factor 4,protein-coding,-,-,-,late expression factor 4,20180815,-
262177,911986,OpmnVgp137,OpmnVgp137,-,-,-,-,ME53,protein-coding,-,-,-,ME53,20180815,-
262177,911987,OpmnVgp021,OpmnVgp021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911988,OpmnVgp037,OpmnVgp037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911989,OpmnVgp099,OpmnVgp099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911990,OpmnVgp027,OpmnVgp027,-,-,-,-,fibroblast growth factor,protein-coding,-,-,-,fibroblast growth factor,20180815,-
262177,911991,OpmnVgp150,OpmnVgp150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911992,OpmnVgp028,OpmnVgp028,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911993,OpmnVgp067,OpmnVgp067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911994,OpmnVgp113,OpmnVgp113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911995,OpmnVgp058,OpmnVgp058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911996,OpmnVgp136,OpmnVgp136,-,-,-,-,conotoxin-like protein 1,protein-coding,-,-,-,conotoxin-like protein 1,20180815,-
262177,911997,OpmnVgp059,OpmnVgp059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911998,OpmnVgp061,OpmnVgp061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,911999,OpmnVgp062,OpmnVgp062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912000,OpmnVgp065,OpmnVgp065,-,-,-,-,late expression factor 9,protein-coding,-,-,-,late expression factor 9,20180815,-
262177,912001,OpmnVgp022,OpmnVgp022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912002,OpmnVgp086,OpmnVgp086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912003,OpmnVgp089,OpmnVgp089,-,-,-,-,cg30,protein-coding,-,-,-,cg30,20180815,-
262177,912004,OpmnVgp139,OpmnVgp139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912005,OpmnVgp152,OpmnVgp152,-,-,-,-,PE38,protein-coding,-,-,-,PE38,20180815,-
262177,912006,OpmnVgp023,OpmnVgp023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912007,OpmnVgp087,OpmnVgp087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912008,OpmnVgp080,OpmnVgp080,-,-,-,-,very-late factor 1,protein-coding,-,-,-,very-late factor 1,20180815,-
262177,912009,OpmnVgp063,OpmnVgp063,-,-,-,-,FP,protein-coding,-,-,-,FP,20180815,-
262177,912010,OpmnVgp088,OpmnVgp088,-,-,-,-,Putative 15 kDa capsid protein,protein-coding,-,-,-,Putative 15 kDa capsid protein,20180815,-
262177,912011,OpmnVgp151,OpmnVgp151,-,-,-,-,immediate early gene 2,protein-coding,-,-,-,immediate early gene 2,20180815,-
262177,912012,OpmnVgp098,OpmnVgp098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912013,OpmnVgp130,OpmnVgp130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912014,OpmnVgp050,OpmnVgp050,-,-,-,-,occlusion-derived virus envelope protein E66,protein-coding,-,-,-,occlusion-derived virus envelope protein E66,20180815,-
262177,912015,OpmnVgp051,OpmnVgp051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912016,OpmnVgp118,OpmnVgp118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912017,OpmnVgp120,OpmnVgp120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912018,OpmnVgp072,OpmnVgp072,-,-,-,-,late expression factor 3,protein-coding,-,-,-,late expression factor 3,20180815,-
262177,912019,OpmnVgp069,OpmnVgp069,-,-,-,-,gp37,protein-coding,-,-,-,gp37,20180815,-
262177,912020,OpmnVgp036,OpmnVgp036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912021,OpmnVgp015,OpmnVgp015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912022,OpmnVgp081,OpmnVgp081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912023,OpmnVgp105,OpmnVgp105,-,-,-,-,p87 capsid protein,protein-coding,-,-,-,p87 capsid protein,20180815,-
262177,912024,OpmnVgp064,OpmnVgp064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912025,OpmnVgp001,OpmnVgp001,-,-,-,-,protein kinase 1,protein-coding,-,-,-,protein kinase 1,20180815,-
262177,912026,OpmnVgp025,OpmnVgp025,-,-,-,-,ubiquitin-like protein,protein-coding,-,-,-,ubiquitin-like protein,20180815,-
262177,912027,OpmnVgp142,OpmnVgp142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912028,OpmnVgp033,OpmnVgp033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912029,OpmnVgp126,OpmnVgp126,-,-,-,-,gp64,protein-coding,-,-,-,gp64,20180815,-
262177,912030,OpmnVgp124,OpmnVgp124,-,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20180815,-
262177,912031,OpmnVgp047,OpmnVgp047,-,-,-,-,global transactivator,protein-coding,-,-,-,global transactivator,20180815,-
262177,912032,OpmnVgp048,OpmnVgp048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912033,OpmnVgp014,OpmnVgp014,-,-,-,-,ecdysteroid UDP-glucosyltransferase,protein-coding,-,-,-,ecdysteroid UDP-glucosyltransferase,20180815,-
262177,912034,OpmnVgp075,OpmnVgp075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912035,OpmnVgp055,OpmnVgp055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912036,OpmnVgp077,OpmnVgp077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912037,OpmnVgp107,OpmnVgp107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912038,OpmnVgp109,OpmnVgp109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912039,OpmnVgp076,OpmnVgp076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912040,OpmnVgp101,OpmnVgp101,-,-,-,-,p6.9,protein-coding,-,-,-,p6.9,20180815,-
262177,912041,OpmnVgp035,OpmnVgp035,-,-,-,-,inhibitor of apoptosis protein 3,protein-coding,-,-,-,inhibitor of apoptosis protein 3,20180815,-
262177,912042,OpmnVgp002,OpmnVgp002,-,-,-,-,1629-capsid,protein-coding,-,-,-,1629-capsid,20180815,-
262177,912043,OpmnVgp115,OpmnVgp115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912044,OpmnVgp083,OpmnVgp083,-,-,-,-,gp41,protein-coding,-,-,-,gp41,20180815,-
262177,912045,OpmnVgp071,OpmnVgp071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912046,OpmnVgp085,OpmnVgp085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912047,OpmnVgp056,OpmnVgp056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912048,OpmnVgp029,OpmnVgp029,-,-,-,-,superoxide dismutase,protein-coding,-,-,-,superoxide dismutase,20180815,-
262177,912049,OpmnVgp068,OpmnVgp068,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912050,OpmnVgp117,OpmnVgp117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912051,OpmnVgp106,OpmnVgp106,-,-,-,-,inhibitor of apoptosis protein 4,protein-coding,-,-,-,inhibitor of apoptosis protein 4,20180815,-
262177,912052,OpmnVgp066,OpmnVgp066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912053,OpmnVgp012,OpmnVgp012,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912054,OpmnVgp019,OpmnVgp019,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912055,OpmnVgp092,OpmnVgp092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912056,OpmnVgp016,OpmnVgp016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912057,OpmnVgp038,OpmnVgp038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912058,OpmnVgp003,OpmnVgp003,-,-,-,-,polyhedrin,protein-coding,-,-,-,polyhedrin,20180815,-
262177,912059,OpmnVgp140,OpmnVgp140,-,-,-,-,occlusion-derived virus envelope protein E18,protein-coding,-,-,-,occlusion-derived virus envelope protein E18,20180815,-
262177,912060,OpmnVgp004,OpmnVgp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912061,OpmnVgp070,OpmnVgp070,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20180815,-
262177,912062,OpmnVgp145,OpmnVgp145,-,-,-,-,immediate early gene 1,protein-coding,-,-,-,immediate early gene 1,20180815,-
262177,912063,OpmnVgp110,OpmnVgp110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912064,OpmnVgp094,OpmnVgp094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912065,OpmnVgp018,OpmnVgp018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912066,OpmnVgp005,OpmnVgp005,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912067,OpmnVgp095,OpmnVgp095,-,-,-,-,occlusion-derived virus envelope protein E25,protein-coding,-,-,-,occlusion-derived virus envelope protein E25,20180815,-
262177,912068,OpmnVgp030,OpmnVgp030,-,-,-,-,conotoxin-like protein 2,protein-coding,-,-,-,conotoxin-like protein 2,20180815,-
262177,912069,OpmnVgp074,OpmnVgp074,-,-,-,-,inhibitor of apoptosis protein-2,protein-coding,-,-,-,inhibitor of apoptosis protein-2,20180815,-
262177,912070,OpmnVgp128,OpmnVgp128,-,-,-,-,gp16,protein-coding,-,-,-,gp16,20180815,-
262177,912071,OpmnVgp007,OpmnVgp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912072,OpmnVgp009,OpmnVgp009,-,-,-,-,protein tyrosine phosphatase 2,protein-coding,-,-,-,protein tyrosine phosphatase 2,20180815,-
262177,912073,OpmnVgp013,OpmnVgp013,-,-,-,-,late expression factor 1,protein-coding,-,-,-,late expression factor 1,20180815,-
262177,912074,OpmnVgp057,OpmnVgp057,-,-,-,-,lef-10,protein-coding,-,-,-,lef-10,20180815,-
262177,912075,OpmnVgp008,OpmnVgp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912076,OpmnVgp132,OpmnVgp132,-,-,-,-,p26,protein-coding,-,-,-,p26,20180815,-
262177,912077,OpmnVgp125,OpmnVgp125,-,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20180815,-
262177,912078,OpmnVgp097,OpmnVgp097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912079,OpmnVgp041,OpmnVgp041,-,-,-,-,inhibitor of apoptosis protein 1,protein-coding,-,-,-,inhibitor of apoptosis protein 1,20180815,-
262177,912080,OpmnVgp148,OpmnVgp148,-,-,-,-,p25,protein-coding,-,-,-,p25,20180815,-
262177,912081,OpmnVgp141,OpmnVgp141,-,-,-,-,occlusion-derived virus envelope protein E27,protein-coding,-,-,-,occlusion-derived virus envelope protein E27,20180815,-
262177,912082,OpmnVgp119,OpmnVgp119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912083,OpmnVgp100,OpmnVgp100,-,-,-,-,late expression factor 5,protein-coding,-,-,-,late expression factor 5,20180815,-
262177,912084,OpmnVgp123,OpmnVgp123,-,-,-,-,late expression factor 7,protein-coding,-,-,-,late expression factor 7,20180815,-
262177,912085,OpmnVgp127,OpmnVgp127,-,-,-,-,p24 capsid protein,protein-coding,-,-,-,p24 capsid protein,20180815,-
262177,912086,OpmnVgp129,OpmnVgp129,-,-,-,-,polyhedral envelope protein,protein-coding,-,-,-,polyhedral envelope protein,20180815,-
262177,912087,OpmnVgp045,OpmnVgp045,-,-,-,-,p47,protein-coding,-,-,-,p47,20180815,-
262177,912088,OpmnVgp121,OpmnVgp121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912089,OpmnVgp133,OpmnVgp133,-,-,-,-,p10,protein-coding,-,-,-,p10,20180815,-
262177,912090,OpmnVgp144,OpmnVgp144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912091,OpmnVgp034,OpmnVgp034,-,-,-,-,ribonucleotide reductase small subunit,protein-coding,-,-,-,ribonucleotide reductase small subunit,20180815,-
262177,912092,OpmnVgp042,OpmnVgp042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912093,OpmnVgp052,OpmnVgp052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912094,OpmnVgp006,OpmnVgp006,-,-,-,-,late expression factor 2,protein-coding,-,-,-,late expression factor 2,20180815,-
262177,912095,OpmnVgp031,OpmnVgp031,-,-,-,-,dUTPase,protein-coding,-,-,-,dUTPase,20180815,-
262177,912096,OpmnVgp010,OpmnVgp010,-,-,-,-,protein tyrosine phosphatase 1,protein-coding,-,-,-,protein tyrosine phosphatase 1,20180815,-
262177,912097,OpmnVgp017,OpmnVgp017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912098,OpmnVgp043,OpmnVgp043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912099,OpmnVgp044,OpmnVgp044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912100,OpmnVgp111,OpmnVgp111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912101,OpmnVgp032,OpmnVgp032,-,-,-,-,ribonucleotide reductase large subunit,protein-coding,-,-,-,ribonucleotide reductase large subunit,20180815,-
262177,912102,OpmnVgp049,OpmnVgp049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912103,OpmnVgp039,OpmnVgp039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912104,OpmnVgp104,OpmnVgp104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912105,OpmnVgp134,OpmnVgp134,-,-,-,-,p74,protein-coding,-,-,-,p74,20180815,-
262177,912106,OpmnVgp093,OpmnVgp093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912107,OpmnVgp096,OpmnVgp096,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20180815,-
262177,912108,OpmnVgp146,OpmnVgp146,-,-,-,-,occlusion-derived virus envelope protein E56,protein-coding,-,-,-,occlusion-derived virus envelope protein E56,20180815,-
262177,912109,OpmnVgp149,OpmnVgp149,-,-,-,-,p8.9,protein-coding,-,-,-,p8.9,20180815,-
262177,912110,OpmnVgp078,OpmnVgp078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912111,OpmnVgp026,OpmnVgp026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
262177,912112,OpmnVgp053,OpmnVgp053,-,-,-,-,PCNA,protein-coding,-,-,-,PCNA,20180815,-
262177,912113,OpmnVgp054,OpmnVgp054,-,-,-,-,late expression factor 8,protein-coding,-,-,-,late expression factor 8,20180815,-
262177,912114,OpmnVgp090,OpmnVgp090,-,-,-,-,p39 capsid protein,protein-coding,-,-,-,p39 capsid protein,20180815,-
262177,2830355,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Orgya pseudotsugata nucleopolyhedrovirus; Orgyia pseudotsugata MNPV; Orgyia pseudotsugata multicapsid nuclear polyhedrosis virus; Orgyia pseudotsugata multicapsid nuclear polyhedrosis virus OpMNPV; Orgyia pseudotsugata multicapsid nucleopolyhedrovirus; Orgyia pseudotsugata multicapsid polyhedrosis virus; Orgyia pseudotsugata multinucleocapsid nuclear polyhedrosis virus).,other,-,-,-,-,20210531,-
