#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1662330,26796435,RCTITAN_2,RCTITAN_2,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1662330,26796457,RCTITAN_24,RCTITAN_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796458,RCTITAN_25,RCTITAN_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796459,RCTITAN_26,RCTITAN_26,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1662330,26796460,RCTITAN_27,RCTITAN_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796461,RCTITAN_28,RCTITAN_28,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1662330,26796462,RCTITAN_29,RCTITAN_29,-,-,-,-,replicative clamp,protein-coding,-,-,-,replicative clamp,20201221,-
1662330,26796463,RCTITAN_30,RCTITAN_30,-,-,-,-,DEAD box helicase,protein-coding,-,-,-,DEAD box helicase,20201221,-
1662330,26796464,RCTITAN_31,RCTITAN_31,-,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20201221,-
1662330,26796465,RCTITAN_32,RCTITAN_32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796466,RCTITAN_33,RCTITAN_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796467,RCTITAN_34,RCTITAN_34,-,-,-,-,recombinase,protein-coding,-,-,-,recombinase,20201221,-
1662330,26796468,RCTITAN_35,RCTITAN_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796469,RCTITAN_36,RCTITAN_36,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
1662330,26796470,RCTITAN_37,RCTITAN_37,-,-,-,-,replicative primase/helicase,protein-coding,-,-,-,replicative primase/helicase,20201221,-
1662330,26796471,RCTITAN_38,RCTITAN_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796472,RCTITAN_39,RCTITAN_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796473,RCTITAN_40,RCTITAN_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796474,RCTITAN_41,RCTITAN_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796475,RCTITAN_42,RCTITAN_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796476,RCTITAN_43,RCTITAN_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796477,RCTITAN_45,RCTITAN_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796478,RCTITAN_46,RCTITAN_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796479,RCTITAN_47,RCTITAN_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796480,RCTITAN_48,RCTITAN_48,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1662330,26796481,RCTITAN_49,RCTITAN_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796482,RCTITAN_50,RCTITAN_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796483,RCTITAN_51,RCTITAN_51,-,-,-,-,nucleotide pyrophosphohydrolase,protein-coding,-,-,-,nucleotide pyrophosphohydrolase,20201221,-
1662330,26796484,RCTITAN_52,RCTITAN_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796485,RCTITAN_53,RCTITAN_53,-,-,-,-,VRR endonuclease,protein-coding,-,-,-,VRR endonuclease,20201221,-
1662330,26796486,RCTITAN_54,RCTITAN_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796487,RCTITAN_55,RCTITAN_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796488,RCTITAN_56,RCTITAN_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796489,RCTITAN_57,RCTITAN_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796490,RCTITAN_58,RCTITAN_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796491,RCTITAN_59,RCTITAN_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796492,RCTITAN_60,RCTITAN_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796493,RCTITAN_61,RCTITAN_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796494,RCTITAN_44,RCTITAN_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26796495,RCTITAN_1,RCTITAN_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1662330,26823894,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
