#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647476,28801581,BH784_gp02,BH784_gp02,TPA4_2,-,-,-,putative large terminase subunit,protein-coding,-,-,-,putative large terminase subunit,20201221,-
1647476,28801596,BH784_gp16,BH784_gp16,TPA4_15,-,-,-,putative tail assembly protein,protein-coding,-,-,-,putative tail assembly protein,20201221,-
1647476,28801597,BH784_gp18,BH784_gp18,TPA4_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801598,BH784_gp19,BH784_gp19,TPA4_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801599,BH784_gp20,BH784_gp20,TPA4_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801600,BH784_gp21,BH784_gp21,TPA4_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801601,BH784_gp22,BH784_gp22,TPA4_22,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
1647476,28801602,BH784_gp23,BH784_gp23,TPA4_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801603,BH784_gp24,BH784_gp24,TPA4_24,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647476,28801604,BH784_gp25,BH784_gp25,TPA4_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801605,BH784_gp26,BH784_gp26,TPA4_26,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
1647476,28801606,BH784_gp27,BH784_gp27,TPA4_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801607,BH784_gp28,BH784_gp28,TPA4_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801608,BH784_gp29,BH784_gp29,TPA4_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801609,BH784_gp30,BH784_gp30,TPA4_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801610,BH784_gp31,BH784_gp31,TPA4_31,-,-,-,putative lysin,protein-coding,-,-,-,putative lysin,20201221,-
1647476,28801611,BH784_gp32,BH784_gp32,TPA4_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801612,BH784_gp33,BH784_gp33,TPA4_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801613,BH784_gp34,BH784_gp34,TPA4_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801614,BH784_gp35,BH784_gp35,TPA4_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801615,BH784_gp36,BH784_gp36,TPA4_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801616,BH784_gp37,BH784_gp37,TPA4_37,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201221,-
1647476,28801617,BH784_gp38,BH784_gp38,TPA4_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801618,BH784_gp39,BH784_gp39,TPA4_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801619,BH784_gp40,BH784_gp40,TPA4_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801620,BH784_gp41,BH784_gp41,TPA4_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801621,BH784_gp42,BH784_gp42,TPA4_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801622,BH784_gp43,BH784_gp43,TPA4_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801623,BH784_gp44,BH784_gp44,TPA4_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801624,BH784_gp45,BH784_gp45,TPA4_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801625,BH784_gp46,BH784_gp46,TPA4_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801626,BH784_gp47,BH784_gp47,TPA4_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801627,BH784_gp48,BH784_gp48,TPA4_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801628,BH784_gp49,BH784_gp49,TPA4_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801629,BH784_gp50,BH784_gp50,TPA4_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801630,BH784_gp51,BH784_gp51,TPA4_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801631,BH784_gp52,BH784_gp52,TPA4_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801632,BH784_gp53,BH784_gp53,TPA4_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801633,BH784_gp54,BH784_gp54,TPA4_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801634,BH784_gp55,BH784_gp55,TPA4_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801635,BH784_gp56,BH784_gp56,TPA4_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801636,BH784_gp57,BH784_gp57,TPA4_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801637,BH784_gp58,BH784_gp58,TPA4_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801638,BH784_gp59,BH784_gp59,TPA4_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801639,BH784_gp60,BH784_gp60,TPA4_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801640,BH784_gp61,BH784_gp61,TPA4_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801641,BH784_gp62,BH784_gp62,TPA4_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801642,BH784_gp63,BH784_gp63,TPA4_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801643,BH784_gp64,BH784_gp64,TPA4_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801644,BH784_gp65,BH784_gp65,TPA4_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801645,BH784_gp66,BH784_gp66,TPA4_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801646,BH784_gp67,BH784_gp67,TPA4_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801647,BH784_gp68,BH784_gp68,TPA4_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801648,BH784_gp69,BH784_gp69,TPA4_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801649,BH784_gp70,BH784_gp70,TPA4_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801650,BH784_gp71,BH784_gp71,TPA4_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801651,BH784_gp72,BH784_gp72,TPA4_72,-,-,-,putative WhiB family transcriptional regulator,protein-coding,-,-,-,putative WhiB family transcriptional regulator,20201221,-
1647476,28801652,BH784_gp73,BH784_gp73,TPA4_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801653,BH784_gp74,BH784_gp74,TPA4_74,-,-,-,putative DNA methyltransferase,protein-coding,-,-,-,putative DNA methyltransferase,20201221,-
1647476,28801654,BH784_gp75,BH784_gp75,TPA4_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801655,BH784_gp76,BH784_gp76,TPA4_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801656,BH784_gp77,BH784_gp77,TPA4_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801657,BH784_gp78,BH784_gp78,TPA4_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801658,BH784_gp79,BH784_gp79,TPA4_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801659,BH784_gp80,BH784_gp80,TPA4_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801660,BH784_gp81,BH784_gp81,TPA4_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801661,BH784_gp82,BH784_gp82,TPA4_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801662,BH784_gp83,BH784_gp83,TPA4_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801663,BH784_gp84,BH784_gp84,TPA4_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647476,28801664,BH784_gp01,BH784_gp01,TPA4_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
