#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1296641,65072326,terL,KMD30_gp02,-,-,-,-,large subunit terminase,protein-coding,-,-,-,large subunit terminase,20210607,-
1296641,65072359,KMD30_gp29,KMD30_gp29,-,-,-,-,epsilon subunit DNA polymerase III,protein-coding,-,-,-,epsilon subunit DNA polymerase III,20210607,-
1296641,65072360,rep,KMD30_gp30,-,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20210607,-
1296641,65072361,ant,KMD30_gp32,-,-,-,-,anti-repressor protein,protein-coding,-,-,-,anti-repressor protein,20210607,-
1296641,65072362,KMD30_gp34,KMD30_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072363,KMD30_gp35,KMD30_gp35,-,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210607,-
1296641,65072364,KMD30_gp36,KMD30_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072365,KMD30_gp37,KMD30_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072366,KMD30_gp38,KMD30_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072367,KMD30_gp39,KMD30_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072368,pol,KMD30_gp40,-,-,-,-,DNA polymerase domain A,protein-coding,-,-,-,DNA polymerase domain A,20210607,-
1296641,65072369,KMD30_gp42,KMD30_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072370,KMD30_gp43,KMD30_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072371,KMD30_gp44,KMD30_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072372,KMD30_gp45,KMD30_gp45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072373,KMD30_gp46,KMD30_gp46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072374,KMD30_gp47,KMD30_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072375,KMD30_gp48,KMD30_gp48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072376,KMD30_gp49,KMD30_gp49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072377,KMD30_gp50,KMD30_gp50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072378,KMD30_gp51,KMD30_gp51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1296641,65072379,virE,KMD30_gp52,-,-,-,-,virulence associated protein E,protein-coding,-,-,-,virulence associated protein E,20210607,-
1296641,65072380,hel,KMD30_gp54,-,-,-,-,helicase,protein-coding,-,-,-,helicase,20210607,-
1296641,65072381,rinA,KMD30_gp56,-,-,-,-,transcriptional regulator RinA,protein-coding,-,-,-,transcriptional regulator RinA,20210607,-
1296641,65072382,terS,KMD30_gp01,-,-,-,-,small subunit terminase,protein-coding,-,-,-,small subunit terminase,20210607,-
1296641,65242273,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
