#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2510508,63025959,2,J1598_gp02,SEA_TIAMOCELI_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210424,-
2510508,63025975,18,J1598_gp18,SEA_TIAMOCELI_18,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210425,-
2510508,63025976,19,J1598_gp19,SEA_TIAMOCELI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025977,20,J1598_gp20,SEA_TIAMOCELI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025978,21,J1598_gp21,SEA_TIAMOCELI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2510508,63025979,22,J1598_gp22,SEA_TIAMOCELI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025980,23,J1598_gp23,SEA_TIAMOCELI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025981,24,J1598_gp24,SEA_TIAMOCELI_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2510508,63025982,25,J1598_gp25,SEA_TIAMOCELI_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2510508,63025983,26,J1598_gp26,SEA_TIAMOCELI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025984,27,J1598_gp27,SEA_TIAMOCELI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025985,28,J1598_gp28,SEA_TIAMOCELI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025986,29,J1598_gp29,SEA_TIAMOCELI_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2510508,63025987,30,J1598_gp30,SEA_TIAMOCELI_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025988,31,J1598_gp31,SEA_TIAMOCELI_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2510508,63025989,32,J1598_gp32,SEA_TIAMOCELI_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2510508,63025990,33,J1598_gp33,SEA_TIAMOCELI_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2510508,63025991,34,J1598_gp34,SEA_TIAMOCELI_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025992,35,J1598_gp35,SEA_TIAMOCELI_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025993,36,J1598_gp36,SEA_TIAMOCELI_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025994,37,J1598_gp37,SEA_TIAMOCELI_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025995,38,J1598_gp38,SEA_TIAMOCELI_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025996,39,J1598_gp39,SEA_TIAMOCELI_39,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2510508,63025997,40,J1598_gp40,SEA_TIAMOCELI_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025998,41,J1598_gp41,SEA_TIAMOCELI_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63025999,42,J1598_gp42,SEA_TIAMOCELI_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026000,43,J1598_gp43,SEA_TIAMOCELI_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026001,44,J1598_gp44,SEA_TIAMOCELI_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026002,45,J1598_gp45,SEA_TIAMOCELI_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026003,46,J1598_gp46,SEA_TIAMOCELI_46,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2510508,63026004,47,J1598_gp47,SEA_TIAMOCELI_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026005,48,J1598_gp48,SEA_TIAMOCELI_48,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210424,-
2510508,63026006,49,J1598_gp49,SEA_TIAMOCELI_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026007,50,J1598_gp50,SEA_TIAMOCELI_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026008,51,J1598_gp51,SEA_TIAMOCELI_51,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210424,-
2510508,63026009,52,J1598_gp52,SEA_TIAMOCELI_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026010,53,J1598_gp53,SEA_TIAMOCELI_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2510508,63026011,54,J1598_gp54,SEA_TIAMOCELI_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026012,55,J1598_gp55,SEA_TIAMOCELI_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026013,56,J1598_gp56,SEA_TIAMOCELI_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026014,57,J1598_gp57,SEA_TIAMOCELI_57,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2510508,63026015,58,J1598_gp58,SEA_TIAMOCELI_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026016,59,J1598_gp59,SEA_TIAMOCELI_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026017,60,J1598_gp60,SEA_TIAMOCELI_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026018,61,J1598_gp61,SEA_TIAMOCELI_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026019,62,J1598_gp62,SEA_TIAMOCELI_62,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2510508,63026020,63,J1598_gp63,SEA_TIAMOCELI_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026021,64,J1598_gp64,SEA_TIAMOCELI_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026022,65,J1598_gp65,SEA_TIAMOCELI_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026023,66,J1598_gp66,SEA_TIAMOCELI_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026024,67,J1598_gp67,SEA_TIAMOCELI_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026025,68,J1598_gp68,SEA_TIAMOCELI_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026026,69,J1598_gp69,SEA_TIAMOCELI_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026027,70,J1598_gp70,SEA_TIAMOCELI_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026028,71,J1598_gp71,SEA_TIAMOCELI_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026029,72,J1598_gp72,SEA_TIAMOCELI_72,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210309,-
2510508,63026030,73,J1598_gp73,SEA_TIAMOCELI_73,-,-,-,MazG-like nucleotide pyrophosphohydrolase,protein-coding,-,-,-,MazG-like nucleotide pyrophosphohydrolase,20210309,-
2510508,63026031,74,J1598_gp74,SEA_TIAMOCELI_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026032,75,J1598_gp75,SEA_TIAMOCELI_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026033,76,J1598_gp76,SEA_TIAMOCELI_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026034,77,J1598_gp77,SEA_TIAMOCELI_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026035,78,J1598_gp78,SEA_TIAMOCELI_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026036,79,J1598_gp79,SEA_TIAMOCELI_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2510508,63026037,80,J1598_gp80,SEA_TIAMOCELI_80,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2510508,63026038,1,J1598_gp01,SEA_TIAMOCELI_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2510508,63139669,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
