#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1086749,18561822,2,CL62_gp02,DREAMBOAT_2,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20200927,-
1086749,18561886,68,CL62_gp68,DREAMBOAT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561887,67,CL62_gp67,DREAMBOAT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561888,66,CL62_gp66,DREAMBOAT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561889,65,CL62_gp65,DREAMBOAT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561890,64,CL62_gp64,DREAMBOAT_64,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210403,-
1086749,18561891,63,CL62_gp63,DREAMBOAT_63,-,-,-,NrdH-like protein,protein-coding,-,-,-,NrdH-like protein,20200927,-
1086749,18561892,62,CL62_gp62,DREAMBOAT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561893,61,CL62_gp61,DREAMBOAT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561894,60,CL62_gp60,DREAMBOAT_60,-,-,-,EndoVII,protein-coding,-,-,-,EndoVII,20210424,-
1086749,18561895,59,CL62_gp59,DREAMBOAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561896,58,CL62_gp58,DREAMBOAT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561897,57,CL62_gp57,DREAMBOAT_57,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200927,-
1086749,18561898,56,CL62_gp56,DREAMBOAT_56,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210424,-
1086749,18561899,55,CL62_gp55,DREAMBOAT_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561900,54,CL62_gp54,DREAMBOAT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561901,53,CL62_gp53,DREAMBOAT_53,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20201003,-
1086749,18561902,52,CL62_gp52,DREAMBOAT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561903,51,CL62_gp51,DREAMBOAT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561904,50,CL62_gp50,DREAMBOAT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561905,49,CL62_gp49,DREAMBOAT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561906,48,CL62_gp48,DREAMBOAT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561907,47,CL62_gp47,DREAMBOAT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561908,46,CL62_gp46,DREAMBOAT_46,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1086749,18561909,45,CL62_gp45,DREAMBOAT_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561910,44,CL62_gp44,DREAMBOAT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561911,43,CL62_gp43,DREAMBOAT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561912,42,CL62_gp42,DREAMBOAT_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561913,41,CL62_gp41,DREAMBOAT_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561914,40,CL62_gp40,DREAMBOAT_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18561915,1,CL62_gp01,DREAMBOAT_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1086749,18669571,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Dreamboat).,other,-,-,-,-,20200513,-
