#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
329381,9712743,rIIA,RB16p002,-,-,-,-,rIIA protector from prophage-induced early lysis,protein-coding,-,-,-,rIIA protector from prophage-induced early lysis,20200909,-
329381,9712834,27,RB16p093,-,-,-,-,gp27 baseplate hub subunit,protein-coding,-,-,-,gp27 baseplate hub subunit,20200926,-
329381,9712835,28,RB16p094,-,-,-,-,gp28 baseplate distal hub subunit,protein-coding,-,-,-,gp28 baseplate distal hub subunit,20200926,-
329381,9712836,RB16p095,RB16p095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712837,48,RB16p096,-,-,-,-,gp48 baseplate tail tube cap,protein-coding,-,-,-,gp48 baseplate tail tube cap,20200909,-
329381,9712838,54,RB16p097,-,-,-,-,gp54 baseplate-tail tube initiator,protein-coding,-,-,-,gp54 baseplate-tail tube initiator,20200909,-
329381,9712839,51,RB16p098,-,-,-,-,gp51 baseplate hub assembly catalyst,protein-coding,-,-,-,gp51 baseplate hub assembly catalyst,20200926,-
329381,9712840,26,RB16p099,-,-,-,-,gp26 baseplate hub subunit,protein-coding,-,-,-,gp26 baseplate hub subunit,20200909,-
329381,9712841,25,RB16p100,-,-,-,-,gp25 baseplate wedge subunit,protein-coding,-,-,-,gp25 baseplate wedge subunit,20200909,-
329381,9712842,RB16p101,RB16p101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712843,RB16p102,RB16p102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712844,RB16p103,RB16p103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712845,RB16p104,RB16p104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712846,RB16p105,RB16p105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712847,RB16p106,RB16p106,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712848,RB16p107,RB16p107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712849,RB16p108,RB16p108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712850,RB16p109,RB16p109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712851,RB16p110,RB16p110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712852,RB16p111,RB16p111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712853,RB16p112,RB16p112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712854,RB16p113,RB16p113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712855,RB16p114,RB16p114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712856,RB16p115,RB16p115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712857,RB16p116,RB16p116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712858,RB16p117,RB16p117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712859,RB16p118,RB16p118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712860,RB16p119,RB16p119,-,-,-,-,"putative DNA-methyltransferase, type II restriction-modification system",protein-coding,-,-,-,"putative DNA-methyltransferase, type II restriction-modification system",20200909,-
329381,9712861,RB16p120,RB16p120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712862,RB16p121,RB16p121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712863,nrdC.11,RB16p122,-,-,-,-,nrdC.11 conserved hypothetical protein,protein-coding,-,-,-,nrdC.11 conserved hypothetical protein,20200909,-
329381,9712864,RB16p123,RB16p123,-,-,-,-,putative homing endonuclease RB16 5,protein-coding,-,-,-,putative homing endonuclease RB16 5,20200926,-
329381,9712865,RB16p124,RB16p124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712866,RB16p125,RB16p125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712867,RB16p126,RB16p126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712868,RB16p127,RB16p127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712869,RB16p128,RB16p128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712870,RB16p129,RB16p129,-,-,-,-,putative bifunctional protein: NMN adenylyltransferase/NUDIX hydrolase,protein-coding,-,-,-,putative bifunctional protein: NMN adenylyltransferase/NUDIX hydrolase,20200926,-
329381,9712871,RB16p130,RB16p130,-,-,-,-,putative SPFH domain-containing protein/band 7 family protein,protein-coding,-,-,-,putative SPFH domain-containing protein/band 7 family protein,20200926,-
329381,9712872,rI.-1,RB16p131,-,-,-,-,rI.-1 conserved hypothetical protein,protein-coding,-,-,-,rI.-1 conserved hypothetical protein,20200909,-
329381,9712873,rI,RB16p132,-,-,-,-,rI lysis inhibition regulator,protein-coding,-,-,-,rI lysis inhibition regulator,20200909,-
329381,9712874,RB16p133,RB16p133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712875,tk,RB16p134,-,-,-,-,Tk thymidine kinase,protein-coding,-,-,-,Tk thymidine kinase,20200909,-
329381,9712876,RB16p135,RB16p135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712877,RB16p136,RB16p136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712878,RB16p137,RB16p137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712879,RB16p138,RB16p138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712880,vs.1,RB16p139,-,-,-,-,Vs.1 conserved hypothetical protein,protein-coding,-,-,-,Vs.1 conserved hypothetical protein,20200926,-
329381,9712881,RB16p140,RB16p140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712882,RB16p141,RB16p141,-,-,-,-,putative homing endonuclease RB16 6,protein-coding,-,-,-,putative homing endonuclease RB16 6,20200926,-
329381,9712883,RB16p142,RB16p142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712884,RB16p143,RB16p143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712885,RB16p144,RB16p144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712886,RB16p145,RB16p145,-,-,-,-,putative PhoH family protein,protein-coding,-,-,-,putative PhoH family protein,20200926,-
329381,9712887,RB16p146,RB16p146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712888,RB16p147,RB16p147,-,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200926,-
329381,9712889,RB16p148,RB16p148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712890,RB16p149,RB16p149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712891,RB16p150,RB16p150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712892,39.1,RB16p151,-,-,-,-,gp39.1 conserved hypothetical protein,protein-coding,-,-,-,gp39.1 conserved hypothetical protein,20200909,-
329381,9712893,RB16p152,RB16p152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712894,RB16p153,RB16p153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712895,RB16p154,RB16p154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712896,RB16p155,RB16p155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712897,RB16p156,RB16p156,-,-,-,-,putative radical SAM protein,protein-coding,-,-,-,putative radical SAM protein,20200926,-
329381,9712898,RB16p157,RB16p157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712899,RB16p158,RB16p158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712900,RB16p159,RB16p159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712901,RB16p160,RB16p160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712902,RB16p161,RB16p161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712903,RB16p162,RB16p162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712904,frd.1,RB16p163,-,-,-,-,Frd.1 conserved hypothetical protein,protein-coding,-,-,-,Frd.1 conserved hypothetical protein,20200926,-
329381,9712905,RB16p164,RB16p164,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712906,RB16p165,RB16p165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712907,RB16p166,RB16p166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712908,RB16p167,RB16p167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712909,RB16p168,RB16p168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712910,RB16p169,RB16p169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712911,RB16p170,RB16p170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712912,RB16p171,RB16p171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712913,nudE,RB16p172,-,-,-,-,NudE nudix hydrolase,protein-coding,-,-,-,NudE nudix hydrolase,20200909,-
329381,9712914,RB16p173,RB16p173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712915,RB16p174,RB16p174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712916,RB16p175,RB16p175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712917,RB16p176,RB16p176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712918,RB16p177,RB16p177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712919,RB16p178,RB16p178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712920,RB16p179,RB16p179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712921,RB16p180,RB16p180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712922,57B,RB16p181,-,-,-,-,gp57B conserved hypothetical protein,protein-coding,-,-,-,gp57B conserved hypothetical protein,20200909,-
329381,9712923,57A,RB16p182,-,-,-,-,gp57A chaperone for tail fiber formation,protein-coding,-,-,-,gp57A chaperone for tail fiber formation,20200909,-
329381,9712924,1,RB16p183,-,-,-,-,gp1 dNMP kinase,protein-coding,-,-,-,gp1 dNMP kinase,20200909,-
329381,9712925,3,RB16p184,-,-,-,-,gp3 head-proximal tip of tail tube,protein-coding,-,-,-,gp3 head-proximal tip of tail tube,20200909,-
329381,9712926,RB16p185,RB16p185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
329381,9712927,2,RB16p186,-,-,-,-,gp2 DNA end protector protein,protein-coding,-,-,-,gp2 DNA end protector protein,20200909,-
329381,9712928,RB16p187,RB16p187,-,-,-,-,"putative Seg-like homing endonuclease, GIY-YIG family",protein-coding,-,-,-,"putative Seg-like homing endonuclease, GIY-YIG family",20200909,-
329381,9712929,4,RB16p188,-,-,-,-,gp4 head completion protein,protein-coding,-,-,-,gp4 head completion protein,20200909,-
329381,9712930,53,RB16p189,-,-,-,-,gp53 baseplate wedge subunit,protein-coding,-,-,-,gp53 baseplate wedge subunit,20200909,-
329381,9712931,5,RB16p190,-,-,-,-,gp5 baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,gp5 baseplate hub subunit and tail lysozyme,20200926,-
329381,9712932,RB16p191,RB16p191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712933,RB16p192,RB16p192,-,-,-,-,putative Mob-like HNH homing endonuclease,protein-coding,-,-,-,putative Mob-like HNH homing endonuclease,20200926,-
329381,9712934,6,RB16p193,-,-,-,-,gp6 baseplate wedge subunit,protein-coding,-,-,-,gp6 baseplate wedge subunit,20200909,-
329381,9712935,7,RB16p194,-,-,-,-,gp7 baseplate wedge subunit,protein-coding,-,-,-,gp7 baseplate wedge subunit,20200909,-
329381,9712936,8,RB16p195,-,-,-,-,gp8 baseplate wedge subunit,protein-coding,-,-,-,gp8 baseplate wedge subunit,20200909,-
329381,9712937,9,RB16p196,-,-,-,-,gp9 baseplate wedge tail fiber connector,protein-coding,-,-,-,gp9 baseplate wedge tail fiber connector,20200909,-
329381,9712938,10,RB16p197,-,-,-,-,gp10 baseplate wedge subunit and tail pin,protein-coding,-,-,-,gp10 baseplate wedge subunit and tail pin,20200909,-
329381,9712939,11,RB16p198,-,-,-,-,gp11 baseplate wedge subunit and tail pin,protein-coding,-,-,-,gp11 baseplate wedge subunit and tail pin,20200909,-
329381,9712940,12,RB16p199,-,-,-,-,gp12 short tail fibers,protein-coding,-,-,-,gp12 short tail fibers,20210424,-
329381,9712941,wac,RB16p200,-,-,-,-,Wac whisker protein,protein-coding,-,-,-,Wac whisker protein,20200926,-
329381,9712942,13,RB16p201,-,-,-,-,gp13 neck protein,protein-coding,-,-,-,gp13 neck protein,20200909,-
329381,9712943,14,RB16p202,-,-,-,-,gp14 neck protein,protein-coding,-,-,-,gp14 neck protein,20200909,-
329381,9712944,RB16p203,RB16p203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200909,-
329381,9712945,15,RB16p204,-,-,-,-,gp15 tail sheath stabilizer and completion protein,protein-coding,-,-,-,gp15 tail sheath stabilizer and completion protein,20200909,-
329381,9712946,16,RB16p205,-,-,-,-,"gp16 terminase DNA packaging enzyme, small subunit",protein-coding,-,-,-,"gp16 terminase DNA packaging enzyme, small subunit",20200909,-
