#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1675607,26613184,CPT_Matisse2,CPT_Matisse2,-,-,-,-,rIIA protein,protein-coding,-,-,-,rIIA protein,20200910,-
1675607,26613274,CPT_Matisse91,CPT_Matisse91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613275,CPT_Matisse92,CPT_Matisse92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613276,CPT_Matisse93,CPT_Matisse93,-,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20200910,-
1675607,26613277,CPT_Matisse94,CPT_Matisse94,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613278,CPT_Matisse95,CPT_Matisse95,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613279,CPT_Matisse96,CPT_Matisse96,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613280,CPT_Matisse97,CPT_Matisse97,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613281,CPT_Matisse98,CPT_Matisse98,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613282,CPT_Matisse99,CPT_Matisse99,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613283,CPT_Matisse100,CPT_Matisse100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613284,CPT_Matisse101,CPT_Matisse101,-,-,-,-,baseplate hub subunit,protein-coding,-,-,-,baseplate hub subunit,20210417,-
1675607,26613285,CPT_Matisse102,CPT_Matisse102,-,-,-,-,baseplate distal hub subunit,protein-coding,-,-,-,baseplate distal hub subunit,20200910,-
1675607,26613286,CPT_Matisse103,CPT_Matisse103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613287,CPT_Matisse104,CPT_Matisse104,-,-,-,-,tail-tube assembly protein,protein-coding,-,-,-,tail-tube assembly protein,20210123,-
1675607,26613288,CPT_Matisse105,CPT_Matisse105,-,-,-,-,baseplate tail-tube initiator protein,protein-coding,-,-,-,baseplate tail-tube initiator protein,20200910,-
1675607,26613289,CPT_Matisse106,CPT_Matisse106,-,-,-,-,baseplate hub assembly protein,protein-coding,-,-,-,baseplate hub assembly protein,20200910,-
1675607,26613290,CPT_Matisse107,CPT_Matisse107,-,-,-,-,baseplate hub assembly chaperone,protein-coding,-,-,-,baseplate hub assembly chaperone,20200910,-
1675607,26613291,CPT_Matisse108,CPT_Matisse108,-,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200910,-
1675607,26613292,CPT_Matisse109,CPT_Matisse109,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613293,CPT_Matisse110,CPT_Matisse110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613294,CPT_Matisse111,CPT_Matisse111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613295,CPT_Matisse112,CPT_Matisse112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613296,CPT_Matisse113,CPT_Matisse113,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613297,CPT_Matisse114,CPT_Matisse114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613298,CPT_Matisse115,CPT_Matisse115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613299,CPT_Matisse116,CPT_Matisse116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675607,26613300,CPT_Matisse117,CPT_Matisse117,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613301,CPT_Matisse118,CPT_Matisse118,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613302,CPT_Matisse119,CPT_Matisse119,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613303,CPT_Matisse120,CPT_Matisse120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613304,CPT_Matisse121,CPT_Matisse121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613305,CPT_Matisse122,CPT_Matisse122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613306,CPT_Matisse123,CPT_Matisse123,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20200910,-
1675607,26613307,CPT_Matisse124,CPT_Matisse124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613308,CPT_Matisse125,CPT_Matisse125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613309,CPT_Matisse126,CPT_Matisse126,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613310,CPT_Matisse127,CPT_Matisse127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613311,CPT_Matisse128,CPT_Matisse128,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613312,CPT_Matisse129,CPT_Matisse129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613313,CPT_Matisse130,CPT_Matisse130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613314,CPT_Matisse131,CPT_Matisse131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613315,CPT_Matisse132,CPT_Matisse132,-,-,-,-,bifunctional protein NMN adenylyltransferase/NUDIX hydrolase,protein-coding,-,-,-,bifunctional protein NMN adenylyltransferase/NUDIX hydrolase,20200910,-
1675607,26613316,CPT_Matisse133,CPT_Matisse133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613317,CPT_Matisse134,CPT_Matisse134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613318,CPT_Matisse135,CPT_Matisse135,-,-,-,-,rI lysis inhibition protein,protein-coding,-,-,-,rI lysis inhibition protein,20200910,-
1675607,26613319,CPT_Matisse136,CPT_Matisse136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613320,CPT_Matisse137,CPT_Matisse137,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200910,-
1675607,26613321,CPT_Matisse138,CPT_Matisse138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613322,CPT_Matisse139,CPT_Matisse139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613323,CPT_Matisse140,CPT_Matisse140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1675607,26613324,CPT_Matisse141,CPT_Matisse141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613325,CPT_Matisse142,CPT_Matisse142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613326,CPT_Matisse143,CPT_Matisse143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613327,CPT_Matisse144,CPT_Matisse144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613328,CPT_Matisse145,CPT_Matisse145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613329,CPT_Matisse146,CPT_Matisse146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613330,CPT_Matisse147,CPT_Matisse147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613331,CPT_Matisse148,CPT_Matisse148,-,-,-,-,endoribonuclease,protein-coding,-,-,-,endoribonuclease,20210417,-
1675607,26613332,CPT_Matisse149,CPT_Matisse149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613333,CPT_Matisse150,CPT_Matisse150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613334,CPT_Matisse151,CPT_Matisse151,-,-,-,-,PhoH domain protein,protein-coding,-,-,-,PhoH domain protein,20200910,-
1675607,26613335,CPT_Matisse152,CPT_Matisse152,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20200910,-
1675607,26613336,CPT_Matisse153,CPT_Matisse153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613337,CPT_Matisse154,CPT_Matisse154,-,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200910,-
1675607,26613338,CPT_Matisse155,CPT_Matisse155,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613339,CPT_Matisse156,CPT_Matisse156,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613340,CPT_Matisse157,CPT_Matisse157,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613341,CPT_Matisse158,CPT_Matisse158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613342,CPT_Matisse159,CPT_Matisse159,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613343,CPT_Matisse160,CPT_Matisse160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613344,CPT_Matisse161,CPT_Matisse161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613345,CPT_Matisse162,CPT_Matisse162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613346,CPT_Matisse163,CPT_Matisse163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613347,CPT_Matisse164,CPT_Matisse164,-,-,-,-,radical SAM protein,protein-coding,-,-,-,radical SAM protein,20200910,-
1675607,26613348,CPT_Matisse165,CPT_Matisse165,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613349,CPT_Matisse166,CPT_Matisse166,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613350,CPT_Matisse167,CPT_Matisse167,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613351,CPT_Matisse168,CPT_Matisse168,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613352,CPT_Matisse169,CPT_Matisse169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613353,CPT_Matisse170,CPT_Matisse170,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613354,CPT_Matisse171,CPT_Matisse171,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613355,CPT_Matisse172,CPT_Matisse172,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613356,CPT_Matisse173,CPT_Matisse173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613357,CPT_Matisse174,CPT_Matisse174,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613358,CPT_Matisse175,CPT_Matisse175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613359,CPT_Matisse176,CPT_Matisse176,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613360,CPT_Matisse177,CPT_Matisse177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613361,CPT_Matisse178,CPT_Matisse178,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613362,CPT_Matisse179,CPT_Matisse179,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1675607,26613363,CPT_Matisse180,CPT_Matisse180,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613364,CPT_Matisse181,CPT_Matisse181,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613365,CPT_Matisse182,CPT_Matisse182,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613366,CPT_Matisse183,CPT_Matisse183,-,-,-,-,NUDIX hydrolase,protein-coding,-,-,-,NUDIX hydrolase,20200910,-
1675607,26613367,CPT_Matisse184,CPT_Matisse184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613368,CPT_Matisse185,CPT_Matisse185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613369,CPT_Matisse186,CPT_Matisse186,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613370,CPT_Matisse187,CPT_Matisse187,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613371,CPT_Matisse188,CPT_Matisse188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613372,CPT_Matisse189,CPT_Matisse189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613373,CPT_Matisse190,CPT_Matisse190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613374,CPT_Matisse191,CPT_Matisse191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1675607,26613375,CPT_Matisse192,CPT_Matisse192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
