#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1524882,26737497,AWJ26_gp02,AWJ26_gp02,phiLM21_p002,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20200910,-
1524882,26737537,AWJ26_gp66,AWJ26_gp66,phiLM21_p043,-,-,-,coat protein,protein-coding,-,-,-,coat protein,20200910,-
1524882,26737538,AWJ26_gp65,AWJ26_gp65,phiLM21_p044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737539,AWJ26_gp64,AWJ26_gp64,phiLM21_p045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737540,AWJ26_gp63,AWJ26_gp63,phiLM21_p046,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20200910,-
1524882,26737541,AWJ26_gp62,AWJ26_gp62,phiLM21_p047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737542,AWJ26_gp61,AWJ26_gp61,phiLM21_p048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737543,AWJ26_gp60,AWJ26_gp60,phiLM21_p049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737544,AWJ26_gp59,AWJ26_gp59,phiLM21_p050,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200910,-
1524882,26737545,AWJ26_gp58,AWJ26_gp58,phiLM21_p051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737546,AWJ26_gp57,AWJ26_gp57,phiLM21_p052,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200910,-
1524882,26737547,AWJ26_gp56,AWJ26_gp56,phiLM21_p053,-,-,-,tail collar domain,protein-coding,-,-,-,tail collar domain,20200910,-
1524882,26737548,AWJ26_gp55,AWJ26_gp55,phiLM21_p054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737549,AWJ26_gp54,AWJ26_gp54,phiLM21_p055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737550,AWJ26_gp53,AWJ26_gp53,phiLM21_p056,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737551,AWJ26_gp52,AWJ26_gp52,phiLM21_p057,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200910,-
1524882,26737552,AWJ26_gp51,AWJ26_gp51,phiLM21_p058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737553,AWJ26_gp50,AWJ26_gp50,phiLM21_p059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737554,AWJ26_gp49,AWJ26_gp49,phiLM21_p060,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737555,AWJ26_gp48,AWJ26_gp48,phiLM21_p061,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1524882,26737556,AWJ26_gp47,AWJ26_gp47,phiLM21_p062,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20200910,-
1524882,26737557,AWJ26_gp46,AWJ26_gp46,phiLM21_p063,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20200910,-
1524882,26737558,AWJ26_gp45,AWJ26_gp45,phiLM21_p064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737559,AWJ26_gp44,AWJ26_gp44,phiLM21_p065,-,-,-,chitinase-like protein,protein-coding,-,-,-,chitinase-like protein,20200910,-
1524882,26737560,AWJ26_gp43,AWJ26_gp43,phiLM21_p066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737561,AWJ26_gp42,AWJ26_gp42,phiLM21_p067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737562,AWJ26_gp41,AWJ26_gp41,phiLM21_p068,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20200910,-
1524882,26737563,AWJ26_gp40,AWJ26_gp40,phiLM21_p069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737564,AWJ26_gp39,AWJ26_gp39,phiLM21_p070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737565,AWJ26_gp38,AWJ26_gp38,phiLM21_p071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737566,AWJ26_gp37,AWJ26_gp37,phiLM21_p072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737567,AWJ26_gp36,AWJ26_gp36,phiLM21_p073,-,-,-,ATP-dependent DNA ligase,protein-coding,-,-,-,ATP-dependent DNA ligase,20200910,-
1524882,26737568,AWJ26_gp72,AWJ26_gp72,phiLM21_p037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1524882,26737569,AWJ26_gp01,AWJ26_gp01,phiLM21_p001,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1524882,26780650,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
