#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10464,2828299,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Agrotis segetum granulosis virus; AsGV).,other,-,-,-,-,20210531,-
10464,37627063,D1Y34_gp034,D1Y34_gp034,AsGV034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627064,D1Y34_gp035,D1Y34_gp035,AsGV035,-,-,-,cathepsin,protein-coding,-,-,-,cathepsin,20181103,-
10464,37627065,D1Y34_gp036,D1Y34_gp036,AsGV036,-,-,-,chitinase,protein-coding,-,-,-,chitinase,20181110,-
10464,37627066,D1Y34_gp037,D1Y34_gp037,AsGV037,-,-,-,odv-e66,protein-coding,-,-,-,odv-e66,20181110,-
10464,37627067,D1Y34_gp038,D1Y34_gp038,AsGV038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627068,D1Y34_gp039,D1Y34_gp039,AsGV039,-,-,-,lef-2,protein-coding,-,-,-,lef-2,20181103,-
10464,37627069,D1Y34_gp040,D1Y34_gp040,AsGV040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627070,D1Y34_gp041,D1Y34_gp041,AsGV041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627071,D1Y34_gp042,D1Y34_gp042,AsGV042,-,-,-,RNR_I,protein-coding,-,-,-,RNR_I,20181110,-
10464,37627072,D1Y34_gp043,D1Y34_gp043,AsGV043,-,-,-,RNRR2,protein-coding,-,-,-,RNRR2,20181110,-
10464,37627073,D1Y34_gp044,D1Y34_gp044,AsGV044,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627074,D1Y34_gp045,D1Y34_gp045,AsGV045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627075,D1Y34_gp046,D1Y34_gp046,AsGV046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627076,D1Y34_gp047,D1Y34_gp047,AsGV047,-,-,-,ZnMC_MMP,protein-coding,-,-,-,ZnMC_MMP,20181110,-
10464,37627077,D1Y34_gp048,D1Y34_gp048,AsGV048,-,-,-,P13,protein-coding,-,-,-,P13,20181110,-
10464,37627078,D1Y34_gp049,D1Y34_gp049,AsGV049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627079,D1Y34_gp050,D1Y34_gp050,AsGV050,-,-,-,pif-2,protein-coding,-,-,-,pif-2,20181110,-
10464,37627080,D1Y34_gp051,D1Y34_gp051,AsGV051,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627081,D1Y34_gp052,D1Y34_gp052,AsGV052,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627082,D1Y34_gp053,D1Y34_gp053,AsGV053,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10464,37627083,D1Y34_gp054,D1Y34_gp054,AsGV054,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627084,D1Y34_gp055,D1Y34_gp055,AsGV055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10464,37627085,D1Y34_gp056,D1Y34_gp056,AsGV056,-,-,-,ubiquitin,protein-coding,-,-,-,ubiquitin,20181110,-
10464,37627086,D1Y34_gp057,D1Y34_gp057,AsGV057,-,-,-,DUF673 superfamily protein,protein-coding,-,-,-,DUF673 superfamily protein,20181110,-
10464,37627087,D1Y34_gp058,D1Y34_gp058,AsGV058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627088,D1Y34_gp059,D1Y34_gp059,AsGV059,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627089,D1Y34_gp060,D1Y34_gp060,AsGV060,-,-,-,pp31,protein-coding,-,-,-,pp31,20180825,-
10464,37627090,D1Y34_gp061,D1Y34_gp061,AsGV061,-,-,-,lef-11,protein-coding,-,-,-,lef-11,20181103,-
10464,37627091,D1Y34_gp062,D1Y34_gp062,AsGV062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627092,D1Y34_gp063,D1Y34_gp063,-,-,-,-,iap-1,protein-coding,-,-,-,iap-1,20181110,-
10464,37627093,D1Y34_gp065,D1Y34_gp065,AsGV065,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627094,D1Y34_gp066,D1Y34_gp066,AsGV066,-,-,-,enhancin,protein-coding,-,-,-,enhancin,20181110,-
10464,37627095,D1Y34_gp067,D1Y34_gp067,AsGV067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627096,D1Y34_gp068,D1Y34_gp068,AsGV068,-,-,-,pif-0,protein-coding,-,-,-,pif-0,20181110,-
10464,37627097,D1Y34_gp069,D1Y34_gp069,AsGV069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627098,D1Y34_gp070,D1Y34_gp070,AsGV070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627099,D1Y34_gp071,D1Y34_gp071,AsGV071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627100,D1Y34_gp072,D1Y34_gp072,AsGV072,-,-,-,p47,protein-coding,-,-,-,p47,20181110,-
10464,37627101,D1Y34_gp073,D1Y34_gp073,AsGV073,-,-,-,nudix,protein-coding,-,-,-,nudix,20181110,-
10464,37627102,D1Y34_gp074,D1Y34_gp074,AsGV074,-,-,-,p24,protein-coding,-,-,-,p24,20181110,-
10464,37627103,D1Y34_gp075,D1Y34_gp075,AsGV075,-,-,-,38.7 kDa protein,protein-coding,-,-,-,38.7 kDa protein,20180825,-
10464,37627104,D1Y34_gp076,D1Y34_gp076,AsGV076,-,-,-,lef-1,protein-coding,-,-,-,lef-1,20181110,-
10464,37627105,D1Y34_gp077,D1Y34_gp077,AsGV077,-,-,-,pif-1,protein-coding,-,-,-,pif-1,20181103,-
10464,37627106,D1Y34_gp078,D1Y34_gp078,AsGV078,-,-,-,fgf-1,protein-coding,-,-,-,fgf-1,20181110,-
10464,37627107,D1Y34_gp079,D1Y34_gp079,AsGV079,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627108,D1Y34_gp080,D1Y34_gp080,AsGV080,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627109,D1Y34_gp081,D1Y34_gp081,AsGV081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627110,D1Y34_gp082,D1Y34_gp082,AsGV082,-,-,-,lef-6,protein-coding,-,-,-,lef-6,20180825,-
10464,37627111,D1Y34_gp083,D1Y34_gp083,AsGV083,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20181110,-
10464,37627112,D1Y34_gp084,D1Y34_gp084,AsGV084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627113,D1Y34_gp085,D1Y34_gp085,AsGV085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627114,D1Y34_gp086,D1Y34_gp086,AsGV086,-,-,-,p48,protein-coding,-,-,-,p48,20181103,-
10464,37627115,D1Y34_gp087,D1Y34_gp087,AsGV087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627116,D1Y34_gp088,D1Y34_gp088,AsGV088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181103,-
10464,37627117,D1Y34_gp089,D1Y34_gp089,AsGV089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627118,D1Y34_gp090,D1Y34_gp090,AsGV090,-,-,-,lef-5,protein-coding,-,-,-,lef-5,20181110,-
10464,37627119,D1Y34_gp091,D1Y34_gp091,AsGV091,-,-,-,38k,protein-coding,-,-,-,38k,20181110,-
10464,37627120,D1Y34_gp092,D1Y34_gp092,AsGV092,-,-,-,pif-4,protein-coding,-,-,-,pif-4,20181110,-
10464,37627121,D1Y34_gp093,D1Y34_gp093,AsGV093,-,-,-,DNA helicase-1,protein-coding,-,-,-,DNA helicase-1,20181110,-
10464,37627122,D1Y34_gp094,D1Y34_gp094,AsGV094,-,-,-,p14.2,protein-coding,-,-,-,p14.2,20180825,-
10464,37627123,D1Y34_gp095,D1Y34_gp095,AsGV095,-,-,-,odv-e25,protein-coding,-,-,-,odv-e25,20181110,-
10464,37627124,D1Y34_gp096,D1Y34_gp096,AsGV096,-,-,-,P18,protein-coding,-,-,-,P18,20181110,-
10464,37627125,D1Y34_gp097,D1Y34_gp097,AsGV097,-,-,-,p33,protein-coding,-,-,-,p33,20181110,-
10464,37627126,D1Y34_gp098,D1Y34_gp098,AsGV098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627127,D1Y34_gp099,D1Y34_gp099,AsGV099,-,-,-,lef-4,protein-coding,-,-,-,lef-4,20181110,-
10464,37627128,D1Y34_gp100,D1Y34_gp100,AsGV100,-,-,-,vp39,protein-coding,-,-,-,vp39,20181110,-
10464,37627129,D1Y34_gp101,D1Y34_gp101,AsGV101,-,-,-,odv-ec27,protein-coding,-,-,-,odv-ec27,20181110,-
10464,37627130,D1Y34_gp102,D1Y34_gp102,AsGV102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627131,D1Y34_gp103,D1Y34_gp103,AsGV103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627132,D1Y34_gp104,D1Y34_gp104,AsGV104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627133,D1Y34_gp105,D1Y34_gp105,AsGV105,-,-,-,vp91,protein-coding,-,-,-,vp91,20181103,-
10464,37627134,D1Y34_gp106,D1Y34_gp106,AsGV106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627135,D1Y34_gp107,D1Y34_gp107,AsGV107,-,-,-,tlp20,protein-coding,-,-,-,tlp20,20181110,-
10464,37627136,D1Y34_gp108,D1Y34_gp108,AsGV108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627137,D1Y34_gp109,D1Y34_gp109,AsGV109,-,-,-,gp41,protein-coding,-,-,-,gp41,20181110,-
10464,37627138,D1Y34_gp110,D1Y34_gp110,AsGV110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627139,D1Y34_gp111,D1Y34_gp111,AsGV111,-,-,-,vlf-1,protein-coding,-,-,-,vlf-1,20181103,-
10464,37627140,D1Y34_gp112,D1Y34_gp112,AsGV112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627141,D1Y34_gp113,D1Y34_gp113,AsGV113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627142,D1Y34_gp114,D1Y34_gp114,AsGV114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627143,D1Y34_gp115,D1Y34_gp115,AsGV115,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20181103,-
10464,37627144,D1Y34_gp116,D1Y34_gp116,AsGV116,-,-,-,desmoplakin,protein-coding,-,-,-,desmoplakin,20181103,-
10464,37627145,D1Y34_gp117,D1Y34_gp117,AsGV117,-,-,-,lef-3,protein-coding,-,-,-,lef-3,20180825,-
10464,37627146,D1Y34_gp118,D1Y34_gp118,AsGV118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627147,D1Y34_gp119,D1Y34_gp119,AsGV119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627148,D1Y34_gp120,D1Y34_gp120,AsGV120,-,-,-,iap-2,protein-coding,-,-,-,iap-2,20181110,-
10464,37627149,D1Y34_gp121,D1Y34_gp121,AsGV121,-,-,-,lef-9,protein-coding,-,-,-,lef-9,20181110,-
10464,37627150,D1Y34_gp122,D1Y34_gp122,AsGV122,-,-,-,fp,protein-coding,-,-,-,fp,20181110,-
10464,37627151,D1Y34_gp123,D1Y34_gp123,AsGV123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627152,D1Y34_gp124,D1Y34_gp124,AsGV124,-,-,-,DNA ligase,protein-coding,-,-,-,DNA ligase,20181110,-
10464,37627153,D1Y34_gp125,D1Y34_gp125,AsGV125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627154,D1Y34_gp126,D1Y34_gp126,AsGV126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627155,D1Y34_gp127,D1Y34_gp127,AsGV127,-,-,-,fgf-2,protein-coding,-,-,-,fgf-2,20181110,-
10464,37627156,D1Y34_gp128,D1Y34_gp128,AsGV128,-,-,-,p10,protein-coding,-,-,-,p10,20180825,-
10464,37627157,D1Y34_gp129,D1Y34_gp129,AsGV129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627158,D1Y34_gp130,D1Y34_gp130,AsGV130,-,-,-,alk-exo,protein-coding,-,-,-,alk-exo,20181103,-
10464,37627159,D1Y34_gp131,D1Y34_gp131,AsGV131,-,-,-,DNA helicase-2,protein-coding,-,-,-,DNA helicase-2,20181110,-
10464,37627160,D1Y34_gp132,D1Y34_gp132,AsGV132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627161,D1Y34_gp133,D1Y34_gp133,AsGV133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627162,D1Y34_gp134,D1Y34_gp134,AsGV134,-,-,-,lef-8,protein-coding,-,-,-,lef-8,20181110,-
10464,37627163,D1Y34_gp135,D1Y34_gp135,AsGV135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627164,D1Y34_gp136,D1Y34_gp136,AsGV136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627165,D1Y34_gp137,D1Y34_gp137,AsGV137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627166,D1Y34_gp138,D1Y34_gp138,AsGV138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627167,D1Y34_gp139,D1Y34_gp139,AsGV139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627168,D1Y34_gp140,D1Y34_gp140,AsGV140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627169,D1Y34_gp141,D1Y34_gp141,AsGV141,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627170,D1Y34_gp142,D1Y34_gp142,AsGV142,-,-,-,lef-10,protein-coding,-,-,-,lef-10,20181110,-
10464,37627171,D1Y34_gp143,D1Y34_gp143,AsGV143,-,-,-,vp1054,protein-coding,-,-,-,vp1054,20181110,-
10464,37627172,D1Y34_gp144,D1Y34_gp144,AsGV144,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627173,D1Y34_gp145,D1Y34_gp145,AsGV145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627174,D1Y34_gp146,D1Y34_gp146,AsGV146,-,-,-,fgf-3,protein-coding,-,-,-,fgf-3,20181110,-
10464,37627175,D1Y34_gp147,D1Y34_gp147,AsGV147,-,-,-,egt,protein-coding,-,-,-,egt,20181110,-
10464,37627176,D1Y34_gp148,D1Y34_gp148,AsGV148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627177,D1Y34_gp149,D1Y34_gp149,AsGV149,-,-,-,me53,protein-coding,-,-,-,me53,20181103,-
10464,37627178,D1Y34_gp150,D1Y34_gp150,AsGV150,-,-,-,he65,protein-coding,-,-,-,he65,20181103,-
10464,37627179,D1Y34_gp151,D1Y34_gp151,AsGV151,-,-,-,bro,protein-coding,-,-,-,bro,20180825,-
10464,37627180,D1Y34_gp152,D1Y34_gp152,AsGV152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180825,-
10464,37627181,D1Y34_gp064,D1Y34_gp064,AsGV064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181110,-
10464,37627182,D1Y34_gp001,D1Y34_gp001,AsGV001,-,-,-,granulin,protein-coding,-,-,-,granulin,20181110,-
