#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2743829,65127271,KNV12_gp02,KNV12_gp02,elemo69C_phanotate2,-,-,-,A1-like protein,protein-coding,-,-,-,A1-like protein,20210608,-
2743829,65127299,KNV12_gp76,KNV12_gp76,elemo69C_phanotate30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127300,KNV12_gp75,KNV12_gp75,elemo69C_phanotate31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127301,KNV12_gp74,KNV12_gp74,elemo69C_phanotate32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127302,KNV12_gp73,KNV12_gp73,elemo69C_phanotate33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127303,KNV12_gp72,KNV12_gp72,elemo69C_phanotate34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127304,KNV12_gp71,KNV12_gp71,elemo69C_phanotate35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127305,KNV12_gp70,KNV12_gp70,elemo69C_phanotate36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127306,KNV12_gp69,KNV12_gp69,elemo69C_phanotate37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127307,KNV12_gp68,KNV12_gp68,elemo69C_phanotate38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127308,KNV12_gp67,KNV12_gp67,elemo69C_phanotate39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127309,KNV12_gp66,KNV12_gp66,elemo69C_phanotate40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127310,KNV12_gp65,KNV12_gp65,elemo69C_phanotate41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127311,KNV12_gp64,KNV12_gp64,elemo69C_phanotate42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127312,KNV12_gp63,KNV12_gp63,elemo69C_phanotate43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127313,KNV12_gp62,KNV12_gp62,elemo69C_phanotate44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127314,KNV12_gp61,KNV12_gp61,elemo69C_phanotate45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127315,KNV12_gp60,KNV12_gp60,elemo69C_phanotate46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127316,KNV12_gp59,KNV12_gp59,elemo69C_phanotate47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127317,KNV12_gp58,KNV12_gp58,elemo69C_phanotate48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127318,KNV12_gp57,KNV12_gp57,elemo69C_phanotate49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127319,KNV12_gp56,KNV12_gp56,elemo69C_phanotate50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127320,KNV12_gp55,KNV12_gp55,elemo69C_phanotate51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127321,KNV12_gp54,KNV12_gp54,elemo69C_phanotate52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127322,KNV12_gp53,KNV12_gp53,elemo69C_phanotate53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127323,KNV12_gp52,KNV12_gp52,elemo69C_phanotate54,-,-,-,PE-PGRS family protein,protein-coding,-,-,-,PE-PGRS family protein,20210608,-
2743829,65127324,KNV12_gp51,KNV12_gp51,elemo69C_phanotate55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127325,KNV12_gp50,KNV12_gp50,elemo69C_phanotate56,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20210608,-
2743829,65127326,KNV12_gp49,KNV12_gp49,elemo69C_phanotate57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127327,KNV12_gp48,KNV12_gp48,elemo69C_phanotate58,-,-,-,HAD family hydrolase,protein-coding,-,-,-,HAD family hydrolase,20210608,-
2743829,65127328,KNV12_gp47,KNV12_gp47,elemo69C_phanotate59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127329,KNV12_gp46,KNV12_gp46,elemo69C_phanotate60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127330,KNV12_gp45,KNV12_gp45,elemo69C_phanotate61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127331,KNV12_gp44,KNV12_gp44,elemo69C_phanotate62,-,-,-,co-chaperonin GroES,protein-coding,-,-,-,co-chaperonin GroES,20210608,-
2743829,65127332,KNV12_gp43,KNV12_gp43,elemo69C_phanotate63,-,-,-,chaperonin GroEL,protein-coding,-,-,-,chaperonin GroEL,20210608,-
2743829,65127333,KNV12_gp42,KNV12_gp42,elemo69C_phanotate64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127334,KNV12_gp41,KNV12_gp41,elemo69C_phanotate65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127335,KNV12_gp40,KNV12_gp40,elemo69C_phanotate66,-,-,-,putative YapH protein,protein-coding,-,-,-,putative YapH protein,20210608,-
2743829,65127336,KNV12_gp39,KNV12_gp39,elemo69C_phanotate67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127337,KNV12_gp38,KNV12_gp38,elemo69C_phanotate68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127338,KNV12_gp37,KNV12_gp37,elemo69C_phanotate69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127339,KNV12_gp36,KNV12_gp36,elemo69C_phanotate70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127340,KNV12_gp35,KNV12_gp35,elemo69C_phanotate71,-,-,-,D-alanyl-D-alanine carboxypeptidase,protein-coding,-,-,-,D-alanyl-D-alanine carboxypeptidase,20210608,-
2743829,65127341,KNV12_gp34,KNV12_gp34,elemo69C_phanotate72,-,-,-,DUF285 domain-containing protein,protein-coding,-,-,-,DUF285 domain-containing protein,20210608,-
2743829,65127342,KNV12_gp33,KNV12_gp33,elemo69C_phanotate73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127343,KNV12_gp32,KNV12_gp32,elemo69C_phanotate74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127344,KNV12_gp31,KNV12_gp31,elemo69C_phanotate75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127345,KNV12_gp30,KNV12_gp30,elemo69C_phanotate76,-,-,-,chaperonin cpn10,protein-coding,-,-,-,chaperonin cpn10,20210608,-
2743829,65127346,KNV12_gp29,KNV12_gp29,elemo69C_phanotate77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127347,KNV12_gp28,KNV12_gp28,elemo69C_phanotate78,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127348,KNV12_gp27,KNV12_gp27,elemo69C_phanotate79,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127349,KNV12_gp26,KNV12_gp26,elemo69C_phanotate80,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127350,KNV12_gp25,KNV12_gp25,elemo69C_phanotate81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127351,KNV12_gp24,KNV12_gp24,elemo69C_phanotate82,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127352,KNV12_gp23,KNV12_gp23,elemo69C_phanotate83,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127353,KNV12_gp22,KNV12_gp22,elemo69C_phanotate84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127354,KNV12_gp21,KNV12_gp21,elemo69C_phanotate85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127355,KNV12_gp20,KNV12_gp20,elemo69C_phanotate86,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127356,KNV12_gp19,KNV12_gp19,elemo69C_phanotate87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127357,KNV12_gp18,KNV12_gp18,elemo69C_phanotate88,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20210608,-
2743829,65127358,KNV12_gp88,KNV12_gp88,elemo69C_phanotate18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2743829,65127359,KNV12_gp01,KNV12_gp01,elemo69C_phanotate1,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,protein-coding,-,-,-,phosphoribosyl-ATP pyrophosphohydrolase,20210608,-
2743829,65243441,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Flavobacterium phage vB_Fsp_elemo6-9C).,other,-,-,-,-,20210609,-
