#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718171,26631661,SEA_PARI_2,SEA_PARI_2,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200910,-
1718171,26631682,SEA_PARI_24,SEA_PARI_24,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210424,-
1718171,26631683,SEA_PARI_25,SEA_PARI_25,-,-,-,-,tapemeasure,protein-coding,-,-,-,tapemeasure,20200919,-
1718171,26631684,SEA_PARI_23,SEA_PARI_23,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210417,-
1718171,26631685,SEA_PARI_26,SEA_PARI_26,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631686,SEA_PARI_27,SEA_PARI_27,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631687,SEA_PARI_28,SEA_PARI_28,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631688,SEA_PARI_29,SEA_PARI_29,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631689,SEA_PARI_30,SEA_PARI_30,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631690,SEA_PARI_31,SEA_PARI_31,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
1718171,26631691,SEA_PARI_32,SEA_PARI_32,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631692,SEA_PARI_33,SEA_PARI_33,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200910,-
1718171,26631693,SEA_PARI_34,SEA_PARI_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631694,SEA_PARI_35,SEA_PARI_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631695,SEA_PARI_36,SEA_PARI_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631696,SEA_PARI_37,SEA_PARI_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631697,SEA_PARI_38,SEA_PARI_38,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20200910,-
1718171,26631698,SEA_PARI_39,SEA_PARI_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631699,SEA_PARI_40,SEA_PARI_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631700,SEA_PARI_41,SEA_PARI_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631701,SEA_PARI_42,SEA_PARI_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631702,SEA_PARI_43,SEA_PARI_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631703,SEA_PARI_44,SEA_PARI_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631704,SEA_PARI_45,SEA_PARI_45,-,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200910,-
1718171,26631705,SEA_PARI_46,SEA_PARI_46,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631706,SEA_PARI_47,SEA_PARI_47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631707,SEA_PARI_48,SEA_PARI_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631708,SEA_PARI_49,SEA_PARI_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631709,SEA_PARI_50,SEA_PARI_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1718171,26631710,SEA_PARI_51,SEA_PARI_51,-,-,-,-,ECF RNA polymerase sigma factor,protein-coding,-,-,-,ECF RNA polymerase sigma factor,20200910,-
1718171,26631711,SEA_PARI_52,SEA_PARI_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631712,SEA_PARI_53,SEA_PARI_53,-,-,-,-,RDF protein,protein-coding,-,-,-,RDF protein,20200910,-
1718171,26631713,SEA_PARI_54,SEA_PARI_54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631714,SEA_PARI_55,SEA_PARI_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631715,SEA_PARI_56,SEA_PARI_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631716,SEA_PARI_57,SEA_PARI_57,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200910,-
1718171,26631717,SEA_PARI_58,SEA_PARI_58,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1718171,26631718,SEA_PARI_59,SEA_PARI_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631719,SEA_PARI_60,SEA_PARI_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631720,SEA_PARI_61,SEA_PARI_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1718171,26631721,SEA_PARI_62,SEA_PARI_62,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20200910,-
1718171,26631722,SEA_PARI_63,SEA_PARI_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631723,SEA_PARI_64,SEA_PARI_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631724,SEA_PARI_65,SEA_PARI_65,-,-,-,-,NrdH,protein-coding,-,-,-,NrdH,20210424,-
1718171,26631725,SEA_PARI_66,SEA_PARI_66,-,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20200910,-
1718171,26631726,SEA_PARI_67,SEA_PARI_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631727,SEA_PARI_68,SEA_PARI_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631728,SEA_PARI_69,SEA_PARI_69,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631729,SEA_PARI_70,SEA_PARI_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631730,SEA_PARI_71,SEA_PARI_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631731,SEA_PARI_72,SEA_PARI_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1718171,26631732,SEA_PARI_73,SEA_PARI_73,-,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20200910,-
1718171,26631733,SEA_PARI_74,SEA_PARI_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631734,SEA_PARI_75,SEA_PARI_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631735,SEA_PARI_76,SEA_PARI_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631736,SEA_PARI_77,SEA_PARI_77,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631737,SEA_PARI_78,SEA_PARI_78,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1718171,26631738,SEA_PARI_79,SEA_PARI_79,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631739,SEA_PARI_80,SEA_PARI_80,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200910,-
1718171,26631740,SEA_PARI_81,SEA_PARI_81,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631741,SEA_PARI_82,SEA_PARI_82,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631742,SEA_PARI_83,SEA_PARI_83,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631743,SEA_PARI_84,SEA_PARI_84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631744,SEA_PARI_85,SEA_PARI_85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1718171,26631745,SEA_PARI_86,SEA_PARI_86,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631746,SEA_PARI_87,SEA_PARI_87,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631747,SEA_PARI_88,SEA_PARI_88,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631748,SEA_PARI_89,SEA_PARI_89,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631749,SEA_PARI_90,SEA_PARI_90,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631750,SEA_PARI_91,SEA_PARI_91,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631751,SEA_PARI_92,SEA_PARI_92,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26631752,SEA_PARI_1,SEA_PARI_1,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200910,-
1718171,26680967,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Pari).,other,-,-,-,-,20200513,-
