#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1852625,29066965,kpv477_002,kpv477_002,-,-,-,-,putative rIIA protein,protein-coding,-,-,-,putative rIIA protein,20200629,-
1852625,29066993,kpv477_031,kpv477_031,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066994,kpv477_032,kpv477_032,-,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20201221,-
1852625,29066995,kpv477_033,kpv477_033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29066996,kpv477_034,kpv477_034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066997,kpv477_035,kpv477_035,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066998,kpv477_036,kpv477_036,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29066999,kpv477_037,kpv477_037,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20200926,-
1852625,29067000,kpv477_038,kpv477_038,-,-,-,-,putative head assembly protein,protein-coding,-,-,-,putative head assembly protein,20200912,-
1852625,29067001,kpv477_039,kpv477_039,-,-,-,-,putative RecA-like recombination protein,protein-coding,-,-,-,putative RecA-like recombination protein,20200629,-
1852625,29067002,kpv477_040,kpv477_040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067003,kpv477_041,kpv477_041,-,-,-,-,putative glucosyl-transferase,protein-coding,-,-,-,putative glucosyl-transferase,20200629,-
1852625,29067004,kpv477_042,kpv477_042,-,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20201221,-
1852625,29067005,kpv477_043,kpv477_043,-,-,-,-,superinfection immunity protein,protein-coding,-,-,-,superinfection immunity protein,20210424,-
1852625,29067006,kpv477_044,kpv477_044,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067007,kpv477_045,kpv477_045,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1852625,29067008,kpv477_046,kpv477_046,-,-,-,-,translational repressor RegA,protein-coding,-,-,-,translational repressor RegA,20201221,-
1852625,29067009,kpv477_047,kpv477_047,-,-,-,-,putative DNA polymerase clamp loader subunit,protein-coding,-,-,-,putative DNA polymerase clamp loader subunit,20210424,-
1852625,29067010,kpv477_048,kpv477_048,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1852625,29067011,kpv477_049,kpv477_049,-,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1852625,29067012,kpv477_050,kpv477_050,-,-,-,-,RNA polymerase-binding protein RpbA,protein-coding,-,-,-,RNA polymerase-binding protein RpbA,20201221,-
1852625,29067013,kpv477_051,kpv477_051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067014,kpv477_052,kpv477_052,-,-,-,-,putative recombination endonuclease subunit,protein-coding,-,-,-,putative recombination endonuclease subunit,20200629,-
1852625,29067015,kpv477_054,kpv477_054,-,-,-,-,putative alpha-glucosyl-transferase,protein-coding,-,-,-,putative alpha-glucosyl-transferase,20210424,-
1852625,29067016,kpv477_053,kpv477_053,-,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20201221,-
1852625,29067017,kpv477_055,kpv477_055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067018,kpv477_056,kpv477_056,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067019,kpv477_057,kpv477_057,-,-,-,-,DUF2654 domain-containing protein,protein-coding,-,-,-,DUF2654 domain-containing protein,20201221,-
1852625,29067020,kpv477_058,kpv477_058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1852625,29067021,kpv477_059,kpv477_059,-,-,-,-,RNA polymerase subunit sigma,protein-coding,-,-,-,RNA polymerase subunit sigma,20201221,-
1852625,29067022,kpv477_060,kpv477_060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067023,kpv477_061,kpv477_061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067024,kpv477_062,kpv477_062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067025,kpv477_063,kpv477_063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067026,kpv477_064,kpv477_064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067027,kpv477_065,kpv477_065,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067028,kpv477_066,kpv477_066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067029,kpv477_067,kpv477_067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067030,kpv477_068,kpv477_068,-,-,-,-,putative glutaredoxin,protein-coding,-,-,-,putative glutaredoxin,20210424,-
1852625,29067031,kpv477_069,kpv477_069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1852625,29067032,kpv477_070,kpv477_070,-,-,-,-,putative anaerobic NTP reductase small subunit,protein-coding,-,-,-,putative anaerobic NTP reductase small subunit,20200629,-
1852625,29067033,kpv477_071,kpv477_071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067034,kpv477_072,kpv477_072,-,-,-,-,putative anaerobic NTP reductase large subunit,protein-coding,-,-,-,putative anaerobic NTP reductase large subunit,20200629,-
1852625,29067035,kpv477_073,kpv477_073,-,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201221,-
1852625,29067036,kpv477_074,kpv477_074,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067037,kpv477_075,kpv477_075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067038,kpv477_076,kpv477_076,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067039,kpv477_077,kpv477_077,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067040,kpv477_078,kpv477_078,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067041,kpv477_079,kpv477_079,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067042,kpv477_080,kpv477_080,-,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210424,-
1852625,29067043,kpv477_081,kpv477_081,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067044,kpv477_082,kpv477_082,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067045,kpv477_083,kpv477_083,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067046,kpv477_084,kpv477_084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067047,kpv477_085,kpv477_085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067048,kpv477_086,kpv477_086,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067049,kpv477_087,kpv477_087,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067050,kpv477_088,kpv477_088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067051,kpv477_089,kpv477_089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1852625,29067052,kpv477_090,kpv477_090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067053,kpv477_091,kpv477_091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067054,kpv477_092,kpv477_092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067055,kpv477_093,kpv477_093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067056,kpv477_094,kpv477_094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067057,kpv477_095,kpv477_095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1852625,29067058,kpv477_096,kpv477_096,-,-,-,-,putative thioredoxin,protein-coding,-,-,-,putative thioredoxin,20200629,-
1852625,29067059,kpv477_097,kpv477_097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067060,kpv477_098,kpv477_098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067061,kpv477_099,kpv477_099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067062,kpv477_100,kpv477_100,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067063,kpv477_101,kpv477_101,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067064,kpv477_102,kpv477_102,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067065,kpv477_103,kpv477_103,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067066,kpv477_104,kpv477_104,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067067,kpv477_105,kpv477_105,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067068,kpv477_106,kpv477_106,-,-,-,-,TraR/DksA C4-type zinc finger protein,protein-coding,-,-,-,TraR/DksA C4-type zinc finger protein,20210424,-
1852625,29067069,kpv477_107,kpv477_107,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067070,kpv477_108,kpv477_108,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067071,kpv477_109,kpv477_109,-,-,-,-,putative lysis inhibition regulator,protein-coding,-,-,-,putative lysis inhibition regulator,20200629,-
1852625,29067072,kpv477_110,kpv477_110,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1852625,29067073,kpv477_111,kpv477_111,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067074,kpv477_112,kpv477_112,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067075,kpv477_113,kpv477_113,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201221,-
1852625,29067076,kpv477_114,kpv477_114,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067077,kpv477_115,kpv477_115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067078,kpv477_116,kpv477_116,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067079,kpv477_117,kpv477_117,-,-,-,-,putative valyl-tRNA synthetase modifier,protein-coding,-,-,-,putative valyl-tRNA synthetase modifier,20200629,-
1852625,29067080,kpv477_118,kpv477_118,-,-,-,-,lytic transglycosylase domain-containing protein,protein-coding,-,-,-,lytic transglycosylase domain-containing protein,20201221,-
1852625,29067081,kpv477_119,kpv477_119,-,-,-,-,putative site-specific RNA endonuclease,protein-coding,-,-,-,putative site-specific RNA endonuclease,20200926,-
1852625,29067082,kpv477_120,kpv477_120,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067083,kpv477_121,kpv477_121,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067084,kpv477_122,kpv477_122,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067085,kpv477_123,kpv477_123,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067086,kpv477_124,kpv477_124,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067087,kpv477_125,kpv477_125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067088,kpv477_126,kpv477_126,-,-,-,-,putative lysozyme,protein-coding,-,-,-,putative lysozyme,20200629,-
1852625,29067089,kpv477_127,kpv477_127,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067090,kpv477_128,kpv477_128,-,-,-,-,putative nudix hydrolase,protein-coding,-,-,-,putative nudix hydrolase,20200629,-
1852625,29067091,kpv477_129,kpv477_129,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067092,kpv477_130,kpv477_130,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067093,kpv477_131,kpv477_131,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067094,kpv477_132,kpv477_132,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067095,kpv477_133,kpv477_133,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067096,kpv477_134,kpv477_134,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067097,kpv477_135,kpv477_135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067098,kpv477_136,kpv477_136,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067099,kpv477_137,kpv477_137,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067100,kpv477_138,kpv477_138,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067101,kpv477_139,kpv477_139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067102,kpv477_140,kpv477_140,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067103,kpv477_t001,kpv477_t001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067104,kpv477_t002,kpv477_t002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067105,kpv477_141,kpv477_141,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067106,kpv477_t003,kpv477_t003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067107,kpv477_t004,kpv477_t004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067108,kpv477_142,kpv477_142,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200912,-
1852625,29067109,kpv477_143,kpv477_143,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067110,kpv477_t005,kpv477_t005,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067111,kpv477_144,kpv477_144,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067112,kpv477_145,kpv477_145,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067113,kpv477_146,kpv477_146,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067114,kpv477_147,kpv477_147,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067115,kpv477_t006,kpv477_t006,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067116,kpv477_t007,kpv477_t007,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067117,kpv477_t008,kpv477_t008,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067118,kpv477_t009,kpv477_t009,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067119,kpv477_t010,kpv477_t010,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067120,kpv477_t011,kpv477_t011,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067121,kpv477_t012,kpv477_t012,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067122,kpv477_t013,kpv477_t013,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067123,kpv477_t014,kpv477_t014,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067124,kpv477_t015,kpv477_t015,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067125,kpv477_t016,kpv477_t016,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067126,kpv477_148,kpv477_148,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067127,kpv477_t017,kpv477_t017,-,-,-,-,tRNA,tRNA,-,-,-,-,20200910,-
1852625,29067128,kpv477_001,kpv477_001,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210424,-
1852625,29067129,kpv477_149,kpv477_149,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067130,kpv477_150,kpv477_150,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067131,kpv477_151,kpv477_151,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067132,kpv477_152,kpv477_152,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067133,kpv477_153,kpv477_153,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067134,kpv477_154,kpv477_154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067135,kpv477_155,kpv477_155,-,-,-,-,deoxynucleoside monophosphate kinase,protein-coding,-,-,-,deoxynucleoside monophosphate kinase,20201221,-
1852625,29067136,kpv477_156,kpv477_156,-,-,-,-,putative tail completion and sheath stabilizer protein,protein-coding,-,-,-,putative tail completion and sheath stabilizer protein,20200629,-
1852625,29067137,kpv477_157,kpv477_157,-,-,-,-,putative DNA end protector protein,protein-coding,-,-,-,putative DNA end protector protein,20200629,-
1852625,29067138,kpv477_158,kpv477_158,-,-,-,-,putative head completion protein,protein-coding,-,-,-,putative head completion protein,20200629,-
1852625,29067139,kpv477_159,kpv477_159,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1852625,29067140,kpv477_160,kpv477_160,-,-,-,-,baseplate wedge protein 53,protein-coding,-,-,-,baseplate wedge protein 53,20201221,-
1852625,29067141,kpv477_161,kpv477_161,-,-,-,-,glycoside hydrolase family protein,protein-coding,-,-,-,glycoside hydrolase family protein,20201221,-
1852625,29067142,kpv477_162,kpv477_162,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067143,kpv477_163,kpv477_163,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067144,kpv477_164,kpv477_164,-,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200629,-
1852625,29067145,kpv477_165,kpv477_165,-,-,-,-,putative homing endonuclease,protein-coding,-,-,-,putative homing endonuclease,20200629,-
1852625,29067146,kpv477_166,kpv477_166,-,-,-,-,putative baseplate wedge initiator,protein-coding,-,-,-,putative baseplate wedge initiator,20200629,-
1852625,29067147,kpv477_167,kpv477_167,-,-,-,-,putative baseplate wedge subunit,protein-coding,-,-,-,putative baseplate wedge subunit,20200629,-
1852625,29067148,kpv477_168,kpv477_168,-,-,-,-,putative baseplate wedge tail fiber connector,protein-coding,-,-,-,putative baseplate wedge tail fiber connector,20210424,-
1852625,29067149,kpv477_169,kpv477_169,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1852625,29067150,kpv477_170,kpv477_170,-,-,-,-,putative baseplate wedge subunit and tail pin,protein-coding,-,-,-,putative baseplate wedge subunit and tail pin,20200629,-
1852625,29067151,kpv477_171,kpv477_171,-,-,-,-,putative short tail fibers protein,protein-coding,-,-,-,putative short tail fibers protein,20200926,-
1852625,29067152,kpv477_172,kpv477_172,-,-,-,-,putative fibritin neck whiskers protein,protein-coding,-,-,-,putative fibritin neck whiskers protein,20200629,-
1852625,29067153,kpv477_173,kpv477_173,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1852625,29067154,kpv477_174,kpv477_174,-,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1852625,29067155,kpv477_175,kpv477_175,-,-,-,-,Mob-like putative homing endonuclease,protein-coding,-,-,-,Mob-like putative homing endonuclease,20200926,-
1852625,29067156,kpv477_176,kpv477_176,-,-,-,-,putative tail sheath stabilizer and completion protein,protein-coding,-,-,-,putative tail sheath stabilizer and completion protein,20200629,-
1852625,29067157,kpv477_177,kpv477_177,-,-,-,-,small terminase,protein-coding,-,-,-,small terminase,20201221,-
1852625,29067158,kpv477_178,kpv477_178,-,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200629,-
1852625,29067159,kpv477_179,kpv477_179,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201221,-
1852625,29067160,kpv477_180,kpv477_180,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1852625,29067161,kpv477_181,kpv477_181,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1852625,29067162,kpv477_182,kpv477_182,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1852625,29067163,kpv477_183,kpv477_183,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1852625,29067164,kpv477_184,kpv477_184,-,-,-,-,prohead core scaffolding protein and protease,protein-coding,-,-,-,prohead core scaffolding protein and protease,20201221,-
1852625,29067165,kpv477_185,kpv477_185,-,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20201221,-
1852625,29067166,kpv477_186,kpv477_186,-,-,-,-,putative major head protein,protein-coding,-,-,-,putative major head protein,20200629,-
1852625,29067167,kpv477_187,kpv477_187,-,-,-,-,putative capsid vertex protein,protein-coding,-,-,-,putative capsid vertex protein,20200629,-
1852625,29067168,kpv477_188,kpv477_188,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
1852625,29067169,kpv477_189,kpv477_189,-,-,-,-,putative Rnl2 family RNA ligase,protein-coding,-,-,-,putative Rnl2 family RNA ligase,20200629,-
1852625,29067170,kpv477_190,kpv477_190,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200926,-
1852625,29067171,kpv477_191,kpv477_191,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200629,-
