#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2725652,62361869,2,JMN74_gp02,SEA_MANATEE_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
2725652,62361932,66,JMN74_gp66,SEA_MANATEE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361933,67,JMN74_gp67,SEA_MANATEE_67,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210212,-
2725652,62361934,68,JMN74_gp68,SEA_MANATEE_68,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210327,-
2725652,62361935,69,JMN74_gp69,SEA_MANATEE_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361936,70,JMN74_gp70,SEA_MANATEE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361937,71,JMN74_gp71,SEA_MANATEE_71,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210320,-
2725652,62361938,72,JMN74_gp72,SEA_MANATEE_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361939,73,JMN74_gp73,SEA_MANATEE_73,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2725652,62361940,74,JMN74_gp74,SEA_MANATEE_74,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2725652,62361941,75,JMN74_gp75,SEA_MANATEE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361942,76,JMN74_gp76,SEA_MANATEE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361943,77,JMN74_gp77,SEA_MANATEE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361944,78,JMN74_gp78,SEA_MANATEE_78,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2725652,62361945,79,JMN74_gp79,SEA_MANATEE_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361946,80,JMN74_gp80,SEA_MANATEE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361947,81,JMN74_gp81,SEA_MANATEE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361948,82,JMN74_gp82,SEA_MANATEE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361949,83,JMN74_gp83,SEA_MANATEE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361950,84,JMN74_gp84,SEA_MANATEE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361951,86,JMN74_gp86,SEA_MANATEE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361952,87,JMN74_gp87,SEA_MANATEE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361953,88,JMN74_gp88,SEA_MANATEE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361954,89,JMN74_gp89,SEA_MANATEE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361955,90,JMN74_gp90,SEA_MANATEE_90,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2725652,62361956,91,JMN74_gp91,SEA_MANATEE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62361957,92,JMN74_gp92,SEA_MANATEE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2725652,62361958,5,JMN74_gp05,SEA_MANATEE_5,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210123,-
2725652,62361959,85,JMN74_gp85,SEA_MANATEE_85,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210327,-
2725652,62361960,1,JMN74_gp01,SEA_MANATEE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2725652,62369057,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210125,-
