#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2234029,60330299,2,I5H54_gp02,SEA_KOELLA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2234029,60330316,19,I5H54_gp19,SEA_KOELLA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2234029,60330317,20,I5H54_gp20,SEA_KOELLA_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330318,21,I5H54_gp21,SEA_KOELLA_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330319,22,I5H54_gp22,SEA_KOELLA_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330320,23,I5H54_gp23,SEA_KOELLA_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330321,24,I5H54_gp24,SEA_KOELLA_24,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2234029,60330322,25,I5H54_gp25,SEA_KOELLA_25,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2234029,60330323,26,I5H54_gp26,SEA_KOELLA_26,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2234029,60330324,27,I5H54_gp27,SEA_KOELLA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2234029,60330325,28,I5H54_gp28,SEA_KOELLA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330326,29,I5H54_gp29,SEA_KOELLA_29,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2234029,60330327,30,I5H54_gp30,SEA_KOELLA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330328,31,I5H54_gp31,SEA_KOELLA_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330329,32,I5H54_gp32,SEA_KOELLA_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330330,33,I5H54_gp33,SEA_KOELLA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330331,34,I5H54_gp34,SEA_KOELLA_34,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201129,-
2234029,60330332,35,I5H54_gp35,SEA_KOELLA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330333,36,I5H54_gp36,SEA_KOELLA_36,-,-,-,transposase,protein-coding,-,-,-,transposase,20210406,-
2234029,60330334,37,I5H54_gt01,SEA_KOELLA_37,-,-,-,tRNA,tRNA,-,-,-,-,20201129,-
2234029,60330335,38,I5H54_gp95,SEA_KOELLA_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2234029,60330336,39,I5H54_gp94,SEA_KOELLA_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330337,40,I5H54_gp93,SEA_KOELLA_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2234029,60330338,42,I5H54_gp91,SEA_KOELLA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330339,41,I5H54_gp92,SEA_KOELLA_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210403,-
2234029,60330340,43,I5H54_gp90,SEA_KOELLA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330341,44,I5H54_gp89,SEA_KOELLA_44,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2234029,60330342,45,I5H54_gp88,SEA_KOELLA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330343,46,I5H54_gp87,SEA_KOELLA_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330344,47,I5H54_gp86,SEA_KOELLA_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330345,48,I5H54_gp85,SEA_KOELLA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330346,49,I5H54_gp84,SEA_KOELLA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330347,50,I5H54_gp83,SEA_KOELLA_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2234029,60330348,51,I5H54_gp82,SEA_KOELLA_51,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2234029,60330349,52,I5H54_gp81,SEA_KOELLA_52,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2234029,60330350,53,I5H54_gp80,SEA_KOELLA_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2234029,60330351,54,I5H54_gp79,SEA_KOELLA_54,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2234029,60330352,55,I5H54_gp78,SEA_KOELLA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330353,56,I5H54_gp77,SEA_KOELLA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330354,57,I5H54_gp76,SEA_KOELLA_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330355,58,I5H54_gp75,SEA_KOELLA_58,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210406,-
2234029,60330356,59,I5H54_gp74,SEA_KOELLA_59,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2234029,60330357,60,I5H54_gp73,SEA_KOELLA_60,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2234029,60330358,61,I5H54_gp72,SEA_KOELLA_61,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2234029,60330359,62,I5H54_gp71,SEA_KOELLA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330360,63,I5H54_gp70,SEA_KOELLA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330361,64,I5H54_gp69,SEA_KOELLA_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330362,65,I5H54_gp68,SEA_KOELLA_65,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210425,-
2234029,60330363,66,I5H54_gp67,SEA_KOELLA_66,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2234029,60330364,67,I5H54_gp66,SEA_KOELLA_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2234029,60330365,68,I5H54_gp65,SEA_KOELLA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330366,69,I5H54_gp64,SEA_KOELLA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330367,70,I5H54_gp63,SEA_KOELLA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330368,71,I5H54_gp62,SEA_KOELLA_71,-,-,-,MPME1 protein,protein-coding,-,-,-,MPME1 protein,20201129,-
2234029,60330369,72,I5H54_gp61,SEA_KOELLA_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330370,73,I5H54_gp60,SEA_KOELLA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330371,74,I5H54_gp59,SEA_KOELLA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330372,75,I5H54_gp58,SEA_KOELLA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330373,76,I5H54_gp57,SEA_KOELLA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330374,77,I5H54_gp56,SEA_KOELLA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330375,78,I5H54_gp55,SEA_KOELLA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330376,79,I5H54_gp54,SEA_KOELLA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330377,80,I5H54_gp53,SEA_KOELLA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330378,81,I5H54_gp52,SEA_KOELLA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330379,82,I5H54_gp51,SEA_KOELLA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330380,83,I5H54_gp50,SEA_KOELLA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330381,85,I5H54_gp48,SEA_KOELLA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330382,86,I5H54_gp47,SEA_KOELLA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330383,87,I5H54_gp46,SEA_KOELLA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330384,88,I5H54_gp45,SEA_KOELLA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330385,89,I5H54_gp44,SEA_KOELLA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330386,90,I5H54_gp43,SEA_KOELLA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330387,91,I5H54_gp42,SEA_KOELLA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330388,92,I5H54_gp41,SEA_KOELLA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330389,93,I5H54_gp40,SEA_KOELLA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330390,94,I5H54_gp39,SEA_KOELLA_94,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2234029,60330391,95,I5H54_gp38,SEA_KOELLA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2234029,60330392,96,I5H54_gp37,SEA_KOELLA_96,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2234029,60330393,84,I5H54_gp49,SEA_KOELLA_84,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2234029,60330394,1,I5H54_gp01,SEA_KOELLA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2234029,60338671,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
