#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
232237,2648346,Xp10p05,Xp10p05,-,-,-,-,predicted DNA-binding module,protein-coding,-,-,-,predicted DNA-binding module,20201220,-
232237,2648361,Xp10p48,Xp10p48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648362,Xp10p36,Xp10p36,-,-,-,-,exonuclease VII,protein-coding,-,-,-,exonuclease VII,20201220,-
232237,2648363,Xp10p54,Xp10p54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648364,Xp10p39,Xp10p39,-,-,-,-,DNA polymerase lacking N-terminal exonuclease domain,protein-coding,-,-,-,DNA polymerase lacking N-terminal exonuclease domain,20201220,-
232237,2648365,Xp10p46,Xp10p46,-,-,-,-,7K protein; inhibitor of transcription initiation and antiterminator,protein-coding,-,-,-,7K protein|inhibitor of transcription initiation and antiterminator,20201220,-
232237,2648366,Xp10p12,Xp10p12,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648367,Xp10p38,Xp10p38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648368,Xp10p40,Xp10p40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648369,Xp10p58,Xp10p58,-,-,-,-,endonuclease of the HNH family with predicted DNA-binding module at C-terminus,protein-coding,-,-,-,endonuclease of the HNH family with predicted DNA-binding module at C-terminus,20201220,-
232237,2648370,Xp10p03,Xp10p03,-,-,-,-,endonuclease of the HNH family,protein-coding,-,-,-,endonuclease of the HNH family,20201220,-
232237,2648371,Xp10p01,Xp10p01,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648372,Xp10p31,Xp10p31,-,-,-,-,DNA ligase; minimal catalytic domain,protein-coding,-,-,-,DNA ligase|minimal catalytic domain,20201220,-
232237,2648373,Xp10p30,Xp10p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648374,Xp10p45,Xp10p45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648375,Xp10p28,Xp10p28,-,-,-,-,phage-type lysozyme,protein-coding,-,-,-,phage-type lysozyme,20201220,-
232237,2648376,Xp10p52,Xp10p52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648377,Xp10p55,Xp10p55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648378,Xp10p29,Xp10p29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648379,Xp10p18,Xp10p18,-,-,-,-,tail lenght tape measure protein,protein-coding,-,-,-,tail lenght tape measure protein,20201220,-
232237,2648380,Xp10p14,Xp10p14,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648381,Xp10p50,Xp10p50,-,-,-,-,endonuclease of the HNH family with predicted DNA-binding module in the C-terminus,protein-coding,-,-,-,endonuclease of the HNH family with predicted DNA-binding module in the C-terminus,20201220,-
232237,2648382,Xp10p19,Xp10p19,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648383,Xp10p11,Xp10p11,-,-,-,-,conserved phage protein; annotated as head-tail joining in some phages,protein-coding,-,-,-,conserved phage protein|annotated as head-tail joining in some phages,20201220,-
232237,2648384,Xp10p27,Xp10p27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648385,Xp10p32,Xp10p32,-,-,-,-,T3/T7-like RNA polymerase,protein-coding,-,-,-,T3/T7-like RNA polymerase,20201220,-
232237,2648386,Xp10p59,Xp10p59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648387,Xp10p10,Xp10p10,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648388,Xp10p41,Xp10p41,-,-,-,-,replicative helicase of the DnaB family,protein-coding,-,-,-,replicative helicase of the DnaB family,20201220,-
232237,2648389,Xp10p13,Xp10p13,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648390,Xp10p34,Xp10p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648391,Xp10p43,Xp10p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648392,Xp10p15,Xp10p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648393,Xp10p22,Xp10p22,-,-,-,-,conserved phage protein; central region similar to Gifsy-2/lambdaJ,protein-coding,-,-,-,conserved phage protein|central region similar to Gifsy-2/lambdaJ,20201220,-
232237,2648394,Xp10p42,Xp10p42,-,-,-,-,DNA primase of the DnaG family,protein-coding,-,-,-,DNA primase of the DnaG family,20201220,-
232237,2648395,Xp10p17,Xp10p17,-,-,-,-,endonuclease of the HNH family,protein-coding,-,-,-,endonuclease of the HNH family,20201220,-
232237,2648396,Xp10p07,Xp10p07,-,-,-,-,head portal protein,protein-coding,-,-,-,head portal protein,20201220,-
232237,2648397,Xp10p20,Xp10p20,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648398,Xp10p47,Xp10p47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648399,Xp10p16,Xp10p16,-,-,-,-,conserved phage protein,protein-coding,-,-,-,conserved phage protein,20201220,-
232237,2648400,Xp10p44,Xp10p44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648401,Xp10p21,Xp10p21,-,-,-,-,peptidoglycan hydrolase/transglycosylase,protein-coding,-,-,-,peptidoglycan hydrolase/transglycosylase,20201220,-
232237,2648402,Xp10p56,Xp10p56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648403,Xp10p57,Xp10p57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
232237,2648404,Xp10p60,Xp10p60,-,-,-,-,endonuclease of the HNH family,protein-coding,-,-,-,endonuclease of the HNH family,20201220,-
232237,2648405,Xp10p06,Xp10p06,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
232237,2831049,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Xanthomonas campestris phage Xp10; Xanthomonas oryzae bacteriophage Xp10; Xanthomonas phage Xp10).,other,-,-,-,-,20200513,-
