#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2653273,65122360,2,KNU76_gp02,SEA_JABBERWOCKY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210608,-
2653273,65122378,20,KNU76_gp20,SEA_JABBERWOCKY_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122379,21,KNU76_gp21,SEA_JABBERWOCKY_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210608,-
2653273,65122380,22,KNU76_gp22,SEA_JABBERWOCKY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122381,23,KNU76_gp23,SEA_JABBERWOCKY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122382,24,KNU76_gp24,SEA_JABBERWOCKY_24,-,-,-,glucosaminyldeacetylase,protein-coding,-,-,-,glucosaminyldeacetylase,20210608,-
2653273,65122383,25,KNU76_gp25,SEA_JABBERWOCKY_25,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210608,-
2653273,65122384,26,KNU76_gp26,SEA_JABBERWOCKY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122385,27,KNU76_gp27,SEA_JABBERWOCKY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122386,28,KNU76_gp28,SEA_JABBERWOCKY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122387,29,KNU76_gp29,SEA_JABBERWOCKY_29,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210608,-
2653273,65122388,30,KNU76_gp30,SEA_JABBERWOCKY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122389,31,KNU76_gp31,SEA_JABBERWOCKY_31,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210608,-
2653273,65122390,32,KNU76_gp32,SEA_JABBERWOCKY_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653273,65122391,33,KNU76_gp33,SEA_JABBERWOCKY_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653273,65122392,34,KNU76_gp34,SEA_JABBERWOCKY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122393,35,KNU76_gp35,SEA_JABBERWOCKY_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653273,65122394,36,KNU76_gp36,SEA_JABBERWOCKY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122395,37,KNU76_gp37,SEA_JABBERWOCKY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122396,38,KNU76_gp38,SEA_JABBERWOCKY_38,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210608,-
2653273,65122397,39,KNU76_gp39,SEA_JABBERWOCKY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122398,40,KNU76_gp40,SEA_JABBERWOCKY_40,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210608,-
2653273,65122399,41,KNU76_gp41,SEA_JABBERWOCKY_41,-,-,-,holin,protein-coding,-,-,-,holin,20210608,-
2653273,65122400,42,KNU76_gp42,SEA_JABBERWOCKY_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122401,43,KNU76_gp43,SEA_JABBERWOCKY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122402,44,KNU76_gp44,SEA_JABBERWOCKY_44,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210608,-
2653273,65122403,45,KNU76_gp45,SEA_JABBERWOCKY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122404,46,KNU76_gp46,SEA_JABBERWOCKY_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122405,47,KNU76_gp47,SEA_JABBERWOCKY_47,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210608,-
2653273,65122406,48,KNU76_gp48,SEA_JABBERWOCKY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122407,49,KNU76_gp49,SEA_JABBERWOCKY_49,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210608,-
2653273,65122408,50,KNU76_gp50,SEA_JABBERWOCKY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122409,51,KNU76_gp51,SEA_JABBERWOCKY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122410,52,KNU76_gp52,SEA_JABBERWOCKY_52,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2653273,65122411,53,KNU76_gp53,SEA_JABBERWOCKY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122412,54,KNU76_gp54,SEA_JABBERWOCKY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122413,55,KNU76_gp55,SEA_JABBERWOCKY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122414,56,KNU76_gp56,SEA_JABBERWOCKY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122415,57,KNU76_gp57,SEA_JABBERWOCKY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122416,58,KNU76_gp58,SEA_JABBERWOCKY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
2653273,65122417,59,KNU76_gp59,SEA_JABBERWOCKY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122418,60,KNU76_gp60,SEA_JABBERWOCKY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122419,61,KNU76_gp61,SEA_JABBERWOCKY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122420,62,KNU76_gp62,SEA_JABBERWOCKY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122421,63,KNU76_gp63,SEA_JABBERWOCKY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122422,64,KNU76_gp64,SEA_JABBERWOCKY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122423,65,KNU76_gp65,SEA_JABBERWOCKY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122424,66,KNU76_gp66,SEA_JABBERWOCKY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122425,67,KNU76_gp67,SEA_JABBERWOCKY_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210608,-
2653273,65122426,68,KNU76_gp68,SEA_JABBERWOCKY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122427,69,KNU76_gp69,SEA_JABBERWOCKY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122428,70,KNU76_gp70,SEA_JABBERWOCKY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122429,71,KNU76_gp71,SEA_JABBERWOCKY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122430,72,KNU76_gp72,SEA_JABBERWOCKY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122431,73,KNU76_gp73,SEA_JABBERWOCKY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122432,74,KNU76_gp74,SEA_JABBERWOCKY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122433,75,KNU76_gp75,SEA_JABBERWOCKY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122434,76,KNU76_gp76,SEA_JABBERWOCKY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122435,77,KNU76_gp77,SEA_JABBERWOCKY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122436,78,KNU76_gp78,SEA_JABBERWOCKY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122437,79,KNU76_gp79,SEA_JABBERWOCKY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122438,80,KNU76_gp80,SEA_JABBERWOCKY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122439,81,KNU76_gp81,SEA_JABBERWOCKY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122440,82,KNU76_gp82,SEA_JABBERWOCKY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2653273,65122441,83,KNU76_gp83,SEA_JABBERWOCKY_83,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210608,-
2653273,65122442,84,KNU76_gp84,SEA_JABBERWOCKY_84,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210608,-
2653273,65122443,1,KNU76_gp01,SEA_JABBERWOCKY_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210608,-
2653273,65243247,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
