#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2301710,60332029,2,I5H71_gp002,SEA_NIVRAT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2301710,60332064,43,I5H71_gp043,SEA_NIVRAT_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332065,44,I5H71_gp044,SEA_NIVRAT_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332066,45,I5H71_gp045,SEA_NIVRAT_45,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210417,-
2301710,60332067,46,I5H71_gp046,SEA_NIVRAT_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332068,47,I5H71_gp047,SEA_NIVRAT_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2301710,60332069,48,I5H71_gp048,SEA_NIVRAT_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332070,50,I5H71_gp051,SEA_NIVRAT_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332071,51,I5H71_gp052,SEA_NIVRAT_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301710,60332072,52,I5H71_gp053,SEA_NIVRAT_53,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210129,-
2301710,60332073,53,I5H71_gp054,SEA_NIVRAT_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2301710,60332074,54,I5H71_gp055,SEA_NIVRAT_55,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210123,-
2301710,60332075,55,I5H71_gp056,SEA_NIVRAT_56,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2301710,60332076,56,I5H71_gp057,SEA_NIVRAT_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332077,57,I5H71_gp058,SEA_NIVRAT_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332078,58,I5H71_gp059,SEA_NIVRAT_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332079,59,I5H71_gp060,SEA_NIVRAT_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332080,60,I5H71_gp061,SEA_NIVRAT_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301710,60332081,61,I5H71_gp062,SEA_NIVRAT_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301710,60332082,63,I5H71_gp064,SEA_NIVRAT_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332083,64,I5H71_gp065,SEA_NIVRAT_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332084,65,I5H71_gp066,SEA_NIVRAT_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332085,66,I5H71_gp067,SEA_NIVRAT_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332086,67,I5H71_gp068,SEA_NIVRAT_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332087,68,I5H71_gp069,SEA_NIVRAT_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332088,69,I5H71_gp070,SEA_NIVRAT_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332089,71,I5H71_gp072,SEA_NIVRAT_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332090,72,I5H71_gp073,SEA_NIVRAT_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332091,73,I5H71_gp074,SEA_NIVRAT_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332092,74,I5H71_gp075,SEA_NIVRAT_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332093,75,I5H71_gp076,SEA_NIVRAT_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332094,76,I5H71_gp077,SEA_NIVRAT_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332095,77,I5H71_gp078,SEA_NIVRAT_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332096,78,I5H71_gp079,SEA_NIVRAT_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332097,79,I5H71_gp080,SEA_NIVRAT_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332098,80,I5H71_gp081,SEA_NIVRAT_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332099,81,I5H71_gp082,SEA_NIVRAT_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332100,82,I5H71_gp083,SEA_NIVRAT_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332101,83,I5H71_gp084,SEA_NIVRAT_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332102,84,I5H71_gp085,SEA_NIVRAT_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332103,86,I5H71_gp087,SEA_NIVRAT_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332104,87,I5H71_gp088,SEA_NIVRAT_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332105,88,I5H71_gp089,SEA_NIVRAT_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332106,89,I5H71_gp090,SEA_NIVRAT_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332107,90,I5H71_gp091,SEA_NIVRAT_91,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210406,-
2301710,60332108,91,I5H71_gp092,SEA_NIVRAT_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332109,92,I5H71_gp093,SEA_NIVRAT_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332110,93,I5H71_gp094,SEA_NIVRAT_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332111,94,I5H71_gp095,SEA_NIVRAT_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332112,95,I5H71_gp096,SEA_NIVRAT_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332113,96,I5H71_gp097,SEA_NIVRAT_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332114,97,I5H71_gp098,SEA_NIVRAT_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332115,98,I5H71_gp099,SEA_NIVRAT_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332116,99,I5H71_gp100,SEA_NIVRAT_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332117,100,I5H71_gp101,SEA_NIVRAT_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301710,60332118,101,I5H71_gp102,SEA_NIVRAT_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332119,102,I5H71_gp103,SEA_NIVRAT_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2301710,60332120,32,I5H71_gp032,SEA_NIVRAT_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2301710,60332121,8,I5H71_gp008,SEA_NIVRAT_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2301710,60332122,10,I5H71_gp010,SEA_NIVRAT_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2301710,60332123,11,I5H71_gp011,SEA_NIVRAT_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2301710,60332124,12,I5H71_gp013,SEA_NIVRAT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2301710,60332125,49,I5H71_gp049,SEA_NIVRAT_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301710,60332126,62,I5H71_gp063,SEA_NIVRAT_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301710,60332127,70,I5H71_gp071,SEA_NIVRAT_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332128,85,I5H71_gp086,SEA_NIVRAT_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332129,33,I5H71_gp033,SEA_NIVRAT_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2301710,60332130,49,I5H71_gp050,SEA_NIVRAT_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2301710,60332131,1,I5H71_gp001,SEA_NIVRAT_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2301710,60338721,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
