#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2081627,60333185,2,I5H82_gp002,SEA_PRISCILLA_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210417,-
2081627,60333197,12,I5H82_gp013,SEA_PRISCILLA_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2081627,60333198,15,I5H82_gp015,SEA_PRISCILLA_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333199,16,I5H82_gp016,SEA_PRISCILLA_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333200,17,I5H82_gp017,SEA_PRISCILLA_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333201,18,I5H82_gp018,SEA_PRISCILLA_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333202,19,I5H82_gp019,SEA_PRISCILLA_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2081627,60333203,20,I5H82_gp020,SEA_PRISCILLA_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210406,-
2081627,60333204,21,I5H82_gp021,SEA_PRISCILLA_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333205,22,I5H82_gp022,SEA_PRISCILLA_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333206,23,I5H82_gp023,SEA_PRISCILLA_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333207,24,I5H82_gp024,SEA_PRISCILLA_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2081627,60333208,25,I5H82_gp025,SEA_PRISCILLA_25,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201129,-
2081627,60333209,26,I5H82_gp026,SEA_PRISCILLA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333210,27,I5H82_gp027,SEA_PRISCILLA_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333211,28,I5H82_gp028,SEA_PRISCILLA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333212,29,I5H82_gp029,SEA_PRISCILLA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333213,30,I5H82_gp030,SEA_PRISCILLA_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201217,-
2081627,60333214,31,I5H82_gp031,SEA_PRISCILLA_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2081627,60333215,32,I5H82_gp032,SEA_PRISCILLA_32,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
2081627,60333216,33,I5H82_gp033,SEA_PRISCILLA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2081627,60333217,34,I5H82_gp034,SEA_PRISCILLA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333218,35,I5H82_gp035,SEA_PRISCILLA_35,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2081627,60333219,36,I5H82_gp036,SEA_PRISCILLA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333220,37,I5H82_gp037,SEA_PRISCILLA_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333221,38,I5H82_gp038,SEA_PRISCILLA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333222,39,I5H82_gp039,SEA_PRISCILLA_39,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20201129,-
2081627,60333223,40,I5H82_gp040,SEA_PRISCILLA_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333224,41,I5H82_gp041,SEA_PRISCILLA_41,-,-,-,transposase,protein-coding,-,-,-,transposase,20210417,-
2081627,60333225,42,I5H82_gp042,SEA_PRISCILLA_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333226,44,I5H82_gp044,SEA_PRISCILLA_44,-,-,-,integrase,protein-coding,-,-,-,integrase,20210417,-
2081627,60333227,43,I5H82_gp043,SEA_PRISCILLA_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333228,45,I5H82_gp045,SEA_PRISCILLA_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333229,46,I5H82_gp046,SEA_PRISCILLA_46,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2081627,60333230,48,I5H82_gp048,SEA_PRISCILLA_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333231,47,I5H82_gp047,SEA_PRISCILLA_47,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20210403,-
2081627,60333232,49,I5H82_gp049,SEA_PRISCILLA_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333233,50,I5H82_gp050,SEA_PRISCILLA_50,-,-,-,excise,protein-coding,-,-,-,excise,20210212,-
2081627,60333234,51,I5H82_gp051,SEA_PRISCILLA_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333235,52,I5H82_gp052,SEA_PRISCILLA_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333236,53,I5H82_gp053,SEA_PRISCILLA_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333237,54,I5H82_gp054,SEA_PRISCILLA_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333238,55,I5H82_gp055,SEA_PRISCILLA_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333239,56,I5H82_gp056,SEA_PRISCILLA_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
2081627,60333240,57,I5H82_gp057,SEA_PRISCILLA_57,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2081627,60333241,58,I5H82_gp058,SEA_PRISCILLA_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2081627,60333242,59,I5H82_gp059,SEA_PRISCILLA_59,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210417,-
2081627,60333243,60,I5H82_gp060,SEA_PRISCILLA_60,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210406,-
2081627,60333244,61,I5H82_gp061,SEA_PRISCILLA_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333245,62,I5H82_gp062,SEA_PRISCILLA_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333246,63,I5H82_gp063,SEA_PRISCILLA_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333247,64,I5H82_gp064,SEA_PRISCILLA_64,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210406,-
2081627,60333248,65,I5H82_gp065,SEA_PRISCILLA_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2081627,60333249,66,I5H82_gp066,SEA_PRISCILLA_66,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210417,-
2081627,60333250,67,I5H82_gp067,SEA_PRISCILLA_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210417,-
2081627,60333251,68,I5H82_gp068,SEA_PRISCILLA_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333252,69,I5H82_gp069,SEA_PRISCILLA_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333253,70,I5H82_gp070,SEA_PRISCILLA_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333254,71,I5H82_gp071,SEA_PRISCILLA_71,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210425,-
2081627,60333255,72,I5H82_gp072,SEA_PRISCILLA_72,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2081627,60333256,73,I5H82_gp073,SEA_PRISCILLA_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2081627,60333257,74,I5H82_gp074,SEA_PRISCILLA_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333258,75,I5H82_gp075,SEA_PRISCILLA_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333259,76,I5H82_gp076,SEA_PRISCILLA_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333260,77,I5H82_gp077,SEA_PRISCILLA_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333261,78,I5H82_gp078,SEA_PRISCILLA_78,-,-,-,MPME 1 protein,protein-coding,-,-,-,MPME 1 protein,20201129,-
2081627,60333262,79,I5H82_gp079,SEA_PRISCILLA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333263,80,I5H82_gp080,SEA_PRISCILLA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333264,81,I5H82_gp081,SEA_PRISCILLA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333265,82,I5H82_gp082,SEA_PRISCILLA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333266,83,I5H82_gp083,SEA_PRISCILLA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333267,84,I5H82_gp084,SEA_PRISCILLA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333268,85,I5H82_gp085,SEA_PRISCILLA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333269,86,I5H82_gp086,SEA_PRISCILLA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333270,87,I5H82_gp087,SEA_PRISCILLA_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333271,88,I5H82_gp088,SEA_PRISCILLA_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333272,89,I5H82_gp089,SEA_PRISCILLA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333273,90,I5H82_gp090,SEA_PRISCILLA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333274,91,I5H82_gp091,SEA_PRISCILLA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333275,92,I5H82_gp092,SEA_PRISCILLA_92,-,-,-,G-I-Y Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y Y-I-G endonuclease,20210406,-
2081627,60333276,93,I5H82_gp093,SEA_PRISCILLA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333277,94,I5H82_gp094,SEA_PRISCILLA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333278,95,I5H82_gp095,SEA_PRISCILLA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333279,96,I5H82_gp096,SEA_PRISCILLA_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333280,97,I5H82_gp097,SEA_PRISCILLA_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333281,98,I5H82_gp098,SEA_PRISCILLA_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333282,99,I5H82_gp099,SEA_PRISCILLA_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333283,100,I5H82_gp100,SEA_PRISCILLA_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333284,101,I5H82_gp101,SEA_PRISCILLA_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333285,102,I5H82_gp102,SEA_PRISCILLA_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2081627,60333286,103,I5H82_gp103,SEA_PRISCILLA_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2081627,60333287,104,I5H82_gp104,SEA_PRISCILLA_104,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2081627,60333288,105,I5H82_gp105,SEA_PRISCILLA_105,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2081627,60333289,1,I5H82_gp001,SEA_PRISCILLA_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2081627,60338637,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
