#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483667,63026510,2,J1766_gp02,SEA_BIZZY_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210309,-
2483667,63026530,22,J1766_gp22,SEA_BIZZY_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026531,23,J1766_gp23,SEA_BIZZY_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026532,24,J1766_gp24,SEA_BIZZY_24,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210309,-
2483667,63026533,25,J1766_gp25,SEA_BIZZY_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026534,26,J1766_gp26,SEA_BIZZY_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026535,27,J1766_gp27,SEA_BIZZY_27,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210309,-
2483667,63026536,28,J1766_gp28,SEA_BIZZY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026537,29,J1766_gp29,SEA_BIZZY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026538,30,J1766_gp30,SEA_BIZZY_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026539,31,J1766_gp31,SEA_BIZZY_31,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210309,-
2483667,63026540,32,J1766_gp32,SEA_BIZZY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026541,33,J1766_gp33,SEA_BIZZY_33,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210309,-
2483667,63026542,34,J1766_gp34,SEA_BIZZY_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483667,63026543,35,J1766_gp35,SEA_BIZZY_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483667,63026544,36,J1766_gp36,SEA_BIZZY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2483667,63026545,37,J1766_gp37,SEA_BIZZY_37,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483667,63026546,38,J1766_gp38,SEA_BIZZY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026547,39,J1766_gp39,SEA_BIZZY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026548,40,J1766_gp40,SEA_BIZZY_40,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210309,-
2483667,63026549,41,J1766_gp41,SEA_BIZZY_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026550,42,J1766_gp42,SEA_BIZZY_42,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210309,-
2483667,63026551,43,J1766_gp43,SEA_BIZZY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026552,44,J1766_gp44,SEA_BIZZY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026553,45,J1766_gp45,SEA_BIZZY_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026554,46,J1766_gp46,SEA_BIZZY_46,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210309,-
2483667,63026555,47,J1766_gp47,SEA_BIZZY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026556,48,J1766_gp48,SEA_BIZZY_48,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210309,-
2483667,63026557,49,J1766_gp49,SEA_BIZZY_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026558,50,J1766_gp50,SEA_BIZZY_50,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210309,-
2483667,63026559,51,J1766_gp51,SEA_BIZZY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026560,52,J1766_gp52,SEA_BIZZY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026561,53,J1766_gp53,SEA_BIZZY_53,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483667,63026562,54,J1766_gp54,SEA_BIZZY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026563,55,J1766_gp55,SEA_BIZZY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026564,56,J1766_gp56,SEA_BIZZY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026565,57,J1766_gp57,SEA_BIZZY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026566,58,J1766_gp58,SEA_BIZZY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026567,59,J1766_gp59,SEA_BIZZY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026568,60,J1766_gp60,SEA_BIZZY_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026569,61,J1766_gp61,SEA_BIZZY_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026570,62,J1766_gp62,SEA_BIZZY_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026571,63,J1766_gp63,SEA_BIZZY_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026572,64,J1766_gp64,SEA_BIZZY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026573,65,J1766_gp65,SEA_BIZZY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026574,66,J1766_gp66,SEA_BIZZY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026575,67,J1766_gp67,SEA_BIZZY_67,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20210309,-
2483667,63026576,68,J1766_gp68,SEA_BIZZY_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026577,69,J1766_gp69,SEA_BIZZY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026578,70,J1766_gp70,SEA_BIZZY_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026579,72,J1766_gp72,SEA_BIZZY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026580,73,J1766_gp73,SEA_BIZZY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026581,74,J1766_gp74,SEA_BIZZY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026582,75,J1766_gp75,SEA_BIZZY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026583,76,J1766_gp76,SEA_BIZZY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026584,77,J1766_gp77,SEA_BIZZY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026585,78,J1766_gp78,SEA_BIZZY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026586,79,J1766_gp79,SEA_BIZZY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026587,80,J1766_gp80,SEA_BIZZY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026588,81,J1766_gp81,SEA_BIZZY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026589,82,J1766_gp82,SEA_BIZZY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026590,83,J1766_gp83,SEA_BIZZY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026591,84,J1766_gp84,SEA_BIZZY_84,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210309,-
2483667,63026592,85,J1766_gp85,SEA_BIZZY_85,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210309,-
2483667,63026593,71,J1766_gp71,SEA_BIZZY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210309,-
2483667,63026594,1,J1766_gp01,SEA_BIZZY_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210309,-
2483667,63139663,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210310,-
