#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2483672,65117105,2,KNU21_gp02,SEA_NORDENBERG_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20210607,-
2483672,65117173,72,KNU21_gp72,SEA_NORDENBERG_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117174,73,KNU21_gp73,SEA_NORDENBERG_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117175,74,KNU21_gp74,SEA_NORDENBERG_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117176,75,KNU21_gp75,SEA_NORDENBERG_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117177,76,KNU21_gp76,SEA_NORDENBERG_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117178,77,KNU21_gp77,SEA_NORDENBERG_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117179,78,KNU21_gp78,SEA_NORDENBERG_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117180,79,KNU21_gp79,SEA_NORDENBERG_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117181,80,KNU21_gp80,SEA_NORDENBERG_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117182,81,KNU21_gp81,SEA_NORDENBERG_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117183,82,KNU21_gp82,SEA_NORDENBERG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117184,83,KNU21_gp83,SEA_NORDENBERG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117185,84,KNU21_gp84,SEA_NORDENBERG_84,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210607,-
2483672,65117186,54,KNU21_gp54,SEA_NORDENBERG_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117187,66,KNU21_gp66,SEA_NORDENBERG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2483672,65117188,1,KNU21_gp01,SEA_NORDENBERG_1,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20210607,-
2483672,65242956,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
