#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1141141,13997821,D862_gp229,D862_gp229,ACG-C40_0045,-,-,-,immunity to superinfection membrane protein,protein-coding,-,-,-,immunity to superinfection membrane protein,20210129,-
1141141,13997859,D862_gp242,D862_gp242,ACG-C40_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997860,D862_gp241,D862_gp241,ACG-C40_0033,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20200629,-
1141141,13997861,D862_gp240,D862_gp240,ACG-C40_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1141141,13997862,D862_gp239,D862_gp239,ACG-C40_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997863,D862_gp238,D862_gp238,ACG-C40_0036,-,-,-,spackle periplasmic protein,protein-coding,-,-,-,spackle periplasmic protein,20200629,-
1141141,13997864,D862_gp237,D862_gp237,ACG-C40_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997865,D862_gp236,D862_gp236,ACG-C40_0038,-,-,-,discriminator of mRNA degradation,protein-coding,-,-,-,discriminator of mRNA degradation,20200629,-
1141141,13997866,D862_gp235,D862_gp235,ACG-C40_0039,-,-,-,DNA primase-helicase subunit,protein-coding,-,-,-,DNA primase-helicase subunit,20200629,-
1141141,13997867,D862_gp234,D862_gp234,ACG-C40_0040,-,-,-,head vertex assembly chaperone,protein-coding,-,-,-,head vertex assembly chaperone,20201010,-
1141141,13997868,D862_gp233,D862_gp233,ACG-C40_0041,-,-,-,RecA-like recombination protein,protein-coding,-,-,-,RecA-like recombination protein,20210129,-
1141141,13997869,D862_gp232,D862_gp232,ACG-C40_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997870,D862_gp231,D862_gp231,ACG-C40_0043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997871,D862_gp230,D862_gp230,ACG-C40_0044,-,-,-,dCMP hydroxymethylase,protein-coding,-,-,-,dCMP hydroxymethylase,20200905,-
1141141,13997872,D862_gp282,D862_gp282,ACG-C40_0045a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997873,D862_gp228,D862_gp228,ACG-C40_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997874,D862_gp227,D862_gp227,ACG-C40_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997875,D862_gp226,D862_gp226,ACG-C40_0048,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20200905,-
1141141,13997876,D862_gp225,D862_gp225,ACG-C40_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997877,D862_gp224,D862_gp224,ACG-C40_0050,-,-,-,translational repressor protein,protein-coding,-,-,-,translational repressor protein,20210212,-
1141141,13997878,D862_gp223,D862_gp223,ACG-C40_0051,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200629,-
1141141,13997879,D862_gp222,D862_gp222,ACG-C40_0052,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20200629,-
1141141,13997880,D862_gp221,D862_gp221,ACG-C40_0053,-,-,-,sliding clamp DNA polymerase accessory protein,protein-coding,-,-,-,sliding clamp DNA polymerase accessory protein,20200629,-
1141141,13997881,D862_gp220,D862_gp220,ACG-C40_0054,-,-,-,RNA polymerase binding protein,protein-coding,-,-,-,RNA polymerase binding protein,20200629,-
1141141,13997882,D862_gp219,D862_gp219,ACG-C40_0055,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997883,D862_gp218,D862_gp218,ACG-C40_0056,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
1141141,13997884,D862_gp217,D862_gp217,ACG-C40_0057,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1141141,13997885,D862_gp216,D862_gp216,ACG-C40_0058,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997886,D862_gp215,D862_gp215,ACG-C40_0059,-,-,-,recombination endonuclease subunit,protein-coding,-,-,-,recombination endonuclease subunit,20200629,-
1141141,13997887,D862_gp281,D862_gp281,ACG-C40_060a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997888,D862_gp213,D862_gp213,ACG-C40_0061,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1141141,13997889,D862_gp212,D862_gp212,ACG-C40_0062,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997890,D862_gp211,D862_gp211,ACG-C40_0063,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997891,D862_gp210,D862_gp210,ACG-C40_0064,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997892,D862_gp209,D862_gp209,ACG-C40_0065,-,-,-,sigma factor recognition late T4 promoter,protein-coding,-,-,-,sigma factor recognition late T4 promoter,20200629,-
1141141,13997893,D862_gp208,D862_gp208,ACG-C40_0066,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997894,D862_gp207,D862_gp207,ACG-C40_0067,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997895,D862_gp206,D862_gp206,ACG-C40_0068,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997896,D862_gp205,D862_gp205,ACG-C40_0069,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997897,D862_gp204,D862_gp204,ACG-C40_0070,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997898,D862_gp203,D862_gp203,ACG-C40_0071,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997899,D862_gp202,D862_gp202,ACG-C40_0072,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997900,D862_gp201,D862_gp201,ACG-C40_0073,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20210212,-
1141141,13997901,D862_gp200,D862_gp200,ACG-C40_0074,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997902,D862_gp199,D862_gp199,ACG-C40_0075,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997903,D862_gp198,D862_gp198,ACG-C40_0076,-,-,-,anaerobic NTP reductase small subunit,protein-coding,-,-,-,anaerobic NTP reductase small subunit,20200629,-
1141141,13997904,D862_gp197,D862_gp197,ACG-C40_0077,-,-,-,homing endonuclease,protein-coding,-,-,-,homing endonuclease,20210123,-
1141141,13997905,D862_gp196,D862_gp196,ACG-C40_0078,-,-,-,anaerobic NTP reductase large subunit,protein-coding,-,-,-,anaerobic NTP reductase large subunit,20200629,-
1141141,13997906,D862_gp195,D862_gp195,ACG-C40_0079,-,-,-,packaging and recombination endonuclease VII,protein-coding,-,-,-,packaging and recombination endonuclease VII,20200629,-
1141141,13997907,D862_gp194,D862_gp194,ACG-C40_0080,-,-,-,protease inhibitor,protein-coding,-,-,-,protease inhibitor,20200629,-
1141141,13997908,D862_gp193,D862_gp193,ACG-C40_0081,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997909,D862_gp192,D862_gp192,ACG-C40_0082,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997910,D862_gp191,D862_gp191,ACG-C40_0083,-,-,-,thioredoxin,protein-coding,-,-,-,thioredoxin,20200629,-
1141141,13997911,D862_gp190,D862_gp190,ACG-C40_0084,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997912,D862_gp189,D862_gp189,ACG-C40_0085,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997913,D862_gp188,D862_gp188,ACG-C40_0086,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997914,D862_gp187,D862_gp187,ACG-C40_0087,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997915,D862_gp186,D862_gp186,ACG-C40_0088,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997916,D862_gp185,D862_gp185,ACG-C40_0089,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997917,D862_gp184,D862_gp184,ACG-C40_0090,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997918,D862_gp183,D862_gp183,ACG-C40_0091,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1141141,13997919,D862_gp182,D862_gp182,ACG-C40_0092,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997920,D862_gp181,D862_gp181,ACG-C40_0093,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997921,D862_gp180,D862_gp180,ACG-C40_0094,-,-,-,ADP-ribosylase,protein-coding,-,-,-,ADP-ribosylase,20200629,-
1141141,13997922,D862_gp179,D862_gp179,ACG-C40_0095,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997923,D862_gp178,D862_gp178,ACG-C40_0096,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997924,D862_gp177,D862_gp177,ACG-C40_0097,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997925,D862_gp176,D862_gp176,ACG-C40_0098,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997926,D862_gp175,D862_gp175,ACG-C40_0099,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997927,D862_gp174,D862_gp174,ACG-C40_0100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997928,D862_gp280,D862_gp280,ACG-C40_0101a,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997929,D862_gp172,D862_gp172,ACG-C40_0102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997930,D862_gp171,D862_gp171,ACG-C40_0103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997931,D862_gp170,D862_gp170,ACG-C40_0104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997932,D862_gp169,D862_gp169,ACG-C40_0105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997933,D862_gp168,D862_gp168,ACG-C40_0106,-,-,-,lysis inhibition regulator,protein-coding,-,-,-,lysis inhibition regulator,20200629,-
1141141,13997934,D862_gp167,D862_gp167,ACG-C40_0107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997935,D862_gp166,D862_gp166,ACG-C40_0108,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20200629,-
1141141,13997936,D862_gp165,D862_gp165,ACG-C40_0109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997937,D862_gp164,D862_gp164,ACG-C40_0110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997938,D862_gp163,D862_gp163,ACG-C40_0111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997939,D862_gp162,D862_gp162,ACG-C40_0112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997940,D862_gp161,D862_gp161,ACG-C40_0113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997941,D862_gp160,D862_gp160,ACG-C40_0114,-,-,-,valyl-tRNA synthetase modifier,protein-coding,-,-,-,valyl-tRNA synthetase modifier,20200629,-
1141141,13997942,D862_gp159,D862_gp159,ACG-C40_0115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997943,D862_gp158,D862_gp158,ACG-C40_0116,-,-,-,site-specific RNA endonuclease,protein-coding,-,-,-,site-specific RNA endonuclease,20210212,-
1141141,13997944,D862_gp157,D862_gp157,ACG-C40_0117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997945,D862_gp156,D862_gp156,ACG-C40_0118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997946,D862_gp155,D862_gp155,ACG-C40_0119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997947,D862_gp154,D862_gp154,ACG-C40_0120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997948,D862_gp153,D862_gp153,ACG-C40_0121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997949,D862_gp152,D862_gp152,ACG-C40_0122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997950,D862_gp151,D862_gp151,ACG-C40_0123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997951,D862_gp150,D862_gp150,ACG-C40_0124,-,-,-,lysozyme murein hydrolase e,protein-coding,-,-,-,lysozyme murein hydrolase e,20201010,-
1141141,13997952,D862_gp149,D862_gp149,ACG-C40_0125,-,-,-,nudix hydrolase,protein-coding,-,-,-,nudix hydrolase,20210417,-
1141141,13997953,D862_gp148,D862_gp148,ACG-C40_0126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997954,D862_gp147,D862_gp147,ACG-C40_0127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997955,D862_gp146,D862_gp146,ACG-C40_0128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997956,D862_gp145,D862_gp145,ACG-C40_0129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997957,D862_gp144,D862_gp144,ACG-C40_0130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997958,D862_gp143,D862_gp143,ACG-C40_0131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997959,D862_gp279,D862_gp279,ACG-C40_0132b,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997960,D862_gt001,D862_gt001,-,-,-,-,tRNA,tRNA,-,-,-,-,20200909,-
1141141,13997961,D862_gp273,D862_gp273,ACG-C40_0001,-,-,-,protector from prophage-induced early lysis rIIA,protein-coding,-,-,-,protector from prophage-induced early lysis rIIA,20200905,-
1141141,13997962,D862_gp214,D862_gp214,ACG-C40_0060,-,-,-,alpha glucosyl transferase,protein-coding,-,-,-,alpha glucosyl transferase,20200629,-
1141141,13997963,D862_gp140,D862_gp140,ACG-C40_0134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997964,D862_gp139,D862_gp139,ACG-C40_0135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997965,D862_gp138,D862_gp138,ACG-C40_0136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997966,D862_gp137,D862_gp137,ACG-C40_0137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997967,D862_gp136,D862_gp136,ACG-C40_0138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997968,D862_gp135,D862_gp135,ACG-C40_0139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997969,D862_gp134,D862_gp134,ACG-C40_0140,-,-,-,chaperone for tail fiber formation,protein-coding,-,-,-,chaperone for tail fiber formation,20200629,-
1141141,13997970,D862_gp133,D862_gp133,ACG-C40_0141,-,-,-,dNMP kinase,protein-coding,-,-,-,dNMP kinase,20200629,-
1141141,13997971,D862_gp132,D862_gp132,ACG-C40_0142,-,-,-,tail completion and sheath stabilizer protein,protein-coding,-,-,-,tail completion and sheath stabilizer protein,20200629,-
1141141,13997972,D862_gp131,D862_gp131,ACG-C40_0143,-,-,-,DNA end protector protein,protein-coding,-,-,-,DNA end protector protein,20200629,-
1141141,13997973,D862_gp130,D862_gp130,ACG-C40_0144,-,-,-,head completion protein,protein-coding,-,-,-,head completion protein,20200629,-
1141141,13997974,D862_gp129,D862_gp129,ACG-C40_0145,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1141141,13997975,D862_gp128,D862_gp128,ACG-C40_0146,-,-,-,baseplate hub subunit and tail lysozyme,protein-coding,-,-,-,baseplate hub subunit and tail lysozyme,20200629,-
1141141,13997976,D862_gp127,D862_gp127,ACG-C40_0147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997977,D862_gp126,D862_gp126,ACG-C40_0148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997978,D862_gp125,D862_gp125,ACG-C40_0149,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1141141,13997979,D862_gp124,D862_gp124,ACG-C40_0150,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1141141,13997980,D862_gp123,D862_gp123,ACG-C40_0151,-,-,-,baseplate wedge initiator,protein-coding,-,-,-,baseplate wedge initiator,20200629,-
1141141,13997981,D862_gp122,D862_gp122,ACG-C40_0152,-,-,-,baseplate wedge subunit,protein-coding,-,-,-,baseplate wedge subunit,20200629,-
1141141,13997982,D862_gp121,D862_gp121,ACG-C40_0153,-,-,-,baseplate wedge tail fiber connector,protein-coding,-,-,-,baseplate wedge tail fiber connector,20200629,-
1141141,13997983,D862_gp120,D862_gp120,ACG-C40_0154,-,-,-,baseplate wedge subunit and tail pin,protein-coding,-,-,-,baseplate wedge subunit and tail pin,20200629,-
1141141,13997984,D862_gp119,D862_gp119,ACG-C40_0155,-,-,-,baseplate wedge completion tail pin,protein-coding,-,-,-,baseplate wedge completion tail pin,20200629,-
1141141,13997985,D862_gp118,D862_gp118,ACG-C40_0156,-,-,-,short tail fibers,protein-coding,-,-,-,short tail fibers,20200629,-
1141141,13997986,D862_gp117,D862_gp117,ACG-C40_0157,-,-,-,fibritin neck whiskers,protein-coding,-,-,-,fibritin neck whiskers,20200629,-
1141141,13997987,D862_gp116,D862_gp116,ACG-C40_0158,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1141141,13997988,D862_gp115,D862_gp115,ACG-C40_0159,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20200629,-
1141141,13997989,D862_gp114,D862_gp114,ACG-C40_0160,-,-,-,tail sheath stabilizer and completion protein,protein-coding,-,-,-,tail sheath stabilizer and completion protein,20200629,-
1141141,13997990,D862_gp113,D862_gp113,ACG-C40_0161,-,-,-,terminase DNA packaging enzyme small subunit,protein-coding,-,-,-,terminase DNA packaging enzyme small subunit,20200629,-
1141141,13997991,D862_gp112,D862_gp112,ACG-C40_0162,-,-,-,terminase DNA packaging enzyme large subunit,protein-coding,-,-,-,terminase DNA packaging enzyme large subunit,20200629,-
1141141,13997992,D862_gp111,D862_gp111,ACG-C40_0163,-,-,-,tail sheath monomer,protein-coding,-,-,-,tail sheath monomer,20200629,-
1141141,13997993,D862_gp110,D862_gp110,ACG-C40_0164,-,-,-,tail tube protein,protein-coding,-,-,-,tail tube protein,20200629,-
1141141,13997994,D862_gp109,D862_gp109,ACG-C40_0165,-,-,-,portal vertex protein of head,protein-coding,-,-,-,portal vertex protein of head,20210212,-
1141141,13997995,D862_gp108,D862_gp108,ACG-C40_0166,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200629,-
1141141,13997996,D862_gp107,D862_gp107,ACG-C40_0167,-,-,-,prohead core protein,protein-coding,-,-,-,prohead core protein,20200629,-
1141141,13997997,D862_gp106,D862_gp106,ACG-C40_0168,-,-,-,prohead core scaffold protein and protease,protein-coding,-,-,-,prohead core scaffold protein and protease,20210212,-
1141141,13997998,D862_gp105,D862_gp105,ACG-C40_0169,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20200629,-
1141141,13997999,D862_gp104,D862_gp104,ACG-C40_0170,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200629,-
1141141,13998000,D862_gp103,D862_gp103,ACG-C40_0171,-,-,-,head vertex protein,protein-coding,-,-,-,head vertex protein,20200629,-
1141141,13998001,D862_gp102,D862_gp102,ACG-C40_0172,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200629,-
1141141,13998002,D862_gp101,D862_gp101,ACG-C40_0173,-,-,-,RNA ligase 2,protein-coding,-,-,-,RNA ligase 2,20200629,-
1141141,13998003,D862_gp100,D862_gp100,ACG-C40_0174,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
