#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1354511,26645024,3,AVV42_gp01,ANUBIS_3,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1354511,26645043,22,AVV42_gp83,ANUBIS_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645044,23,AVV42_gp82,ANUBIS_23,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1354511,26645045,24,AVV42_gp81,ANUBIS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
1354511,26645046,25,AVV42_gp80,ANUBIS_25,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1354511,26645047,26,AVV42_gp79,ANUBIS_26,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1354511,26645048,27,AVV42_gp78,ANUBIS_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1354511,26645049,28,AVV42_gp77,ANUBIS_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645050,29,AVV42_gp76,ANUBIS_29,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201010,-
1354511,26645051,30,AVV42_gp75,ANUBIS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1354511,26645052,31,AVV42_gp74,ANUBIS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1354511,26645053,32,AVV42_gp73,ANUBIS_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645054,33,AVV42_gp72,ANUBIS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645055,34,AVV42_gp71,ANUBIS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645056,35,AVV42_gp70,ANUBIS_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1354511,26645057,36,AVV42_gp69,ANUBIS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645058,37,AVV42_gp68,ANUBIS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1354511,26645059,38,AVV42_gp67,ANUBIS_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20200927,-
1354511,26645060,39,AVV42_gp66,ANUBIS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645061,40,AVV42_gp65,ANUBIS_40,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20210123,-
1354511,26645062,41,AVV42_gp64,ANUBIS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645063,42,AVV42_gp63,ANUBIS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645064,43,AVV42_gp62,ANUBIS_43,-,-,-,dCMP deaminase,protein-coding,-,-,-,dCMP deaminase,20210417,-
1354511,26645065,44,AVV42_gp61,ANUBIS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645066,45,AVV42_gp60,ANUBIS_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645067,46,AVV42_gp59,ANUBIS_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645068,47,AVV42_gp58,ANUBIS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645069,48,AVV42_gp57,ANUBIS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645070,49,AVV42_gp56,ANUBIS_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645071,50,AVV42_gp55,ANUBIS_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645072,51,AVV42_gp54,ANUBIS_51,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210123,-
1354511,26645073,52,AVV42_gp53,ANUBIS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645074,53,AVV42_gp52,ANUBIS_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1354511,26645075,54,AVV42_gp51,ANUBIS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645076,55,AVV42_gp50,ANUBIS_55,-,-,-,ThyX,protein-coding,-,-,-,ThyX,20210123,-
1354511,26645077,56,AVV42_gp49,ANUBIS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645078,57,AVV42_gp48,ANUBIS_57,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20201026,-
1354511,26645079,58,AVV42_gp47,ANUBIS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645080,59,AVV42_gp46,ANUBIS_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645081,60,AVV42_gp45,ANUBIS_60,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20200927,-
1354511,26645082,61,AVV42_gp44,ANUBIS_61,-,-,-,phosphoesterase,protein-coding,-,-,-,phosphoesterase,20210123,-
1354511,26645083,62,AVV42_gp43,ANUBIS_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645084,63,AVV42_gp42,ANUBIS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645085,64,AVV42_gp41,ANUBIS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645086,65,AVV42_gp40,ANUBIS_65,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210406,-
1354511,26645087,66,AVV42_gp39,ANUBIS_66,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210212,-
1354511,26645088,67,AVV42_gp38,ANUBIS_67,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210123,-
1354511,26645089,68,AVV42_gp37,ANUBIS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645090,69,AVV42_gp36,ANUBIS_69,-,-,-,esterase/lipase,protein-coding,-,-,-,esterase/lipase,20200927,-
1354511,26645091,70,AVV42_gp35,ANUBIS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645092,71,AVV42_gp34,ANUBIS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1354511,26645093,72,AVV42_gp33,ANUBIS_72,-,-,-,DnaB-like helicase,protein-coding,-,-,-,DnaB-like helicase,20210212,-
1354511,26645094,73,AVV42_gp32,ANUBIS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645095,74,AVV42_gp31,ANUBIS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645096,75,AVV42_gp30,ANUBIS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645097,76,AVV42_gp29,ANUBIS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645098,77,AVV42_gp28,ANUBIS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645099,78,AVV42_gp27,ANUBIS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645100,79,AVV42_gp26,ANUBIS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645101,80,AVV42_gp25,ANUBIS_80,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210123,-
1354511,26645102,81,AVV42_gp24,ANUBIS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645103,82,AVV42_gp23,ANUBIS_82,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1354511,26645104,83,AVV42_gp22,ANUBIS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645105,84,AVV42_gp21,ANUBIS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645106,85,AVV42_gp20,ANUBIS_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645107,86,AVV42_gp19,ANUBIS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645108,87,AVV42_gp18,ANUBIS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645109,88,AVV42_gp17,ANUBIS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1354511,26645110,89,AVV42_gp16,ANUBIS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645111,90,AVV42_gp15,ANUBIS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645112,91,AVV42_gp14,ANUBIS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645113,92,AVV42_gp13,ANUBIS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645114,93,AVV42_gp12,ANUBIS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645115,94,AVV42_gp11,ANUBIS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645116,95,AVV42_gp10,ANUBIS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,26645119,9,AVV42_gt01,ANUBIS_9,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1354511,26680570,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacterium smegmatis phage Anubis).,other,-,-,-,-,20200513,-
1354511,35963437,96,AVV42_gp09,ANUBIS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,35963438,97,AVV42_gp08,ANUBIS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1354511,35963439,98,AVV42_gp07,ANUBIS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
