#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
10245,2828243,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (vaccinia virus VV).,other,-,-,-,-,20200711,-
10245,3707507,F11L,VACWR050,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707508,F12L,VACWR051,-,-,-,-,temporal expression: early,protein-coding,-,-,-,EEV maturation protein,20190316,-
10245,3707509,F13L,VACWR052,-,-,-,-,temporal expression: late,protein-coding,-,-,-,palmytilated EEV membrane glycoprotein,20201219,-
10245,3707510,F14L,VACWR053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707511,F15L,VACWR054,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707512,F16L,VACWR055,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707513,F17R,VACWR056,-,-,-,-,temporal expression: late,protein-coding,-,-,-,DNA-binding virion core protein,20200606,-
10245,3707514,E1L,VACWR057,-,-,-,-,poly(A) polymerase large subunit,protein-coding,-,-,-,poly(A) polymerase large subunit,20180815,-
10245,3707515,D12L,VACWR117,-,-,-,-,temporal expression: early,protein-coding,-,-,-,small subunit of mRNA capping enzyme,20180815,-
10245,3707516,D13L,VACWR118,-,-,-,-,temporal expression: late,protein-coding,-,-,-,rifampicin target,20210417,-
10245,3707517,A1L,VACWR119,-,-,-,-,late transcription factor VLTF-2,protein-coding,-,-,-,late transcription factor VLTF-2,20180815,-
10245,3707518,A2L,VACWR120,-,-,-,-,late transcription factor VLTF-3,protein-coding,-,-,-,late transcription factor VLTF-3,20180815,-
10245,3707519,A2.5L,VACWR121,-,-,-,-,temporal expression: late,protein-coding,-,-,-,S-S bond formation pathway,20180815,-
10245,3707520,A3L,VACWR122,-,-,-,-,temporal expression: late,protein-coding,-,-,-,p4b precursor of core protein 4b,20180815,-
10245,3707521,A4L,VACWR123,-,-,-,-,temporal expression: late,protein-coding,-,-,-,39kDa core protein,20180815,-
10245,3707522,A5R,VACWR124,-,-,-,-,temporal expression: early,protein-coding,-,-,-,DNA-dependent RNA polymerase subunit rpo19,20210212,-
10245,3707523,A6L,VACWR125,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707524,A7L,VACWR126,-,-,-,-,temporal expression: late,protein-coding,-,-,-,82kDa large subunit of early gene transcription factor VETF,20180815,-
10245,3707525,A8R,VACWR127,-,-,-,-,temporal expression: early,protein-coding,-,-,-,32kDa small subunit of transcription factor VITF-3,20180815,-
10245,3707526,A9L,VACWR128,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV membrane protein,20180815,-
10245,3707527,A10L,VACWR129,-,-,-,-,temporal expression: late,protein-coding,-,-,-,precursor p4a of core protein 4a,20180815,-
10245,3707528,A11R,VACWR130,-,-,-,-,temporal expression: late,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707529,A12L,VACWR131,-,-,-,-,core protein,protein-coding,-,-,-,core protein,20180815,-
10245,3707530,A13L,VACWR132,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV membrane protein,20180815,-
10245,3707531,A14L,VACWR133,-,-,-,-,temporal expression: late,protein-coding,-,-,-,phosphorylated IMV membrane protein,20180815,-
10245,3707532,A14.5L,VACWR134,-,-,-,-,hydrophobic IMV membrane protein,protein-coding,-,-,-,hydrophobic IMV membrane protein,20180815,-
10245,3707533,A15L,VACWR135,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707534,G1L,VACWR078,-,-,-,-,temporal expression: late,protein-coding,-,-,-,putative metalloprotease,20180815,-
10245,3707535,G3L,VACWR079,-,-,-,-,temporal expression: late,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707536,G2R,VACWR080,-,-,-,-,transcriptional elongation factor,protein-coding,-,-,-,transcriptional elongation factor,20180815,-
10245,3707537,G4L,VACWR081,-,-,-,-,temporal expression: late,protein-coding,-,-,-,glutaredoxin-like protein,20180815,-
10245,3707538,G5R,VACWR082,-,-,-,-,temporal expression: early,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707539,G5.5R,VACWR083,-,-,-,-,temporal expression: early,protein-coding,-,-,-,RNA polymerase,20180815,-
10245,3707540,G6R,VACWR084,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707541,G7L,VACWR085,-,-,-,-,temporal expression: late,protein-coding,-,-,-,putative virion core protein,20180815,-
10245,3707542,G8R,VACWR086,-,-,-,-,late transcription factor VLTF-1,protein-coding,-,-,-,late transcription factor VLTF-1,20180815,-
10245,3707543,G9R,VACWR087,-,-,-,-,temporal expression: late,protein-coding,-,-,-,poxvirus myristoylprotein,20180815,-
10245,3707544,L1R,VACWR088,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV membrane protein,20210417,-
10245,3707545,L2R,VACWR089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707546,L3L,VACWR090,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707547,L4R,VACWR091,-,-,-,-,temporal expression: late,protein-coding,-,-,-,DNA-binding virion core protein,20180815,-
10245,3707548,L5R,VACWR092,-,-,-,-,temporal expression: late,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707549,J1R,VACWR093,-,-,-,-,temporal expression: late,protein-coding,-,-,-,virion protein,20180815,-
10245,3707550,J2R,VACWR094,-,-,-,-,temporal expression: early,protein-coding,-,-,-,thymidine kinase,20180815,-
10245,3707551,J3R,VACWR095,-,-,-,-,temporal expression: early,protein-coding,-,-,-,poly(A) polymerase small subunit,20180815,-
10245,3707552,J4R,VACWR096,-,-,-,-,temporal expression: early,protein-coding,-,-,-,DNA-dependent RNA polymerase subunit rpo22,20210129,-
10245,3707553,J5L,VACWR097,-,-,-,-,late 16kDa putative membrane protein,protein-coding,-,-,-,late 16kDa putative membrane protein,20201031,-
10245,3707554,J6R,VACWR098,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,DNA-dependent RNA polymerase subunit rpo147,20180815,-
10245,3707555,H1L,VACWR099,-,-,-,-,temporal expression: late,protein-coding,-,-,-,tyr/ser protein phosphatase,20210212,-
10245,3707556,H2R,VACWR100,-,-,-,-,temporal expression: late,protein-coding,-,-,-,putative viral membrane protein,20180815,-
10245,3707557,H3L,VACWR101,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV heparin binding surface protein,20180815,-
10245,3707558,H4L,VACWR102,-,-,-,-,temporal expression: late,protein-coding,-,-,-,RAP94,20180815,-
10245,3707559,H5R,VACWR103,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,late transcription factor VLTF-4,20180815,-
10245,3707560,H6R,VACWR104,-,-,-,-,DNA topoisomerase type I,protein-coding,-,-,-,DNA topoisomerase type I,20180815,-
10245,3707561,H7R,VACWR105,-,-,-,-,temporal expression: late,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707562,D1R,VACWR106,-,-,-,-,temporal expression: early,protein-coding,-,-,-,large subunit of mRNA capping enzyme,20180815,-
10245,3707563,D2L,VACWR107,-,-,-,-,temporal expression: late,protein-coding,-,-,-,virion core protein,20180815,-
10245,3707564,D3R,VACWR108,-,-,-,-,temporal expression: late,protein-coding,-,-,-,virion core protein,20180815,-
10245,3707565,D4R,VACWR109,-,-,-,-,temporal expression: early,protein-coding,-,-,-,uracil-DNA glycosylase,20210612,-
10245,3707566,D5R,VACWR110,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,NTPase,20210212,-
10245,3707567,D6R,VACWR111,-,-,-,-,temporal expression: late,protein-coding,-,-,-,70kDa small subunit of early gene transcription factor VETF,20180815,-
10245,3707568,D7R,VACWR112,-,-,-,-,temporal expression: early,protein-coding,-,-,-,DNA-dependent RNA polymerase subunit rpo18,20210212,-
10245,3707569,D8L,VACWR113,-,-,-,-,IMV membrane protein,protein-coding,-,-,-,IMV membrane protein,20180815,-
10245,3707570,D9R,VACWR114,-,-,-,-,temporal expression: early,protein-coding,-,-,-,contains mutT-like motif of NTP-phosphohydrolase for DNA repair,20210417,-
10245,3707571,D10R,VACWR115,-,-,-,-,temporal expression: late,protein-coding,-,-,-,contains mutT-like motif of NTP-phosphohydrolase for DNA repair,20180815,-
10245,3707572,B13R,VACWR195,-,-,-,-,temporal expression: early,protein-coding,-,-,-,"SPI-2/CrmA inhibits Fas-mediated apoptosis, IL-1 convertase, lipoxygenase pathway",20180815,-
10245,3707573,B15R,VACWR196,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707574,VACWR-B15R,VACWR197,-,-,-,-,IL-beta-binding protein,protein-coding,-,-,-,IL-beta-binding protein,20180815,-
10245,3707575,B17L,VACWR198,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707576,B18R,VACWR199,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707577,B19R,VACWR200,-,-,-,-,temporal expression: early,protein-coding,-,-,-,IFN-alpha/beta-receptor-like secreted glycoprotein,20180815,-
10245,3707578,VACWR201,VACWR201,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707579,VACWR202,VACWR202,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707580,VACWR203,VACWR203,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707581,VACWR204,VACWR204,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707582,C12L,VACWR205,-,-,-,-,temporal expression: early,protein-coding,-,-,-,serine protease inhibitor-like SPI-1,20180815,-
10245,3707583,C13L,VACWR206,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707584,VACWR207,VACWR207,-,-,-,-,zinc finger-like protein,protein-coding,-,-,-,zinc finger-like protein,20181103,-
10245,3707585,VACWR208,VACWR208,-,-,-,-,zinc finger-like; apoptosis,protein-coding,-,-,-,zinc finger-like|apoptosis,20210212,-
10245,3707586,VACWR209,VACWR209,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707587,VACWR210,VACWR210,-,-,-,-,epidermal growth factor-like protein (EGF-like protein),protein-coding,-,-,-,epidermal growth factor-like protein (EGF-like protein),20190525,-
10245,3707588,B25R,VACWR211,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707589,VACWR212,VACWR212,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707590,VACWR213,VACWR213,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707591,E2L,VACWR058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707592,E3L,VACWR059,-,-,-,-,temporal expression: early,protein-coding,-,-,-,double-strand RNA-binding protein,20180922,-
10245,3707593,E4L,VACWR060,-,-,-,-,temporal expression: early,protein-coding,-,-,-,RNA polymerase subunit,20180815,-
10245,3707594,E5R,VACWR061,-,-,-,-,temporal expression: early,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707595,E6R,VACWR062,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707596,E7R,VACWR063,-,-,-,-,putative myristoylated protein,protein-coding,-,-,-,putative myristoylated protein,20180815,-
10245,3707597,E8R,VACWR064,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707598,E9L,VACWR065,-,-,-,-,temporal expression: early,protein-coding,-,-,-,DNA polymerase,20180815,-
10245,3707599,E10R,VACWR066,-,-,-,-,temporal expression: late,protein-coding,-,-,-,sulfhydryl oxidase,20180815,-
10245,3707600,E11L,VACWR067,-,-,-,-,temporal expression: late,protein-coding,-,-,-,putative virion core protein,20180815,-
10245,3707601,O1L,VACWR068,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707602,O2L,VACWR069,-,-,-,-,temporal expression: late,protein-coding,-,-,-,glutaredoxin,20180815,-
10245,3707603,I1L,VACWR070,-,-,-,-,temporal expression: late,protein-coding,-,-,-,putative DNA-binding virion core protein,20180815,-
10245,3707604,I2L,VACWR071,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV membrane protein,20180815,-
10245,3707605,I3L,VACWR072,-,-,-,-,temporal expression: early/intermediate/late,protein-coding,-,-,-,DNA-binding phosphoprotein,20180815,-
10245,3707606,I4L,VACWR073,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ribonucleotide reductase large subunit,20180815,-
10245,3707607,I5L,VACWR074,-,-,-,-,temporal expression: late,protein-coding,-,-,-,Hypothetical protein,20201003,-
10245,3707608,I6L,VACWR075,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707609,I7L,VACWR076,-,-,-,-,temporal expression: late,protein-coding,-,-,-,viral core cysteine proteinase,20180815,-
10245,3707610,I8R,VACWR077,-,-,-,-,temporal expression: early/intermediate,protein-coding,-,-,-,RNA helicase NPH-II,20180815,-
10245,3707611,VACWR214,VACWR214,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707612,B28R,VACWR215,-,-,-,-,TNF-alpha-receptor-like protein,protein-coding,-,-,-,TNF-alpha-receptor-like protein,20180815,-
10245,3707613,VACWR216,VACWR216,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707614,VACWR217,VACWR217,-,-,-,-,TNF-alpha-receptor-like protein,protein-coding,-,-,-,TNF-alpha-receptor-like protein,20180815,-
10245,3707615,B29R,VACWR218,-,-,-,-,chemokine binding protein,protein-coding,-,-,-,chemokine binding protein,20180815,-
10245,3707616,C23L,VACWR001,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,chemokine binding protein,20180815,-
10245,3707617,VACWR002,VACWR002,-,-,-,-,TNF-alpha-receptor-like protein,protein-coding,-,-,-,TNF-alpha-receptor-like protein,20180815,-
10245,3707618,VACWR003,VACWR003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707619,C22L,VACWR004,-,-,-,-,TNF-alpha-receptor-like protein,protein-coding,-,-,-,TNF-alpha-receptor-like protein,20180815,-
10245,3707620,VACWR005,VACWR005,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707621,VACWR006,VACWR006,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707622,VACWR007,VACWR007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707623,C19L,VACWR008,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707624,C11R,VACWR009,-,-,-,-,temporal expression: early,protein-coding,-,-,-,epidermal growth factor-like protein (EGF-like protein),20180815,-
10245,3707625,C10L,VACWR010,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707626,VACWR011,VACWR011,-,-,-,-,temporal expression: early,protein-coding,-,-,-,zinc finger-like protein,20180815,-
10245,3707627,VACWR012,VACWR012,-,-,-,-,zinc finger-like protein,protein-coding,-,-,-,zinc finger-like protein,20181103,-
10245,3707628,VACWR013,VACWR013,-,-,-,-,temporal expression: early,protein-coding,-,-,-,IL-18 binding protein,20180815,-
10245,3707629,VACWR014,VACWR014,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707630,VACWR015,VACWR015,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707631,VACWR016,VACWR016,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20210212,-
10245,3707632,VACWR017,VACWR017,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20210212,-
10245,3707633,VACWR018,VACWR018,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707634,C9L,VACWR019,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707635,C8L,VACWR020,-,-,-,-,temporal expression: late,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707636,C7L,VACWR021,-,-,-,-,host-range protein,protein-coding,-,-,-,host-range protein,20180815,-
10245,3707637,C6L,VACWR022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707638,C5L,VACWR023,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707639,C4L,VACWR024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707640,C3L,VACWR025,-,-,-,-,secreted complement-binding protein,protein-coding,-,-,-,secreted complement-binding protein,20180815,-
10245,3707641,C2L,VACWR026,-,-,-,-,kelch-like protein,protein-coding,-,-,-,kelch-like protein,20180815,-
10245,3707642,C1L,VACWR027,-,-,-,-,Hypothetical protein,protein-coding,-,-,-,Hypothetical protein,20180815,-
10245,3707643,N1L,VACWR028,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,putative virulence factor,20180815,-
10245,3707644,N2L,VACWR029,-,-,-,-,temporal expression: early,protein-coding,-,-,-,putative alpha aminitin-sensitive protein,20180815,-
10245,3707645,M1L,VACWR030,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ankyin-like protein,20180815,-
10245,3707646,M2L,VACWR031,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707647,K1L,VACWR032,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707648,K2L,VACWR033,-,-,-,-,temporal expression: early,protein-coding,-,-,-,serine protease inhibitor-like protein,20201031,-
10245,3707649,K3L,VACWR034,-,-,-,-,temporal expression: early,protein-coding,-,-,-,interferon resistance protein,20180815,-
10245,3707650,K4L,VACWR035,-,-,-,-,phospholipase-D-like protein,protein-coding,-,-,-,phospholipase-D-like protein,20180815,-
10245,3707651,A55R,VACWR180,-,-,-,-,kelch-like protein,protein-coding,-,-,-,kelch-like protein,20200209,-
10245,3707652,A56R,VACWR181,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,hemagglutinin,20201031,-
10245,3707653,VACWR182,VACWR182,-,-,-,-,guanylate kinase,protein-coding,-,-,-,guanylate kinase,20180815,-
10245,3707654,B1R,VACWR183,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ser/thr kinase,20210612,-
10245,3707655,B2R,VACWR184,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201003,-
10245,3707656,VACWR185,VACWR185,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
10245,3707657,B4R,VACWR186,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707658,B5R,VACWR187,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,EEV membrane glycoprotein,20200919,-
10245,3707659,B6R,VACWR188,-,-,-,-,ankyrin-like protein,protein-coding,-,-,-,ankyrin-like protein,20180815,-
10245,3707660,B7R,VACWR189,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707661,B8R,VACWR190,-,-,-,-,temporal expression: early,protein-coding,-,-,-,soluble interferon-gamma receptor-like protein,20180815,-
10245,3707662,B9R,VACWR191,-,-,-,-,6kDa intracellular viral protein,protein-coding,-,-,-,6kDa intracellular viral protein,20180815,-
10245,3707663,VACWR192,VACWR192,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
10245,3707664,B11R,VACWR193,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707665,B12R,VACWR194,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ser/thr protein kinase-like protein,20181103,-
10245,3707666,A16L,VACWR136,-,-,-,-,soluble myristylprotein,protein-coding,-,-,-,soluble myristylprotein,20210212,-
10245,3707667,A17L,VACWR137,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV membrane protein,20180815,-
10245,3707668,A18R,VACWR138,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,DNA helicase,20180815,-
10245,3707669,A19L,VACWR139,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707670,A21L,VACWR140,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV membrane protein,20180815,-
10245,3707671,A20R,VACWR141,-,-,-,-,temporal expression: early,protein-coding,-,-,-,viral DNA polymerase processivity factor,20180815,-
10245,3707672,A22R,VACWR142,-,-,-,-,temporal expression: late,protein-coding,-,-,-,palmitylprotein,20180815,-
10245,3707673,A23R,VACWR143,-,-,-,-,temporal expression: early,protein-coding,-,-,-,45kDa large subunit of intermediate gene transcription factor VITF-3,20180815,-
10245,3707674,A24R,VACWR144,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,DNA-dependent RNA polymerase subunit rpo132,20210129,-
10245,3707675,VACWR145,VACWR145,-,-,-,-,cowpox A-type inclusion protein,protein-coding,-,-,-,cowpox A-type inclusion protein,20180815,-
10245,3707676,VACWR146,VACWR146,-,-,-,-,A-type inclusion body protein,protein-coding,-,-,-,A-type inclusion body protein,20180815,-
10245,3707677,VACWR147,VACWR147,-,-,-,-,cowpox A-type inclusion protein,protein-coding,-,-,-,cowpox A-type inclusion protein,20180815,-
10245,3707678,VACWR148,VACWR148,-,-,-,-,cowpox A-type inclusion protein,protein-coding,-,-,-,cowpox A-type inclusion protein,20180815,-
10245,3707679,A26L,VACWR149,-,-,-,-,cowpox A-type inclusion protein,protein-coding,-,-,-,cowpox A-type inclusion protein,20180815,-
10245,3707680,A27L,VACWR150,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV surface protein,20180815,-
10245,3707681,A28L,VACWR151,-,-,-,-,temporal expression: late,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707682,A29L,VACWR152,-,-,-,-,temporal expression: early,protein-coding,-,-,-,DNA-dependent RNA polymerase rpo35,20210212,-
10245,3707683,A30L,VACWR153,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IMV protein,20180815,-
10245,3707684,A31R,VACWR154,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707685,A32L,VACWR155,-,-,-,-,temporal expression: late,protein-coding,-,-,-,putative ATPase,20180815,-
10245,3707686,A33R,VACWR156,-,-,-,-,EEV membrane phosphoglycoprotein,protein-coding,-,-,-,EEV membrane phosphoglycoprotein,20200919,-
10245,3707687,A34R,VACWR157,-,-,-,-,temporal expression: late,protein-coding,-,-,-,IEV and EEV membrane glycoprotein,20200919,-
10245,3707688,A35R,VACWR158,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707689,A36R,VACWR159,-,-,-,-,temporal expression: early/late,protein-coding,-,-,-,IEV transmembrane phosphoprotein,20190316,-
10245,3707690,A37R,VACWR160,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707691,VACWR161,VACWR161,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707692,A38L,VACWR162,-,-,-,-,CD47-like putative membrane protein,protein-coding,-,-,-,CD47-like putative membrane protein,20180815,-
10245,3707693,A39R,VACWR163,-,-,-,-,semaphorin-like protein,protein-coding,-,-,-,semaphorin-like protein,20180815,-
10245,3707694,VACWR164,VACWR164,-,-,-,-,semaphorin-like protein,protein-coding,-,-,-,semaphorin-like protein,20180815,-
10245,3707695,A40R,VACWR165,-,-,-,-,temporal expression: early,protein-coding,-,-,-,C-type lectin-like type-II membrane protein,20210212,-
10245,3707696,A41L,VACWR166,-,-,-,-,temporal expression: early,protein-coding,-,-,-,secreted glycoprotein,20180815,-
10245,3707697,A42R,VACWR167,-,-,-,-,temporal expression: late,protein-coding,-,-,-,profilin-like protein,20180815,-
10245,3707698,A43R,VACWR168,-,-,-,-,putative type-I membrane glycoprotein,protein-coding,-,-,-,putative type-I membrane glycoprotein,20180815,-
10245,3707699,VACWR169,VACWR169,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707700,A44L,VACWR170,-,-,-,-,temporal expression: early,protein-coding,-,-,-,hydroxysteroid dehydrogenase,20180815,-
10245,3707701,A45R,VACWR171,-,-,-,-,temporal expression: late,protein-coding,-,-,-,inactive Cu-Zn superoxide dismutase-like in virion,20210212,-
10245,3707702,A46R,VACWR172,-,-,-,-,Toll/IL1-receptor,protein-coding,-,-,-,Toll/IL1-receptor,20201010,-
10245,3707703,A47L,VACWR173,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707704,A49R,VACWR175,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
10245,3707705,A50R,VACWR176,-,-,-,-,temporal expression: early,protein-coding,-,-,-,ATP-dependent DNA ligase,20180815,-
10245,3707706,A51R,VACWR177,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180815,-
