#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
31535,1262853,orf2,D3p002,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
31535,1262885,orf25,D3p024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262886,orf26,D3p025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262887,orf27,D3p026,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262888,orf79,D3p084,-,-,-,-,DUF1367 family protein,protein-coding,-,-,-,DUF1367 family protein,20201220,-
31535,1262889,orf77,D3p082,-,-,-,-,DksA-like zinc finger domain containing protein,protein-coding,-,-,-,DksA-like zinc finger domain containing protein,20201220,-
31535,1262890,orf28,D3p028,-,-,-,-,putative O-antigen acetylase,protein-coding,-,-,-,putative O-antigen acetylase,20200629,-
31535,1262891,orf85,D3p099,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262892,wzy(beta),D3p029,-,-,-,-,O-antigen beta polymerase,protein-coding,-,-,-,O-antigen beta polymerase,20200629,-
31535,1262893,orf30.5,D3p030,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262894,orf31,D3p031,-,-,-,-,glycoside hydrolase family 104 protein,protein-coding,-,-,-,glycoside hydrolase family 104 protein,20201220,-
31535,1262895,orf86,D3p098,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262896,orf32,D3p032,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262897,orf33,D3p033,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262898,orf34,D3p034,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262899,orf35,D3p035,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
31535,1262901,orf36,D3p036,-,-,-,-,putative excisionase,protein-coding,-,-,-,putative excisionase,20210417,-
31535,1262902,orf37,D3p037,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262903,orf38,D3p038,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262904,orf39,D3p039,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262905,orf80,D3p085,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262906,orf40,D3p040,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262907,orf41,D3p042,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262908,orf42,D3p045,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262910,orf44,D3p048,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262911,orf45,D3p049,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262913,orf83,D3p088,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262914,orf47,D3p051,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262915,orf95,D3p091,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262916,orf48,D3p053,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262917,cro,D3p075,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
31535,1262918,orf49,D3p052,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262919,orf84,D3p089,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262920,orf50,D3p054,-,-,-,-,LytTR family transcriptional regulator,protein-coding,-,-,-,LytTR family transcriptional regulator,20201220,-
31535,1262921,orf51,D3p055,-,-,-,-,YqaJ viral recombinase family protein,protein-coding,-,-,-,YqaJ viral recombinase family protein,20201220,-
31535,1262922,orf52,D3p056,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20200629,-
31535,1262923,orf53,D3p057,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262924,orf53.5,D3p058,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262925,orf55,D3p059,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262926,orf56,D3p060,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262927,orf57,D3p061,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262928,orf58,D3p062,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262929,orf59,D3p063,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262930,orf60,D3p064,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262931,D3t003,D3t003,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
31535,1262932,orf73,D3p078,-,-,-,-,putative replication protein O,protein-coding,-,-,-,putative replication protein O,20201220,-
31535,1262933,D3t004,D3t004,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
31535,1262934,orf61,D3p065,-,-,-,-,putative Lar family protein,protein-coding,-,-,-,putative Lar family protein,20201220,-
31535,1262935,orf62,D3p066,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262937,orf64,D3p069,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262938,orf89,D3p097,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262939,orf65,D3p070,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262940,orf90,D3p096,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20201220,-
31535,1262941,orf91,D3p095,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262942,orf66,D3p071,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262943,orf92,D3p094,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262944,orf93,D3p093,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262945,orf67,D3p072,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262946,orf75,D3p080,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262947,orf68,D3p073,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,1262948,orf1,D3p001,-,-,-,-,Orf1,protein-coding,-,-,-,Orf1,20201220,-
31535,1262949,D3t002,D3t002,-,-,-,-,tRNA,tRNA,-,-,-,-,20200908,-
31535,1262950,orf94,D3p092,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,2829151,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Bacteriophage D3; Pseudomonas aeruginosa bacteriophage D3; Pseudomonas aeruginosa phage D3; Pseudomonas phage D3).,other,-,-,-,-,20200513,-
31535,26066722,orf6.5,D3p007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066723,orf7,D3p008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066724,orf13,D3p013,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066725,orf19,D3p019,-,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20200629,-
31535,26066726,iap,D3p027,-,-,-,-,inhibitor of alpha-polymerase,protein-coding,-,-,-,inhibitor of alpha-polymerase,20200629,-
31535,26066727,orf40.5,D3p041,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20200629,-
31535,26066728,orf41.3,D3p043,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066729,orf41.6,D3p044,-,-,-,-,DUF1643 domain-containing protein,protein-coding,-,-,-,DUF1643 domain-containing protein,20201220,-
31535,26066730,orf43,D3p046,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066731,orf43.5,D3p047,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066732,orf46,D3p050,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066733,orf63,D3p067,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
31535,26066734,orf63.5,D3p068,-,-,-,-,DUF4031 domain-containing protein,protein-coding,-,-,-,DUF4031 domain-containing protein,20201220,-
31535,26066735,orf96,D3p090,-,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200629,-
