#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2027900,60333397,I5H84_gp002,I5H84_gp002,SEA_RITAG_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2027900,60333474,I5H84_gp082,I5H84_gp082,SEA_RITAG_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333475,I5H84_gp083,I5H84_gp083,SEA_RITAG_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333476,I5H84_gp084,I5H84_gp084,SEA_RITAG_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333477,I5H84_gp085,I5H84_gp085,SEA_RITAG_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333478,I5H84_gp086,I5H84_gp086,SEA_RITAG_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333479,I5H84_gp087,I5H84_gp087,SEA_RITAG_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333480,I5H84_gp088,I5H84_gp088,SEA_RITAG_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333481,I5H84_gp089,I5H84_gp089,SEA_RITAG_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333482,I5H84_gp090,I5H84_gp090,SEA_RITAG_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333483,I5H84_gp091,I5H84_gp091,SEA_RITAG_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333484,I5H84_gp092,I5H84_gp092,SEA_RITAG_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333485,I5H84_gp093,I5H84_gp093,SEA_RITAG_93,-,-,-,MerR-like HTH DNA binding domain protein,protein-coding,-,-,-,MerR-like HTH DNA binding domain protein,20210424,-
2027900,60333486,I5H84_gp094,I5H84_gp094,SEA_RITAG_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333487,I5H84_gp095,I5H84_gp095,SEA_RITAG_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333488,I5H84_gp096,I5H84_gp096,SEA_RITAG_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333489,I5H84_gp097,I5H84_gp097,SEA_RITAG_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333490,I5H84_gp098,I5H84_gp098,SEA_RITAG_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333491,I5H84_gp099,I5H84_gp099,SEA_RITAG_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333492,I5H84_gp100,I5H84_gp100,SEA_RITAG_100,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20210529,-
2027900,60333493,I5H84_gp101,I5H84_gp101,SEA_RITAG_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333494,I5H84_gp102,I5H84_gp102,SEA_RITAG_102,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210417,-
2027900,60333495,I5H84_gp103,I5H84_gp103,SEA_RITAG_103,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210212,-
2027900,60333496,I5H84_gp040,I5H84_gp040,SEA_RITAG_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333497,I5H84_gp064,I5H84_gp064,SEA_RITAG_64,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
2027900,60333498,I5H84_gp066,I5H84_gp066,SEA_RITAG_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2027900,60333499,I5H84_gp001,I5H84_gp001,SEA_RITAG_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2027900,60338619,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
