#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2656569,60326913,2,I5H22_gp002,SEA_CHUCKLY_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2656569,60326938,30,I5H22_gp030,SEA_CHUCKLY_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210417,-
2656569,60326939,31,I5H22_gp031,SEA_CHUCKLY_31,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2656569,60326940,32,I5H22_gp032,SEA_CHUCKLY_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210212,-
2656569,60326941,33,I5H22_gp033,SEA_CHUCKLY_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2656569,60326942,34,I5H22_gp034,SEA_CHUCKLY_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326943,35,I5H22_gp035,SEA_CHUCKLY_35,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210424,-
2656569,60326944,36,I5H22_gp036,SEA_CHUCKLY_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326945,37,I5H22_gp037,SEA_CHUCKLY_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326946,38,I5H22_gp038,SEA_CHUCKLY_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326947,39,I5H22_gp039,SEA_CHUCKLY_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326948,40,I5H22_gp040,SEA_CHUCKLY_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326949,41,I5H22_gp041,SEA_CHUCKLY_41,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210313,-
2656569,60326950,42,I5H22_gp042,SEA_CHUCKLY_42,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210424,-
2656569,60326951,43,I5H22_gp043,SEA_CHUCKLY_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326952,44,I5H22_gp044,SEA_CHUCKLY_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326953,46,I5H22_gp046,SEA_CHUCKLY_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210403,-
2656569,60326954,47,I5H22_gp047,SEA_CHUCKLY_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2656569,60326955,48,I5H22_gp048,SEA_CHUCKLY_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326956,49,I5H22_gp049,SEA_CHUCKLY_49,-,-,-,excise,protein-coding,-,-,-,excise,20210424,-
2656569,60326957,50,I5H22_gp050,SEA_CHUCKLY_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326958,51,I5H22_gp051,SEA_CHUCKLY_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326959,52,I5H22_gp052,SEA_CHUCKLY_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326960,53,I5H22_gp053,SEA_CHUCKLY_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326961,54,I5H22_gp054,SEA_CHUCKLY_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326962,55,I5H22_gp055,SEA_CHUCKLY_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326963,56,I5H22_gp056,SEA_CHUCKLY_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326964,57,I5H22_gp057,SEA_CHUCKLY_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326965,58,I5H22_gp058,SEA_CHUCKLY_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326966,59,I5H22_gp059,SEA_CHUCKLY_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2656569,60326967,60,I5H22_gp060,SEA_CHUCKLY_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210425,-
2656569,60326968,61,I5H22_gp061,SEA_CHUCKLY_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201217,-
2656569,60326969,62,I5H22_gp062,SEA_CHUCKLY_62,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210129,-
2656569,60326970,63,I5H22_gp063,SEA_CHUCKLY_63,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210425,-
2656569,60326971,64,I5H22_gp064,SEA_CHUCKLY_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326972,65,I5H22_gp065,SEA_CHUCKLY_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326973,66,I5H22_gp066,SEA_CHUCKLY_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2656569,60326974,67,I5H22_gp067,SEA_CHUCKLY_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201203,-
2656569,60326975,68,I5H22_gp068,SEA_CHUCKLY_68,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2656569,60326976,70,I5H22_gp070,SEA_CHUCKLY_70,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20201203,-
2656569,60326977,71,I5H22_gp071,SEA_CHUCKLY_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326978,72,I5H22_gp072,SEA_CHUCKLY_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326979,74,I5H22_gp074,SEA_CHUCKLY_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326980,75,I5H22_gp075,SEA_CHUCKLY_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326981,76,I5H22_gp076,SEA_CHUCKLY_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326982,77,I5H22_gp077,SEA_CHUCKLY_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326983,78,I5H22_gp078,SEA_CHUCKLY_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326984,79,I5H22_gp079,SEA_CHUCKLY_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326985,80,I5H22_gp080,SEA_CHUCKLY_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326986,81,I5H22_gp081,SEA_CHUCKLY_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326987,82,I5H22_gp082,SEA_CHUCKLY_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326988,83,I5H22_gp083,SEA_CHUCKLY_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326989,84,I5H22_gp084,SEA_CHUCKLY_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326990,85,I5H22_gp085,SEA_CHUCKLY_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326991,86,I5H22_gp086,SEA_CHUCKLY_86,-,-,-,G-I-Y-Y-I-G endonuclease,protein-coding,-,-,-,G-I-Y-Y-I-G endonuclease,20210424,-
2656569,60326992,87,I5H22_gp087,SEA_CHUCKLY_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326993,88,I5H22_gp088,SEA_CHUCKLY_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326994,89,I5H22_gp089,SEA_CHUCKLY_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326995,90,I5H22_gp090,SEA_CHUCKLY_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326996,91,I5H22_gp091,SEA_CHUCKLY_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326997,92,I5H22_gp092,SEA_CHUCKLY_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326998,94,I5H22_gp094,SEA_CHUCKLY_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60326999,96,I5H22_gp096,SEA_CHUCKLY_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327000,97,I5H22_gp097,SEA_CHUCKLY_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327001,98,I5H22_gp098,SEA_CHUCKLY_98,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201203,-
2656569,60327002,99,I5H22_gp099,SEA_CHUCKLY_99,-,-,-,serine/threonine kinase,protein-coding,-,-,-,serine/threonine kinase,20210424,-
2656569,60327003,100,I5H22_gp100,SEA_CHUCKLY_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327004,101,I5H22_gp101,SEA_CHUCKLY_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210424,-
2656569,60327005,102,I5H22_gp102,SEA_CHUCKLY_102,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201217,-
2656569,60327006,27,I5H22_gp027,SEA_CHUCKLY_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327007,28,I5H22_gp028,SEA_CHUCKLY_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327008,29,I5H22_gp029,SEA_CHUCKLY_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327009,69,I5H22_gp069,SEA_CHUCKLY_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327010,73,I5H22_gp073,SEA_CHUCKLY_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327011,93,I5H22_gp093,SEA_CHUCKLY_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327012,95,I5H22_gp095,SEA_CHUCKLY_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2656569,60327013,45,I5H22_gp045,SEA_CHUCKLY_45,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210417,-
2656569,60327014,1,I5H22_gp001,SEA_CHUCKLY_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2656569,60338807,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
