#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1235646,16835662,PHL037M02_02,PHL037M02_02,-,-,-,-,putative terminase,protein-coding,-,-,-,putative terminase,20201221,-
1235646,16835693,PHL037M02_33,PHL037M02_33,-,-,-,-,putative DNA helicase,protein-coding,-,-,-,putative DNA helicase,20201221,-
1235646,16835694,PHL037M02_34,PHL037M02_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835695,PHL037M02_35,PHL037M02_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835696,PHL037M02_36,PHL037M02_36,-,-,-,-,putative exonuclease,protein-coding,-,-,-,putative exonuclease,20201221,-
1235646,16835697,PHL037M02_37,PHL037M02_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835698,PHL037M02_38,PHL037M02_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835699,PHL037M02_39,PHL037M02_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835700,PHL037M02_40,PHL037M02_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835701,PHL037M02_41,PHL037M02_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835702,PHL037M02_42,PHL037M02_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835703,PHL037M02_43,PHL037M02_43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835704,PHL037M02_44,PHL037M02_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1235646,16835705,PHL037M02_45,PHL037M02_45,-,-,-,-,putative endonuclease,protein-coding,-,-,-,putative endonuclease,20201221,-
1235646,16835706,PHL037M02_01,PHL037M02_01,-,-,-,-,putative excinuclease,protein-coding,-,-,-,putative excinuclease,20201221,-
1235646,16976849,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
