#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1718599,26632109,AVU85_gp002,AVU85_gp002,SEA_ARCHIE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20200927,-
1718599,26632121,AVU85_gp014,AVU85_gp014,SEA_ARCHIE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1718599,26632122,AVU85_gp016,AVU85_gp016,SEA_ARCHIE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1718599,26632123,AVU85_gp015,AVU85_gp015,SEA_ARCHIE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1718599,26632124,AVU85_gp017,AVU85_gp017,SEA_ARCHIE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1718599,26632125,AVU85_gp018,AVU85_gp018,SEA_ARCHIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1718599,26632126,AVU85_gp019,AVU85_gp019,SEA_ARCHIE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1718599,26632127,AVU85_gp020,AVU85_gp020,SEA_ARCHIE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1718599,26632128,AVU85_gp021,AVU85_gp021,SEA_ARCHIE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632129,AVU85_gp022,AVU85_gp022,SEA_ARCHIE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632130,AVU85_gp023,AVU85_gp023,SEA_ARCHIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632131,AVU85_gp024,AVU85_gp024,SEA_ARCHIE_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1718599,26632132,AVU85_gp025,AVU85_gp025,SEA_ARCHIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632133,AVU85_gp026,AVU85_gp026,SEA_ARCHIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632134,AVU85_gp027,AVU85_gp027,SEA_ARCHIE_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1718599,26632135,AVU85_gp028,AVU85_gp028,SEA_ARCHIE_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1718599,26632136,AVU85_gp029,AVU85_gp029,SEA_ARCHIE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632137,AVU85_gp030,AVU85_gp030,SEA_ARCHIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632138,AVU85_gp031,AVU85_gp031,SEA_ARCHIE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632139,AVU85_gp032,AVU85_gp032,SEA_ARCHIE_32,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20200927,-
1718599,26632140,AVU85_gp033,AVU85_gp033,SEA_ARCHIE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632141,AVU85_gp034,AVU85_gp034,SEA_ARCHIE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632142,AVU85_gp035,AVU85_gp035,SEA_ARCHIE_35,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20200927,-
1718599,26632143,AVU85_gp036,AVU85_gp036,SEA_ARCHIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632144,AVU85_gp037,AVU85_gp037,SEA_ARCHIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632145,AVU85_gp038,AVU85_gp038,SEA_ARCHIE_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1718599,26632146,AVU85_gp039,AVU85_gp039,SEA_ARCHIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632147,AVU85_gp040,AVU85_gp040,SEA_ARCHIE_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1718599,26632148,AVU85_gp041,AVU85_gp041,SEA_ARCHIE_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20200927,-
1718599,26632149,AVU85_gp042,AVU85_gp042,SEA_ARCHIE_42,-,-,-,excise,protein-coding,-,-,-,excise,20200927,-
1718599,26632150,AVU85_gp043,AVU85_gp043,SEA_ARCHIE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632151,AVU85_gp044,AVU85_gp044,SEA_ARCHIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632152,AVU85_gp045,AVU85_gp045,SEA_ARCHIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632153,AVU85_gp046,AVU85_gp046,SEA_ARCHIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632154,AVU85_gp047,AVU85_gp047,SEA_ARCHIE_47,-,-,-,esterase,protein-coding,-,-,-,esterase,20200927,-
1718599,26632155,AVU85_gp048,AVU85_gp048,SEA_ARCHIE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632156,AVU85_gp049,AVU85_gp049,SEA_ARCHIE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632157,AVU85_gp050,AVU85_gp050,SEA_ARCHIE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632158,AVU85_gp051,AVU85_gp051,SEA_ARCHIE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632159,AVU85_gp052,AVU85_gp052,SEA_ARCHIE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632160,AVU85_gp053,AVU85_gp053,SEA_ARCHIE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632161,AVU85_gp054,AVU85_gp054,SEA_ARCHIE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632162,AVU85_gp055,AVU85_gp055,SEA_ARCHIE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632163,AVU85_gp056,AVU85_gp056,SEA_ARCHIE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632164,AVU85_gp057,AVU85_gp057,SEA_ARCHIE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632165,AVU85_gp058,AVU85_gp058,SEA_ARCHIE_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632166,AVU85_gp059,AVU85_gp059,SEA_ARCHIE_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632167,AVU85_gp060,AVU85_gp060,SEA_ARCHIE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632168,AVU85_gp061,AVU85_gp061,SEA_ARCHIE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632169,AVU85_gp062,AVU85_gp062,SEA_ARCHIE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632170,AVU85_gp063,AVU85_gp063,SEA_ARCHIE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632171,AVU85_gp064,AVU85_gp064,SEA_ARCHIE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632172,AVU85_gp065,AVU85_gp065,SEA_ARCHIE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632173,AVU85_gp066,AVU85_gp066,SEA_ARCHIE_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632174,AVU85_gp067,AVU85_gp067,SEA_ARCHIE_67,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1718599,26632175,AVU85_gp068,AVU85_gp068,SEA_ARCHIE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632176,AVU85_gp069,AVU85_gp069,SEA_ARCHIE_69,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20200927,-
1718599,26632177,AVU85_gp070,AVU85_gp070,SEA_ARCHIE_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632178,AVU85_gp071,AVU85_gp071,SEA_ARCHIE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632179,AVU85_gp072,AVU85_gp072,SEA_ARCHIE_72,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20200927,-
1718599,26632180,AVU85_gp073,AVU85_gp073,SEA_ARCHIE_73,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20200927,-
1718599,26632181,AVU85_gp074,AVU85_gp074,SEA_ARCHIE_74,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20200927,-
1718599,26632182,AVU85_gp075,AVU85_gp075,SEA_ARCHIE_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632183,AVU85_gp076,AVU85_gp076,SEA_ARCHIE_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632184,AVU85_gp077,AVU85_gp077,SEA_ARCHIE_77,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20200927,-
1718599,26632185,AVU85_gp078,AVU85_gp078,SEA_ARCHIE_78,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1718599,26632186,AVU85_gp079,AVU85_gp079,SEA_ARCHIE_79,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20200927,-
1718599,26632187,AVU85_gp080,AVU85_gp080,SEA_ARCHIE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632188,AVU85_gp081,AVU85_gp081,SEA_ARCHIE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632189,AVU85_gp082,AVU85_gp082,SEA_ARCHIE_82,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20200927,-
1718599,26632190,AVU85_gp083,AVU85_gp083,SEA_ARCHIE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632191,AVU85_gp084,AVU85_gp084,SEA_ARCHIE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632192,AVU85_gp085,AVU85_gp085,SEA_ARCHIE_85,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20200927,-
1718599,26632193,AVU85_gp086,AVU85_gp086,SEA_ARCHIE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632194,AVU85_gp087,AVU85_gp087,SEA_ARCHIE_87,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20200927,-
1718599,26632195,AVU85_gp088,AVU85_gp088,SEA_ARCHIE_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632196,AVU85_gp089,AVU85_gp089,SEA_ARCHIE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632197,AVU85_gp090,AVU85_gp090,SEA_ARCHIE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632198,AVU85_gp091,AVU85_gp091,SEA_ARCHIE_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632199,AVU85_gp092,AVU85_gp092,SEA_ARCHIE_92,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201026,-
1718599,26632200,AVU85_gp093,AVU85_gp093,SEA_ARCHIE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632201,AVU85_gp094,AVU85_gp094,SEA_ARCHIE_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632202,AVU85_gp095,AVU85_gp095,SEA_ARCHIE_95,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20200927,-
1718599,26632203,AVU85_gp096,AVU85_gp096,SEA_ARCHIE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632204,AVU85_gp097,AVU85_gp097,SEA_ARCHIE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632205,AVU85_gp098,AVU85_gp098,SEA_ARCHIE_98,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1718599,26632206,AVU85_gp099,AVU85_gp099,SEA_ARCHIE_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632207,AVU85_gp100,AVU85_gp100,SEA_ARCHIE_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632208,AVU85_gp101,AVU85_gp101,SEA_ARCHIE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632209,AVU85_gp102,AVU85_gp102,SEA_ARCHIE_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632210,AVU85_gt001,AVU85_gt001,SEA_ARCHIE_103,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632211,AVU85_gp128,AVU85_gp128,SEA_ARCHIE_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632212,AVU85_gt002,AVU85_gt002,SEA_ARCHIE_105,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632213,AVU85_gt003,AVU85_gt003,SEA_ARCHIE_106,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632214,AVU85_gp127,AVU85_gp127,SEA_ARCHIE_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632215,AVU85_gp126,AVU85_gp126,SEA_ARCHIE_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632216,AVU85_gt004,AVU85_gt004,SEA_ARCHIE_109,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632217,AVU85_gt005,AVU85_gt005,SEA_ARCHIE_110,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632218,AVU85_gt006,AVU85_gt006,SEA_ARCHIE_111,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632219,AVU85_gt007,AVU85_gt007,SEA_ARCHIE_112,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632220,AVU85_gt008,AVU85_gt008,SEA_ARCHIE_113,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632221,AVU85_gt009,AVU85_gt009,SEA_ARCHIE_114,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632222,AVU85_gp125,AVU85_gp125,SEA_ARCHIE_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632223,AVU85_gp124,AVU85_gp124,SEA_ARCHIE_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632224,AVU85_gt010,AVU85_gt010,SEA_ARCHIE_117,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632225,AVU85_gp123,AVU85_gp123,SEA_ARCHIE_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632226,AVU85_gp122,AVU85_gp122,SEA_ARCHIE_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632227,AVU85_gt011,AVU85_gt011,SEA_ARCHIE_120,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632228,AVU85_gp121,AVU85_gp121,SEA_ARCHIE_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632229,AVU85_gt012,AVU85_gt012,SEA_ARCHIE_122,-,-,-,tRNA,tRNA,-,-,-,-,20200927,-
1718599,26632230,AVU85_gp120,AVU85_gp120,SEA_ARCHIE_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632231,AVU85_gp119,AVU85_gp119,SEA_ARCHIE_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632232,AVU85_gp118,AVU85_gp118,SEA_ARCHIE_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632233,AVU85_gp117,AVU85_gp117,SEA_ARCHIE_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632234,AVU85_gp116,AVU85_gp116,SEA_ARCHIE_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632235,AVU85_gp115,AVU85_gp115,SEA_ARCHIE_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632236,AVU85_gp114,AVU85_gp114,SEA_ARCHIE_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632237,AVU85_gp113,AVU85_gp113,SEA_ARCHIE_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632238,AVU85_gp112,AVU85_gp112,SEA_ARCHIE_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632239,AVU85_gp111,AVU85_gp111,SEA_ARCHIE_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632240,AVU85_gp110,AVU85_gp110,SEA_ARCHIE_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632241,AVU85_gp109,AVU85_gp109,SEA_ARCHIE_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632242,AVU85_gp108,AVU85_gp108,SEA_ARCHIE_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632243,AVU85_gp107,AVU85_gp107,SEA_ARCHIE_136,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632244,AVU85_gp106,AVU85_gp106,SEA_ARCHIE_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632245,AVU85_gp105,AVU85_gp105,SEA_ARCHIE_138,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20200927,-
1718599,26632246,AVU85_gp104,AVU85_gp104,SEA_ARCHIE_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632247,AVU85_gp103,AVU85_gp103,SEA_ARCHIE_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26632248,AVU85_gp001,AVU85_gp001,SEA_ARCHIE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1718599,26680973,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Archie).,other,-,-,-,-,20200513,-
