#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2572526,55013786,2,HOV42_gp02,SEA_FAIRFAXIDUM_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210123,-
2572526,55013817,33,HOV42_gp33,SEA_FAIRFAXIDUM_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013818,34,HOV42_gp34,SEA_FAIRFAXIDUM_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013819,35,HOV42_gp35,SEA_FAIRFAXIDUM_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013820,36,HOV42_gp36,SEA_FAIRFAXIDUM_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013821,37,HOV42_gp37,SEA_FAIRFAXIDUM_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013822,38,HOV42_gp38,SEA_FAIRFAXIDUM_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013823,39,HOV42_gp39,SEA_FAIRFAXIDUM_39,-,-,-,integrase,protein-coding,-,-,-,integrase,20210123,-
2572526,55013824,40,HOV42_gp40,SEA_FAIRFAXIDUM_40,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2572526,55013825,41,HOV42_gp41,SEA_FAIRFAXIDUM_41,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20201222,-
2572526,55013826,42,HOV42_gp42,SEA_FAIRFAXIDUM_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2572526,55013827,43,HOV42_gp43,SEA_FAIRFAXIDUM_43,-,-,-,methyltransferase,protein-coding,-,-,-,methyltransferase,20210123,-
2572526,55013828,44,HOV42_gp44,SEA_FAIRFAXIDUM_44,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201222,-
2572526,55013829,45,HOV42_gp45,SEA_FAIRFAXIDUM_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210123,-
2572526,55013830,46,HOV42_gp46,SEA_FAIRFAXIDUM_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013831,47,HOV42_gp47,SEA_FAIRFAXIDUM_47,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201222,-
2572526,55013832,48,HOV42_gp48,SEA_FAIRFAXIDUM_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013833,49,HOV42_gp49,SEA_FAIRFAXIDUM_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013834,50,HOV42_gp50,SEA_FAIRFAXIDUM_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013835,51,HOV42_gp51,SEA_FAIRFAXIDUM_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013836,52,HOV42_gp52,SEA_FAIRFAXIDUM_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013837,53,HOV42_gp53,SEA_FAIRFAXIDUM_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013838,54,HOV42_gp54,SEA_FAIRFAXIDUM_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013839,55,HOV42_gp55,SEA_FAIRFAXIDUM_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013840,56,HOV42_gp56,SEA_FAIRFAXIDUM_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013841,57,HOV42_gp57,SEA_FAIRFAXIDUM_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013842,58,HOV42_gp58,SEA_FAIRFAXIDUM_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013843,59,HOV42_gp59,SEA_FAIRFAXIDUM_59,-,-,-,exonuclease,protein-coding,-,-,-,exonuclease,20210123,-
2572526,55013844,60,HOV42_gp60,SEA_FAIRFAXIDUM_60,-,-,-,RecT-like ssDNA binding protein,protein-coding,-,-,-,RecT-like ssDNA binding protein,20210123,-
2572526,55013845,61,HOV42_gp61,SEA_FAIRFAXIDUM_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013846,62,HOV42_gp62,SEA_FAIRFAXIDUM_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013847,63,HOV42_gp63,SEA_FAIRFAXIDUM_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013848,64,HOV42_gp64,SEA_FAIRFAXIDUM_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013849,65,HOV42_gp65,SEA_FAIRFAXIDUM_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013850,66,HOV42_gp66,SEA_FAIRFAXIDUM_66,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201222,-
2572526,55013851,67,HOV42_gp67,SEA_FAIRFAXIDUM_67,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201222,-
2572526,55013852,68,HOV42_gp68,SEA_FAIRFAXIDUM_68,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201222,-
2572526,55013853,69,HOV42_gp69,SEA_FAIRFAXIDUM_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013854,70,HOV42_gp70,SEA_FAIRFAXIDUM_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013855,71,HOV42_gp71,SEA_FAIRFAXIDUM_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2572526,55013856,72,HOV42_gp72,SEA_FAIRFAXIDUM_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013857,73,HOV42_gp73,SEA_FAIRFAXIDUM_73,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201222,-
2572526,55013858,74,HOV42_gp74,SEA_FAIRFAXIDUM_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013859,75,HOV42_gp75,SEA_FAIRFAXIDUM_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013860,76,HOV42_gp76,SEA_FAIRFAXIDUM_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013861,77,HOV42_gp77,SEA_FAIRFAXIDUM_77,-,-,-,RuvC-like resolvase,protein-coding,-,-,-,RuvC-like resolvase,20201222,-
2572526,55013862,78,HOV42_gp78,SEA_FAIRFAXIDUM_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013863,79,HOV42_gp79,SEA_FAIRFAXIDUM_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201222,-
2572526,55013864,80,HOV42_gp80,SEA_FAIRFAXIDUM_80,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201222,-
2572526,55013865,81,HOV42_gp81,SEA_FAIRFAXIDUM_81,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201222,-
2572526,55013866,1,HOV42_gp01,SEA_FAIRFAXIDUM_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201222,-
2572526,55154401,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Gordonia phage Fairfaxidumvirus).,other,-,-,-,-,20201109,-
