#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2015819,63209531,2,J4T97_gp002,SEA_GUUELAD_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210322,-
2015819,63209549,20,J4T97_gp020,SEA_GUUELAD_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015819,63209550,21,J4T97_gp021,SEA_GUUELAD_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015819,63209551,22,J4T97_gp022,SEA_GUUELAD_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015819,63209552,23,J4T97_gp023,SEA_GUUELAD_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209553,24,J4T97_gp024,SEA_GUUELAD_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210322,-
2015819,63209554,25,J4T97_gp025,SEA_GUUELAD_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209555,26,J4T97_gp026,SEA_GUUELAD_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209556,27,J4T97_gp027,SEA_GUUELAD_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210322,-
2015819,63209557,28,J4T97_gp028,SEA_GUUELAD_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210322,-
2015819,63209558,29,J4T97_gp029,SEA_GUUELAD_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209559,30,J4T97_gp030,SEA_GUUELAD_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209560,31,J4T97_gp031,SEA_GUUELAD_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209561,32,J4T97_gp032,SEA_GUUELAD_32,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210322,-
2015819,63209562,33,J4T97_gp033,SEA_GUUELAD_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209563,34,J4T97_gp034,SEA_GUUELAD_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209564,35,J4T97_gp035,SEA_GUUELAD_35,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210322,-
2015819,63209565,36,J4T97_gp036,SEA_GUUELAD_36,-,-,-,Lsr2-like DNA bridging protein,protein-coding,-,-,-,Lsr2-like DNA bridging protein,20210322,-
2015819,63209566,37,J4T97_gp037,SEA_GUUELAD_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209567,38,J4T97_gp038,SEA_GUUELAD_38,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210322,-
2015819,63209568,39,J4T97_gp039,SEA_GUUELAD_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209569,40,J4T97_gp040,SEA_GUUELAD_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210322,-
2015819,63209570,41,J4T97_gp041,SEA_GUUELAD_41,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210322,-
2015819,63209571,42,J4T97_gp042,SEA_GUUELAD_42,-,-,-,excise,protein-coding,-,-,-,excise,20210322,-
2015819,63209572,43,J4T97_gp043,SEA_GUUELAD_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209573,44,J4T97_gp044,SEA_GUUELAD_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209574,45,J4T97_gp045,SEA_GUUELAD_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209575,46,J4T97_gp046,SEA_GUUELAD_46,-,-,-,esterase,protein-coding,-,-,-,esterase,20210322,-
2015819,63209576,47,J4T97_gp047,SEA_GUUELAD_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209577,48,J4T97_gp048,SEA_GUUELAD_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209578,49,J4T97_gp049,SEA_GUUELAD_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209579,50,J4T97_gp050,SEA_GUUELAD_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209580,51,J4T97_gp051,SEA_GUUELAD_51,-,-,-,band-7-like membrane protein,protein-coding,-,-,-,band-7-like membrane protein,20210322,-
2015819,63209581,52,J4T97_gp052,SEA_GUUELAD_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209582,53,J4T97_gp053,SEA_GUUELAD_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209583,54,J4T97_gp054,SEA_GUUELAD_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209584,55,J4T97_gp055,SEA_GUUELAD_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209585,56,J4T97_gp056,SEA_GUUELAD_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209586,57,J4T97_gp057,SEA_GUUELAD_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209587,58,J4T97_gp058,SEA_GUUELAD_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209588,59,J4T97_gp059,SEA_GUUELAD_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209589,60,J4T97_gp060,SEA_GUUELAD_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209590,61,J4T97_gp061,SEA_GUUELAD_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209591,62,J4T97_gp062,SEA_GUUELAD_62,-,-,-,ERF family ssDNA binding protein,protein-coding,-,-,-,ERF family ssDNA binding protein,20210322,-
2015819,63209592,63,J4T97_gp063,SEA_GUUELAD_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209593,64,J4T97_gp064,SEA_GUUELAD_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209594,65,J4T97_gp065,SEA_GUUELAD_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209595,66,J4T97_gp066,SEA_GUUELAD_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2015819,63209596,67,J4T97_gp067,SEA_GUUELAD_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209597,68,J4T97_gp068,SEA_GUUELAD_68,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210322,-
2015819,63209598,69,J4T97_gp069,SEA_GUUELAD_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209599,70,J4T97_gp070,SEA_GUUELAD_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209600,71,J4T97_gp071,SEA_GUUELAD_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209601,72,J4T97_gp072,SEA_GUUELAD_72,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210322,-
2015819,63209602,73,J4T97_gp073,SEA_GUUELAD_73,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210322,-
2015819,63209603,74,J4T97_gp074,SEA_GUUELAD_74,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210322,-
2015819,63209604,75,J4T97_gp075,SEA_GUUELAD_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209605,76,J4T97_gp076,SEA_GUUELAD_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209606,77,J4T97_gp077,SEA_GUUELAD_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209607,78,J4T97_gp078,SEA_GUUELAD_78,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210322,-
2015819,63209608,79,J4T97_gp079,SEA_GUUELAD_79,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210327,-
2015819,63209609,80,J4T97_gp080,SEA_GUUELAD_80,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210322,-
2015819,63209610,81,J4T97_gp081,SEA_GUUELAD_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209611,82,J4T97_gp082,SEA_GUUELAD_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209612,83,J4T97_gp083,SEA_GUUELAD_83,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210322,-
2015819,63209613,84,J4T97_gp084,SEA_GUUELAD_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209614,85,J4T97_gp085,SEA_GUUELAD_85,-,-,-,RNA ligase,protein-coding,-,-,-,RNA ligase,20210322,-
2015819,63209615,86,J4T97_gp086,SEA_GUUELAD_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209616,87,J4T97_gp087,SEA_GUUELAD_87,-,-,-,ClpP-like protease,protein-coding,-,-,-,ClpP-like protease,20210322,-
2015819,63209617,88,J4T97_gp088,SEA_GUUELAD_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209618,89,J4T97_gp089,SEA_GUUELAD_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209619,90,J4T97_gp090,SEA_GUUELAD_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209620,91,J4T97_gp091,SEA_GUUELAD_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209621,92,J4T97_gp092,SEA_GUUELAD_92,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2015819,63209622,93,J4T97_gp093,SEA_GUUELAD_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209623,94,J4T97_gp094,SEA_GUUELAD_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209624,95,J4T97_gp095,SEA_GUUELAD_95,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210322,-
2015819,63209625,96,J4T97_gp096,SEA_GUUELAD_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209626,97,J4T97_gp097,SEA_GUUELAD_97,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210322,-
2015819,63209627,98,J4T97_gp098,SEA_GUUELAD_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209628,99,J4T97_gp099,SEA_GUUELAD_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209629,100,J4T97_gp100,SEA_GUUELAD_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209630,101,J4T97_gt001,SEA_GUUELAD_101,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209631,102,J4T97_gp129,SEA_GUUELAD_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209632,103,J4T97_gt002,SEA_GUUELAD_103,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209633,104,J4T97_gt003,SEA_GUUELAD_104,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209634,105,J4T97_gp128,SEA_GUUELAD_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209635,106,J4T97_gp127,SEA_GUUELAD_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209636,107,J4T97_gp126,SEA_GUUELAD_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209637,108,J4T97_gt004,SEA_GUUELAD_108,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209638,109,J4T97_gt005,SEA_GUUELAD_109,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209639,110,J4T97_gt006,SEA_GUUELAD_110,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209640,111,J4T97_gt007,SEA_GUUELAD_111,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209641,112,J4T97_gt008,SEA_GUUELAD_112,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209642,113,J4T97_gp125,SEA_GUUELAD_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209643,114,J4T97_gp124,SEA_GUUELAD_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209644,115,J4T97_gt009,SEA_GUUELAD_115,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209645,116,J4T97_gp123,SEA_GUUELAD_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209646,117,J4T97_gp122,SEA_GUUELAD_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209647,118,J4T97_gp121,SEA_GUUELAD_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209648,119,J4T97_gt010,SEA_GUUELAD_119,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209649,120,J4T97_gp120,SEA_GUUELAD_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209650,121,J4T97_gt011,SEA_GUUELAD_121,-,-,-,tRNA,tRNA,-,-,-,-,20210322,-
2015819,63209651,122,J4T97_gp119,SEA_GUUELAD_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209652,1,J4T97_gp001,SEA_GUUELAD_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209653,123,J4T97_gp118,SEA_GUUELAD_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209654,124,J4T97_gp117,SEA_GUUELAD_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209655,125,J4T97_gp116,SEA_GUUELAD_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209656,126,J4T97_gp115,SEA_GUUELAD_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209657,127,J4T97_gp114,SEA_GUUELAD_127,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209658,128,J4T97_gp113,SEA_GUUELAD_128,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209659,129,J4T97_gp112,SEA_GUUELAD_129,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209660,130,J4T97_gp111,SEA_GUUELAD_130,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209661,131,J4T97_gp110,SEA_GUUELAD_131,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209662,132,J4T97_gp109,SEA_GUUELAD_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209663,133,J4T97_gp108,SEA_GUUELAD_133,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209664,134,J4T97_gp107,SEA_GUUELAD_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209665,135,J4T97_gp106,SEA_GUUELAD_135,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209666,136,J4T97_gp105,SEA_GUUELAD_136,-,-,-,AAA-ATPase,protein-coding,-,-,-,AAA-ATPase,20210322,-
2015819,63209667,137,J4T97_gp104,SEA_GUUELAD_137,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209668,138,J4T97_gp103,SEA_GUUELAD_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209669,139,J4T97_gp102,SEA_GUUELAD_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63209670,140,J4T97_gp101,SEA_GUUELAD_140,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210322,-
2015819,63346694,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage GuuelaD).,other,-,-,-,-,20210324,-
