#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1035482,26626129,2,AVU74_gp002,SEA_OSMAXIMUS_2,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1035482,26626141,14,AVU74_gp014,SEA_OSMAXIMUS_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626142,15,AVU74_gp015,SEA_OSMAXIMUS_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626143,16,AVU74_gp016,SEA_OSMAXIMUS_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626144,17,AVU74_gp017,SEA_OSMAXIMUS_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626145,18,AVU74_gp018,SEA_OSMAXIMUS_18,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1035482,26626146,19,AVU74_gp019,SEA_OSMAXIMUS_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626147,20,AVU74_gp020,SEA_OSMAXIMUS_20,-,-,-,queuine tRNA-ribosyltransferase,protein-coding,-,-,-,queuine tRNA-ribosyltransferase,20210102,-
1035482,26626148,21,AVU74_gp021,SEA_OSMAXIMUS_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626149,22,AVU74_gp022,SEA_OSMAXIMUS_22,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1035482,26626150,23,AVU74_gp023,SEA_OSMAXIMUS_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626151,24,AVU74_gp024,SEA_OSMAXIMUS_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626152,25,AVU74_gp025,SEA_OSMAXIMUS_25,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1035482,26626153,26,AVU74_gp026,SEA_OSMAXIMUS_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626154,27,AVU74_gp027,SEA_OSMAXIMUS_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626155,28,AVU74_gp028,SEA_OSMAXIMUS_28,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1035482,26626156,29,AVU74_gp029,SEA_OSMAXIMUS_29,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1035482,26626157,30,AVU74_gp030,SEA_OSMAXIMUS_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1035482,26626158,31,AVU74_gp031,SEA_OSMAXIMUS_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1035482,26626159,32,AVU74_gp032,SEA_OSMAXIMUS_32,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1035482,26626160,33,AVU74_gp033,SEA_OSMAXIMUS_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626161,34,AVU74_gp034,SEA_OSMAXIMUS_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626162,35,AVU74_gp035,SEA_OSMAXIMUS_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626163,36,AVU74_gp036,SEA_OSMAXIMUS_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626164,37,AVU74_gp037,SEA_OSMAXIMUS_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626165,38,AVU74_gp038,SEA_OSMAXIMUS_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626166,39,AVU74_gp039,SEA_OSMAXIMUS_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626167,40,AVU74_gp040,SEA_OSMAXIMUS_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626168,41,AVU74_gp041,SEA_OSMAXIMUS_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626169,42,AVU74_gp042,SEA_OSMAXIMUS_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626170,43,AVU74_gp043,SEA_OSMAXIMUS_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626171,44,AVU74_gp044,SEA_OSMAXIMUS_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626172,45,AVU74_gp045,SEA_OSMAXIMUS_45,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1035482,26626173,46,AVU74_gp046,SEA_OSMAXIMUS_46,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20200927,-
1035482,26626174,47,AVU74_gp047,SEA_OSMAXIMUS_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626175,48,AVU74_gp048,SEA_OSMAXIMUS_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626176,49,AVU74_gp049,SEA_OSMAXIMUS_49,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210403,-
1035482,26626177,50,AVU74_gp050,SEA_OSMAXIMUS_50,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1035482,26626178,51,AVU74_gp051,SEA_OSMAXIMUS_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626179,52,AVU74_gp052,SEA_OSMAXIMUS_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626180,53,AVU74_gp053,SEA_OSMAXIMUS_53,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20200927,-
1035482,26626181,54,AVU74_gp054,SEA_OSMAXIMUS_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626182,55,AVU74_gp055,SEA_OSMAXIMUS_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626183,56,AVU74_gp056,SEA_OSMAXIMUS_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626184,57,AVU74_gp057,SEA_OSMAXIMUS_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626185,58,AVU74_gp058,SEA_OSMAXIMUS_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626186,59,AVU74_gp059,SEA_OSMAXIMUS_59,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1035482,26626187,60,AVU74_gp060,SEA_OSMAXIMUS_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626188,61,AVU74_gp061,SEA_OSMAXIMUS_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626189,62,AVU74_gp062,SEA_OSMAXIMUS_62,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20200927,-
1035482,26626190,63,AVU74_gp063,SEA_OSMAXIMUS_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626191,64,AVU74_gp064,SEA_OSMAXIMUS_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626192,65,AVU74_gp065,SEA_OSMAXIMUS_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626193,66,AVU74_gp066,SEA_OSMAXIMUS_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626194,67,AVU74_gp067,SEA_OSMAXIMUS_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626195,68,AVU74_gp068,SEA_OSMAXIMUS_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626196,69,AVU74_gp069,SEA_OSMAXIMUS_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626197,70,AVU74_gp070,SEA_OSMAXIMUS_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210102,-
1035482,26626198,71,AVU74_gp071,SEA_OSMAXIMUS_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626199,72,AVU74_gp072,SEA_OSMAXIMUS_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626200,73,AVU74_gp073,SEA_OSMAXIMUS_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1035482,26626201,74,AVU74_gp074,SEA_OSMAXIMUS_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626202,75,AVU74_gp075,SEA_OSMAXIMUS_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626203,76,AVU74_gp076,SEA_OSMAXIMUS_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626204,77,AVU74_gp077,SEA_OSMAXIMUS_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626205,78,AVU74_gp078,SEA_OSMAXIMUS_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626206,79,AVU74_gp079,SEA_OSMAXIMUS_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626207,80,AVU74_gp080,SEA_OSMAXIMUS_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626208,81,AVU74_gp081,SEA_OSMAXIMUS_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626209,82,AVU74_gp082,SEA_OSMAXIMUS_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626210,83,AVU74_gp083,SEA_OSMAXIMUS_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626211,84,AVU74_gp084,SEA_OSMAXIMUS_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626212,85,AVU74_gp085,SEA_OSMAXIMUS_85,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20200927,-
1035482,26626213,86,AVU74_gp086,SEA_OSMAXIMUS_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626214,87,AVU74_gp087,SEA_OSMAXIMUS_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626215,88,AVU74_gp088,SEA_OSMAXIMUS_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626216,89,AVU74_gp089,SEA_OSMAXIMUS_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626217,90,AVU74_gp090,SEA_OSMAXIMUS_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626218,91,AVU74_gp091,SEA_OSMAXIMUS_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626219,92,AVU74_gp092,SEA_OSMAXIMUS_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626220,93,AVU74_gp093,SEA_OSMAXIMUS_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626221,94,AVU74_gp094,SEA_OSMAXIMUS_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626222,95,AVU74_gp095,SEA_OSMAXIMUS_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626223,96,AVU74_gp096,SEA_OSMAXIMUS_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626224,97,AVU74_gp097,SEA_OSMAXIMUS_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626225,98,AVU74_gp098,SEA_OSMAXIMUS_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626226,99,AVU74_gp099,SEA_OSMAXIMUS_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626227,100,AVU74_gp100,SEA_OSMAXIMUS_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626228,101,AVU74_gp101,SEA_OSMAXIMUS_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626229,102,AVU74_gp102,SEA_OSMAXIMUS_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1035482,26626230,1,AVU74_gp001,SEA_OSMAXIMUS_1,-,-,-,adenylate kinase,protein-coding,-,-,-,adenylate kinase,20200927,-
1035482,26680535,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage OSmaximus).,other,-,-,-,-,20200513,-
