#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2500799,65118602,2,KNU44_gp002,SEA_CICHOLASNAGE_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2500799,65118615,16,KNU44_gp016,SEA_CICHOLASNAGE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210607,-
2500799,65118616,14,KNU44_gp015,SEA_CICHOLASNAGE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210607,-
2500799,65118617,17,KNU44_gp017,SEA_CICHOLASNAGE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2500799,65118618,18,KNU44_gp018,SEA_CICHOLASNAGE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2500799,65118619,19,KNU44_gp019,SEA_CICHOLASNAGE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2500799,65118620,20,KNU44_gp020,SEA_CICHOLASNAGE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2500799,65118621,21,KNU44_gp021,SEA_CICHOLASNAGE_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210607,-
2500799,65118622,22,KNU44_gp022,SEA_CICHOLASNAGE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118623,23,KNU44_gp023,SEA_CICHOLASNAGE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118624,24,KNU44_gp024,SEA_CICHOLASNAGE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118625,25,KNU44_gp025,SEA_CICHOLASNAGE_25,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210607,-
2500799,65118626,26,KNU44_gp026,SEA_CICHOLASNAGE_26,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210607,-
2500799,65118627,27,KNU44_gp027,SEA_CICHOLASNAGE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118628,28,KNU44_gp028,SEA_CICHOLASNAGE_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118629,29,KNU44_gp029,SEA_CICHOLASNAGE_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118630,30,KNU44_gp030,SEA_CICHOLASNAGE_30,-,-,-,NrdH-like glutaredoxin,protein-coding,-,-,-,NrdH-like glutaredoxin,20210607,-
2500799,65118631,31,KNU44_gp031,SEA_CICHOLASNAGE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118632,32,KNU44_gp032,SEA_CICHOLASNAGE_32,-,-,-,nucleotidyltransferase,protein-coding,-,-,-,nucleotidyltransferase,20210607,-
2500799,65118633,33,KNU44_gp033,SEA_CICHOLASNAGE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118634,34,KNU44_gp034,SEA_CICHOLASNAGE_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118635,37,KNU44_gp037,SEA_CICHOLASNAGE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118636,38,KNU44_gp038,SEA_CICHOLASNAGE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118637,39,KNU44_gp039,SEA_CICHOLASNAGE_39,-,-,-,Cro protein,protein-coding,-,-,-,Cro protein,20210607,-
2500799,65118638,40,KNU44_gp040,SEA_CICHOLASNAGE_40,-,-,-,excise,protein-coding,-,-,-,excise,20210607,-
2500799,65118639,41,KNU44_gp041,SEA_CICHOLASNAGE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118640,42,KNU44_gp042,SEA_CICHOLASNAGE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118641,43,KNU44_gp043,SEA_CICHOLASNAGE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118642,46,KNU44_gp046,SEA_CICHOLASNAGE_46,-,-,-,esterase,protein-coding,-,-,-,esterase,20210607,-
2500799,65118643,48,KNU44_gp048,SEA_CICHOLASNAGE_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118644,49,KNU44_gp049,SEA_CICHOLASNAGE_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118645,50,KNU44_gp050,SEA_CICHOLASNAGE_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118646,51,KNU44_gp051,SEA_CICHOLASNAGE_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118647,52,KNU44_gp052,SEA_CICHOLASNAGE_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118648,53,KNU44_gp053,SEA_CICHOLASNAGE_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118649,54,KNU44_gp054,SEA_CICHOLASNAGE_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118650,55,KNU44_gp055,SEA_CICHOLASNAGE_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118651,56,KNU44_gp056,SEA_CICHOLASNAGE_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118652,57,KNU44_gp057,SEA_CICHOLASNAGE_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118653,58,KNU44_gp058,SEA_CICHOLASNAGE_58,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210607,-
2500799,65118654,59,KNU44_gp059,SEA_CICHOLASNAGE_59,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210607,-
2500799,65118655,60,KNU44_gp060,SEA_CICHOLASNAGE_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118656,61,KNU44_gp061,SEA_CICHOLASNAGE_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118657,62,KNU44_gp062,SEA_CICHOLASNAGE_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118658,63,KNU44_gp063,SEA_CICHOLASNAGE_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118659,64,KNU44_gp064,SEA_CICHOLASNAGE_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118660,65,KNU44_gp065,SEA_CICHOLASNAGE_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118661,66,KNU44_gp066,SEA_CICHOLASNAGE_66,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210607,-
2500799,65118662,67,KNU44_gp067,SEA_CICHOLASNAGE_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118663,68,KNU44_gp068,SEA_CICHOLASNAGE_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118664,70,KNU44_gp070,SEA_CICHOLASNAGE_70,-,-,-,nicotinate ribosyltransferase,protein-coding,-,-,-,nicotinate ribosyltransferase,20210607,-
2500799,65118665,71,KNU44_gp071,SEA_CICHOLASNAGE_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118666,72,KNU44_gp072,SEA_CICHOLASNAGE_72,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20210607,-
2500799,65118667,73,KNU44_gp073,SEA_CICHOLASNAGE_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118668,80,KNU44_gp080,SEA_CICHOLASNAGE_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118669,81,KNU44_gp081,SEA_CICHOLASNAGE_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118670,82,KNU44_gp082,SEA_CICHOLASNAGE_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118671,83,KNU44_gp083,SEA_CICHOLASNAGE_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118672,84,KNU44_gp084,SEA_CICHOLASNAGE_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118673,85,KNU44_gp085,SEA_CICHOLASNAGE_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118674,86,KNU44_gp086,SEA_CICHOLASNAGE_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118675,87,KNU44_gp087,SEA_CICHOLASNAGE_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118676,88,KNU44_gp088,SEA_CICHOLASNAGE_88,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2500799,65118677,89,KNU44_gp089,SEA_CICHOLASNAGE_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118678,90,KNU44_gp090,SEA_CICHOLASNAGE_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118679,91,KNU44_gp091,SEA_CICHOLASNAGE_91,-,-,-,DnaQ-like DNA polymerase III subunit,protein-coding,-,-,-,DnaQ-like DNA polymerase III subunit,20210607,-
2500799,65118680,92,KNU44_gp092,SEA_CICHOLASNAGE_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118681,93,KNU44_gp093,SEA_CICHOLASNAGE_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118682,94,KNU44_gp094,SEA_CICHOLASNAGE_94,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2500799,65118683,95,KNU44_gp095,SEA_CICHOLASNAGE_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118684,96,KNU44_gp096,SEA_CICHOLASNAGE_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118685,97,KNU44_gp097,SEA_CICHOLASNAGE_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118686,98,KNU44_gp098,SEA_CICHOLASNAGE_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118687,99,KNU44_gt001,SEA_CICHOLASNAGE_99,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500799,65118688,102,KNU44_gt003,SEA_CICHOLASNAGE_102,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500799,65118689,104,KNU44_gp116,SEA_CICHOLASNAGE_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118690,105,KNU44_gp115,SEA_CICHOLASNAGE_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118691,106,KNU44_gt004,SEA_CICHOLASNAGE_106,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500799,65118692,108,KNU44_gp113,SEA_CICHOLASNAGE_108,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118693,109,KNU44_gp112,SEA_CICHOLASNAGE_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118694,110,KNU44_gt005,SEA_CICHOLASNAGE_110,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500799,65118695,112,KNU44_gp110,SEA_CICHOLASNAGE_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118696,113,KNU44_gp109,SEA_CICHOLASNAGE_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118697,114,KNU44_gp108,SEA_CICHOLASNAGE_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118698,115,KNU44_gp107,SEA_CICHOLASNAGE_115,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118699,116,KNU44_gp106,SEA_CICHOLASNAGE_116,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118700,117,KNU44_gp105,SEA_CICHOLASNAGE_117,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118701,119,KNU44_gp103,SEA_CICHOLASNAGE_119,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118702,120,KNU44_gp102,SEA_CICHOLASNAGE_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118703,121,KNU44_gp101,SEA_CICHOLASNAGE_121,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118704,122,KNU44_gp100,SEA_CICHOLASNAGE_122,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118705,123,KNU44_gp099,SEA_CICHOLASNAGE_123,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118706,45,KNU44_gp045,SEA_CICHOLASNAGE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118707,78,KNU44_gp078,SEA_CICHOLASNAGE_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118708,79,KNU44_gp079,SEA_CICHOLASNAGE_79,-,-,-,ssDNA binding protein,protein-coding,-,-,-,ssDNA binding protein,20210607,-
2500799,65118709,100,KNU44_gt002,SEA_CICHOLASNAGE_100,-,-,-,tRNA,tRNA,-,-,-,-,20210607,-
2500799,65118710,101,KNU44_gp118,SEA_CICHOLASNAGE_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118711,107,KNU44_gp114,SEA_CICHOLASNAGE_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118712,69,KNU44_gp069,SEA_CICHOLASNAGE_69,-,-,-,phosphoribosyl pyrophosphate transferase,protein-coding,-,-,-,phosphoribosyl pyrophosphate transferase,20210607,-
2500799,65118713,74,KNU44_gp074,SEA_CICHOLASNAGE_74,-,-,-,RusA-like resolvase,protein-coding,-,-,-,RusA-like resolvase,20210607,-
2500799,65118714,75,KNU44_gp075,SEA_CICHOLASNAGE_75,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210607,-
2500799,65118715,76,KNU44_gp076,SEA_CICHOLASNAGE_76,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210607,-
2500799,65118716,77,KNU44_gp077,SEA_CICHOLASNAGE_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118717,36,KNU44_gp036,SEA_CICHOLASNAGE_36,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210607,-
2500799,65118718,103,KNU44_gp117,SEA_CICHOLASNAGE_103,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118719,111,KNU44_gp111,SEA_CICHOLASNAGE_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118720,1,KNU44_gp001,SEA_CICHOLASNAGE_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118721,118,KNU44_gp104,SEA_CICHOLASNAGE_118,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118722,44,KNU44_gp044,SEA_CICHOLASNAGE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118723,47,KNU44_gp047,SEA_CICHOLASNAGE_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65118724,35,KNU44_gp035,SEA_CICHOLASNAGE_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2500799,65243014,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20210609,-
