#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2041525,60327324,I5H26_gp002,I5H26_gp002,SEA_DAWORST_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2041525,60327338,I5H26_gp016,I5H26_gp016,SEA_DAWORST_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2041525,60327339,I5H26_gp017,I5H26_gp017,SEA_DAWORST_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327340,I5H26_gp018,I5H26_gp018,SEA_DAWORST_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327341,I5H26_gp019,I5H26_gp019,SEA_DAWORST_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327342,I5H26_gp020,I5H26_gp020,SEA_DAWORST_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327343,I5H26_gp021,I5H26_gp021,SEA_DAWORST_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2041525,60327344,I5H26_gp022,I5H26_gp022,SEA_DAWORST_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327345,I5H26_gp023,I5H26_gp023,SEA_DAWORST_23,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327346,I5H26_gp024,I5H26_gp024,SEA_DAWORST_24,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327347,I5H26_gp025,I5H26_gp025,SEA_DAWORST_25,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327348,I5H26_gp026,I5H26_gp026,SEA_DAWORST_26,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2041525,60327349,I5H26_gp027,I5H26_gp027,SEA_DAWORST_27,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2041525,60327350,I5H26_gp028,I5H26_gp028,SEA_DAWORST_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327351,I5H26_gp029,I5H26_gp029,SEA_DAWORST_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327352,I5H26_gp030,I5H26_gp030,SEA_DAWORST_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327353,I5H26_gp031,I5H26_gp031,SEA_DAWORST_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327354,I5H26_gp032,I5H26_gp032,SEA_DAWORST_32,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2041525,60327355,I5H26_gp033,I5H26_gp033,SEA_DAWORST_33,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2041525,60327356,I5H26_gp034,I5H26_gp034,SEA_DAWORST_34,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
2041525,60327357,I5H26_gp035,I5H26_gp035,SEA_DAWORST_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2041525,60327358,I5H26_gp036,I5H26_gp036,SEA_DAWORST_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327359,I5H26_gp037,I5H26_gp037,SEA_DAWORST_37,-,-,-,DNA polymerase III subunit,protein-coding,-,-,-,DNA polymerase III subunit,20210129,-
2041525,60327360,I5H26_gp038,I5H26_gp038,SEA_DAWORST_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327361,I5H26_gp039,I5H26_gp039,SEA_DAWORST_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327362,I5H26_gp040,I5H26_gp040,SEA_DAWORST_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327363,I5H26_gp041,I5H26_gp041,SEA_DAWORST_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327364,I5H26_gp042,I5H26_gp042,SEA_DAWORST_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327365,I5H26_gp043,I5H26_gp043,SEA_DAWORST_43,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210406,-
2041525,60327366,I5H26_gp044,I5H26_gp044,SEA_DAWORST_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327367,I5H26_gp045,I5H26_gp045,SEA_DAWORST_45,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2041525,60327368,I5H26_gp046,I5H26_gp046,SEA_DAWORST_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327369,I5H26_gp047,I5H26_gp047,SEA_DAWORST_47,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210424,-
2041525,60327370,I5H26_gp048,I5H26_gp048,SEA_DAWORST_48,-,-,-,CRO protein,protein-coding,-,-,-,CRO protein,20201203,-
2041525,60327371,I5H26_gp049,I5H26_gp049,SEA_DAWORST_49,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2041525,60327372,I5H26_gp050,I5H26_gp050,SEA_DAWORST_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327373,I5H26_gp051,I5H26_gp051,SEA_DAWORST_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041525,60327374,I5H26_gp052,I5H26_gp052,SEA_DAWORST_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2041525,60327375,I5H26_gp053,I5H26_gp053,SEA_DAWORST_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327376,I5H26_gp054,I5H26_gp054,SEA_DAWORST_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327377,I5H26_gp055,I5H26_gp055,SEA_DAWORST_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327378,I5H26_gp056,I5H26_gp056,SEA_DAWORST_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327379,I5H26_gp057,I5H26_gp057,SEA_DAWORST_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041525,60327380,I5H26_gp058,I5H26_gp058,SEA_DAWORST_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2041525,60327381,I5H26_gp059,I5H26_gp059,SEA_DAWORST_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201217,-
2041525,60327382,I5H26_gp060,I5H26_gp060,SEA_DAWORST_60,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2041525,60327383,I5H26_gp061,I5H26_gp061,SEA_DAWORST_61,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210424,-
2041525,60327384,I5H26_gp062,I5H26_gp062,SEA_DAWORST_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327385,I5H26_gp063,I5H26_gp063,SEA_DAWORST_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327386,I5H26_gp064,I5H26_gp064,SEA_DAWORST_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041525,60327387,I5H26_gp065,I5H26_gp065,SEA_DAWORST_65,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210424,-
2041525,60327388,I5H26_gp066,I5H26_gp066,SEA_DAWORST_66,-,-,-,DNA helicase,protein-coding,-,-,-,DNA helicase,20210424,-
2041525,60327389,I5H26_gp067,I5H26_gp067,SEA_DAWORST_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2041525,60327390,I5H26_gp068,I5H26_gp068,SEA_DAWORST_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327391,I5H26_gp069,I5H26_gp069,SEA_DAWORST_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327392,I5H26_gp070,I5H26_gp070,SEA_DAWORST_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327393,I5H26_gp071,I5H26_gp071,SEA_DAWORST_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327394,I5H26_gp072,I5H26_gp072,SEA_DAWORST_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327395,I5H26_gp073,I5H26_gp073,SEA_DAWORST_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327396,I5H26_gp074,I5H26_gp074,SEA_DAWORST_74,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2041525,60327397,I5H26_gp075,I5H26_gp075,SEA_DAWORST_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327398,I5H26_gp076,I5H26_gp076,SEA_DAWORST_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327399,I5H26_gp077,I5H26_gp077,SEA_DAWORST_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2041525,60327400,I5H26_gp078,I5H26_gp078,SEA_DAWORST_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327401,I5H26_gp079,I5H26_gp079,SEA_DAWORST_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327402,I5H26_gp080,I5H26_gp080,SEA_DAWORST_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327403,I5H26_gp081,I5H26_gp081,SEA_DAWORST_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327404,I5H26_gp082,I5H26_gp082,SEA_DAWORST_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327405,I5H26_gp083,I5H26_gp083,SEA_DAWORST_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327406,I5H26_gp084,I5H26_gp084,SEA_DAWORST_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327407,I5H26_gp085,I5H26_gp085,SEA_DAWORST_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327408,I5H26_gp086,I5H26_gp086,SEA_DAWORST_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327409,I5H26_gp087,I5H26_gp087,SEA_DAWORST_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327410,I5H26_gp088,I5H26_gp088,SEA_DAWORST_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327411,I5H26_gp089,I5H26_gp089,SEA_DAWORST_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327412,I5H26_gp090,I5H26_gp090,SEA_DAWORST_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327413,I5H26_gp091,I5H26_gp091,SEA_DAWORST_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327414,I5H26_gp092,I5H26_gp092,SEA_DAWORST_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327415,I5H26_gp093,I5H26_gp093,SEA_DAWORST_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327416,I5H26_gp094,I5H26_gp094,SEA_DAWORST_94,-,-,-,MerR-like HTH DNA binding protein,protein-coding,-,-,-,MerR-like HTH DNA binding protein,20210129,-
2041525,60327417,I5H26_gp095,I5H26_gp095,SEA_DAWORST_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327418,I5H26_gp096,I5H26_gp096,SEA_DAWORST_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327419,I5H26_gp097,I5H26_gp097,SEA_DAWORST_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327420,I5H26_gp098,I5H26_gp098,SEA_DAWORST_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327421,I5H26_gp099,I5H26_gp099,SEA_DAWORST_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327422,I5H26_gp100,I5H26_gp100,SEA_DAWORST_100,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2041525,60327423,I5H26_gp101,I5H26_gp101,SEA_DAWORST_101,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20201129,-
2041525,60327424,I5H26_gp102,I5H26_gp102,SEA_DAWORST_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2041525,60327425,I5H26_gp103,I5H26_gp103,SEA_DAWORST_103,-,-,-,glycosyltransferase,protein-coding,-,-,-,glycosyltransferase,20210406,-
2041525,60327426,I5H26_gp001,I5H26_gp001,SEA_DAWORST_1,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210406,-
2041525,60338623,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20201130,-
