#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1493514,24171180,AAJ61_gp002,AAJ61_gp002,Syn7803US103_2,-,-,-,base plate wedge component,protein-coding,-,-,-,base plate wedge component,20201221,-
1493514,24171196,AAJ61_gp018,AAJ61_gp018,Syn7803US103_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171197,AAJ61_gp019,AAJ61_gp019,Syn7803US103_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171198,AAJ61_gp020,AAJ61_gp020,Syn7803US103_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171199,AAJ61_gp021,AAJ61_gp021,Syn7803US103_21,-,-,-,5-phosphoribosylformylglycinamide amidotransferase,protein-coding,-,-,-,5-phosphoribosylformylglycinamide amidotransferase,20201221,-
1493514,24171200,AAJ61_gp022,AAJ61_gp022,Syn7803US103_22,-,-,-,phosphoribosylformylglycinamidine synthase,protein-coding,-,-,-,phosphoribosylformylglycinamidine synthase,20201221,-
1493514,24171201,AAJ61_gp023,AAJ61_gp023,Syn7803US103_23,-,-,-,glutaredoxin,protein-coding,-,-,-,glutaredoxin,20201221,-
1493514,24171202,AAJ61_gp024,AAJ61_gp024,Syn7803US103_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171203,AAJ61_gp025,AAJ61_gp025,Syn7803US103_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171204,AAJ61_gp026,AAJ61_gp026,Syn7803US103_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171205,AAJ61_gp027,AAJ61_gp027,Syn7803US103_27,-,-,-,CepT-like protein,protein-coding,-,-,-,CepT-like protein,20201221,-
1493514,24171206,AAJ61_gp028,AAJ61_gp028,Syn7803US103_28,-,-,-,putative short tail fiber,protein-coding,-,-,-,putative short tail fiber,20201221,-
1493514,24171207,AAJ61_gp029,AAJ61_gp029,Syn7803US103_29,-,-,-,putative short tail fiber,protein-coding,-,-,-,putative short tail fiber,20201221,-
1493514,24171208,AAJ61_gp030,AAJ61_gp030,Syn7803US103_30,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493514,24171209,AAJ61_gp031,AAJ61_gp031,Syn7803US103_31,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493514,24171210,AAJ61_gp032,AAJ61_gp032,Syn7803US103_32,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493514,24171211,AAJ61_gp033,AAJ61_gp033,Syn7803US103_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171212,AAJ61_gp034,AAJ61_gp034,Syn7803US103_34,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1493514,24171213,AAJ61_gp035,AAJ61_gp035,Syn7803US103_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171214,AAJ61_gp036,AAJ61_gp036,Syn7803US103_36,-,-,-,2OG-Fe(II) oxygenase,protein-coding,-,-,-,2OG-Fe(II) oxygenase,20201221,-
1493514,24171215,AAJ61_gp037,AAJ61_gp037,Syn7803US103_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171216,AAJ61_gp038,AAJ61_gp038,Syn7803US103_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171217,AAJ61_gp039,AAJ61_gp039,Syn7803US103_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171218,AAJ61_gp040,AAJ61_gp040,Syn7803US103_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171219,AAJ61_gp041,AAJ61_gp041,Syn7803US103_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171220,AAJ61_gp042,AAJ61_gp042,Syn7803US103_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171221,AAJ61_gp043,AAJ61_gp043,Syn7803US103_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171222,AAJ61_gp044,AAJ61_gp044,Syn7803US103_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171223,AAJ61_gp045,AAJ61_gp045,Syn7803US103_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171224,AAJ61_gp046,AAJ61_gp046,Syn7803US103_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171225,AAJ61_gp047,AAJ61_gp047,Syn7803US103_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171226,AAJ61_gp048,AAJ61_gp048,Syn7803US103_48,-,-,-,DNA adenine methylase,protein-coding,-,-,-,DNA adenine methylase,20201221,-
1493514,24171227,AAJ61_gp049,AAJ61_gp049,Syn7803US103_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171228,AAJ61_gp050,AAJ61_gp050,Syn7803US103_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171229,AAJ61_gp051,AAJ61_gp051,Syn7803US103_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171230,AAJ61_gp052,AAJ61_gp052,Syn7803US103_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171231,AAJ61_gp053,AAJ61_gp053,Syn7803US103_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171232,AAJ61_gp054,AAJ61_gp054,Syn7803US103_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171233,AAJ61_gp055,AAJ61_gp055,Syn7803US103_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171234,AAJ61_gp056,AAJ61_gp056,Syn7803US103_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171235,AAJ61_gp057,AAJ61_gp057,Syn7803US103_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171236,AAJ61_gp058,AAJ61_gp058,Syn7803US103_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171237,AAJ61_gp059,AAJ61_gp059,Syn7803US103_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171238,AAJ61_gp060,AAJ61_gp060,Syn7803US103_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171239,AAJ61_gp061,AAJ61_gp061,Syn7803US103_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171240,AAJ61_gp062,AAJ61_gp062,Syn7803US103_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171241,AAJ61_gp063,AAJ61_gp063,Syn7803US103_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171242,AAJ61_gp064,AAJ61_gp064,Syn7803US103_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171243,AAJ61_gp065,AAJ61_gp065,Syn7803US103_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171244,AAJ61_gp066,AAJ61_gp066,Syn7803US103_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171245,AAJ61_gp067,AAJ61_gp067,Syn7803US103_67,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171246,AAJ61_gp068,AAJ61_gp068,Syn7803US103_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171247,AAJ61_gp069,AAJ61_gp069,Syn7803US103_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171248,AAJ61_gp070,AAJ61_gp070,Syn7803US103_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171249,AAJ61_gp071,AAJ61_gp071,Syn7803US103_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171250,AAJ61_gp072,AAJ61_gp072,Syn7803US103_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171251,AAJ61_gp073,AAJ61_gp073,Syn7803US103_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171252,AAJ61_gp074,AAJ61_gp074,Syn7803US103_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171253,AAJ61_gp075,AAJ61_gp075,Syn7803US103_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171254,AAJ61_gp076,AAJ61_gp076,Syn7803US103_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171255,AAJ61_gp077,AAJ61_gp077,Syn7803US103_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171256,AAJ61_gp078,AAJ61_gp078,Syn7803US103_78,-,-,-,phosphoribosylaminoimidazole synthetase,protein-coding,-,-,-,phosphoribosylaminoimidazole synthetase,20201221,-
1493514,24171257,AAJ61_gp079,AAJ61_gp079,Syn7803US103_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171258,AAJ61_gp080,AAJ61_gp080,Syn7803US103_80,-,-,-,base plate wedge subunit,protein-coding,-,-,-,base plate wedge subunit,20201221,-
1493514,24171259,AAJ61_gp081,AAJ61_gp081,Syn7803US103_81,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201221,-
1493514,24171260,AAJ61_gp082,AAJ61_gp082,Syn7803US103_82,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493514,24171261,AAJ61_gp083,AAJ61_gp083,Syn7803US103_83,-,-,-,baseplate wedge protein,protein-coding,-,-,-,baseplate wedge protein,20201221,-
1493514,24171262,AAJ61_gp084,AAJ61_gp084,Syn7803US103_84,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493514,24171263,AAJ61_gp085,AAJ61_gp085,Syn7803US103_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171264,AAJ61_gp086,AAJ61_gp086,Syn7803US103_86,-,-,-,virion structural protein,protein-coding,-,-,-,virion structural protein,20201221,-
1493514,24171265,AAJ61_gp087,AAJ61_gp087,Syn7803US103_87,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201221,-
1493514,24171266,AAJ61_gp088,AAJ61_gp088,Syn7803US103_88,-,-,-,tail fiber-like protein,protein-coding,-,-,-,tail fiber-like protein,20201221,-
1493514,24171267,AAJ61_gp089,AAJ61_gp089,Syn7803US103_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171268,AAJ61_gp090,AAJ61_gp090,Syn7803US103_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171269,AAJ61_gp091,AAJ61_gp091,Syn7803US103_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171270,AAJ61_gp092,AAJ61_gp092,Syn7803US103_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171271,AAJ61_gp093,AAJ61_gp093,Syn7803US103_93,-,-,-,sericin 1 precursor-like protein,protein-coding,-,-,-,sericin 1 precursor-like protein,20201221,-
1493514,24171272,AAJ61_gp094,AAJ61_gp094,Syn7803US103_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171273,AAJ61_gp095,AAJ61_gp095,Syn7803US103_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171274,AAJ61_gp096,AAJ61_gp096,Syn7803US103_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171275,AAJ61_gp097,AAJ61_gp097,Syn7803US103_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171276,AAJ61_gp098,AAJ61_gp098,Syn7803US103_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171277,AAJ61_gp099,AAJ61_gp099,Syn7803US103_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171278,AAJ61_gp100,AAJ61_gp100,Syn7803US103_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171279,AAJ61_gp101,AAJ61_gp101,Syn7803US103_101,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1493514,24171280,AAJ61_gp102,AAJ61_gp102,Syn7803US103_102,-,-,-,neck protein,protein-coding,-,-,-,neck protein,20201221,-
1493514,24171281,AAJ61_gp103,AAJ61_gp103,Syn7803US103_103,-,-,-,proximal tail sheath protein,protein-coding,-,-,-,proximal tail sheath protein,20201221,-
1493514,24171282,AAJ61_gp104,AAJ61_gp104,Syn7803US103_104,-,-,-,terminase DNA packaging protein,protein-coding,-,-,-,terminase DNA packaging protein,20201221,-
1493514,24171283,AAJ61_gp105,AAJ61_gp105,Syn7803US103_105,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171284,AAJ61_gp106,AAJ61_gp106,Syn7803US103_106,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171285,AAJ61_gp107,AAJ61_gp107,Syn7803US103_107,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171286,AAJ61_gp108,AAJ61_gp108,Syn7803US103_108,-,-,-,plastocyanine,protein-coding,-,-,-,plastocyanine,20201221,-
1493514,24171287,AAJ61_gp109,AAJ61_gp109,Syn7803US103_109,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171288,AAJ61_gp110,AAJ61_gp110,Syn7803US103_110,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171289,AAJ61_gp111,AAJ61_gp111,Syn7803US103_111,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171290,AAJ61_gp112,AAJ61_gp112,Syn7803US103_112,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171291,AAJ61_gp113,AAJ61_gp113,Syn7803US103_113,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171292,AAJ61_gp114,AAJ61_gp114,Syn7803US103_114,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171293,AAJ61_gp115,AAJ61_gp115,Syn7803US103_115,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1493514,24171294,AAJ61_gp116,AAJ61_gp116,Syn7803US103_116,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20201221,-
1493514,24171295,AAJ61_gp117,AAJ61_gp117,Syn7803US103_117,-,-,-,tail sheath monomer protein,protein-coding,-,-,-,tail sheath monomer protein,20201221,-
1493514,24171296,AAJ61_gp118,AAJ61_gp118,Syn7803US103_118,-,-,-,tail tube monomer protein,protein-coding,-,-,-,tail tube monomer protein,20201221,-
1493514,24171297,AAJ61_gp119,AAJ61_gp119,Syn7803US103_119,-,-,-,portal vertex protein,protein-coding,-,-,-,portal vertex protein,20201221,-
1493514,24171298,AAJ61_gp120,AAJ61_gp120,Syn7803US103_120,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171299,AAJ61_gp121,AAJ61_gp121,Syn7803US103_121,-,-,-,prohead core scaffold protein,protein-coding,-,-,-,prohead core scaffold protein,20201221,-
1493514,24171300,AAJ61_gp122,AAJ61_gp122,Syn7803US103_122,-,-,-,scaffold prohead core protein,protein-coding,-,-,-,scaffold prohead core protein,20201221,-
1493514,24171301,AAJ61_gp123,AAJ61_gp123,Syn7803US103_123,-,-,-,head vertex precursor,protein-coding,-,-,-,head vertex precursor,20201221,-
1493514,24171302,AAJ61_gp124,AAJ61_gp124,Syn7803US103_124,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171303,AAJ61_gp125,AAJ61_gp125,Syn7803US103_125,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171304,AAJ61_gp126,AAJ61_gp126,Syn7803US103_126,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171305,AAJ61_gp127,AAJ61_gp127,Syn7803US103_127,-,-,-,head-proximal tip of tail protein,protein-coding,-,-,-,head-proximal tip of tail protein,20201221,-
1493514,24171306,AAJ61_gp128,AAJ61_gp128,Syn7803US103_128,-,-,-,UvsY,protein-coding,-,-,-,UvsY,20201221,-
1493514,24171307,AAJ61_gp129,AAJ61_gp129,Syn7803US103_129,-,-,-,RNA-DNA + DNA-DNA helicase,protein-coding,-,-,-,RNA-DNA + DNA-DNA helicase,20201221,-
1493514,24171308,AAJ61_gp130,AAJ61_gp130,Syn7803US103_130,-,-,-,methylamine protein,protein-coding,-,-,-,methylamine protein,20201221,-
1493514,24171309,AAJ61_gp131,AAJ61_gp131,Syn7803US103_131,-,-,-,late transcription sigma factor,protein-coding,-,-,-,late transcription sigma factor,20201221,-
1493514,24171310,AAJ61_gp132,AAJ61_gp132,Syn7803US103_132,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171311,AAJ61_gp133,AAJ61_gp133,Syn7803US103_133,-,-,-,recombination endonuclease,protein-coding,-,-,-,recombination endonuclease,20201221,-
1493514,24171312,AAJ61_gp134,AAJ61_gp134,Syn7803US103_134,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171313,AAJ61_gp135,AAJ61_gp135,Syn7803US103_135,-,-,-,gpre46 combination endonuclease,protein-coding,-,-,-,gpre46 combination endonuclease,20201221,-
1493514,24171314,AAJ61_gp136,AAJ61_gp136,Syn7803US103_136,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1493514,24171315,AAJ61_gp137,AAJ61_gp137,Syn7803US103_137,-,-,-,porphyrin biosynthetic protein,protein-coding,-,-,-,porphyrin biosynthetic protein,20201221,-
1493514,24171316,AAJ61_gp138,AAJ61_gp138,Syn7803US103_138,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171317,AAJ61_gp139,AAJ61_gp139,Syn7803US103_139,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171318,AAJ61_gp140,AAJ61_gp140,Syn7803US103_140,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20201221,-
1493514,24171319,AAJ61_gp141,AAJ61_gp141,Syn7803US103_141,-,-,-,sliding clamp DNA polymerase,protein-coding,-,-,-,sliding clamp DNA polymerase,20201221,-
1493514,24171320,AAJ61_gp142,AAJ61_gp142,Syn7803US103_142,-,-,-,S-adenosylmethionine decarboxylase,protein-coding,-,-,-,S-adenosylmethionine decarboxylase,20201221,-
1493514,24171321,AAJ61_gp143,AAJ61_gp143,Syn7803US103_143,-,-,-,DNA endonuclease V,protein-coding,-,-,-,DNA endonuclease V,20201221,-
1493514,24171322,AAJ61_gp144,AAJ61_gp144,Syn7803US103_144,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1493514,24171323,AAJ61_gp145,AAJ61_gp145,Syn7803US103_145,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171324,AAJ61_gp146,AAJ61_gp146,Syn7803US103_146,-,-,-,DNA adenine methylase Dam,protein-coding,-,-,-,DNA adenine methylase Dam,20201221,-
1493514,24171325,AAJ61_gp147,AAJ61_gp147,Syn7803US103_147,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171326,AAJ61_gp148,AAJ61_gp148,Syn7803US103_148,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171327,AAJ61_gp149,AAJ61_gp149,Syn7803US103_149,-,-,-,clamp loader subunit,protein-coding,-,-,-,clamp loader subunit,20201221,-
1493514,24171328,AAJ61_gp150,AAJ61_gp150,Syn7803US103_150,-,-,-,translation repressor,protein-coding,-,-,-,translation repressor,20201221,-
1493514,24171329,AAJ61_gp151,AAJ61_gp151,Syn7803US103_151,-,-,-,Hsp20 heat shock protein,protein-coding,-,-,-,Hsp20 heat shock protein,20201221,-
1493514,24171330,AAJ61_gp152,AAJ61_gp152,Syn7803US103_152,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171331,AAJ61_gp153,AAJ61_gp153,Syn7803US103_153,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171332,AAJ61_gp154,AAJ61_gp154,Syn7803US103_154,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171333,AAJ61_gp155,AAJ61_gp155,Syn7803US103_155,-,-,-,DNA polymerase,protein-coding,-,-,-,DNA polymerase,20201221,-
1493514,24171334,AAJ61_gp156,AAJ61_gp156,Syn7803US103_156,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171335,AAJ61_gp157,AAJ61_gp157,Syn7803US103_157,-,-,-,RecA-like protein,protein-coding,-,-,-,RecA-like protein,20201221,-
1493514,24171336,AAJ61_gp158,AAJ61_gp158,Syn7803US103_158,-,-,-,DNA primase-helicase,protein-coding,-,-,-,DNA primase-helicase,20201221,-
1493514,24171337,AAJ61_gp159,AAJ61_gp159,Syn7803US103_159,-,-,-,pyrophosphatase,protein-coding,-,-,-,pyrophosphatase,20201221,-
1493514,24171338,AAJ61_gp160,AAJ61_gp160,Syn7803US103_160,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171339,AAJ61_gp161,AAJ61_gp161,Syn7803US103_161,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171340,AAJ61_gp162,AAJ61_gp162,Syn7803US103_162,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171341,AAJ61_gp163,AAJ61_gp163,Syn7803US103_163,-,-,-,cytitidyltransferase,protein-coding,-,-,-,cytitidyltransferase,20201221,-
1493514,24171342,AAJ61_gp164,AAJ61_gp164,Syn7803US103_164,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171343,AAJ61_gp165,AAJ61_gp165,Syn7803US103_165,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171344,AAJ61_gp166,AAJ61_gp166,Syn7803US103_166,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171345,AAJ61_gp167,AAJ61_gp167,Syn7803US103_167,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171346,AAJ61_gp168,AAJ61_gp168,Syn7803US103_168,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171347,AAJ61_gp169,AAJ61_gp169,Syn7803US103_169,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171348,AAJ61_gp170,AAJ61_gp170,Syn7803US103_170,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171349,AAJ61_gp171,AAJ61_gp171,Syn7803US103_171,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1493514,24171350,AAJ61_gp172,AAJ61_gp172,Syn7803US103_172,-,-,-,DNA primase subunit,protein-coding,-,-,-,DNA primase subunit,20201221,-
